accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	accessibility_page	study_type	release_date_page	n_listing	listing_kinds	example_run_files	processed_on_hra
HRA012130	PRJCA042219	Gasdermin C drives metabolic reprogramming in lung adenocarcinoma	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012130	True	False	False	False	False	lung	True	Transcriptome sequencing analysis conducted after knocking down GSDMC in H1299 cells	Open access	Cell line related study	2026-05-01	5	"{""run_or_nested"": 3, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2653148_f1.fq.gz,HRR2653148_r2.fq.gz,HRR2653148_sta.xml,(.+?)	0
HRA018202	PRJCA045006	GSDMC-mediated epigenetic activation in lung adenocarcinoma	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018202	True	False	False	False	False	lung	True	ATAC sequencing analysis after overexpression of GSDMC	Open access	Cell line related study	2026-04-30	4	"{""run_or_nested"": 2, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3255248_f1.fq.gz,HRR3255248_r2.fq.gz,HRR3255248_sta.xml,(.+?)	0
HRA016345	PRJCA054020	Durvalumab plus anlotinib versus durvalumab alone as maintenance treatment in extensive-stage small-cell lung cancer (DURABLE): a multicenter, randomized, phase II trial	Shanghai Chest Hospital	1	Controlled	0	2026-04-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA016345	True	True	False	False	False	lung+ici	True	Tumor tissue samples were collected at baseline. Peripheral blood was collected at four time points: baseline (T0), first assessment (T1), before randomization (T2), and disease progression after randomization (T3). From these blood samples, circulating cell-free DNA (cfDNA) was isolated and subjected to comprehensive genomic profiling covering 571 cancer-related genes (AmoyDx, China) on the Illumina NovaSeq 6000 platform (Illumina, San Diego, CA, USA), as previously described29. Blood tumor mutational burden (bTMB) was calculated based on the number of detected somatic mutations as previously reported30. Meanwhile, RNA sequencing was performed on tumor biopsy using the Illumina NovaSeq 6000 platform after RNA extraction and cDNA library preparation (detailedly described in supplementary appendix).	Controlled access	Cohort Study	2026-04-24	0	{}		0
HRA017855	PRJCA061543	RNA-seq of SLC52A3-knockdown and control PC-9 lung adenocarcinoma cells	Pu er People's Hospital, Kunming University of Science and Technology Affiliated Hospital	0	Open	0	2026-04-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017855	True	False	False	False	False	lung	True	This study contains RNA sequencing data generated from the human lung adenocarcinoma cell line PC-9. Transcriptome sequencing was performed in SLC52A3-knockdown cells and control cells, with three biological replicates in each group. The six samples included in this study are PC-9-WT-01, PC-9-WT-02, PC-9-WT-03, PC-9-1761-01, PC-9-1761-02, and PC-9-1761-03. These data were generated to investigate transcriptomic changes associated with SLC52A3 depletion in lung adenocarcinoma cells.	Open access	Cell line related study	2026-04-17	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3224104_f1.fastq.gz,HRR3224104_r2.fastq.gz,HRR3224104_sta.xml,(.+?)	0
HRA012913	PRJCA042393	GSDMC-mediated epigenetic activation of CAMKK2 drives metabolic reprogramming and promotes lung adenocarcinoma progression	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012913	True	False	False	False	False	lung	True	ATAC sequencing after overexpression of GSDMC in H1299 cells	Open access	Cell line related study	2026-04-14	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2710895_f1.fq.gz,HRR2710895_r2.fq.gz,HRR2710895_sta.xml,(.+?)	0
HRA012923	PRJCA045006	GSDMC-mediated epigenetic activation of CAMKK2 drives metabolic reprogramming and promotes lung adenocarcinoma progression	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012923	True	False	False	False	False	lung	True	Transcriptome sequencing was performed in H1299 cells after GSDMC was knocked down.	Open access	Cell line related study	2026-04-14	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2712732_f1.fq.gz,HRR2712732_r2.fq.gz,HRR2712732_sta.xml,(.+?)	0
HRA012722	PRJCA044329	Efficacy and safety of cadonilimab plus chemotherapy as first-line treatment in PD-L1-negative advanced non-small cell lung cancer (LungCadX): a multicenter, open-label, phase II trial	Shanghai Pulmonary Hospital	1	Controlled	0	2026-04-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012722	True	True	False	False	False	lung+ici	True	This study assessed the efficacy and safety of cadonilimab (PD1/CTLA4 bispecific antibody) plus chemotherapy of patients with PD-L1-negative advanced non-small-cell lung cancer (NSCLC).Blood samples were collected at baseline and Cycle 3 Day 1 (C3D1). cfDNA was extracted from plasma samples using the QIAamp circulating nucleic acid kit and its quantity and quality were checked using Qubit fluorimeter and Bioanalyzer 2100 after purification.	Controlled access	Disease Study	2026-04-13	0	{}		0
HRA017791	PRJCA061723	Thoracic SMARCA4-Deficient Undifferentiated Tumor Prone to Misdiagnosis as Lung Adenocarcinoma: A Case Report and Literature Review	The First People's Hospital of Xiaoshan District	0	Open	0	2026-04-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017791	True	False	False	False	False	lung	True	We report the case of a 64-year-old male patient with an initial lymph node misdiagnosis of lung adenocarcinoma and subsequent pathological diagnosis of an undifferentiated SMARCA4-deficient tumor in the chest. KRAS amplification and TP53 missense mutation were detected by next-generation sequencing (NGS).	Open access	Disease Study	2026-04-08	3	"{""run_or_nested"": 1, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3214053_f1.fq.gz,HRR3214053_r2.fq.gz,HRR3214053_sta.xml,(.+?)	0
HRA007118	PRJCA024991	Stereo-seq of non-small-cell lung cancer post neoadjuvant immunotherapy	Tongji University	1	Controlled	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007118	True	True	True	False	False	lung+ici+neoadjuvant	True	To understand the spatial organization of cells within the TME of non-small cell lung cancer (NSCLC) after neoadjuvant ICB-chemotherapy, we obtained spatial transcriptomics data from six post-treatment NSCLC patients using Stereo-seq.	Controlled access	Disease Study	2026-04-08	0	{}		0
HRA017362	PRJCA060198	TCR and BCR repertoire sequencing of peripheral blood from patients with previously irradiated recurrent head and neck squamous cell carcinoma receiving preoperative chemoimmunotherapy	Peking University School and Hospital of Stomatology	0	Open	0	2026-07-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017362	False	True	False	False	False	ici	True	Preoperative chemoimmunotherapy followed by salvage surgery and adjuvant immunotherapy in previously irradiated recurrent head and neck squamous cell carcinoma: a phase II trial with immune repertoire analysis	Open access	Disease Study	2026-03-27	33	"{""run_or_nested"": 31, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3121698_f1.fq.gz,HRR3121698_r2.fq.gz,HRR3121698_sta.xml,(.+?)	0
HRA017533	PRJCA060837	Lactylation of ENO1 drives lung adenocarcinoma progression and resistance to EGFR-TKIs by stabilizing YAP1	Zhejiang University	0	Open	0	2026-03-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017533	True	False	False	False	False	lung	True	In this study, we utilized bioinformatics analysis, gene-edited mouse models, and multiple biochemical approaches to reveal that ENO1 K420 lactylation promotes its binding to YAP1, thereby stabilizing YAP1 protein and driving LUAD progression and osimertinib resistance.	Open access	Cell line related study	2026-03-27	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3133973_f1.fq.gz,HRR3133973_r2.fq.gz,HRR3133973_sta.xml,(.+?)	0
HRA015744	PRJCA054417	WD-3 Reshaped Gut Microbiota Homeostasis and Serum Metabolites to Promote the Efficacy of immunotherapy for Lung Cancer	Wuxi Hospital Affiliated to Nanjing University of Chinese Medicine	1	Controlled	0	2025-12-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015744	True	True	False	False	False	lung+ici	True	Feces and serum of patients with lung cancer responded or non-responded to anti-PD-1 mAb were collected. 16S sequencing of feces and non-targeted metabolomics analysis of serum were carried out to figure out gut microbiota and serum metabolites candidates related to anti-PD-1 treatment effect.	Controlled access	Human metagenome	2026-03-15	0	{}		0
HRA015995	PRJCA055259	CircRNA-Encoded RIPK1-98 Protein Drives Lung Adenocarcinoma Progression	Shanghai Jiaotong University	0	Open	0	2026-04-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA015995	True	False	False	False	False	lung	True	Biological unexplored matter remains poorly understood. Using integrated multi-omics approaches, this study identifies and characterizes previously unrecognized proteins encoded by circular RNAs (circRNAs) in lung adenocarcinoma (LUAD). Notably, a novel protein, RIPK1-98, modulates CDK2-dependent cell cycle regulation to facilitate tumor proliferation. These findings suggest that RIPK1-98 may serve as both a biomarker for cell cycle progression and a potential therapeutic target in LUAD.	Open access	Disease Study	2026-03-01	54	"{""run_or_nested"": 52, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2990584_f1.fq.gz,HRR2990584_r2.fq.gz,HRR2990584_sta.xml,(.+?)	0
HRA006556	PRJCA021764	NSCLC sample mutation dataset containing PD-L1 data	Fujian Cancer Hospital	1	Controlled	0	2024-02-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006556	True	True	False	False	False	lung+ici	True	This dataset contains gene mutation information from 3185 NSCLC patients, and all samples contain PD-L1 data, TMB, MSI, and corresponding clinical information.	Controlled access	Cohort Study	2026-01-09	0	{}		0
HRA006493	PRJCA022724	Single-cell RNA-seq of non-small cell lung cancer in response to neoadjuvant combinational immunotherapies	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006493	True	True	True	False	False	lung+ici+neoadjuvant	True	Multiple combinational immunotherapy regimens are currently being explored in clinical trials. While preclinical studies have provided insights into the mechanisms of these regimens, their efficacy and impact on the tumor microenvironment (TME) in patients are not fully understood. Understanding the dynamics of the TME during different combinational therapies is crucial for optimizing immunotherapy approaches, particularly for patients who do not respond to treatment. Here, we performed single-cell RNA-sequencing (scRNA-seq) analysis on tumor samples from patients diagnosed with non-small cell lung cancer (NSCLC). These samples include paired pre-treatment biopsy and post-neoadjuvant treatment samples with PD-1 inhibitors in combination with either chemotherapy or anti-VEGFA therapy. By integrating the transcriptomic profiles of more than1 million cells, we identified shared and distinct mechanisms within the TME in response to different therapy regimens.	Controlled access	Disease Study	2026-01-09	0	{}		0
HRA006427	PRJCA022531	CDK4/6 inhibitor abemaciclib combined with low-dose radiotherapy enhances the anti-tumor immune response to PD-1 blockade by activation of STING pathway in Rb-deficient small cell lung cancer	West China Hospital of Sichuan University	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006427	True	True	False	False	False	lung+ici	True	Raw data for RNA sequencing generated in this study.	Open access	Cell line related study	2026-01-02	9	"{""run_or_nested"": 7, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1490322_f1.fq.gz,HRR1490322_r2.fq.gz,HRR1490322_sta.xml,(.+?)	0
HRA007670	PRJCA026973	SIX1 drives endothelial dysfunction via MAST4/MAPK1/3 axis to promote pulmonary artery hypertension	Zhejiang Provincial People's Hospital	0	Open	0	2025-12-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007670	True	False	False	False	False	lung	True	To explore the targets of SIX1 in hypoxia-induced endothelial dysfunction, human pulmonary artery endothelial cells were transfected with SIX1 siRNA and then exposed to hypoxia (1% O2) for 48 hours. RNA-sequencing was performed to identify the differential genes. 3 samples in hypoxia+siNC group, 3 samples in hypoxia+siSIX1 group.	Open access	Cell line related study	2025-12-16	9	"{""run_or_nested"": 7, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1811990_f1.fq.gz,HRR1811990_r2.fq.gz,HRR1811990_sta.xml,(.+?)	0
HRA007671	PRJCA026995	SIX1 drives endothelial dysfunction via MAST4/MAPK1/3 to promote pulmonary artery hypertension	Zhejiang Provincial People's Hospital	0	Open	0	2025-12-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007671	True	False	False	False	False	lung	True	To explore the targets of SIX1 in hypoxia-induced endothelial dysfunction, human pulmonary artery endothelial cells were exposed to hypoxia (1% O2) for 48 hours. CUT&Tag was performed to find the potential targets of SIX1.	Open access	Cell line related study	2025-12-16	5	"{""run_or_nested"": 3, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1811996_f1.fq.gz,HRR1811996_r2.fq.gz,HRR1811996_sta.xml,(.+?)	0
HRA013579	PRJCA047222	PRC2 loss impairs small cell lung cancer tumorigenesis and enhances sensitivity to G9a/GLP inhibition	The Netherlands Cancer institute	0	Open	0	2025-12-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013579	True	False	False	False	False	lung	True	RNA sequencing data of NCI-H69 cells treated with EZH2 or G9a/GLP inhibitors or combination	Open access	Cell line related study	2025-12-13	15	"{""run_or_nested"": 13, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2761798_f1.fastq.gz,HRR2761798_r2.fastq.gz,HRR2761798_sta.xml,(.+?)	0
HRA006299	PRJCA022019	The biomarker study of immunotherapy in lung cancer patients	First Affiliated Hospital, Zhejiang University	1	Controlled	0	2023-12-21	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006299	True	True	False	False	False	lung+ici	True	To evaluate the phenotype and evolution of immune cells in peripheral blood of immunotherapy subjects and explore their relationship with immunotherapy efficacy/safety. Explore the mechanisms by which this cell subpopulation may play a role.	Controlled access	Disease Study	2025-12-13	0	{}		0
HRA014481	PRJCA029349	PD-1/ PD-L1 Bispecific Antibody IBI318 Combined with Lenvatinib in Advanced Non-Small Cell Lung Cancer with Acquired Resistance to Immune Checkpoint Inhibitors	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014481	True	True	False	False	False	lung+ici	True	In this study, we initiated a prospective, open-label, single-arm clinical trial (ClinicalTrial.gov: NCT04777084) aimed at evaluating the therapeutic impact and safety profile of the bispecific anti-PD-1/PD-L1 antibody IBI318 in combination with the receptor tyrosine kinase (RTK) inhibitor lenvatinib. The trial enrolled patients with advanced or metastatic NSCLC lacking actionable driver mutations and exhibiting acquired resistance to immune checkpoint inhibitors (ICIs). Using single-cell RNA sequencing (scRNA-seq), we analyzed changes in the tumor microenvironment (TME) before treatment to identify specific cell populations associated with therapeutic response.	Controlled access	Disease Study	2025-11-24	0	{}		0
