accession,title,taxon,n_samples,pdat,gdstype,is_human,is_lung,is_ici,is_expression,mentions_outcome,relevant,n_suppl_files,suppl_total_bytes,suppl_total_mb,has_processed_suppl,processed_bytes,under_2gb,suppl_files,suppl_error,summary
GSE180908,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,Mus musculus; Homo sapiens,20,2022/04/19,Expression profiling by high throughput sequencing,True,True,False,True,True,False,4,58735565208,56014.6,True,1887436,False,GSE180908_counts-20210727.csv.gz;GSE180908_custom-annotation.tar.gz;GSE180908_custom-index.tar.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"The majority of SARS-CoV-2 infections among healthy individuals result in asymptomatic to mild disease. However, the immunological mechanisms defining effective lung tissue protection from SARS-CoV-2 infection remain elusive. Unlike mice solely engrafted with human fetal lung xenograft (fLX), mice co-engrafted with fLX and a myeloid-enhanced human immune system (HNFL mice) are resistant to SARS-CoV-2 infection, severe inflammation, and histopathology. Effective control of viral infection in HNFL mice associated with significant macrophage infiltration, and the induction of a potent macrophage-mediated interferon response. The strong upregulation of the USP18-ISG15 axis, a negative regulator of IFN responses, by macrophages was unique to HNFL mice and represented a prominent correlate of reduced inflammation and histopathology. Altogether, our work shed lights on unique cellular and molecular correlate of lung tissue protection during SARS-CoV-2 infection, and underscores macrophage IFN responses as prime targets for developing immunotherapies against coronavirus respiratory diseases."
GSE180941,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq],Homo sapiens,22,2023/02/28,Expression profiling by high throughput sequencing,True,False,True,True,False,False,3,2411724,2.3,True,2411724,True,GSE180941_Raw_Gene_Counts_Matrix.txt.gz;GSE180941_TPM_Matrix.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance."
GSE180942,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen],Homo sapiens,27,2023/02/28,Other,True,False,True,True,False,False,3,1661337,1.6,True,1661337,True,GSE180942_beta_score_6K.csv.gz;GSE180942_sgRNA_index_6K.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"The pleiotropic cytokine interferon-gamma (IFNγ) is known to be associated with cytostatic, anti-proliferation, and pro-apoptosis functions in cancer cells. However, cancer cells can become resistant to IFNγ, and the underlying mechanism is not fully understood. To investigate the potential IFNγ resistant mechanisms, we performed IFNγ sensitivity screens in more than 40 cancer cell lines and characterized the sensitive and resistant cell lines. By applying CRISPR screening and transcriptomic profiling in both IFNγ sensitive and resistant cells, we discovered that activation of double-strand break (DSB) repair genes could result in IFNγ resistance in cancer cells. In addition, suppression of single-strand break (SSB) repair genes increased the essentiality of DSB repair genes after IFNγ treatment. The relationship between the activation of DSB repair genes and IFNγ resistance was further confirmed in clinical tumor profiles from The Cancer Genome Atlas (TCGA) and immune checkpoint blockade (ICB) cohorts. Our study provides a comprehensive resource to elucidate IFNγ resistance in cancer and has the potential to inform combinational therapeutic strategies to overcome immunotherapy resistance."
GSE184242,Patient-derived micro-organospheres (MOS) enable clinical precision oncology,Homo sapiens,17,2022/09/01,Expression profiling by high throughput sequencing,True,False,True,True,True,False,3,123733401,118.0,True,1433,True,GSE184242_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Patient-derived xenografts (PDX) and organoids (PDO) have been shown to model clinical response to cancer therapy. However, it remains challenging to use these models to guide timely clinical decisions for cancer patients. Here we used droplet emulsion microfluidics with temperature control and dead-volume minimization to rapidly generate thousands of Micro- Organospheres (MOS) from low-volume patient tissues, which serve as an ideal patient-derived model for clinical precision oncology. A clinical study of newly diagnosed metastatic colorectal cancer (CRC) patients using a MOS-based precision oncology pipeline reliably predicted patient treatment outcome within 14 days, a timeline suitable for guiding treatment decisions in clinic. Furthermore, MOS capture original stromal cells and allow T cell penetration, providing a clinical assay for testing immuno-oncology (IO) therapies such as PD-1 blockade, bispecific antibodies, and T cell therapies on patient tumors."
GSE185204,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scRNA-seq],Homo sapiens,40,2023/02/14,Expression profiling by high throughput sequencing; Other,True,True,True,True,False,True,51,1177461065,1122.9,True,229548361,True,GSE185204_RAW.tar;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A1_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A2_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A3_matrix.mtx.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_features.tsv.gz;GSE185204_multimer_MSK1263_A1-A4_RNA_A4_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN10_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN12_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN7_matrix.mtx.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_barcodes.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_features.tsv.gz;GSE185204_multimer_MSK1263_LN7-9-10-12_RNA_LN9_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R1_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R2_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R3_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R4_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R5_matrix.mtx.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_features.tsv.gz;GSE185204_multimer_MSK1263_R1-R6_RNA_R6_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R7_matrix.mtx.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_barcodes.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_features.tsv.gz;GSE185204_multimer_MSK1263_R7-R8_RNA_R8_matrix.mtx.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy."
GSE185205,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],Homo sapiens,36,2023/02/14,Other,True,True,True,False,False,False,3,32519168,31.0,True,13312,True,GSE185205_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy."
GSE185206,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade,Homo sapiens,108,2023/02/13,Expression profiling by high throughput sequencing; Other,True,True,True,True,False,True,3,979391488,934.0,True,21504,True,GSE185206_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy."
GSE186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,Homo sapiens,32,2023/02/14,Expression profiling by high throughput sequencing,True,True,True,True,False,True,2,1258291,1.2,True,1258291,True,GSE186446_fcount_aggr.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Paired single-cell RNA and T cell receptor sequencing (scRNA/TCR-seq) has allowed for enhanced resolution of clonal T cell dynamics in cancer. Here, we report scRNA/TCR-seq analysis of 187,650 T cells from 31 tissue regions, including tumor, adjacent normal tissues, and lymph nodes (LN), from 3 patients with lung cancer after immune checkpoint blockade (ICB). Regions with viable cancer cells were enriched for exhausted CD8+ T cells, regulatory CD4+ T cells (Treg), and follicular helper CD4+ T cells (TFH). Tracking T cell clonotypes across tissues, combined with neoantigen specificity assays, revealed that TFH and tumor-specific exhausted CD8+ T cells could be clonally linked to TCF7+ SELL+ progenitors in tumor draining LNs, and progressive exhaustion trajectories of CD8+ T, Treg, and TFH cells with proximity to the tumor microenvironment. Finally, longitudinal tracking of tumor-specific CD8+ and CD4+ T cell clones revealed persistence in the peripheral blood for years after ICB therapy."
GSE186872,RNA-seq study of SRSF2 over-expressing lung cancer cell lines,Homo sapiens,12,2022/10/31,Expression profiling by high throughput sequencing,True,True,False,True,True,False,3,2087321,2.0,True,2087321,True,GSE186872_Raw_gene_counts_matrix.txt.gz;GSE186872_gene_FPKM_matrix.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,Immune checkpoints blockade therapy may have clinical symptoms of hyper-progressiveness (HP). The molecular mechanism of HP is still to be revealed. This study inspected transcriptome difference between clinical hyper-progressive samples to immunotherapy-response samples based public datasets. Spliceosome factors SRSF2 were found most enriched in neoantigen-related splicing events. Similar splicing pattern and increased cell invasion were found in two lung cancer cell lines after SRSF2 over-expressed.This study shows that dysregulation of SRSF2 -related splicing might be an important feature of immune hyper-progress occurrence.
GSE189045,The expression profiles of exosomal miRNAs associated with response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients.,Homo sapiens,23,2023/01/12,Non-coding RNA profiling by array,True,True,True,False,True,False,3,1469644,1.4,True,1638,True,GSE189045_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,Exosomal miRNAs involved in response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients were successfully identified through the microoarray analysis.
GSE189628,Landscape of immune-related signatures induced by targeting of epigenetic regulators in melanoma I,Homo sapiens,23,2022/11/23,Expression profiling by array,True,False,False,True,False,False,3,26216448,25.0,True,2048,True,GSE189628_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Epigenetic drugs exert a wide range of immune-related effects, but have strong drug-specific heterogeneity in immunomodulation, thus hampering selection of the most promising agent for innovative cancer immunotherapy approaches. Here we identified immune-related signatures induced by four classes of epigenetic drugs in melanoma cells to define the most active agent and to understand its biological activity in -vitro, in a pre-clinical model and in clinical samples. Gene modulation, induced by inhibitors of DNA methyltransferases (guadecitabine), histone deacetylases (givinostat), bromodomain and extraterminal domain proteins (JQ1 and OTX-015) and enhancer of zeste homolog 2 (GSK126), was assessed in human melanoma cell lines. All drugs modulated genes belonging to 20 families. Guadecitabine, followed by givinostat, was the most active drug and upregulated >160 immune-related genes characterized by low expression and high methylation. JQ1 and OTX-015 showed predominant inhibitory effects, GSK126 was the least active. A dominant immunomodulatory effect of guadecitabine and JQ1 was observed in combinatorial treatments. This experiment deals with the characterization of gene expression in untreated human melanoma cell lines used throughout the project."
