accession,title,pdat,n_samples,taxon,is_human,is_lung_confirmed,is_ici,is_expression,relevant,study_category,outcome_keys,has_processed_suppl,suppl_total_mb,under_2gb,usable_for_TACSTD2_CLDN4,verdict,suppl_files
GSE235500,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [human],2023/09/11,34,Homo sapiens,True,True,True,True,True,single_cell,,True,781.0,True,False,"Tumour-infiltrating Treg scRNA-seq (checkpoint blockade); sorted immune cells, not bulk tumour epithelium.",GSE235500_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE186446,Systematic lineage tracing reveals clonal progenitors and long-term persistence of1 tumor-specific T cells during immune checkpoint blockade,2023/02/14,32,Homo sapiens,True,True,True,True,True,bulk_or_other,,True,1.2,True,False,Regional featureCounts from 3 ICB patients (T-cell lineage paper); both genes present but no per-sample ICI outcome.,GSE186446_fcount_aggr.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE248378,Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial,2023/11/26,29,Homo sapiens,True,True,True,True,True,bulk_tumor_rnaseq,treatment,True,1.0,True,True,"LEFTOVER PRIMARY: neoadjuvant durvalumab +/- SBRT, 29 post-Rx non-MPR tumours, FPKM with TACSTD2+CLDN4. Recurrence joined from Nat Commun source data (DurvaNNN). 45-M-PO arm-discordant.",GSE248378_Durva_Post_FPKMs.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE190731,"Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors",2022/02/23,23,Homo sapiens,True,True,True,True,True,xenograft,treatment,True,107.0,True,False,"EGFR-mutant NSCLC xenografts, durvalumab/oleclumab; not patient outcome.",GSE190731_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE243238,Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma,2023/10/20,20,Homo sapiens,True,False,True,True,True,bulk_tumor_rnaseq,clinical benefit_(cb);ici treatment,True,2.9,True,True,"CROSS-CHECK (NOT lung): acral melanoma, ICI-treated, bulk raw counts, clinical-benefit label. Both genes present.",GSE243238_acral.20.counts.raw.mat.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE235048,Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients,2023/08/03,15,Homo sapiens,True,True,True,True,True,pbmc_rnaseq,treatment,True,1.1,True,False,"PBMC TPM from NSCLC on various ICI regimens; TACSTD2 present, no response label (treatment only).",GSE235048_24CFlow_TPM.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE228419,Characteristics and anatomic location of PD-1+TCF1+ stem-like CD8 T cells in chronic viral infection and cancer,2023/04/02,14,Homo sapiens,True,True,True,True,True,sorted_tcell,,True,1.4,True,False,Sorted CD8 T cells (PBMC/TIL); both genes present; no ICI outcome.,GSE228419_normalized_counts.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE164146,Integrative single-cell RNA and T-cell receptor analyses reveal transcriptional features of antigen-reactive tumor-infiltrating regulatory T cells in patients with lung cancer,2023/01/01,12,Homo sapiens,True,True,True,True,True,single_cell,,True,56.0,True,False,Treg/CD4 scRNA-seq in lung cancer; not bulk tumour epithelium.,GSE164146_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE212622,Pulmonary parasite infection: do trypanosomes take your breath away?,2022/10/25,12,Homo sapiens; Mus musculus,True,False,True,True,True,infection,infection status,True,0.0,True,False,"False positive: murine trypanosome lung infection, not ICI.",GSE212622_RawData_LungTryp_NS_MM_HOSTRESPONSE_V1.0.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE224099,A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39  is Associated with Checkpoint Inhibitor Resistance,2023/07/17,12,Homo sapiens,True,False,True,True,True,sorted_tcell,treatment,True,5.0,True,False,Melanoma (not lung) pre-ICI T cells; not a lung tumour cohort.,GSE224099_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE193719,Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression,2022/12/31,10,Homo sapiens,True,True,True,True,True,cell_line,,True,11.0,True,False,NSCLC cell lines +/- miR-455-5p; no patient ICI outcome.,GSE193719_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE189804,"A549 NRF NT, mock and knockout RNAseq",2023/03/22,9,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,1.1,True,False,A549 NRF2 KO RNA-seq; no patient ICI outcome.,GSE189804_A549_counts.txt.gz;GSE189804_IFNy_A549_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE217451,Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients,2023/08/30,9,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,0.6,True,False,H1650 hMENA siRNA; no patient ICI outcome.,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE224216,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq],2023/08/30,9,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,0.8,True,False,H2030 hMENA siRNA RNA-seq; no patient ICI outcome.,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE150255,IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness,2023/05/01,8,Homo sapiens,True,True,True,True,True,cell_line,ifn-g treatment time,True,1.1,True,False,A549/HCC827 IFN-γ time course; no patient ICI outcome.,GSE150255_SBC_BC190046_gene_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE194350,In vivo CRISPR screens identify a dual function of MEN1 in regulating tumor-microenvironment interactions [A549 RNA-seq],2022/11/03,8,Homo sapiens,True,True,True,True,True,cell_line,,True,1.6,True,False,A549 CRISPR/in-vivo MEN1 screen RNA-seq; no patient ICI outcome.,GSE194350_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE195770,Idiopathic pulmonary fibrosis (IPF),2023/01/01,8,Homo sapiens,True,False,True,True,True,ipf,htll-280 status;pd-l1 status,True,64.0,True,False,"False positive: idiopathic pulmonary fibrosis, not lung cancer ICI.",GSE195770_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE218402,"Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma",2023/04/04,8,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,1.0,True,False,A549 + PBMC norepinephrine/adenosine; no patient ICI outcome.,GSE218402_ADO_DEGs_PBMC.txt.gz;GSE218402_NE_DEGs_A549.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE224246,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq],2023/08/30,8,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,4.3,True,False,"H1650 ATAC-seq (hMENA); chromatin, not mRNA outcome cohort.",GSE224246_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE238006,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq],2023/07/25,8,Homo sapiens; Mus musculus,True,True,True,True,True,cell_line,treatment,True,4.3,True,False,SCLC cell-line decitabine RNA-seq; no patient ICI outcome.,GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE250254,Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC,2023/12/17,8,Homo sapiens,True,True,True,True,True,sorted_tcell,treatment,True,2.4,True,False,Sorted CD4 memory T cells (COPD/NSCLC); no ICI outcome.,GSE250254_Processed_RNAseq.xlsx;GSE250254_Processed_data_all_reads.xls.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE193049,Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer,2022/04/07,7,Homo sapiens,True,True,True,True,True,balf_rnaseq,,True,0.9,True,True,"LEFTOVER: BALF (not tumour) RNA, PD-1 responders vs non-responders n=7; both genes present. Analysed with that caveat.",GSE193049_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE229353,PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells,2023/05/16,7,Homo sapiens,True,True,True,True,True,single_cell,treatment,True,155.0,True,False,"CD45+ scRNA-seq, chemo vs anti-PD-1+chemo; sorted immune cells.",GSE229353_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE178521,PRMT5 inhibition increases PD-L1 expression and immunoresistance in lung cancer,2022/02/08,6,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,2.0,True,False,NCI-H460 PRMT5 knockdown; no patient ICI outcome.,GSE178521_gene_count_matrix.txt.gz;GSE178521_genes_fpkm_expression.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE192591,PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance,2022/02/18,6,Homo sapiens,True,True,True,True,True,sorted_tcell,treatment,True,0.4,True,False,Blood CD8 T cells +/- IL-27; no tumour ICI outcome.,GSE192591_count.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE192790,A subpopulation of cancer cells with high SIRPG expression promotes immune escape of non-small cell lung carcinoma through crosstalk with Hippo signaling,2022/01/02,6,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,15.0,True,False,A549 tumoursphere RNA-seq; no patient ICI outcome.,GSE192790_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE197236,Identification of Key Gene and Functional Pathways in Radioresistance of non-small cell lung cancer,2022/02/27,6,Homo sapiens,True,True,True,True,True,cell_line,,True,18.0,True,False,A549 radioresistance lines; not ICI.,GSE197236_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE198099,Immune suppressive landscape in the human non-small cell lung cancer microenvironment,2023/12/31,6,Homo sapiens,True,True,True,True,True,single_cell,,True,283.0,True,False,"NSCLC TME scRNA-seq, n=2 patients; no ICI outcome label.",GSE198099_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE213590,FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis,2023/09/20,6,Homo sapiens,True,True,True,True,True,cell_line,treatment,True,0.3,True,False,PC-9 c-Jun overexpression; no patient ICI outcome.,GSE213590_Differentially_Expressed_Genes.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE213902,The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer,2023/04/05,6,Homo sapiens,True,True,True,True,True,single_cell,treatment,True,40.5,True,False,"PBMC CD3+ scRNA/TCR on chemo-IO; circulating T cells, not tumour TACSTD2/CLDN4.",GSE213902_MQpool1_barcodes.tsv.gz;GSE213902_MQpool1_features.tsv.gz;GSE213902_MQpool1_filtered_contig_annotations.csv.gz;GSE213902_MQpool1_matrix.mtx.gz;GSE213902_MQpool2_barcodes.tsv.gz;GSE213902_MQpool2_features.tsv.gz;GSE213902_MQpool2_filtered_contig_annotations.csv.gz;GSE213902_MQpool2_matrix.mtx.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE223779,Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma,2023/08/09,6,Homo sapiens,True,True,True,True,True,organoid,treatment,True,921.0,True,False,"ALK+ tumour organoids; treatment field is sample origin, not ICI outcome.",GSE223779_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE193707,Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy,2022/12/31,4,Homo sapiens,True,True,True,True,True,bulk_tumor_rnaseq,response to neoadjuvant chemotherapy,True,3.7,True,False,Mediastinal LN after neoadjuvant chemo (not ICI); n=4.,GSE193707_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE200146,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],2023/07/07,249,Homo sapiens,True,False,True,True,False,cell_line,,True,7.0,True,,,GSE200146_counts.Cell.Lines.txt.gz;GSE200146_counts.Time.Course.txt.gz;GSE200146_meta.Cell.Lines.txt.gz;GSE200146_meta.Time.Course.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE221322,Multi-omic and spatial dissection of immunotherapy response groups in NSCLC,2023/12/19,96,Homo sapiens,True,True,False,False,False,spatial_protein,,True,0.1,True,False,Sister DSP protein panel of GSE221733; no TACSTD2/CLDN4 proteins.,GSE221322_4301_protein_QC.csv.gz;GSE221322_4301_protein_norm.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE221733,Multi-omic and spatial dissection of immunotherapy response groups in non-small cell lung cancer (NSCLC),2023/12/20,93,Homo sapiens,True,True,False,True,False,spatial_dsp,,True,7.3,True,True,"RECOVERED leftover: NSCLC GeoMx DSP CTA, immunotherapy-treated, 41 pts with Responder/Non-responder. Missed by first-pass ICI regex (immunotherapy != immunotherap\b). TACSTD2 on panel; CLDN4 absent. Analysed patient-level PanCK+ TACSTD2.",GSE221733_4301_CTA_QC.xlsx;GSE221733_4301_CTA_initial.csv.gz;GSE221733_4301_CTA_norm.xlsx;GSE221733_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE211282,Rewiring Cancer Drivers to Activate Apoptosis,2023/05/03,85,Homo sapiens; Mus musculus,True,False,False,True,False,bulk_or_other,,True,4608.0,False,,,GSE211282_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE192402,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications",2022/10/19,74,Homo sapiens,True,False,False,True,False,single_cell,,True,68.0,True,,,GSE192402_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE216069,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications [scRNA and snRNA]",2022/10/19,71,Homo sapiens,True,True,False,True,False,single_cell,,True,3419.7,False,,,GSE216069_BI5_slyper_meta_data.csv.gz;GSE216069_BI5_slyper_processed_data.csv.gz;GSE216069_Mel_meta_data.csv.gz;GSE216069_Mel_processed_data.csv.gz;GSE216069_NR1_slyper_meta_data.csv.gz;GSE216069_NR1_slyper_processed_data.csv.gz;GSE216069_NSCLC_meta_data.csv.gz;GSE216069_NSCLC_processed_data.csv.gz;GSE216069_RAW.tar;GSE216069_UMEL_meta_data.csv.gz;GSE216069_UMEL_processed_data.csv.gz;GSE216069_UM_meta_data.csv.gz;GSE216069_UM_processed_data.csv.gz;GSE216069_ribas_meta_data.csv.gz;GSE216069_ribas_processed_data.csv.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE210997,"T cell differentiation, lineage commitment and plasticity in cancer: a  multi-dimensional approach from the molecular mechanism to the patients",2022/08/14,67,Homo sapiens,True,False,False,True,False,bulk_or_other,,True,3.5,True,,,GSE210997_gene_expression_matrix_hg19_ensembl_PLASTICITY_polyA_samples.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE208113,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",2022/07/16,62,Homo sapiens,True,False,True,True,False,single_cell,,True,3993.6,False,,,GSE208113_Natoli_et_al.RDS.gz;GSE208113_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE224941,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],2023/07/07,59,Homo sapiens,True,False,True,True,False,single_cell,,True,588.7,True,,,GSE224941_Bladder.carcinoma.cnt.txt.gz;GSE224941_Breast.carcinoma.cnt.txt.gz;GSE224941_Lung.carcinoma.cnt.txt.gz;GSE224941_Melanoma.cnt.txt.gz;GSE224941_Pancreatic.carcinoma.cnt.txt.gz;GSE224941_T98G.cnt.txt.gz;GSE224941_Tongue.carcinoma.cnt.txt.gz;GSE224941_Tonsil.carcinoma.cnt.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE233470,EZH2 inhibtion and IFNy treatment of patient derived organoids,2023/05/31,54,Mus musculus; Homo sapiens,True,False,False,True,False,bulk_or_other,,True,766.0,True,,,GSE233470_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE211044,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk RNA-seq],2022/08/22,51,Homo sapiens,True,True,False,True,False,bulk_or_other,,True,3.9,True,,,GSE211044_bulkRNAseq_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE222859,Gene expression profile at single cell level of lymphocytes cells for Pan-T cell analysis,2023/01/14,51,Homo sapiens,True,False,True,True,False,single_cell,,True,143.8,True,,,GSE222859_barcodes.tsv.gz;GSE222859_genes.tsv.gz;GSE222859_matrix.mtx.gz;GSE222859_metadata.tsv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE250262,Association of tumor burden with the efficacy of PD-(L)1 inhibitors for treatment-naive advanced non-small-cell lung cancer,2023/12/18,51,Homo sapiens,True,True,True,False,False,nanostring_io360,,True,0.5,True,False,NSCLC tumour NanoString IO360 RCC; panel has EPCAM not TACSTD2/CLDN4; GEO metadata has no ICI response/survival label.,GSE250262_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE241212,"Nonfucosylation of an anti-TIGIT antibody enhances FcyR engagement, driving innate immune activation and antitumor activity",2023/10/18,47,Homo sapiens; Mus musculus,True,False,True,True,False,bulk_or_other,,True,94.9,True,,,GSE241212_barcodes.tsv.gz;GSE241212_features.tsv.gz;GSE241212_matrix.mtx.gz;GSE241212_tpm.all.final.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
