accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE138734	The RNA Atlas expands the catalog of human non-coding RNAs	Homo sapiens		921			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The human transcriptome consists of various RNA biotypes including multiple types of non-coding RNAs (ncRNAs). Current ncRNA compendia remain incomplete partially because they are almost exclusively derived from the interrogation of small- and polyadenylated RNAs. Here, we present a more comprehensive atlas of the human transcriptome that is derived from matching polyA-, total-, and small-RNA profiles of a heterogenous collection of nearly 300 human tissues and cell lines. We report thousands of novel RNA species across all major RNA biotypes, including a hitherto poorly-cataloged class of non-polyadenylated single-exon long non-coding RNAs. In addition, we exploit intron abundance estimates from total RNA-sequencing to predict the regulatory potential of various non-coding RNAs. Our study represents a substantial expansion of the current catalogue of human ncRNAs and their regulatory interactions. All data and results are accessible through the R2 webtool and serve as a basis to further explore RNA biology and function.
GSE139026	Role of Scx in mouse	Mus musculus		884			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
GSE14458	Gene expression profiles of 344SQ lung adenocarcinoma cells with high metastatic potential (syngeneic mouse model)	Mus musculus		12			344SQ | 344P OR 393P OR 531LN2	The biologic basis for NSCLC metastasis is not well understood. Here we addressed this deficiency by transcriptionally profiling tumors from a genetic mouse model of human lung adenocarcinoma that develops metastatic disease owing to the expression of K-rasG12D and p53R172H. As a tool to investigate the biologic basis for metastasis in this model and to query the roles of specific genes in this signature, we isolated adenocarcinoma cell lines from these mice and used them to develop a syngeneic tumor model in wild-type littermates. Transcriptional profiling of the highly metastatic subcutaneous tumors revealed genes that regulate, among other processes, epithelial-to-mesenchymal transition and intra-tumoral inflammation and angiogenesis, whereas the non-metastatic tumors did not.  Keywords: two group comparison
GSE14459	NSCLC metastasis: K-ras/p53 mutant and syngeneic mouse models	Mus musculus		28			344SQ | 344P OR 393P OR 531LN2	This SuperSeries is composed of the SubSeries listed below.
GSE147358	Fragmentation of Small-cell Lung Cancer Regulatory States in Heterotypic Microenvironments	Mus musculus		199			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Small-cell lung cancers derive from pulmonary neuroendocrine cells, which have stem-like properties to reprogram into other cell types upon lung injury.  It is difficult to uncouple the plasticity of these transformed cells from heritable changes that evolve in primary tumors or select in metastases to distant organs.  Approaches to single-cell profiling are also problematic if the required sample dissociation activates injury-like signaling and reprogramming.   Here, we defined cell-state heterogeneities in situ through laser capture microdissection-based 10-cell transcriptomics coupled with stochastic-profiling fluctuation analysis.  Using a labeled murine isolate from small-cell lung cancer initiated by neuroendocrine deletion of p53 and Rb, we profiled cell-to-cell transcriptional-regulatory heterogeneity in spheroid cultures and liver colonies seeded intravenously.  Fluctuating transcripts in vitro were partly shared with other epithelial-spheroid models, and candidate heterogeneities increased considerably when cells were delivered to the liver.  Colonization of immunocompromised animals drove the fractional appearance of alveolar type II-like markers and poised cells for paracrine stimulation from immune cells and hepatocytes.  Immunocompetency further exaggerated the fragmentation of tumor states in the liver, yielding mixed stromal signatures evident in bulk sequencing from autochthonous tumors and metastases.  We identified dozens of transcript heterogeneities that recur irrespective of biological context; their orthologs merged observations of murine and human small-cell lung cancer.  Candidate heterogeneities recurrent in the liver also stratified primary human tumors into discrete groups not readily explained by molecular subtype.  We conclude that heterotypic interactions in the liver and lung are an accelerant for intratumor heterogeneity in small-cell lung cancer.
GSE149383	Drug resistant changes at the level of single cells	Homo sapiens		33			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	This SuperSeries is composed of the SubSeries listed below.
GSE155690	ASCL1 represses a latent osteogenic program in small cell lung cancer in multiple cells of origin [ChIP-Seq]	Mus musculus		4			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	ASCL1 is a neuroendocrine-lineage-specific oncogenic driver of small cell lung cancer (SCLC), highly expressed in a significant fraction of tumors. However, ~25% of human SCLC are ASCL1-low and associated with low-neuroendocrine fate and high MYC expression. Using genetically-engineered mouse models (GEMMs), we show that alterations in Rb1/Trp53/Myc in the mouse lung induce an ASCL1+ state of SCLC in multiple cell types. Genetic depletion of ASCL1 in MYC-driven SCLC dramatically inhibits tumor initiation, but surprisingly converts tumors to a SOX9+ mesenchymal/neural-crest-stem-like state that has the capacity to differentiate into RUNX2+bone tumors. ASCL1 represses SOX9 expression, as well as WNT and NOTCH developmental pathways, consistent with human gene expression data. SCLC demonstrates remarkable cell fate plasticity with ASCL1 repressing the emergence of non-endodermal stem-like fates that have the capacity for bone differentiation. Here, we perform ChIP on RPM tumors against ASCL1, NEUROD1, and H3k27Ac to view binding profiles and identify target genes of ASCL1 and NEUROD1.
GSE155691	ASCL1 represses a latent osteogenic program in small cell lung cancer in multiple cells of origin [RNA-Seq]	Mus musculus		7			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	ASCL1 is a neuroendocrine-lineage-specific oncogenic driver of small cell lung cancer (SCLC), highly expressed in a significant fraction of tumors. However, ~25% of human SCLC are ASCL1-low and associated with low-neuroendocrine fate and high MYC expression. Using genetically-engineered mouse models (GEMMs), we show that alterations in Rb1/Trp53/Myc in the mouse lung induce an ASCL1+ state of SCLC in multiple cell types. Genetic depletion of ASCL1 in MYC-driven SCLC dramatically inhibits tumor initiation, but surprisingly converts tumors to a SOX9+mesenchymal/neural-crest-stem-like state that has the capacity to differentiate into RUNX2+bone tumors. ASCL1 represses SOX9 expression, as well as WNT and NOTCH developmental pathways, consistent with human gene expression data. SCLC demonstrates remarkable cell fate plasticity with ASCL1 repressing the emergence of non-endodermal stem-like fates that have the capacity for bone differentiation. Here we perform bulk RNA sequencing on RPMA tumor samples to compare gene expression patterrns with RPM tumors with intact ASCL1.
GSE155692	ASCL1 represses a latent osteogenic program in small cell lung cancer in multiple cells of origin	Mus musculus		15			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
GSE15587	Identification of Metastasis-prone Lung Adenocarcinoma Cell Population That Is Sensitive to Notch Inhibition	Mus musculus		6			344SQ	Tumor cells that give rise to metastatic disease are a primary cause of cancer-related death and have not been fully elucidated in patients with lung cancer. Here, we addressed this question by using tissues from a mouse that develops metastatic lung adenocarcinoma owing to expression of mutant K-ras and p53. We identified a metastasis-prone population of tumor cells that differed from those with low metastatic capacity on the basis of having sphere-forming capacity in Matrigel cultures, increased expression of CD133 and Notch ligands, and relatively low tumorigenicity in syngeneic mice. Knockdown of jagged1 or pharmacologic inhibition of its downstream mediator phosphatidylinositol 3-kinase abrogated the metastatic but not the tumorigenic activity of these cells. We conclude from these studies on a mouse model of lung adenocarcinoma that CD133 and Notch ligands mark a population of metastasis-prone tumor cells and that the efficacy of Notch inhibitors in metastasis prevention should be explored.  Keywords: two group comparison
GSE156106	Macrophage-mediated abscopal effects of radiation therapy	Mus musculus		11			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Radiation therapy is a mainstay of cancer treatment, with more than 50% of all cancer patients receiving radiation during the course of their disease. Tumor irradiation can activate both innate and adaptive immune responses, and these responses can be pro- or anti-tumor growth . These observations have led to the search for antitumor approaches combining radiotherapy and specific immunotherapies, most commonly strategies promoting the systemic activation of T cells. Thus far, however, many cancer patients still suffer from local recurrence and/or untreatable metastatic disease after radiotherapy. Here we combine radiotherapy with activation of macrophage-mediated phagocytosis via blockade of the ?don?t-eat-me? cell surface molecule CD47 in small-cell lung cancer (SCLC), a highly metastatic form of lung cancer for which treatment options remain limited. We found that irradiation of SCLC cells in culture results in the secretion of inflammatory cytokines that results in increased migration and phagocytosis by macrophages. In vivo, CD47 blockade potently enhances the local antitumor effects of radiation therapy in murine and human pre-clinical models of SCLC. Strikingly, CD47 blockade also stimulates abscopal antitumor effects inhibiting the growth of non-irradiated SCLC tumors in mice receiving radiation. Similar abscopal antitumor effects were observed in colon cancer and lymphoma models. Surprisingly, these abscopal effects are completely independent of T cells but require macrophages that migrate into the non-irradiated tumor sites in response to inflammatory signals mediated by radiation and are locally activated by CD47 blockade to eliminate cancer cells. The systemic activation of antitumor macrophages following radiotherapy and CD47 blockade may be particularly important in cancer patients who suffer from metastatic disease.
GSE15741	Gene expression profiles of forced miR-200 expression in 344SQ lung adenocarcinoma cells with high metastatic potential	Mus musculus		6			344SQ | 344P OR 393P OR 531LN2	Metastatic disease is a primary cause of cancer-related death, and factors governing tumor cell metastasis have not been fully elucidated. Here we addressed this question by using tumor cell lines derived from mice that develop metastatic lung adenocarcinoma owing to expression of mutant K-ras and p53. A feature of metastasis-prone tumor cells that distinguished them from metastasis-incompetent tumor cells was plasticity in response to changes in their microenvironment. They transited reversibly between epithelial and mesenchymal states, forming highly polarized epithelial spheres in 3-dimensional culture that underwent epithelial-mesenchymal transition (EMT) following treatment with transforming growth factor-beta or injection into syngeneic mice. This plasticity was entirely dependent upon the microRNA-200 family, which decreased during EMT. Forced expression of miR-200 abrogated the capacity of these tumor cells to undergo EMT, invade, and metastasize and conferred transcriptional features of metastasis-incompetent tumor cells. We conclude that microenvironmental cues direct tumor metastasis by regulating miR-200 expression.
GSE160928	NOP10 predicts NSCLC prognosis and its associated small nucleolar RNAs drive proliferation and migration [ncRNA-seq]	Homo sapiens		20			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Non-coding RNAs are critical players in non-small cell lung cancer (NSCLC). In the present study, we investigate the role of H/ACA box snoRNA and snoRNA-bound ribonucleoproteins (RNP) in the tumorigenesis of NSCLC.
GSE161232	NOP10 predicts NSCLC prognosis and its associated small nucleolar RNAs drive proliferation and migration	Homo sapiens		34			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
GSE161514	RNA-sequencing of bulk small cell lung cancer lung tumors generating by either injecting LSL-Cas9 mice with a sgControl RPP CMV Cre adenovirus or a sgKdm5a RPP CMV Cre adenovirus	Mus musculus		16			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	We report the RNA-sequencing results from small cell lung cancer lung tumors from lox-stop-lox Cas9 mice that were injected with sgControl RPP CMV Cre adenovirus or sgKdm5a RPP CMV Cre adenovirus. Mice were enrolled in a survival study where at their endpoint, tumors were harvested and subjected to RNA-sequencing analysis. RPP-sgRb1, sgTrp53, sgRbl2. sgControl=C0111
GSE161548	The KDM5A/RBP2 histone demethylase represses NOTCH signaling to sustain neuroendocrine differentiation and promote small cell lung cancer tumorigenesis	Homo sapiens; Mus musculus		20			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
GSE166478	Contextual cues from cancer cells govern CAF heterogeneity [Bulk RNA-seq]	Mus musculus		60			344SQ | 344P OR 393P OR 531LN2	Cancer cells function as primary architects of the tumor microenvironment. Yet, the molecular features of cancer cells that govern stromal cell phenotypes remain unclear. Here, we show that cancer-associated fibroblast (CAF) heterogeneity is driven by lung adenocarcinoma (LUAD) cells at either end of the epithelial-to-mesenchymal transition (EMT) spectrum. LUAD cells that have high expression of the EMT-activating transcription factor ZEB1 reprogram CAFs through a ZEB1-dependent secretory program and direct CAFs to the tips of invasive projections through a ZEB1-driven CAF repulsion process. EMT, in turn, sensitizes LUAD cells to pro-metastatic signals from CAFs. Thus, CAFs respond to contextual cues from LUAD cells to promote metastasis.
GSE166480	Contextual cues from cancer cells govern CAF heterogeneity	Mus musculus		520			344SQ | 344P OR 393P OR 531LN2	This SuperSeries is composed of the SubSeries listed below.
GSE168294	Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations [Cell line]	Mus musculus; Homo sapiens		22			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	SCLC is molecularly and immunologically heterogenous. Here, using transcriptional and epigenomic profiling of plastic SCLC states in human and mouse cell lines, and patient samples, we define the phenotype of a SCLC population marked by increased MHC Class I antigen presentation.
GSE168295	Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations	Mus musculus; Homo sapiens		40			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung | small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)"	This SuperSeries is composed of the SubSeries listed below.
GSE169529	ASCL1 represses a SOX9+ neural-crest-stem-like state in small cell lung cancer	Mus musculus		4			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	ASCL1 is a neuroendocrine-lineage-specific oncogenic driver of small cell lung cancer (SCLC), highly expressed in a significant fraction of tumors. However, ~25% of human SCLC are ASCL1-low and associated with low-neuroendocrine fate and high MYC expression. Using genetically-engineered mouse models (GEMMs), we show that alterations in Rb1/Trp53/Myc in the mouse lung induce an ASCL1+ state of SCLC in multiple cells of origin. Genetic depletion of ASCL1 in MYC-driven SCLC dramatically inhibits tumor initiation and progression to the NEUROD1+ subtype of SCLC. Surprisingly, ASCL1 loss promotes a SOX9+ mesenchymal/neural-crest-stem-like state and the emergence of bone and more rarely, cartilaginous tumors. ASCL1 is critical for expression of key lineage-related transcription factors NKX2-1, FOXA2, and INSM1, and represses regulators of Hippo, Wnt and Notch developmental pathways in vivo. ASCL1 also represses SOX9 expression in human SCLC cells, suggesting a conserved function for ASCL1. Here, we utilize single-cell RNA sequencing to capture transcriptomic signatures of RPM (Rb1/Trp53/Myc), RPR2 (Rb1/Trp53/Rbl2), and RPMA (Rb1/Trp53/Myc/Ascl1) GEMM tumors to support our conclusion that in MYC-driven SCLC, ASCL1 promotes neuroendocrine fate and represses the emergence of SOX9+ non-endodermal stem-like or mesenchymal fates. These data were integrated with 4 additional invasive RPM tumors from NCBI GEO: GSE149180.
GSE171650	PD-L1 alteration in lung cancer affects tumorigenicity lung tumors	Homo sapiens		30			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Cancer immunotherapy has focused on inhibitors of checkpoint proteins, such as Programmed Death Ligand 1 (PD-L1). Unlike RAS-mutated lung cancers, EGFR mutant tumors have generally low response to immunotherapy. Because treatment outcomes vary by EGFR allele, we assumed that intrinsic and microenvironmental factors are involved. Among all non-immunological signaling pathways we surveyed in patients’ datasets, EGFR signaling best associated with high PD-L1. Correspondingly, active EGFRs stabilized PD-L1’s transcripts and depleting PD-L1 severely inhibited EGFR-driven tumorigenicity and metastasis in mice. The underlying mechanisms involve recruitment of phospholipase C-g1 (PLC-g1) to a cytoplasmic motif of PD-L1, which enhances PLC-g1 activation by EGFR. Once stimulated, PLC-g1 activates calcium flux, RHO GTPases and protein kinase C, which promotes an aggressive phenotype. Furthermore, anti-PD-L1 antibodies can inhibit these intrinsic functions of PD-L1. Our results portray PD-L1 as a molecular amplifier of EGFR signaling and lay the foundation for understanding resistance of EGFR+ tumors to immunotherapy.
GSE172212	Small extracellular vesicles propagate the inflammatory response after trauma.	Homo sapiens; Mus musculus		45			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
