accession	n_samples	ici_any	ici_in_sample_metadata	models	llc_only	in_vivo	strategies	gds_summary_type	suppfile	pubmed	series_title	design
GSE129401	93	False	False		False	False	RNA-Seq				Single cell RNA-seq analysis of Tbx4+ and Tbx4- mouse lung mesenchymal cells	Tbx4 lineage+ and Tbx4 lineage- mesenchymal cells were sorted from Tbx4cre;RosaTm mouse lung, and run on the C1 chip (Fluidigm).
GSE129937	1	False	False		False	True	RNA-Seq			31978363	Single cell transcriptome analysis of distal adult murine lung airway epithelium	We performed single cell transcriptomic sequencing of flow purified Epcam+/Itgb4+/CD200+ cells via 10X Genomics platform
GSE130077	1	False	False		False	True	RNA-Seq				Single cell transcriptome analysis of bleomycin injured distal adult murine lung airway epithelium	We performed single cell transcriptomic sequencing of flow purified Epcam+/Itgb4+/CD200+ cells via 10X Genomics platform
GSE130331	2	False	False		False	False					Microarray analysis of lung SPC/GFP+ EpCAM+ cells	Lung SPC/GFP+ EpCAM+ cells from the control mice and the 3 months smoke mice were sortd, RNA extraction from these cells was hybridized on Affymetrix microarrays.
GSE13040	28	False	False		False	False				19097184	E11.5 Mouse Endodermal Organ Gene Expression	Three biological replicates each containing dissected organ domains from 10-12 pooled embryos flow cytometrically sorted to isolate endoderm were amplified using Ambion Illumina TotalPrep RNA Amplification kit and arrayed on Illumina MouseRef8 v2 chips
GSE131138	10	False	False		False	False	RNA-Seq			32203421	RNA-sequencing of neutrophils derived from OS-RC-2-bearing mice	RNA-seq analysis was performed with neutrophils in periphery of OS-RC-2 and its derivative-bearing BALB/c nu/nu mice
GSE131800	4	False	False		False	False	RNA-Seq			31393853	mouse lung single cell RNA-seq	Single cell RNA-seq using 10x chromium system on 4 different experiment groups (WTD0, Sdc1D0, WTBleoD21, Sdc1BleoD21), we have pooled cells from three different animal together for each group, and mixed immune cells (DAPI-, CD31-, Epcam-,CD45+), endothelial cells ( DAPI-, CD45-, Epcam-, CD31+), epithelial cells (DAPI-, CD31-, CD45-, Epcam+), stromal cells ( DAPI1-, CD31-, CD45-, Epcam-) in proport
GSE131957	19	True	False	KP_kras_p53,SCLC_GEMM	False	True	OTHER,RNA-Seq			32269339	Identification of a DC1 immuno-regulatory module that limits antitumor CD8+ T cell immunity in lung cancer lesions.	CITEseq of DCs from the lungs of wild-type tumor-naïve, tumor-bearing, or CCR7-/- mice. Bulk RNAseq of cDC1 sorted from the lungs of mice bearing GFP-expressing tumors based on GFP antigen uptake, or from the lungs of mice that were subjected to intranasal application of fluorescent microbeads and sorted based on bead uptake.
GSE131993	12	False	False	KP_kras_p53	False	False	RNA-Seq			31378680	RNA-seq of KP and KPI tumor cells isolated from KP and KPI lung adenocarcinoma tumors	Examination of active signaling in KPI tumor cells
GSE132533	8	False	False		False	True	RNA-Seq			32989251	Stat3-Bdnf-TrkB axis promotes alveolar regeneration [scRNA-seq]	One control mouse and one 24 hr injured mouse. At2 cells isolated by flow, and single cells captured using 10x platform.
GSE132534	6	False	False		False	True	ATAC-seq			32989251	Stat3-Bdnf-TrkB axis promotes alveolar regeneration [ATAC-seq]	3 replicates each of control and injured murine AT2 cells isolated from lungs
GSE132535	14	False	False		False	False	ATAC-seq,RNA-Seq			32989251	Stat3-Bdnf-TrkB axis promotes alveolar regeneration	Refer to individual Series
GSE132738	15	False	False		False	False	RNA-Seq			31248899	A Stromal Cell Niche Sustains ILC2-Mediated Type-2 Conditioning in Adipose Tissue	White adipose tissue from IL-33-critine heterozygous reporter mice was mechanically dissociated in RPMI-1640, and digested with collagenase I (Life Technologies), DNase I (Roche) at 37oC whilst shaking. Lin-CD45-Epcam-CD31-CD24-PDGFRα+CD34+Sca1+Podoplanin+ IL-33-citrine+ or IL-33-citrine- WAT-MSCs, Lin-CD45-Epcam+ and Lin-CD45-Epcam-CD31+ were sorted by flow cytometry using Sony iCyt Synergy (Sony
GSE132759	24	False	False	SCLC_GEMM	False	False	RNA-Seq			32187553	The contribution of FGFR1 to the development of SCLC is dictated by the cell-of-origin	RNAseq samples were derived from 24 mice that developed SCLC. The role of the MAPK-pathway was assessed introducing a constitutively active form of Fibroblast growth factor receptor 1 (Fgfr1) together with biallelic inactivation of Rb1 and Trp53 in mouse lung. Tumors from Fgfr1 mice were compared to tumors from mycl and control mice. Furthermore, multiple adenovirus were tested (Ad5-CMV-Cre, Ad5-C
GSE132771	24	False	False		False	False	RNA-Seq			32317643	Single cell RNA-sequencing of normal and fibrotic lungs in mouse and human	We induced lung fibrosis by treating two Col1a1-GFP reporter mice with bleomycin, and harvested lungs on day 14 after treatment. Two untreated Col1a1-GFP mice were used as control. After tissue dissociation, GFP+ cells and GFP- cells were sorted, and their single cell libraries were generated using 10x Genomics 3' v2 system. For human samples, we sorted lineage (CD31, CD45, EPCAM, CD235a)- cells a
GSE133555	6	False	False	KP_kras_p53	False	True	RNA-Seq			32646968	RNA seq to compare gene expression profiles between Npm1 WT and Npm1 knockdown cells	Examination of differential gene expression profils in KP-shNpm1-3 (N3), KP-shNpm1-4 (N4) and KP-shNpm1-5 (N5) cells with or without Doxycycline treatment
GSE133604	4	True	True	KP_kras_p53	False	True	RNA-Seq			31744829	Single-cell transcriptomic profiling of mouse KrasG12DP53-/- (KP) lung tumors in response to tumor cell intrinsic Asf1a knockout (KO), anti-PD-1 or combination treatment (Asf1a KO + anti-PD-1).	Single-cell RNA-sequencing libraries of mouse tissues using 10x Genomics technology.
GSE133714	23	True	False	KL_kras_lkb1	False	False				33077574	Transcriptional profiling of BL/6 mice with alterations in Kras, Stk11, and/or Keap1/Nrf2.	RNA was isolated from normal tissue of wild-type (WT) BL/6 mice or from tumors in BL/6 mice harboring a mutant Kras allele, with or without knockouts (KO) of Stk11 (LKB) and/or Keap1, or with expression of an Nfe2l2 (Nrf2) transgene (Nrf2Tg). 4 replicates for all conditions, with the exception of Nrf2Tg (3 replicates). The microarray data were generated at the Boston University Microarray and Sequ
GSE134199	4	False	False	KP_kras_p53	False	True	RNA-Seq				Cisplatin induced gene expression in ex vivo primary tumor cells grown in 3D cultures	Examination of gene expression in mouse primary tumor cells from a lung cancer mouse model grown in 3D cultures ex vivo with (2 replicates) and without (2 replicates) cisplatin treatment.
GSE134278	12	False	False		False	True	RNA-Seq				Comparison of transcriptional profiles from 2W1S-specific CD4+ T cells during 2W1S-expressing Salmonella and Strongyloides ratti infections reveals that infectious context drives effector CD4+ T cell 	Mice were infected with 2W1S-expressing S. ratti (Hulk, 15 mice) or Salmonella (Salm, 10 mice). Activated, 2W1S+CD62Llo CD4+ T cells (2W) were electronically sorted from mice in each group and pooled into 3 biological replicates for mRNA sequencing. Naive, 2W1S-CD62Lhi CD4+ T cells (N) were isolated in the same manner from mice in each group as internal naive controls and were pooled into 3 biolog
GSE134397	273	False	False		False	False	RNA-Seq			33586677	The Aging Microenvironment Drives Alveolar Macrophage Changes in Aging [RNA-Seq]	RNA sequencing files from 273 samples of 7 different experiments to investigate the ontogeny and aging microenvironment in alveolar macrophage identity
GSE134398	277	False	False		False	False	Bisulfite-Seq,RNA-Seq			33586677	The Aging Microenvironment Drives Alveolar Macrophage Changes in Aging	Refer to individual Series
GSE135592	11	False	False		False	True				32090856	Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis	Mouse splenocytes from 3 different immunizations (plus Naive control), after ex-vivo exposure to MtB infected macrophages in co-culture, were re-isolated and RNA extracted for Illumina microarray
GSE135720	10	False	False	KP_kras_p53,SCLC_GEMM	False	False					Comparison of gene expression in cisplatin resistant tumors to chemonaive tumors from a lung cancer mouse model	5 replicates of two conditions were tested. In one condition, KP mice with tumors were treated with Cisplatin (7mg/kg) once a week for three weeks until tumors were resistant to Cisplatin. Tumors were microdissected and combined for RNA extraction and hybridization to arrays. In the second condition, chemonaive mice were treated with a vehicle control (PBS) and untreated tumors were harvested for 
GSE136295	25	False	False	KP_kras_p53	False	False	RNA-Seq			32461694	Transcriptional profiling of p53 mutants in KP LUAD cells	1 million KP LUAD cells were seeded in 10cm plates and immediately transduced with retroviral supernatants and 8ug/mL polybrene. Cells were grown for 48hrs before purifying using fluorescence activated cell sorting (FACS). All transductions were done in triplicate. Following transduction, stable GFP+ populations were purified by FACS on a FACSAria (BD Biosciences). 120 hours post-transduction, tot
GSE136346	412	False	False	KP_kras_p53,SCLC_GEMM	False	True	OTHER,RNA-Seq				Identification of Ankrd35 as a mediator of cisplatin response in non-small cell lung cancer by ex vivo 3D screening of primary tumor spheroids	Refer to individual Series
GSE136571	4	False	False	KP_kras_p53	False	True	RNA-Seq			33626321	Transcriptional profiling of control versus PAF depleted mouse lung cancer cell lines	KrasG12D;Trp53 KO-derived mouse lung cancer (KP) cell lines were stably transduced with lentiviruses encoding shGFP (control) or shPAF (PAF depletion). Two biological replicates (n=2) were used for RNA extraction and RNA-Seq. KP mouse lung cancer cell lines were established from the lung tumors isolated from Ad-Cre-infected Kras LSL-G12D/+;Trp53 floxed/floxed (KP) mice.
GSE136580	225	False	False	SCLC_GEMM	False	False	RNA-Seq			31585080	Rare pulmonary neuroendocrine cells are stem cells regulated by Rb, p53, and Notch	Pulmonary neuroendocrine (NE, n=100) and non-NE (n=125) cells were purified from adult mouse lungs and analyzed by single-cell RNA-seq using Smart-Seq.
GSE137244	11	True	False	KL_kras_lkb1,KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			34142094	Characterization of tumor mutational burden in LKB1 mutant lung tumors	Examine mRNA of KP and KL GEMM lung tumor nodules derived cell lines for mutational burden analysis.
GSE137386	9	False	False		False	False	RNA-Seq				Transcriptional control of influenza-specific CD4+ tissue-resident memory T cell generation	Transcriptional profiling by RNA-Seq of lung-resident and spleen influenza-specific mouse CD4+ T cells. Project includes four and five biological replicates of each sample type, respectively.
GSE137396	10	True	False	KL_kras_lkb1,KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			34142094	Characterization of transcriptional analysis of LKB1 mutant lung nodules	Examine mRNA level of KP and KP GEMM lung tumor nodules for target gene expression and GSEA pathway analysis.
GSE137749	2	False	False	SCLC_GEMM	False	False	RNA-Seq				scRNA-seq of two triple knockout SCLC mouse models for subtyping	2 samples analyzed from 2 different triple knockout mouse models
GSE138676	9	False	False		False	False	RNA-Seq			32005814	The effect of modulating substratum biochemical properties on lung epithelial specification in vitro	Nkx2-1mCherry mouse ESCs were differentiated into definitive endoderm over the course of 5 days in serum-free cSFDM medium with 50 ng/ml Activin A (R&amp;D Systems 338-AC) added from days 2.5 to 5. The resulting embryoid bodies were plated onto P100 petri dishes in cSFDM supplemented with 100 ng/ml rmNoggin (R&amp;D Systems 1967-NG) and 10 μM SB431542 (Sigma S4317).
GSE139346	8	False	False	KP_kras_p53	False	True	RNA-Seq				Ribo-depleted RNA-seq in KRasG12D; p53-null (KP) lung adenocarcinoma cells to measure gene expression changes upon the expression of a T6B-YFP fusion	Four independent clones of mouse KRasG12D; p53-null lung adenocarcinoma cells were engineered to express a wild-type or a mutant version of the T6B-YFP fusion protein.
GSE139347	11	False	False	KP_kras_p53	False	True	RNA-Seq				RNA-seq to measure mRNA expression in normal lung tissues, KRasG12D; p53-null(KP)-driven and Eml4-Alk(EA)-driven lung adenocarcinomas	Gene expression measured in three biological replicates of normal lung tissues, four replicates of KP and four replicates EA lung adenocarcinomas
GSE139349	104	False	False	KP_kras_p53	False	True	OTHER,RNA-Seq				Efficient in vivo mapping of miRNA targets by Halo-enhanced Ago2 pulldown	Refer to individual Series
GSE139444	16	False	False	SCLC_GEMM	False	True	RNA-Seq			31871154	CRISPR-mediated modeling and functional validation of candidate tumor suppressor genes in small cell lung cancer	RNA sequencing was performed on tumors isolated from SCLC tumor-bearing mice, in which tumor formation was initiated by deletion of Trp53 and Rb1. These tumors harbored CRISPR-mediated mutations in either p107 (8 tumors) or p130 (8 tumors). All samples within each genotype are biological replicates.
GSE139574	20	False	False	KP_kras_p53	False	True	RNA-Seq			32561656	Long non-coding RNA NEAT1 promotes sarcoma metastasis by regulating RNA splicing pathways	a total of 20 RNA from the 6 primary tumors and the 14 matched lung metastases were sent for RNA sequencing
GSE139818	30	False	False		False	True	RNA-Seq			33159078	Investigation of the gene expression changes triggered by the lung mesenchymal Tsc2KO in each major cell subpopulation of the adult mouse lung	Cell population RNA-seq was performed in 3 biological replicates. 3 Tbx4CreTsc2KO and 3 Tbx4CreTsc2WT muse lungs were subjected to the digest and consecutive-depletion-based magnetic beads sort using antibodies against the appropriate cell surface markers: 1) CD45+ (immune cells), 2) CD45-EpCAM+ (Epithelilal cells), 3) CD45-, EpCAM-, CD31+ (Vascular endothelial cells), 4) CD45-, EpCAM-, CD31-, PDP
GSE139819	34	False	False		False	False	RNA-Seq			33159078	Comparative analysis of cellular heterogeneity in the LAM lung using bulk RNA-seq and scRNA-seq	Refer to individual Series
