stratum_network	module	role	dataset	n_genes_in_module	n_genes_scored	rho_tnk	p_tnk	q_tnk	I2_tnk	ci_lo_tnk	ci_hi_tnk	N_tnk	rho_tnk_partial_cldn4	p_tnk_partial_cldn4	rho_cldn4	p_cldn4
CLDN4pos	ME5	cohort:	GSE123902	140	140	0.32967032967032966	0.27133505450523593					13	0.17724591023738592	0.6021070782674023	-0.30769230769230765	0.30644705251252896
CLDN4pos	ME5	cohort:	GSE131907	140	140	-0.46623376623376617	0.03314052796877139					21	-0.3785274509036157	0.11002585212246374	0.3038961038961039	0.18047767364208767
CLDN4pos	ME5	cohort:	GSE205335	140	140	0.4421230942970074	0.03937489110637278					22	0.5289143283087367	0.016492728670807952	0.07509881422924902	0.7397738044450592
CLDN4pos	ME5	cohort:	GSE189357	140	140	0.2833333333333333	0.46003032896572005					9	0.17213259316477408	0.7120885299737996	-0.25	0.5164895523012261
CLDN4pos	ME6			94	94	0.060254326626934133	0.8155644214762794	0.8155644214762794	0.6933978317396748	-0.41909676774743754	0.5133372827495264	65	0.15425051038366178	0.48979562470826604	0.18857379641490513	0.4431391770993639
CLDN4pos	ME6	cohort:	GSE123902	94	94	-0.005494505494505494	0.9857869107140622					13	-0.18441723222311807	0.5872449932331546	-0.19780219780219782	0.5171309114848299
CLDN4pos	ME6	cohort:	GSE131907	94	94	-0.4194805194805195	0.05836062913446332					21	-0.11176508746619601	0.6487273451254916	0.6675324675324676	0.0009457098107349513
CLDN4pos	ME6	cohort:	GSE205335	94	94	0.5211744776962168	0.012873149549987757					22	0.5770069656061442	0.007730238013796382	-0.003952569169960475	0.986072032076201
CLDN4pos	ME6	cohort:	GSE189357	94	94	0.11666666666666665	0.765007942926146					9	0.18356293058464487	0.6935974222981224	0.049999999999999996	0.8983528043506303
CLDN4pos	ME7			79	79	0.10719407593784398	0.5238297378527677	0.6940723454198118	0.2994481509956547	-0.21962032012022123	0.4123772186624343	65	0.2601955824064961	0.062289796111433496	0.19945686484372424	0.34228512236248243
CLDN4pos	ME7	cohort:	GSE123902	79	79	0.33516483516483514	0.26294314035936023					13	0.4798746674786778	0.13523656813828344	0.03846153846153846	0.9007243023389339
CLDN4pos	ME7	cohort:	GSE131907	79	79	-0.2727272727272727	0.2316557954857192					21	0.07793855432563065	0.7511333297015808	0.6220779220779221	0.002603522985558966
CLDN4pos	ME7	cohort:	GSE205335	79	79	0.32467532467532473	0.14041381301499195					22	0.3854339170210886	0.09328993547592788	0.050254093732354614	0.8242411656048835
CLDN4pos	ME7	cohort:	GSE189357	79	79	0.08333333333333334	0.831214097710308					9	-0.05975272079233593	0.8987416225527064	-0.21666666666666667	0.5755148957119259
CLDN4pos	ME8			46	46	0.24857738615188607	0.22626427471164823	0.48329409946629714	0.5359800042788146	-0.15607442811755665	0.5817821125576194	65	0.16099128482357458	0.2677462569052627	-0.08599842365369159	0.5431689819993133
CLDN4pos	ME8	cohort:	GSE123902	46	46	0.5494505494505494	0.05177062555916278					13	0.45539241091788046	0.1592697570204757	-0.34615384615384615	0.24662526251007172
CLDN4pos	ME8	cohort:	GSE131907	46	46	-0.21168831168831168	0.35695806367272104					21	-0.12137033215776234	0.6206273271058724	0.21168831168831168	0.35695806367272104
CLDN4pos	ME8	cohort:	GSE205335	46	46	0.17673630717108982	0.43139783214875366					22	0.14713518559399558	0.5359007450531625	-0.10333145115753813	0.647236412425203
CLDN4pos	ME8	cohort:	GSE189357	46	46	0.6166666666666666	0.07692880993776312					9	0.504184173365516	0.2485756240826779	-0.41666666666666663	0.26458604674749636
CLDN4pos	ME9			41	41	0.2686349410499236	0.2684967219257206	0.48329409946629714	0.6688740523989155	-0.2092723352034674	0.6429545897576243	65	0.22535500759363092	0.17764146731289532	-0.10993841917729082	0.5824714618388092
CLDN4pos	ME9	cohort:	GSE123902	41	41	-0.11538461538461539	0.7073898735142603					13	0.12760449179969127	0.7084852302089671	0.3131868131868132	0.2974384220710294
CLDN4pos	ME9	cohort:	GSE131907	41	41	-0.13766233766233765	0.551800840604731					21	-0.0849708151485051	0.7294472532942473	0.125974025974026	0.5863643592427876
CLDN4pos	ME9	cohort:	GSE205335	41	41	0.4590626764539809	0.03162580882798473					22	0.3480706596686066	0.13261304175814767	-0.39243365330321855	0.07084079067181379
CLDN4pos	ME9	cohort:	GSE189357	41	41	0.7833333333333333	0.012519873019449885					9	0.6910487057763803	0.08555331409047442	-0.5166666666666667	0.15439012098622507
CLDN4neg	ME1			905	905	0.22897066409922306	0.08969386411911029	0.234506126911599	0.0	-0.03610809176833373	0.4639473034364425	65	0.2470354158118227	0.14596144712246512	-0.035538622667761435	0.8575816464389946
CLDN4neg	ME1	cohort:	GSE123902	905	905	0.2582417582417582	0.3942840173973614					13	0.36770891167206765	0.2659003686282555	0.027472527472527472	0.9290117291603509
CLDN4neg	ME1	cohort:	GSE131907	905	905	0.08571428571428572	0.7118136961291482					21	-0.15557371858341215	0.524787219982259	-0.3974025974025974	0.0744368401691811
CLDN4neg	ME1	cohort:	GSE205335	905	905	0.4138904573687183	0.05550702963051303					22	0.4185225192117794	0.06627940266534596	-0.08865047995482779	0.6948291640624967
CLDN4neg	ME1	cohort:	GSE189357	905	905	-0.03333333333333333	0.9321567355405039					9	0.5104166666666666	0.24180417154960077	0.6	0.08762282904140249
CLDN4neg	ME2			729	729	0.32183332776461704	0.0358500454666365	0.234506126911599	0.21986768468077084	0.02203831113716903	0.5685245073932401	65	0.26996941296756527	0.05264569752948957	-0.14835469399219525	0.2765649362343514
CLDN4neg	ME2	cohort:	GSE123902	729	729	0.521978021978022	0.06729171199351022					13	0.4714804264213939	0.14319951018356333	-0.2747252747252747	0.3636749816401782
CLDN4neg	ME2	cohort:	GSE131907	729	729	-0.03766233766233767	0.8712435420745898					21	0.014737481424130576	0.9522504812828007	0.0961038961038961	0.6785829571667291
CLDN4neg	ME2	cohort:	GSE205335	729	729	0.3867871259175608	0.07536283227083158					22	0.3329373904793233	0.15146624534757747	-0.21626199887069456	0.3337174182342563
CLDN4neg	ME2	cohort:	GSE189357	729	729	0.5833333333333334	0.09918581647988327					9	0.4583492485141057	0.300972787944443	-0.41666666666666663	0.26458604674749636
CLDN4neg	ME3	TJ-best-overlap-not-significant		329	329	0.21354880106225294	0.28551180851628233	0.3997165319227952	0.5055352747156512	-0.1791825075311909	0.547575199889913	65	0.33533946290795186	0.01893831114888363	0.11679888733663063	0.42575140414295065
CLDN4neg	ME3	cohort:TJ-best-overlap-not-significant	GSE123902	329	329	0.34065934065934067	0.2547064607541251					13	0.4339291104066071	0.182383499855763	-0.021978021978021976	0.9431862416608071
CLDN4neg	ME3	cohort:TJ-best-overlap-not-significant	GSE131907	329	329	-0.14805194805194805	0.5218737233561959					21	0.09917722799564528	0.6862470567539382	0.42987012987012985	0.05178188171189559
CLDN4neg	ME3	cohort:TJ-best-overlap-not-significant	GSE205335	329	329	0.549407114624506	0.0080857792970249					22	0.5570990014239954	0.010720256215953086	-0.11801242236024848	0.6009390114559511
CLDN4neg	ME3	cohort:TJ-best-overlap-not-significant	GSE189357	329	329	-0.049999999999999996	0.8983528043506303					9	8.703891878143995e-18	1.0	0.08333333333333334	0.831214097710308
CLDN4neg	ME4			164	164	0.06374395770843182	0.8327235755900801	0.8327235755900801	0.7759178211015296	-0.48424014379656505	0.5758085815711377	65	0.0785939566037635	0.804963939431574	0.06486353370711939	0.6363005249156604
CLDN4neg	ME4	cohort:	GSE123902	164	164	0.23626373626373626	0.43708354383118136					13	0.209777121166498	0.5358554046706993	-0.12087912087912088	0.6940473279966857
CLDN4neg	ME4	cohort:	GSE131907	164	164	-0.6025974025974027	0.0038392677417788405					21	-0.5890432092128083	0.007962083368827604	0.21428571428571425	0.35094954850355253
CLDN4neg	ME4	cohort:	GSE205335	164	164	0.37662337662337664	0.08404542340222546					22	0.47630979580937544	0.033746534595367327	0.11349520045172222	0.6150373834928408
CLDN4neg	ME4	cohort:	GSE189357	164	164	0.39999999999999997	0.286105101908313					9	0.33422569546814224	0.463753692717826	-0.2333333333333333	0.5456987782182728
CLDN4neg	ME5			154	154	0.1462939565226369	0.5835947773586823	0.6808605735851293	0.716270312443124	-0.3623039174996427	0.587760620180341	65	0.24669851339837814	0.3589391561770088	0.18840536035885022	0.3153062819490447
CLDN4neg	ME5	cohort:	GSE123902	154	154	-0.33516483516483514	0.26294314035936023					13	-0.4457902018666681	0.16937250009752025	0.0	1.0
CLDN4neg	ME5	cohort:	GSE131907	154	154	-0.24935064935064938	0.27569907970760515					21	0.07312669671472359	0.7660768273482553	0.5753246753246753	0.006358310845714959
CLDN4neg	ME5	cohort:	GSE205335	154	154	0.4997176736307172	0.01788138711838158					22	0.5812758998589983	0.00718777171472754	0.05251270468661773	0.8164691262307053
CLDN4neg	ME5	cohort:	GSE189357	154	154	0.6333333333333333	0.06708578689234572					9	0.6761234037828132	0.09540488753220089	-0.16666666666666669	0.668231040071504
CLDN4neg	ME6			144	144	0.3109603734339504	0.26715142656329566	0.3997165319227952	0.7561678451918005	-0.24158581796572545	0.7112326831745404	65	0.27216632803941704	0.2267598322518555	-0.10959464132383685	0.49410961301973577
CLDN4neg	ME6	cohort:	GSE123902	144	144	-0.3021978021978022	0.3156083662499548					13	-0.16746116120015847	0.6226056343188617	0.2747252747252747	0.3636749816401782
CLDN4neg	ME6	cohort:	GSE131907	144	144	-0.045454545454545456	0.8448883449705005					21	-0.03502569738807776	0.8868023367970953	0.029870129870129873	0.8977307350801783
CLDN4neg	ME6	cohort:	GSE205335	144	144	0.5844155844155845	0.004286990058910928					22	0.5337979585279807	0.01534540290006845	-0.2840203274985884	0.20019815279526967
CLDN4neg	ME6	cohort:	GSE189357	144	144	0.7999999999999999	0.009627924725379839					9	0.7092993656151906	0.07427692638368404	-0.5333333333333333	0.13922686754397814
CLDN4neg	ME7	IFN		74	74	0.24841554810909236	0.10050262581925672	0.234506126911599	0.17925649930965315	-0.049020573318570064	0.5053810103150492	65	0.3286164597566404	0.016897291883738653	0.03630431649887771	0.8282276630812997
CLDN4neg	ME7	cohort:IFN	GSE123902	74	74	-0.010989010989010988	0.971577682777073					13	0.18258771843479996	0.5910232504763044	0.21978021978021978	0.4706148514721425
CLDN4neg	ME7	cohort:IFN	GSE131907	74	74	0.025974025974025972	0.9110154373730976					21	0.23756650303653273	0.3274100352726628	0.3181818181818181	0.1598268955547498
CLDN4neg	ME7	cohort:IFN	GSE205335	74	74	0.5121400338791644	0.014820252429627789					22	0.5082682287940523	0.022125528615698806	-0.13495200451722192	0.549318075362681
CLDN4neg	ME7	cohort:IFN	GSE189357	74	74	0.39999999999999997	0.286105101908313					9	0.169600131324992	0.7162008718619538	-0.4666666666666666	0.2053863511058121
