accession	title	species	assay	tissue	model_or_GEMM	pd1_or_icb	ici_sensitive_genotype	n_mice_or_samples	cldn4_in_features	processed_matrix	usable_mouse_level	scored_here	notes
GSE157880	RT-activated club cells increase ICB efficacy (Bulk048)	Mus musculus	bulk RNA-seq	HKP1-bearing lung	HKP1 (Kras/p53 orthotopic)	anti-PD-1 ± RT	yes (KP-like line)	16 pooled libraries (3-4 mice each)	yes	yes: Bulk048.txt.gz	sample-level; not one-mouse	yes	0 Gy: IgG n=3 vs PD-1 n=2. Honest unit = pooled library.
GSE157881	same study, 0 Gy vs 4 Gy scRNA	Mus musculus	scRNA-seq	HKP1 lung CD45±	HKP1	no PD-1 on these libraries	yes (KP-like)	4 libraries	expected yes	yes: RAW.tar	RT only	no	No anti-PD-1 arm in this child series.
GSE157883	SuperSeries of GSE157880/881/882	Mus musculus	mixed	HKP1 lung	HKP1	via children	yes	22	via children	via children	via GSE157880	no	SuperSeries. Scored child GSE157880.
GSE169194	KPM TAM / CD4 / total viable cells ± A2V ± aPD-1	Mus musculus	bulk RNA-seq	KPM lung tumor fractions	KPM (Kras/p53/Msh2)	A2V ± aPD-1 (no PD-1 mono)	yes (Msh2-null, more ICI-sensitive than KP)	38 samples; 9 total-viable mice	yes (ENSMUSG00000047501)	yes: annotated log2-norm + raw	yes (total cells)	yes	Combo only. total_A2V_aPD1_1 not deposited (n=3 vs 3).
GSE169196	Overcoming microenvironmental resistance to anti-PD-1 in lung cancer models	Mus musculus	mixed	KPM	KPM	via GSE169194	yes	48	via child	via child	via GSE169194	no	SuperSeries.
GSE246922	Acquired ICB resistance in NSCLC: LLC1 and KP CD45- tumors	Mus musculus	bulk RNA-seq	CD45- cancer cells	KP and LLC1	ICB-relapsed vs parental (not on-treatment)	KP yes; LLC leftover	24 (15 KP)	yes	yes: KP and LLC1 VST CSV	CD45- so T/NK no-go	yes (Cldn4 only; T/NK leak)	Do not treat T/NK genes as infiltrate. LLC1 file not scored (LLC leftover).
GSE256071	SOX2 in KP cells mediates CBT resistance	Mus musculus	bulk RNA-seq	KP cell lines in vitro	KP ± Sox2	no ICB on the RNA	KP cells	6	yes	yes: counts + log2TPM	no ICB contrast	no	Genotype (Sox2) not PD-1 vs control.
GSE236258	Trametinib / Id1 in CMT167 and KLA cells	Mus musculus	bulk RNA-seq	CMT167 / KLA in vitro	CMT167; KLA (Kras)	no PD-1 on the RNA	CMT167 is ICI-sensitive line	15	not scored	yes: RAW.tar	no ICB contrast	no	Trametinib, not anti-PD-1.
GSE275877	Hypoxia and acquired ICI resistance in LKR13-H	Mus musculus	scRNA-seq	LKR13-H Msh2-KO tumors	LKR13 (Kras) Msh2-KO	isotype / aPD-1 R / combo R / acquired-NR	yes (Kras; Msh2-KO)	5 libraries (1/arm)	expected yes	unfiltered MTX 535 MB + 96 MB barcodes	n=1; unfiltered droplet dump	no	Prior leftover: ~34M barcodes. Not a QC processed object. Skipped (no FASTQ).
GSE271713	PRTN3 in KRAS-mutant LUAD	Mus musculus	bulk RNA-seq	K and KP lung tumors	K vs KP GEMM	no PD-1	KP/K but no ICB	4	expected yes	yes: counts.txt.gz	no ICB	no	Genotype only.
GSE176091	CA170 (VISTA) ± KVax in A/J lung	Mus musculus	scRNA-seq	CD3+/CD45+ TIL	VC-LUAD / carcinogen A/J	VISTA not PD-1; immune-sorted	not KP	20	epithelial Cldn4 not expected	yes: RAW.tar	TIL only	no	No epithelial matrix; not PD-1.
GSE145573	Multi-organ RNA after ICB in MC38-bearing mice	Mus musculus	bulk RNA-seq	MC38 subcutaneous tumor + normal organs (incl. lung)	MC38 colorectal	anti-PD1+anti-CTLA4	MC38 is ICI-sensitive but not lung tumor	36	yes (FPKM table)	yes	MC38 tumor is colon; lung = normal organ	no	No MC38-lung implant. TISMO MC38 Cldn4 is at the floor (22/22 TPM<1) and is colorectal.
GSE114300	PD-1 in early-stage lung cancer: sorted TIL	Mus musculus	bulk RNA-seq	sorted CD4/CD8 TIL	Kras GEMM lung	anti-PD-1 vs IgG	yes (Kras)	62 TIL samples	epithelial Cldn4 not in TIL	yes: RAW.tar	TIL only	no	No tumor epithelial matrix.
GSE260596	LAIR1 antagonist + anti-PD-1 in 344SQ	Mus musculus	bulk RNA-seq	344SQ subcutaneous	344SQ (Kras/p53)	all arms have aPD-1	KP-like	7 mice	yes	yes: read counts	no untreated	no	No PD-1 vs control. aPD-1 ± LAIR1 only.
GSE154989	KP GEMM Smart-seq2 timecourse	Mus musculus	scRNA-seq (plate)	FACS CD45- epithelium	K / KP GEMM	no PD-1	KP	30 mice	yes	yes	epithelial Cldn4 yes; T/NK no-go	no	Assigned (KP GEMM Cldn4 page). No ICB.
GSE154977	KP 10x ± cisplatin	Mus musculus	scRNA-seq	KP tumors	KP	no PD-1	KP	4	yes	yes	no ICB	no	Cisplatin, not PD-1.
GSE222158	CD45+/CD3+ immune cells ± aPD-1 + DC-CCL21	Mus musculus	scRNA-seq	sorted immune	oncogene-driven NSCLC	anti-PD-1	unclear KP	6 (1/arm)	epithelial Cldn4 ~absent	yes	immune only	no	No tumor epithelial Cldn4.
GSE129297	SCLC ± CDK7i ± aPD-1	Mus musculus	scRNA-seq	RPM SCLC lung	SCLC (Rb/p53/Myc)	anti-PD-1	not KP/Kras LUAD	4 (1/arm)	expected yes	yes	SCLC not the sensitive LUAD contrast	no	Wrong histology for KP vs KL.
GSE232730	CXCL9/10-DC + PD-1 in Lkb1-null NSCLC	Mus musculus	scRNA-seq	CD45+	Lkb1-null	anti-PD-1	no (KL-resistant)	4	CD45+ so Cldn4 limited	yes	KL leftover	no	Resistant genotype. Not this hunt.
GSE182228	CDK4/6i reverse aPD-1 resistance in LKB1-deficient LUAD	Mus musculus	bulk RNA-seq	KL tumors	LKB1-deficient	vehicle / palbo / aPD-1 / combo n=3	no (KL-resistant)	12	unknown	RAW.tar only; series matrix metadata-only	KL; prior: no processed gene matrix	no	Resistant leftover. No FASTQ.
GSE239485	C5aR1 / poly I:C / aPD-1 in LLC	Mus musculus	bulk RNA-seq	LLC subcutaneous	LLC	anti-PD-1 + poly I:C	no (LLC)	24	yes	yes	LLC leftover	no	Do not redo LLC as the only analysis.
GSE297630	anti-PD-1 tolerant LLC microarray	Mus musculus	microarray	LLC cells	LLC	anti-PD-1 tolerant vs control	no (LLC)	6	yes	yes	LLC leftover	no	Do not redo LLC.
GSE297632	anti-PD-1 tolerant LLC scRNA	Mus musculus	scRNA-seq	LLC subcutaneous	LLC	aPD-1 residual vs control	no (LLC)	2 (1 vs 1)	yes	yes	LLC leftover	no	Already scored on leftover page. n=1 vs 1.
GSE285606	344SQ parental vs PD1R1 (both IgG)	Mus musculus	scRNA-seq	Kras/p53 344SQ	344SQ / PD1R1	both IgG; acquired-resistant line	KP-like line	4 (2 vs 2)	yes	yes	not ICB vs control	no	Leftover: genotype on IgG, not PD-1 vs control.
GSE261890	NSCLC ICI spatial Sen.Res.Veh vs ICI	Mus musculus	spatial	mouse NSCLC	not specified KP	Veh vs ICI; 2 slides	unknown	2 sections	yes	yes	n=1 vs 1 spatial	no	Leftover. Not a KP PD-1 mouse table.
TISMO_LLC	TISMO LLC ICB gene export	Mus musculus	compiled bulk	LLC	LLC	anti-PD1+CTLA4	no	33	yes	TISMO portal	yes	no	Cldn4 at floor (mean TPM 0.40; 32/33 TPM<1). Leftover.
TISMO_CMT167	TISMO CMT-167	Mus musculus	compiled bulk	CMT-167 orthotopic lung	CMT-167	no ICB arm	yes (ICI-sensitive line)	3 untreated only	ICB export HTTP 500	portal	no ICI outcome	no	User check: Cldn4+ICI intersection is empty.
TISMO_MC38	TISMO MC38 ICB Cldn4	Mus musculus	compiled bulk	MC38 subcutaneous (colon)	MC38 colorectal	anti-PD-L1 etc.	ICI-sensitive but not lung	22 ICB-export mice	yes	TISMO	not lung tumor	no	Cldn4 at floor (TPM mean 0.021; 22/22 TPM<1). No MC38-lung implant in TISMO.
TISMO_KPB25L	TISMO KPB25L ICB Cldn4	Mus musculus	compiled bulk	mammary	KPB25L (mammary GEMM)	anti-PD1+CTLA4	not lung	54	yes (high; mean TPM ~96)	TISMO	wrong organ	no	Not lung. Do not add as KP lung.
E-MTAB-13704	AstraZeneca LUGEMM14 lung tumors ± aPD-L1 combos	Mus musculus	bulk RNA-seq	in situ lung tumors	LUGEMM14; SDRF genotype = wild type	anti-PD-L1 ± ATR/VEGFR/cisplatin	not labeled KP/Kras	27 (aPD-L1 n=5 vs vehicle n=5)	expected yes	yes: GEMMS_raw_counts.csv	possible but genotype not KP	no	Not a declared KP/Kras sensitive model in the SDRF.
GSE137396	LKB1-mutant lung nodules	Mus musculus	bulk RNA-seq	KL vs KP nodules	KL / KP	no PD-1	mixed	10	yes	yes	no ICB	no	KL leftover / genotype, not PD-1.
user_private_8KL	User private 8 KL mice	Mus musculus	private	private	KL	n/a	no	8	n/a	private	excluded	no	Explicitly not used.
