accession	gene	is_ici	is_kd_ko	organism	category	gds_type	n_geo_samples	title	marker_status	source	source_file	table_kind	n_values	value_mean	value_median	value_min	value_max	n_nonzero	de_logfc	de_pvalue	de_padj	contrast	group_a	n_a	mean_a	group_b	n_b	mean_b	mean_diff_b_minus_a	mannwhitney_p	groups_json	notes
GSE182261	TACSTD2	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	6	RNA-seq of NIK Kockdown and control cells in lung metastatic human breast cancer cells established from MDA-MB-231 by orthotopic xenograft model	found	supplementary	GSE182261_gene_count_matrix.csv.gz	expression	6	625.167	587.5	474	807	6					shGFP	2	526.5	shNIK	4	674.5	148	0.266667	[{"group":"shGFP","n":2,"mean":526.5,"median":526.5,"sd":74.246212},{"group":"shNIK","n":4,"mean":674.5,"median":693.0,"sd":148.086686}]	
GSE182261	CLDN4	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	6	RNA-seq of NIK Kockdown and control cells in lung metastatic human breast cancer cells established from MDA-MB-231 by orthotopic xenograft model	found	supplementary	GSE182261_gene_count_matrix.csv.gz	expression	6	1131.5	1145.5	608	1597	6					shGFP	2	726	shNIK	4	1334.25	608.25	0.133333	[{"group":"shGFP","n":2,"mean":726.0,"median":726.0,"sd":166.8772},{"group":"shNIK","n":4,"mean":1334.25,"median":1354.5,"sd":244.730294}]	
GSE182328	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	44	Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].	found	supplementary	GSE182328_Gene_counts_matrix.txt.gz	expression	44	471.159	347.5	8	1676	44														
GSE182328	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	44	Intestinal Akkermansia muciniphila predicts clinical response to PD1 blockade in advanced non-small cell lung cancer patients [RNA-seq].	found	supplementary	GSE182328_Gene_counts_matrix.txt.gz	expression	44	594.614	538	21	2121	44														
GSE186909	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	46	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells [bulk RNA-seq]	found	supplementary	GSE186909_processed_data_bulkRNAseq.txt.gz	expression	46	0.0216867	0	0	0.997587	1													[{"group":"BMDM - Vehicle","n":6,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - E2","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - ICI","n":5,"mean":0.199517,"median":0.0,"sd":0.446134},{"group":"BMDM - GW3965","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - GSK2033","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - GW3965 + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - ICI + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - GSK2033 + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0}]	
GSE186909	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	46	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells [bulk RNA-seq]	found	supplementary	GSE186909_processed_data_bulkRNAseq.txt.gz	expression	46	0.0433668	0	0	0.997821	2													[{"group":"BMDM - Vehicle","n":6,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - E2","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - ICI","n":5,"mean":0.199564,"median":0.0,"sd":0.446239},{"group":"BMDM - GW3965","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - GSK2033","n":5,"mean":0.19941,"median":0.0,"sd":0.445895},{"group":"BMDM - GW3965 + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - ICI + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0},{"group":"BMDM - GSK2033 + 27HC","n":5,"mean":0.0,"median":0.0,"sd":0.0}]	
GSE186911	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	58	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells.	no_processed_table																							no gene-level processed supplementary table listed
GSE186911	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	58	The murine liver x receptor is selectively modulated by different ligands to differentially alter tumor-associated myeloid cells.	no_processed_table																							no gene-level processed supplementary table listed
GSE190264	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	24	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [LLC1]	found	supplementary	GSE190264_TPM_LLC1.csv.gz	expression	24	0.00526783	0	0	0.0375291	6														
GSE190264	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	24	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [LLC1]	found	supplementary	GSE190264_TPM_LLC1.csv.gz	expression	24	0.00342348	0	0	0.0331204	3														
GSE190265	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	34	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]	found	supplementary	GSE190265_TPM_France3.csv.gz	expression	43	99.937	67.8017	0	561.635	42														
GSE190265	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	34	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]	found	supplementary	GSE190265_TPM_France3.csv.gz	expression	43	34.6914	19.7797	3.46661	179.636	43														
GSE190266	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	70	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]	no_processed_table																							no usable processed expression for this gene
GSE190266	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	70	MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]	found	supplementary	GSE190266_TPM_France4.csv.gz	expression	11	0	0	0	0	0													[{"group":"A14","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"A16","n":2,"mean":0.0,"median":0.0,"sd":0.0},{"group":"A17","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"A18","n":2,"mean":0.0,"median":0.0,"sd":0.0},{"group":"A18-5398-I1","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"A19","n":3,"mean":0.0,"median":0.0,"sd":0.0},{"group":"C15","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE206613	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by array	77	A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome	not_on_platform	embedded_matrix	GSE206613_series_matrix.txt.gz																					gene absent from embedded platform table
GSE206613	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by array	77	A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome	not_on_platform	embedded_matrix	GSE206613_series_matrix.txt.gz																					gene absent from embedded platform table
GSE208614	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	34	Inhibition of LSD1 with bomedemstat sensitizes small cell lung cancer to immune checkpoint blockade and T cell killing	found	supplementary	GSE208614_201102_rawCounts.txt.gz	expression	6	0	0	0	0	0													[{"group":"RP-116_DMSO","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"RP-116_BOM","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"RP-48_DMSO","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"RP-48_BOM","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"G8545_DMSO","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"G8545_BOM","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE208614	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	34	Inhibition of LSD1 with bomedemstat sensitizes small cell lung cancer to immune checkpoint blockade and T cell killing	found	supplementary	GSE208614_201102_rawCounts.txt.gz	expression	6	18.6667	0.5	0	61	3													[{"group":"RP-116_DMSO","n":1,"mean":61.0,"median":61.0,"sd":null},{"group":"RP-116_BOM","n":1,"mean":50.0,"median":50.0,"sd":null},{"group":"RP-48_DMSO","n":1,"mean":1.0,"median":1.0,"sd":null},{"group":"RP-48_BOM","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"G8545_DMSO","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"G8545_BOM","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE210340	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by array	29	Effect of Non-small cell lung cancer (NSCLC) cell line conditioned medium (CM) on bone marrow-derived macrophages (BMDMs)	found	embedded_matrix	GSE210340_series_matrix.txt.gz	expression	29	5.19552	5.17	4.86	5.6	29													[{"group":"Control BMDMs (M0)","n":4,"mean":5.2675,"median":5.265,"sd":0.246492},{"group":"BMDMs treated with NCI-H460 conditioned medium","n":4,"mean":5.31,"median":5.325,"sd":0.228181},{"group":"BMDMs treated with PC-9 conditioned medium","n":3,"mean":5.273333,"median":5.26,"sd":0.320208},{"group":"BMDMs treated with A549 conditioned medium","n":4,"mean":5.1475,"median":5.095,"sd":0.254083},{"group":"BMDMs treated with NCI-H1299 conditioned medium","n":4,"mean":5.2575,"median":5.275,"sd":0.207425},{"group":"BMDMs treated with Calu-1 conditioned medium","n":4,"mean":5.15,"median":5.12,"sd":0.183666},{"group":"M1 BMDMs","n":3,"mean":5.006667,"median":4.95,"sd":0.181751},{"group":"M2 BMDMs","n":3,"mean":5.1,"median":5.06,"sd":0.115326}]	scale=log2-like
GSE210340	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by array	29	Effect of Non-small cell lung cancer (NSCLC) cell line conditioned medium (CM) on bone marrow-derived macrophages (BMDMs)	found	embedded_matrix	GSE210340_series_matrix.txt.gz	expression	29	5.10207	5.09	4.81	5.39	29													[{"group":"Control BMDMs (M0)","n":4,"mean":5.1075,"median":5.13,"sd":0.15327},{"group":"BMDMs treated with NCI-H460 conditioned medium","n":4,"mean":5.285,"median":5.295,"sd":0.079373},{"group":"BMDMs treated with PC-9 conditioned medium","n":3,"mean":5.023333,"median":5.08,"sd":0.143643},{"group":"BMDMs treated with A549 conditioned medium","n":4,"mean":5.17,"median":5.175,"sd":0.167929},{"group":"BMDMs treated with NCI-H1299 conditioned medium","n":4,"mean":5.015,"median":5.075,"sd":0.13772},{"group":"BMDMs treated with Calu-1 conditioned medium","n":4,"mean":5.0525,"median":5.025,"sd":0.114419},{"group":"M1 BMDMs","n":3,"mean":5.15,"median":5.19,"sd":0.262298},{"group":"M2 BMDMs","n":3,"mean":4.973333,"median":4.93,"sd":0.083865}]	scale=log2-like
GSE225126	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	4	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [Dendritic Cell]	found	supplementary	GSE225126_cDC_RNA-seq_RPKM.xlsx	expression	4	1.19921	1.25892	0.45454	1.82445	4													[{"group":"Flt_DC","n":1,"mean":1.803926,"median":1.803926,"sd":null},{"group":"P7_DC","n":1,"mean":0.713915,"median":0.713915,"sd":null},{"group":"PD1_DC","n":1,"mean":0.45454,"median":0.45454,"sd":null},{"group":"PBS_DC","n":1,"mean":1.82445,"median":1.82445,"sd":null}]	
GSE225126	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	4	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [Dendritic Cell]	found	supplementary	GSE225126_cDC_RNA-seq_RPKM.xlsx	expression	4	1.09823	1.09897	0	2.19498	3													[{"group":"Flt_DC","n":1,"mean":1.723464,"median":1.723464,"sd":null},{"group":"P7_DC","n":1,"mean":0.474485,"median":0.474485,"sd":null},{"group":"PD1_DC","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"PBS_DC","n":1,"mean":2.194981,"median":2.194981,"sd":null}]	
GSE225163	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	8	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [CD8 T]	found	supplementary	GSE225163_CD8_RNA-seq_RPKM.xlsx	expression	8	5.42361	5.35963	3.69215	7.18223	8													[{"group":"Flt_CD8","n":2,"mean":6.362651,"median":6.362651,"sd":0.594225},{"group":"P7_CD8","n":2,"mean":6.942793,"median":6.942793,"sd":0.338617},{"group":"PD1_CD8","n":2,"mean":4.318854,"median":4.318854,"sd":0.647626},{"group":"PBS_CD8","n":2,"mean":4.070124,"median":4.070124,"sd":0.534541}]	
GSE225163	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	8	Combinational targeting CCL7 and Flt3L to promote the expansion and infiltration of cDC1 in tumors enhances T cell activation and anti-PD-1 therapy [CD8 T]	found	supplementary	GSE225163_CD8_RNA-seq_RPKM.xlsx	expression	8	6.53668	5.75792	3.76667	10.6958	8													[{"group":"Flt_CD8","n":2,"mean":7.334485,"median":7.334485,"sd":3.85943},{"group":"P7_CD8","n":2,"mean":7.231243,"median":7.231243,"sd":4.899649},{"group":"PD1_CD8","n":2,"mean":5.757923,"median":5.757923,"sd":0.6275},{"group":"PBS_CD8","n":2,"mean":5.82305,"median":5.82305,"sd":1.503769}]	
GSE234818	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	42	Faecalibaterium prausnitzii strain EXL01 boosts efficacy of Immune Checkpoint Inhibitors	no_processed_table																							no gene-level processed supplementary table listed
GSE234818	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	42	Faecalibaterium prausnitzii strain EXL01 boosts efficacy of Immune Checkpoint Inhibitors	no_processed_table																							no gene-level processed supplementary table listed
GSE235048	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	15	Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients	found	supplementary	GSE235048_24CFlow_TPM.txt.gz	expression	15	0.380786	0.101705	0	1.51483	9														
GSE235048	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	15	Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients	no_processed_table																							no usable processed expression for this gene
GSE235122	TACSTD2	Y	N	Homo sapiens	ICI	Methylation profiling by genome tiling array	81	DNA methylation signatures correlate with response to immune checkpoint inhibitors in metastatic melanoma	too_large_or_absent	supplementary	GSE235122_Matrix_processed_magisterh_melanoma_ICI.csv.gz																					candidate file too large or gene row not present
GSE235122	CLDN4	Y	N	Homo sapiens	ICI	Methylation profiling by genome tiling array	81	DNA methylation signatures correlate with response to immune checkpoint inhibitors in metastatic melanoma	too_large_or_absent	supplementary	GSE235122_Matrix_processed_magisterh_melanoma_ICI.csv.gz																					candidate file too large or gene row not present
GSE237087	TACSTD2	Y	N	Homo sapiens	ICI	Methylation profiling by high throughput sequencing	68	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	found	supplementary	GSE237087_5hmC_ReadCount_Genebody_LungCancer.txt.gz	expression	85	35.3294	31	3	96	85														
GSE237087	CLDN4	Y	N	Homo sapiens	ICI	Methylation profiling by high throughput sequencing	68	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	found	supplementary	GSE237087_5hmC_ReadCount_Genebody_LungCancer.txt.gz	expression	85	92.2588	85	6	246	85														
GSE238003	TACSTD2	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Genome binding/occupancy profiling by high throughput sequencing	6	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag]	no_processed_table																							no gene-level processed supplementary table listed
GSE238003	CLDN4	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Genome binding/occupancy profiling by high throughput sequencing	6	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag]	no_processed_table																							no gene-level processed supplementary table listed
GSE238006	TACSTD2	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq]	found	supplementary	GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx	DE							-0.973247	1.33372e-05	0.00016084											DE table (author-computed contrast)
GSE238006	CLDN4	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq]	found	supplementary	GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx	DE							-1.73911	6.2863e-38	1.74868e-35											DE table (author-computed contrast)
GSE243238	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	20	Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma	found	supplementary	GSE243238_acral.20.counts.raw.mat.csv.gz	expression	20	298.272	95.3255	0	1436.01	19														
GSE243238	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	20	Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma	found	supplementary	GSE243238_acral.20.counts.raw.mat.csv.gz	expression	20	14.2765	8.12134	0	97.093	17														
GSE244820	TACSTD2	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing	10	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure	found	supplementary	GSE244820_Raw_Counts_Submission_Matrix.txt.gz	expression	10	1579.5	1621.5	175	4869	10													[{"group":"WT AT2","n":3,"mean":206.333333,"median":211.0,"sd":29.280255},{"group":"Infected AT2","n":4,"mean":2621.25,"median":2000.5,"sd":1511.619964},{"group":"Transitional AT2","n":3,"mean":1563.666667,"median":1628.0,"sd":244.921076}]	
GSE244820	CLDN4	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing	10	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure	found	supplementary	GSE244820_Raw_Counts_Submission_Matrix.txt.gz	expression	10	683.1	112	31	2069	10													[{"group":"WT AT2","n":3,"mean":54.666667,"median":52.0,"sd":25.10644},{"group":"Infected AT2","n":4,"mean":163.0,"median":112.0,"sd":110.447574},{"group":"Transitional AT2","n":3,"mean":2005.0,"median":2003.0,"sd":63.023805}]	
GSE247130	TACSTD2	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	12	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [1]	no_processed_table																							no gene-level processed supplementary table listed
GSE247130	CLDN4	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	12	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [1]	no_processed_table																							no gene-level processed supplementary table listed
GSE247271	TACSTD2	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	30	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [ChIP-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE247271	CLDN4	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	30	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [ChIP-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE249002	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	4	HDAC inhibitors directly modulate T cell gene expression and signaling and promote development of effector-exhausted T cells in murine tumors [scRNA-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE249002	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	4	HDAC inhibitors directly modulate T cell gene expression and signaling and promote development of effector-exhausted T cells in murine tumors [scRNA-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE249056	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	2	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [bulk RNA-Seq]	found	supplementary	GSE249056_GuanXY_RNASeq_CPOS-210820-CNW-9185a_Gene_DiffExpressed.xlsx	DE																				DE table (author-computed contrast)
GSE249056	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	2	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [bulk RNA-Seq]	found	supplementary	GSE249056_GuanXY_RNASeq_CPOS-210820-CNW-9185a_Gene_DiffExpressed.xlsx	DE																				DE table (author-computed contrast)
GSE249057	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	5	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [scRNA-Seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE249057	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	5	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [scRNA-Seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE255144	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	6	PD-L1 and IFN-γ modulate Non-Small Cell Lung Cancer (NSCLC) Cell Plasticity responsible for ICI-Resistance	found	supplementary	GSE255144_raw_counts.txt.gz	expression																				
GSE255144	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	6	PD-L1 and IFN-γ modulate Non-Small Cell Lung Cancer (NSCLC) Cell Plasticity responsible for ICI-Resistance	found	supplementary	GSE255144_raw_counts.txt.gz	expression																				
GSE259379	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	2	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [scRNA-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE259379	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	2	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [scRNA-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE259380	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	149	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [RNA-seq]	found	supplementary	GSE259380_Table_HTseqcount.txt.gz	expression	149	14.9262	3	0	340	118														
GSE259380	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	149	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [RNA-seq]	found	supplementary	GSE259380_Table_HTseqcount.txt.gz	expression	149	1.32886	0	0	30	51														
