gene	set_name	n_qualifying_proteomes	log2fc_ko_over_control	p_value	status	reason
OASL	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
STAT1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
STAT2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IRF7	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IRF9	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
DDX58	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFIH1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
BST2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
RSAD2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
USP18	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFI27	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFI44	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFI44L	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFI6	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
XAF1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HERC5	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
EPSTI1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SAMD9L	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CMPK2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
LY6E	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFITM1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFITM2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFITM3	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PLSCR1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SP100	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SP110	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
EIF2AK2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
ZBP1	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TRIM22	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HELZ2	IFN_ALPHA_TYPE1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
GBP1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
GBP2	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
GBP3	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
GBP4	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
GBP5	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CXCL9	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CXCL10	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CXCL11	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IDO1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
STAT1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IRF1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CIITA	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SOCS1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SOCS3	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-DRA	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-DRB1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TAP1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TAP2	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB8	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB9	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB10	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFNG	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFNGR1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
IFNGR2	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
JAK1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
JAK2	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
NLRC5	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
B2M	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
UBD	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
VCAM1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
ICAM1	IFN_GAMMA_TYPE2	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
B2M	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-A	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-B	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-C	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-E	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
HLA-F	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TAP1	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TAP2	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
TAPBP	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB8	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB9	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PSMB10	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
NLRC5	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CALR	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
CANX	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
PDIA3	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
ERAP1	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
ERAP2	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
SEC61A1	ANTIGEN_PRESENTATION_MHC1	0	NA	NA	not_scored	no CLDN4 or Cldn4 knockout/knockdown proteome of a human epithelial line in ArrayExpress/BioStudies or PRIDE
