cohort	split	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff
GSE253013	GSE253013	WNT11_FZD6	ncWNT	Secreted Signaling	WNT11	FZD6	WNT11	FZD6	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD7	ncWNT	Secreted Signaling	WNT11	FZD7	WNT11	FZD7	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD8	ncWNT	Secreted Signaling	WNT11	FZD8	WNT11	FZD8	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD9	ncWNT	Secreted Signaling	WNT11	FZD9	WNT11	FZD9	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	EGF_EGFR	EGF	Secreted Signaling	EGF	EGFR	EGF	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	TGFA_EGFR	EGF	Secreted Signaling	TGFA	EGFR	TGFA	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	AREG_EGFR	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	BTC_EGFR	EGF	Secreted Signaling	BTC	EGFR	BTC	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	BTC_ERBB4	EGF	Secreted Signaling	BTC	ERBB4	BTC	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	HBEGF_EGFR	EGF	Secreted Signaling	HBEGF	EGFR	HBEGF	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	HBEGF_ERBB4	EGF	Secreted Signaling	HBEGF	ERBB4	HBEGF	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	EREG_EGFR	EGF	Secreted Signaling	EREG	EGFR	EREG	EGFR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	EREG_ERBB4	EGF	Secreted Signaling	EREG	ERBB4	EREG	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG1_ERBB3	NRG	Secreted Signaling	NRG1	ERBB3	NRG1	ERBB3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG1_ERBB4	NRG	Secreted Signaling	NRG1	ERBB4	NRG1	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG2_ERBB3	NRG	Secreted Signaling	NRG2	ERBB3	NRG2	ERBB3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG2_ERBB4	NRG	Secreted Signaling	NRG2	ERBB4	NRG2	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG3_ERBB4	NRG	Secreted Signaling	NRG3	ERBB4	NRG3	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	NRG4_ERBB4	NRG	Secreted Signaling	NRG4	ERBB4	NRG4	ERBB4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF1_FGFR1	FGF	Secreted Signaling	FGF1	FGFR1	FGF1	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF1_FGFR2	FGF	Secreted Signaling	FGF1	FGFR2	FGF1	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF1_FGFR3	FGF	Secreted Signaling	FGF1	FGFR3	FGF1	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF1_FGFR4	FGF	Secreted Signaling	FGF1	FGFR4	FGF1	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF2_FGFR1	FGF	Secreted Signaling	FGF2	FGFR1	FGF2	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF2_FGFR2	FGF	Secreted Signaling	FGF2	FGFR2	FGF2	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF2_FGFR3	FGF	Secreted Signaling	FGF2	FGFR3	FGF2	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF2_FGFR4	FGF	Secreted Signaling	FGF2	FGFR4	FGF2	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF4_FGFR1	FGF	Secreted Signaling	FGF4	FGFR1	FGF4	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF4_FGFR2	FGF	Secreted Signaling	FGF4	FGFR2	FGF4	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF4_FGFR3	FGF	Secreted Signaling	FGF4	FGFR3	FGF4	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF4_FGFR4	FGF	Secreted Signaling	FGF4	FGFR4	FGF4	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF5_FGFR1	FGF	Secreted Signaling	FGF5	FGFR1	FGF5	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF5_FGFR2	FGF	Secreted Signaling	FGF5	FGFR2	FGF5	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF5_FGFR3	FGF	Secreted Signaling	FGF5	FGFR3	FGF5	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF5_FGFR4	FGF	Secreted Signaling	FGF5	FGFR4	FGF5	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF6_FGFR1	FGF	Secreted Signaling	FGF6	FGFR1	FGF6	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF6_FGFR2	FGF	Secreted Signaling	FGF6	FGFR2	FGF6	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF6_FGFR3	FGF	Secreted Signaling	FGF6	FGFR3	FGF6	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF6_FGFR4	FGF	Secreted Signaling	FGF6	FGFR4	FGF6	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF7_FGFR1	FGF	Secreted Signaling	FGF7	FGFR1	FGF7	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF7_FGFR2	FGF	Secreted Signaling	FGF7	FGFR2	FGF7	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF3_FGFR1	FGF	Secreted Signaling	FGF3	FGFR1	FGF3	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF3_FGFR2	FGF	Secreted Signaling	FGF3	FGFR2	FGF3	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF10_FGFR1	FGF	Secreted Signaling	FGF10	FGFR1	FGF10	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF10_FGFR2	FGF	Secreted Signaling	FGF10	FGFR2	FGF10	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF22_FGFR2	FGF	Secreted Signaling	FGF22	FGFR2	FGF22	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF8_FGFR1	FGF	Secreted Signaling	FGF8	FGFR1	FGF8	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF8_FGFR2	FGF	Secreted Signaling	FGF8	FGFR2	FGF8	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF8_FGFR3	FGF	Secreted Signaling	FGF8	FGFR3	FGF8	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF8_FGFR4	FGF	Secreted Signaling	FGF8	FGFR4	FGF8	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF17_FGFR1	FGF	Secreted Signaling	FGF17	FGFR1	FGF17	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF17_FGFR2	FGF	Secreted Signaling	FGF17	FGFR2	FGF17	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF17_FGFR3	FGF	Secreted Signaling	FGF17	FGFR3	FGF17	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF17_FGFR4	FGF	Secreted Signaling	FGF17	FGFR4	FGF17	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF18_FGFR1	FGF	Secreted Signaling	FGF18	FGFR1	FGF18	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF18_FGFR2	FGF	Secreted Signaling	FGF18	FGFR2	FGF18	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF18_FGFR3	FGF	Secreted Signaling	FGF18	FGFR3	FGF18	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF18_FGFR4	FGF	Secreted Signaling	FGF18	FGFR4	FGF18	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF9_FGFR1	FGF	Secreted Signaling	FGF9	FGFR1	FGF9	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF9_FGFR2	FGF	Secreted Signaling	FGF9	FGFR2	FGF9	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF9_FGFR3	FGF	Secreted Signaling	FGF9	FGFR3	FGF9	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF9_FGFR4	FGF	Secreted Signaling	FGF9	FGFR4	FGF9	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF20_FGFR1	FGF	Secreted Signaling	FGF20	FGFR1	FGF20	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF20_FGFR2	FGF	Secreted Signaling	FGF20	FGFR2	FGF20	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF20_FGFR3	FGF	Secreted Signaling	FGF20	FGFR3	FGF20	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF20_FGFR4	FGF	Secreted Signaling	FGF20	FGFR4	FGF20	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF16_FGFR1	FGF	Secreted Signaling	FGF16	FGFR1	FGF16	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF16_FGFR2	FGF	Secreted Signaling	FGF16	FGFR2	FGF16	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF16_FGFR3	FGF	Secreted Signaling	FGF16	FGFR3	FGF16	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF16_FGFR4	FGF	Secreted Signaling	FGF16	FGFR4	FGF16	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF15_FGFR1	FGF	Secreted Signaling	FGF19	FGFR1	FGF19	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF15_FGFR2	FGF	Secreted Signaling	FGF19	FGFR2	FGF19	FGFR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF15_FGFR3	FGF	Secreted Signaling	FGF19	FGFR3	FGF19	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF15_FGFR4	FGF	Secreted Signaling	FGF19	FGFR4	FGF19	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF21_FGFR1	FGF	Secreted Signaling	FGF21	FGFR1	FGF21	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF21_FGFR3	FGF	Secreted Signaling	FGF21	FGFR3	FGF21	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF23_FGFR1	FGF	Secreted Signaling	FGF23	FGFR1	FGF23	FGFR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF23_FGFR3	FGF	Secreted Signaling	FGF23	FGFR3	FGF23	FGFR3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	FGF23_FGFR4	FGF	Secreted Signaling	FGF23	FGFR4	FGF23	FGFR4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFA_PDGFRA	PDGF	Secreted Signaling	PDGFA	PDGFRA	PDGFA	PDGFRA	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFA_PDGFRB	PDGF	Secreted Signaling	PDGFA	PDGFRB	PDGFA	PDGFRB	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFB_PDGFRA	PDGF	Secreted Signaling	PDGFB	PDGFRA	PDGFB	PDGFRA	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFB_PDGFRB	PDGF	Secreted Signaling	PDGFB	PDGFRB	PDGFB	PDGFRB	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFC_PDGFRA	PDGF	Secreted Signaling	PDGFC	PDGFRA	PDGFC	PDGFRA	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PDGFD_PDGFRB	PDGF	Secreted Signaling	PDGFD	PDGFRB	PDGFD	PDGFRB	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFA_VEGFR1	VEGF	Secreted Signaling	VEGFA	FLT1	VEGFA	FLT1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFA_VEGFR2	VEGF	Secreted Signaling	VEGFA	KDR	VEGFA	KDR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFB_VEGFR1	VEGF	Secreted Signaling	VEGFB	FLT1	VEGFB	FLT1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFC_VEGFR3	VEGF	Secreted Signaling	VEGFC	FLT4	VEGFC	FLT4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFC_VEGFR2	VEGF	Secreted Signaling	VEGFC	KDR	VEGFC	KDR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFD_VEGFR3	VEGF	Secreted Signaling	VEGFD	FLT4	VEGFD	FLT4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	VEGFD_VEGFR2	VEGF	Secreted Signaling	VEGFD	KDR	VEGFD	KDR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	PGF_VEGFR1	VEGF	Secreted Signaling	PGF	FLT1	PGF	FLT1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	IGF1_IGF1R	IGF	Secreted Signaling	IGF1	IGF1R	IGF1	IGF1R	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	IGF2_IGF1R	IGF	Secreted Signaling	IGF2	IGF1R	IGF2	IGF1R	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	IGF2_IGF2R	IGF	Secreted Signaling	IGF2	IGF2R	IGF2	IGF2R	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	IGFL3_IGFLR1	IGF	Secreted Signaling	IGFL3	IGFLR1	IGFL3	IGFLR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	INS_INSSR	INSULIN	Secreted Signaling	INS	INSR	INS	INSR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	APLN_APLNR	APELIN	Secreted Signaling	APLN	APLNR	APLN	APLNR	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL5_CCR1	CCL	Secreted Signaling	CCL5	CCR1	CCL5	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	recruit	False	False
GSE253013	GSE253013	CCL3_CCR1	CCL	Secreted Signaling	CCL3	CCR1	CCL3	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	recruit	False	False
GSE253013	GSE253013	CCL3L1_CCR1	CCL	Secreted Signaling	CCL3L1	CCR1	CCL3L1	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL3L3_CCR1	CCL	Secreted Signaling	CCL3L3	CCR1	CCL3L3	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL8_CCR1	CCL	Secreted Signaling	CCL8	CCR1	CCL8	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL7_CCR1	CCL	Secreted Signaling	CCL7	CCR1	CCL7	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL13_CCR1	CCL	Secreted Signaling	CCL13	CCR1	CCL13	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL14_CCR1	CCL	Secreted Signaling	CCL14	CCR1	CCL14	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL15_CCR1	CCL	Secreted Signaling	CCL15	CCR1	CCL15	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL16_CCR1	CCL	Secreted Signaling	CCL16	CCR1	CCL16	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL23_CCR1	CCL	Secreted Signaling	CCL23	CCR1	CCL23	CCR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL8_CCR2	CCL	Secreted Signaling	CCL8	CCR2	CCL8	CCR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL7_CCR2	CCL	Secreted Signaling	CCL7	CCR2	CCL7	CCR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	CCL2_CCR2	CCL	Secreted Signaling	CCL2	CCR2	CCL2	CCR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
