accession,excluded_known,tier,keep_for_download,lung,io,trop2,cldn4,title,host,organisms,n_files,n_raw_files,n_proteinish_files,sources,keywords,description,pride_url,px_url,queries
PXD016060,False,core_lung_io,True,True,True,False,False,Identification of tumor antigens in the HLA peptidome of patient-derived xenograft tumors in mouse,PRIDE,Homo sapiens (human),84,64,19,pride,Patient derived xenograft;Tumor antigen;Peptidome;Hla,"Personalized cancer immunotherapy targeting patient-specific cancer/testis (CTA) antigens and neoantigens may benefit from large-scale tumor HLA peptidome (immunopeptidome) analysis, which aims to accurately identify antigens presented by tumor cells. While significant efforts have been invested in analyzing the HLA peptidomes of fresh tumors, it is often impossible to obtain sufficient volumes of tumor tissues for comprehensive HLA peptidome characterization. This work attempted to overcome some of these obstacles by using patient-derived xenograft tumors (PDX) in mice as the tissue sources for HLA peptidome analysis. PDX tumor provide a proxy for expansion of the patient tumor by re-grafting them through several passages to immune compromised mice. The HLA peptidomes of human biopsies were compared to those derived from PDX tumors. Larger HLA peptidomes were obtained from the significantly larger PDX tumors as compared to the patient biopsies. The HLA peptidomes of different PDX tumors derived from the same source tumor biopsy were very reproducible, even following subsequent passages to new naïve mice. A large number of CTA-derived HLA peptides were discovered, as well as several neoantigens. Taken together, use of PDX tumors for HLA peptidome analysis serves as a highly expandable and stable source of reproducible and authentic peptidomes, opening up new opportunities for defining large HLA peptidomes when only small tumor biopsies are available. This approach provides a large source for tumor antigens identification potentially useful for personalized immunotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD016060,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD016060,keyword:immunotherapy
PXD016997,False,core_lung_io,True,True,True,False,False,Identification of proteome changes in apoptotic NSCLC cells,PRIDE,Homo sapiens (human),6,2,4,omicsdi:pride;pride,Lc-msms;Nsclc;Silac,"Here, we used an unbiased, functional target-discovery platform to identify immunogenic proteins from primary non-small cell lung cancer (NSCLC) cells that had been induced to apoptosis by cisplatin (CDDP) treatment in vitro, as compared with their live counterparts. Among the multitude of proteins identified, some of them were represented as fragmented proteins in apoptotic tumor cells, and acted as non-mutated neoantigens. Only the fragmented proteins elicited effective multi-specific T cell responses, upon a chemotherapy protocol including CDDP. Importantly, these responses further increased significantly upon anti-PD-1 therapy, and correlated with patients’ survival and decreased PD-1 expression.",https://www.ebi.ac.uk/pride/archive/projects/PXD016997,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD016997,id:PXD* AND NSCLC AND (immunotherapy OR PD-1 OR PD-L1) | keyword:PD-1
PXD018299,False,core_lung_io,True,True,True,False,False,Deep analysis of the USP18-dependent ISGylome and proteome unveils important roles for USP18 in tumour cell antigenicity and radiosensitivity,PRIDE,Homo sapiens (human),39,36,3,pride,Human;Cancer;Deisgylating enzyme;Proteomics;Usp18;Isg15;Immunotherapy,"The deubiquitylating enzyme USP18 is a major negative regulator of the interferon (IFN) signalling cascade. IFN pathways contribute to resistance to conventional chemotherapy, radiotherapy, and immunotherapy and are often upregulated in certain tumours, including breast, lung, and colon tumours. USP18 is the predominant human protease that cleaves interferon-stimulated gene ISG15, a ubiquitin-like protein tightly regulated in the context of innate immunity, from its modified substrate proteins in vivo. In this study, using advanced proteomic techniques, we have expanded the USP18-dependent ISGylome and proteome in a chronic myeloid leukaemia (CML)-derived cell line (HAP1) treated with type I IFN. Novel ISGylation targets were characterised that modulate the sensing of innate ligands, antigen presentation and secretion of cytokines. Consequently, CML USP18-deficient cells are more antigenic, driving increased activation of cytotoxic T lymphocytes (CTLs) and are more susceptible to irradiation. Our results suggest USP18 as a pharmacological target in cancer immunotherapy and radiotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD018299,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD018299,keyword:immunotherapy
PXD019573,False,core_lung_io,True,True,True,False,False,NSCLC Lung Adenocarcinoma Proteomics,PRIDE,Homo sapiens (human),71,65,5,literature_seed;omicsdi:pride;pride,Mapp;Proteasome;Nsclc;Degradome;Lung cancer,"Alterations in cellular antigen processing and presenting machinery has gained increased interest as a hallmark of cancer-related inflammation. Growing evidence suggest that proteasome composition and immunoproteasome expression can influence the efficacy of cancer therapies. By applying proteasome foot-printing to clinical samples of Non Small Cell lung Cancer (NSCLC), we found tumor specific alterations in degradation products and increased expression of the proteasome regulator, PA200. We show that increased levels of PA200 alter the cleavage specificities of proteasomal-cleaved peptides and reduce antigenicity. We found that smoking-induced expression of PA200 abrogated immunoproteasome activity and is associated with poor survival. As immunotherapy is becoming a common treatment of NSCLC, we hypothesized that PA200 expression may contribute to resistance mechanism to immunotherapy. Consistent with this possibility, we found that the ratio between PA200 and the immunoproteasome subunit PSMB10, and not their absolute levels, were significantly associated with poor response to Durvalamab. Induced reduction in PA200 in vivo was associated with increased immune infiltration and attenuated tumor growth.",https://www.ebi.ac.uk/pride/archive/projects/PXD019573,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019573,id:PXD* AND NSCLC AND (immunotherapy OR PD-1 OR PD-L1) | keyword:immunotherapy | seed
PXD019643,False,core_lung_io,True,True,True,False,False,The HLA-Ligand-Atlas. A resource of natural HLA ligands presented on benign tissues,PRIDE,Homo sapiens (human),100,84,16,pride,Human;Hla;Benign tissues;Immunopeptidomics,"The human leukocyte antigen (HLA) complex regulates the adaptive immune response by showcasing the intracellular and extracellular protein content to the immune system. T cells recognize these HLA-presented peptides as self or foreign and can elicit an immune response.  In this work, we describe the HLA-Ligand-Atlas, a comprehensive map of HLA-I and HLA-II-presented peptides from 30 benign tissues, 51 HLA-I alleles, and 86 HLA-II alleles. Nearly 50% of HLA ligands have not been previously described. Due to the scarcity of benign human samples, the tissue was extracted from different organs at autopsy from human subjects without any diagnosed malignancy. Furthermore, we were able to identify non-canonical HLA-I peptides on benign tissues, showing that their processing is not unique to cancer. This dataset holds great promise in answering both basic and translational questions in fields such as autoimmunity, organ/tissue transplantation, and cancer immunotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD019643,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019643,keyword:immunotherapy
PXD019763,False,core_lung_io,True,True,True,False,False,Sirt2 Inhibition Reprograms T Cell Metabolism to Confer Superior Anti-Tumor Immunity,PRIDE,Mus musculus (mouse),30,6,24,pride,Lysine acetylation;Anti-tumor immunity;Sirt2;T cells;Lc-ms/ms,"Dysregulated metabolism is a key driver of maladaptive tumor-reactive T lymphocytes within the tumor microenvironment (TME). Actionable mechanisms that rescue the effector activity of anti-tumor T cells in a metabolically restricted TME remain elusive. Here, we report that the Sirtuin-2 (Sirt2) protein deacetylase functions as a master metabolic checkpoint that inhibits T cell metabolic fitness and impairs T cell effector functions and anti-tumor immunity. Mechanistically, Sirt2 suppresses glycolysis and oxidative-phosphorylation (OxPhos) by deacetylating key enzymes involved in glycolysis, tricarboxylic acid (TCA)-cycle, fatty acid oxidation (FAO) and glutaminolysis. Accordingly, Sirt2-deficient T cells exhibit a hyper-metabolic activity with increased glycolysis and OxPhos, resulting in enhanced proliferation and effector functions at tumor beds and subsequently exhibiting superior anti-tumor activity. Importantly, pharmacologic inhibition of Sirt2 endows human lung tumor-infiltrating lymphocytes (TILs) with these superior metabolic fitness and enhanced effector functions. Furthermore, upregulation of Sirt2 expression in human TILs negatively correlates with response to Nivolumab and TIL therapy in non-small cell lung cancer (NSCLC). Our findings unveil Sirt2 as an unexpected actionable target for reprogramming T cell metabolism to augment a broad spectrum of cancer immunotherapies.",https://www.ebi.ac.uk/pride/archive/projects/PXD019763,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019763,keyword:checkpoint | keyword:nivolumab
PXD019774,False,core_lung_io,True,True,True,False,False,Proteogenomic analysis unveils the expression of cancer associated and specific antigen-derived HLA Class ǀ immunopeptides in melanoma and EGFR mutant lung adenocarcinoma,PRIDE,Homo sapiens (human),27,24,3,pride,Hla immunopeptidome;Immunotherapy;Neoantigen;Melanoma;Lung cancer,"Immunotherapy has shown great therapeutic potential for cancers with high tumor mutational burden (TMB), but much less promise for cancers with low TMB. One primary approach for adoptive lymphocyte transfer-based immunotherapy is to target the somatic mutated peptide neoantigens and cancer testis (CT) antigens recognized by cytotoxic T cells. Here, we employed mass spectrometry (MS)-based proteogenomic large-scale profiling to identify potential immunogenic human leukocyte antigen (HLA) Class ǀ- associated peptides in both melanoma, a “hot tumor”, and EGFR mutant lung adenocarcinoma, a “cold tumor”. We uncovered 19 common driver oncogene-derived peptides and more than 1000 post-translationally modified peptides (PTM) representing 58 different PTMs. We constructed a CT antigen database with 286 antigens by compiling reputed CT antigen resources and “in-house” genomic data and used this to identify 45 CT antigen-derived peptides from the identified HLA peptidome. Using integrated next generation sequencing data, we discovered 12 neopeptides in EGFR mutant lung cancer cell lines. Finally, we report a novel approach for non-canonical peptide discovery, whereby we leveraged a deep learning-based de novo search and a high confidence annotated long noncoding RNA (LncRNA) database to identify 44 lncRNA-derived peptides. Findings of this study, for the first time, provide evidence for a large pool of actionable cancer antigen-derived peptides for use in mutant EGFR lung cancer immunotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD019774,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019774,keyword:immunotherapy
PXD020150,False,core_lung_io,True,True,True,False,False,Sirt2 inhibition reprograms T cell metabolism for optimal anti-tumor immunity: Sirt2 Interacting Proteins 2,PRIDE,Mus musculus (mouse),30,6,24,pride,T cell;Sirtuin 2;Metabolism;Interacting proteins;Glycolysis,"Growing evidence indicates that metabolism is a key driver of T cell functions. A switch from oxidative phosphorylation to aerobic glycolysis is a hallmark of T cell activation and is required to meet metabolic demands of proliferation and effector functions. However, the mechanisms underlying the metabolic switch in T cells remain unclear. Here, we identify Sirt2 as a crucial immune checkpoint coordinating metabolic and functional fitness of T cells. Sirt2 is induced upon T cell activation and increases in late maturation stages. Sirt2 negatively regulates glycolysis by targeting key glycolytic enzymes. Remarkably, Sirt2 knockout T cells exhibit profound upregulation of aerobic glycolysis with enhanced proliferation and effector function and thus effectively reject tumor challenge in vivo. Furthermore, pharmacologic inhibition of Sirt2 in human tumor infiltrating lymphocytes demonstrated a similar phenotype. Taken together, our results demonstrate Sirt2 as an actionable target to reprogram T cell metabolism to augment immunotherapy.",https://www.ebi.ac.uk/pride/archive/projects/PXD020150,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD020150,keyword:checkpoint | keyword:immunotherapy
PXD020304,False,core_lung_io,True,True,True,False,False,"Regression of breast cancer metastases following treatment with irradiated SV-BR-1-GM, a GM-CSF overexpressing breast cancer cell line: clinical, molecular, and immune markers of response",PRIDE,Homo sapiens (human),41,37,4,pride,Gvax;Whole-cell vaccine;Therapeutic cancer vaccine;Targeted immunotherapy;Antigen-presenting cells;Sv-br-1-gm,"BACKGROUND:   While many authorities theorize that  cancer vaccines  are too weak to be widely effective,  there are quite a few reports  with clearly demonstrated, significant clinical benefit in some patients. The literature of cellular cancer immunotherapies shows that 53% (78/147) of phase II studies showed evidence of clinical activity.  While not all reached their primary endpoints,  75% (12/16) of phase III studies had positive data. SV-BR-1-GM, derived from a patient with grade 2 (moderately differentiated) breast cancer, is a GM-CSF-secreting breast cancer cell line with properties of antigen-presenting cells we established. METHODS:  We report detailed molecular and clinical findings from an open-label phase I, single-arm pilot study  in breast (3 subjects) and ovarian (1 subject) cancer with irradiated SV-BR-1-GM cells (ClinicalTrials.gov Identifier NCT00095862).  Inoculations of SV-BR-1-GM were preceded by low-dose cyclophosphamide and followed by injections of interferon-alpha2b into the SV-BR-1-GM inoculation sites.  We assessed both cellular (delayed-type hypersensitivity (DTH) reactions) and humoral (anti-SV-BR-1 antibody) immune responses and conducted molecular analyses on patient blood cells and SV-BR-1-GM cells. RESULTS: Treatment was generally safe and well tolerated. Immune responses were elicited universally.   Overall survival was more than 33 months for three of the four patients. As previously reported, one patient (Subject A002, with grade 2 breast cancer) had  regression of metastases in lung, breast and soft tissue within 2 months of treatment initiation.  At later relapse, with multiple metastases including several in the brain, rapid tumor response was again seen, including complete regression of CNS metastases. Consistent with a role of Class II HLA in contributing to SV-BR-1-GM’s mechanism of action, Subject A002 allele-matched SV-BR-1-GM at the HLA-DRB1 and HLA-DRB3 loci. Only the HLA-DRB1 alleles were clearly expressed in SV-BR-1-G",https://www.ebi.ac.uk/pride/archive/projects/PXD020304,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD020304,keyword:immunotherapy
PXD020618,False,core_lung_io,True,True,True,False,False,Clinical Proteomics of Metastatic Melanoma Reveals Profiles of Organ-Specificity and Treatment Resistance,PRIDE,Homo sapiens (human),100,99,1,pride,Melanoma;Braf;Metastases;Proteomics;Immunotherapy,"Immunotherapy and targeted therapy dramatically changed the treatment of metastatic melanoma. Yet, many patients do not respond to these treatments and improve the understanding of response and resistance is an urgent need. Thus, we utilized mass spectrometry-based proteomic analysis of 185 metastatic melanoma samples. Metastases from different sites demonstrate differences in cellular processes such as immune, metabolism, translation and proliferation. Complementary epidemiology analysis uncovers prognosis variance between different metastases locations after treated with anti-PD1.  Examination of lung melanoma metastases reveals clinical and molecular heterogeneity that mainly reflected in immune-related processes. Analysis of BRAF mutation status and prior treatments with MAPK inhibitors also indicate differences in immune and metabolic processes and suggest a molecular basis for the combination of immunotherapy and targeted therapy. These results shed new light into biology and therapeutic resistant mechanisms and the pathogenesis of metastatic melanoma.",https://www.ebi.ac.uk/pride/archive/projects/PXD020618,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD020618,keyword:PD1 | keyword:immunotherapy
