accession,category,n_samples,n_suppl,n_processed_candidates,status,title
GSE154286,LUNG_ICI_other,133,2,0,Chemo (not ICI) + RAW.tar only. Not computed.,Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study
GSE154826,LUNG_ICI_single_cell,166,78,0,CITE-seq batches; not a single processed gene matrix.,CITEseq analysis of non-small-cell lung cancer lesions
GSE159785,LUNG_ICI_other,363,4,2,COVID GeoMx protein; not ICI.,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [GeoMx human protein]
GSE159787,LUNG_ICI_other,363,7,3,COVID GeoMx RNA; TACSTD2 present; not ICI.,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [gene expression]
GSE162154,LUNG_ICI_single_cell,6,1,0,COPD airway epithelium; not ICI.,RNA-seq of human small airawy epithelial cells in patients with COPD and Never-smoker
GSE167235,LUNG_ICI_single_cell,9,2,0,RAW.tar only.,A burned-out CD8+ T-cell subset expands in the tumor microenvironment and curbs cancer immunotherapy
GSE168707,LUNG_ICI_other,6,2,1,miRNA cisplatin; not ICI / not these genes.,RT-PCR profiling analysis of microRNA expression in cisplatin-resistant cancer
GSE171650,LUNG_ICI_other,30,2,1,Cell-line DE xlsx; not a gene matrix with TACSTD2/CLDN4.,PD-L1 alteration in lung cancer affects tumorigenicity lung tumors
GSE173351,LUNG_ICI_other,212,2,0,NO processed matrix (RAW.tar only). Not computed.,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade
GSE173896,LUNG_ICI_single_cell,16,5,1,COPD lung counts; TACSTD2/CLDN4 not in file.,Single-cell Transcriptome Analysis Reveals an Anomalous Epithelial Variation and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease
GSE176021,LUNG_ICI_single_cell,110,4,0,Response status deposited but NO processed gene matrix. Not computed.,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]
GSE176022,LUNG_ICI_single_cell,102,2,0,TCR-seq / RAW.tar only. Not a gene-expression leftover compute.,Distinct transcriptional programs characterize neoantigen-specific T cells in   lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]
GSE179934,LUNG_ICI_cellline_invitro,9,3,1,A549 cell-line counts; not patient ICI.,The immune heterogeneity between pulmonary adenocarcinoma and squamous cell carcinoma: a comprehensive analysis based on lncRNA model
GSE179994,LUNG_ICI_single_cell,47,6,1,REVISITED large: 441MB T-cell RDS downloaded; TACSTD2 string present; no patient-level stats extracted; no response/PFS.,Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer
GSE180347,LUNG_ICI_other,144,2,0,NO processed matrix (RAW.tar only). Metadata has PD-L1 group. Not computed.,Transcriptomic analysis of PD-L1 positive and negative hot lung adenocarcinomas identifies a different molecular immunogenic landscape
GSE181820,LUNG_ICI_other,22,1,0,COMPUTED: both genes vs GEO groups A/B/C (not a deposited ICI response).,Highly Immunogenic Cancer Cells Require Activation of the WNT Pathway for Immunological Escape
GSE184053,LUNG_ICI_other,9,6,3,COMPUTED: TACSTD2 ~0 in Temra; no ICI endpoint. CLDN4 Ensembl not in those count files.,"CD8+ TILs in NSCLC differentiate into TEMRA via a bifurcated trajectory, deciphering immunogenicity of tumor-antigens"
GSE190265,LUNG_ICI_other,34,2,1,COMPUTED: both genes vs histology only (no ICI endpoint deposited).,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France3]
GSE190266,LUNG_ICI_other,70,1,1,COMPUTED: CLDN4 vs 6-month PFS (n=70). TACSTD2 absent from TPM matrix.,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]
GSE99995,LUNG_ICI_other,12,2,0,"IFN-γ / PD-L1 levels, not ICI treatment; series_matrix has no TACSTD2/CLDN4 symbols.",Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ
