	OVCAR3 Cells					
Phosphoenolpyruvate	87877	134808.62	133957.83	144911.8	365472.16	172671.55
Pyruvate	973692.5	1537692.62	1528799.12	1239047.25	1681512.12	1773172.12
Lactate	25973934	44628428	47138772	18795128	38647652	56111748
Maltose/Sucrose	1814103.12	1721254	1370554.88	1978567.38	1501347.5	1641765
Mannitol/Sorbitol/Glucitol/Iditol	6540986.5	5047972.5	7049256	10468108	5458601	6144917.5
Ribose/Ribulose/Arabinose/Xylose/Xylulose	403442.84	273601.84	444094.66	464441.09	388365.59	505146.22
D-Arabitol/Xylitol/Ribitol	966703.06	786253.5	882558.31	849776.19	517657.75	1071043.38
Citrate	144296224	121969984	126847016	169652080	107379456	148955568
2-Oxoglutarate	1652525	1188430.62	2125274.5	2987530.25	1266031.88	2520980.25
Succinate	6830078.5	9935460	8701122	5926654	3034822	5758227.5
Fumarate	7575954	6520257.5	6707566.5	7023646.5	6409071.5	6654665.5
Malate	112796736	104746368	105764832	109489696	94432512	128952440
Oxaloacetate	145890.62	150876.48	129053.22	168407.86	161043.08	125252.95
2-Hydroxyglutarate	8320580	5682692	6724250	7382804	4571742.5	7448536
6-Phospho-D-gluconate	284583.44	657334.56	688460.25	314878.53	458441	468895.66
Glutathione	315424224	280705248	357272704	263693584	225554688	289080608
Glutathione disulfide	443002.84	363451.62	199408	272206.59	259187.92	187994.44
5-Oxoproline	5782879.5	9532271	8536325	8335325.5	8235649.5	9260365
Cys-Gly	2571336.25	2414191.75	2869637	2217272.75	1896459	2200955.25
Ascorbate	991234.06	1231290.62	1427166.5	781744.81	940468	1460790.62
Dehydroascorbate	3136021.75	2948164.75	2469621	3749135.25	2285210.25	3388972
gamma-L-Glutamyl-L-cysteine	734479.44	624716	486534.16	604656.56	649857.94	567530.56
gamma-Glutamyl-Se-methylselenocysteine	29108.38	72396.22	50050.94	26124.77	22216.51	29466.68
gamma-L-Glutamyl-D-alanine	209321.38	204136.89	182443.19	230981.67	129197.75	175117.33
Dimethylglycine	1177237.25	1285659.75	1314319.88	1006566	1065117.12	1217333.12
S-Adenosyl-L-methionine	600344.44	890391.06	778929.69	951740.94	1214480.75	1149718.88
Ornithine	341972.88	328275.56	559059.31	283450.28	245431.55	343034
Argininosuccinate	447231.59	346687.22	155682.73	379559.84	334350.34	490973.47
Spermidine	3293712	5209111.5	4429343.5	3668328	4288071.5	4763164.5
Spermine	4904443	4468635.5	5853172.5	9963089	5276882.5	7147062.5
N-Acetylneuraminate	453454.09	274251.53	509294.34	395036.97	338554.47	408008.75
N-Glycoloyl-neuraminate	274540.22	223067.14	330978.03	222186.67	337164.5	317187.72
UDP-N-acetyl-D-glucosamine	43831388	25167816	34051012	28783402	28748774	44781780
CMP-N-acetylneuraminate	1237329.88	1171090.38	1309296.38	1388110.62	920170.31	1208193.12
Carnosine	106340.8	127155.16	235936.23	95625	256594.56	259478.02
Phosphocreatine	3152787.75	3309746	3754455.25	5342408.5	4256488	3956095.75
Creatine	128125112	120369856	124715648	96205896	69248448	109164288
Creatinine	628828.5	616135.44	706924.19	678553.62	677541.69	672997.81
N-Acetyl-L-ornithine	280468.03	433516.22	315828.97	199885.95	284056.41	214649.25
trans-4-Hydroxy-L-proline	1499389.62	2717653.75	2998849.25	2429443.5	3473012.75	4072476.75
Pantothenate	955253.56	1603454.5	1134655.88	509666.97	992441.5	799322.06
Pantetheine	30544.34	29430.1	32801.24	45925.8	19816.57	24841.27
Taurine	2399040.75	1765676.5	1944490.38	1130849.88	756547.69	878583.19
5-Hydroxyindoleacetate	266231.12	82291.52	227968.3	566712.44	64192.91	252193.73
Indole-3-acetate	1305383.12	1427753.62	701620.81	1259708.12	916630.69	488656.12
Indolepyruvate	97637.65	52478.74	37296.6	94557.38	122009.96	130834.71
Quinolinic acid	82136.85	34715.51	62044.03	38973.93	66714.38	27636.22
Picolinic acid	809166.81	635359.75	994782.75	1062643.88	994108.81	1031189
g-Oxalo-crotonate	552700.69	1399470.62	993415.19	497770.5	625229.69	753136.75
2-Aminomuconate	1058950.75	838022.19	1210654.88	741528.75	699469.25	1366144.38
Glycerol 3-phosphate	613920.25	777866	1502307	691610.94	1329947.38	1059356.38
Phosphoethanolamine	862495.06	172608.91	1447454.62	707169	401617.16	809131.5
N-Methylethanolamine phosphate	120329.05	119316.77	238622.61	409985.38	347950.41	241561.62
Choline	37002364	41496180	44547644	21541850	26234498	28474298
Acetylcholine	10183509	8022401.5	7439034	6465774.5	5195340	5492373.5
L-Carnitine	9944727	5834613.5	6498660	4026374.25	5016576	2895777
AC(2:0)	27613422	44492516	55733964	18402032	19258650	29950582
AC(3:0)	3559881.25	5729130	5318420	4006248	4071500.75	2726504.75
AC(4:0)	5946036	15163077	10879520	4671788	9153717	6749284.5
AC(4-OH)	443629.03	585855.06	405480.03	342965.5	140046.84	270003.03
AC(5:0)	38093668	56660576	37893916	26441722	27261608	23193990
AC(5:1)	10974.42	18414.76	0	21237.22	0	27602.02
AC(5-OH)	294814.16	240683.89	257631.69	191151.3	143680.83	67001.12
AC(12:0)	1208163.38	665225.69	937726.75	405948.75	188099.23	437924.84
AC(14:0)	70016552	39490640	74894176	33286158	18722904	38559180
AC(14:1)	3064785.75	1798710.88	1572640.38	1139250.75	865441.19	771982.25
AC(16:0)	140218000	88006344	133666312	105203144	54654816	73768192
AC(16:1)	38269320	21214330	21013666	20760894	11413291	12939480
AC(18:0)	17508238	9037309	20063166	12410117	5602765.5	11188633
AC(18:1)	56565012	24691414	39997740	43472052	15053915	19828706
AC(18:2)	5194334.5	2800331	2728461.5	1614133	1227889.5	1035939.94
AC(20:4)	704411	316871.81	394828.84	594556.31	254593.88	327794.84
FA(5:0)	156236.42	144312.92	127202.21	132840.02	103862.46	115946.62
FA(6:0)	2875723	2873619.75	2933880	3139219.25	2173948.75	2965069.25
FA(7:0)	6470022.5	6287165.5	5888978	6068727.5	5744289.5	5499337.5
FA(8:0)	26212754	19546678	22027164	23484874	25718686	22640950
FA(9:0)	37088340	32705786	35853180	37409704	37809932	34301196
FA(10:0)	50669604	49397540	51346948	51439236	45746484	51323116
FA(12:0)	49988960	47534176	53128448	53646860	46790368	54752112
FA(14:0)	190423344	81247496	289787872	199924096	88132472	316106208
FA(16:0)	222733632	224826368	229958608	201662224	204596976	220977232
FA(18:0)	127442616	150736880	131466176	109436840	102284456	108701656
FA(14:1)	6466426.5	3403399.25	4102184.25	4241406.5	2128033.75	3694719.25
FA(16:1)	22216638	11194995	11878679	12686264	7571526.5	10686475
FA(18:1)	50579740	44427388	37248212	44658240	26941640	38994808
FA(18:2)	6119904	4129467.75	4260568	2772568.75	2135865	2163577.75
FA(20:4)	9391800	6948138	4530362.5	6857274	3191524.25	4082362
FA(20:5)	284904.78	181525.55	197473.19	284567.78	170090.84	196023.3
FA(22:6)	3765173.75	3683713.25	1912376.62	3611305.75	1760660.88	1465528
FA(20:3)	2036476.62	1608053.88	1229679.5	1503959.38	764281.31	724544.5
FA(22:5)	2317383.75	1926749.12	1308696.5	1882262.5	1171359.12	1134837.12
Sphingosine	113321000	92899560	77503448	117547496	97843752	97417432
Sphinganine 1-phosphate	237412.62	295453.19	352472.09	294935.5	280846.03	321216.12
3-Phospho-D-glyceroyl phosphate	426856.38	197669.7	545541.19	1085011.12	851432.31	718968
