Supplemental Table 1			
Alternate ID	Control sample 1	CLDN4 sample 2	FC Log 2 (Claudin-4/Control)
PODXL	1	11	3.459432
USP43	1	11	3.459432
SLC39A6	1	11	3.459432
TBC1D10A	1	11	3.459432
SHB	1	11	3.459432
LAMTOR1	1	11	3.459432
CDC42EP1	2	21	3.392317
RAB3IL1	1	10	3.321928
SYTL4	1	10	3.321928
PGRMC1	1	10	3.321928
ZDHHC8	1	10	3.321928
VRK2	1	10	3.321928
DAG1	1	10	3.321928
LZTS2	1	10	3.321928
DDRGK1	1	10	3.321928
CANT1	1	10	3.321928
SLC29A1	1	10	3.321928
ROCK1	5	49	3.292782
ELFN2	1	9	3.169925
PLCB1	1	9	3.169925
ELMOD3	1	9	3.169925
DNAJC1	1	9	3.169925
RAB6A	1	9	3.169925
RP2	1	9	3.169925
GGT7	1	9	3.169925
LRRC57	1	9	3.169925
LRRC8A	1	9	3.169925
ARHGAP39	1	9	3.169925
CERS4	1	9	3.169925
CLDN1	1	9	3.169925
CASP14	1	9	3.169925
CD320	1	9	3.169925
SLC9A1	1	9	3.169925
TBC1D22B	1	9	3.169925
POR	2	18	3.169925
STK10	7	62	3.146841
SRC	3	26	3.115477
SLC16A1	4	34	3.087463
PARD3	2	16	3
ZFPL1	2	14	2.807355
GORASP2	4	28	2.807355
FLOT1	2	13	2.70044
SYNE2	3	19	2.662965
NDRG1	3	18	2.584963
UBXN4	3	17	2.5025
CDKAL1	5	26	2.378512
GOLGA3	2	10	2.321928
GPAT4	2	10	2.321928
NDRG3	2	10	2.321928
TOR1AIP2	3	15	2.321928
FMN2	6	29	2.273018
GNA13	5	24	2.263034
EMD	5	24	2.263034
PDXDC1	4	19	2.247928
TAOK1	4	19	2.247928
CLCN7	3	14	2.222392
PACSIN2	3	14	2.222392
TMX1	3	14	2.222392
KRT78	5	22	2.137504
ARHGAP21	3	13	2.115477
CISD2	3	13	2.115477
SLC7A5	3	13	2.115477
FLG2	6	25	2.058894
SCYL3	2	8	2
MAGI1	5	19	1.925999
ACBD3	7	26	1.893085
FLG	3	11	1.874469
RASAL2	7	25	1.836501
DSG1	9	32	1.830075
PACS1	4	14	1.807355
LBR	6	21	1.807355
KRT77	6	21	1.807355
PALM	3	10	1.736966
OSBPL8	9	30	1.736966
RFTN1	7	23	1.716207
CNP	6	19	1.662965
OSBPL11	3	9	1.584963
RPN2	3	9	1.584963
ABI1	3	9	1.584963
SPAG1	4	12	1.584963
PLCB3	5	15	1.584963
UBE2J1	7	20	1.514573
RABL3	4	11	1.459432
SRPRA	7	19	1.440573
KPRP	7	19	1.440573
ARHGAP1	7	19	1.440573
SMPD4	3	8	1.415037
STBD1	6	16	1.415037
APBB1	5	13	1.378512
TSC1	10	26	1.378512
SLK	26	66	1.343954
HLA-A	4	10	1.321928
PTPN2	7	17	1.280108
ESYT2	8	19	1.247928
JPH1	3	7	1.222392
PALM2	3	7	1.222392
SNX3	4	9	1.169925
MAP4K4	14	31	1.146841
SLC38A1	6	13	1.115477
EXOC3	13	28	1.106915
RAB3B	7	15	1.099536
SEC16A	11	23	1.06413
PAK4	8	16	1
ALDH3A2	9	18	1
FAM129B	22	44	1
SEPT7	17	33	0.956931
PLEKHA5	16	31	0.954196
ANKLE2	13	25	0.943416
LRBA	10	19	0.925999
ANKRD50	6	11	0.874469
HIST1H1C	5	9	0.847997
WASF2	9	16	0.830075
GAB1	4	7	0.807355
LUC7L3	12	21	0.807355
VAPB	16	28	0.807355
VAT1	14	24	0.777608
DIAPH3	18	30	0.736966
FAM129A	5	8	0.678072
STAM	10	16	0.678072
LLPH	12	19	0.662965
LYAR	31	49	0.660514
CAV1	9	14	0.63743
SON	85	131	0.624032
CHMP4B	4	6	0.584963
TANC1	6	9	0.584963
RPL23A	10	15	0.584963
HGS	11	16	0.540568
SEPT10	9	13	0.530515
NOP58	47	67	0.5115
LRSAM1	5	7	0.485427
SERPINH1	5	7	0.485427
INF2	15	21	0.485427
CARMIL1	38	53	0.479993
KRT17	18	25	0.473931
FCHO2	6	8	0.415037
LMNA	12	16	0.415037
GNL3	27	36	0.415037
PICALM	16	21	0.392317
STXBP3	13	17	0.387023
PSMC1	10	13	0.378512
DOCK7	15	19	0.341037
CANX	12	15	0.321928
HIST1H1B	20	25	0.321928
TRIO	42	52	0.308122
ARFGEF1	9	11	0.289507
SNX9	18	22	0.289507
ARGLU1	19	23	0.275634
UQCRC1	11	13	0.241008
RPL17	11	13	0.241008
PI4KA	6	7	0.222392
RPL29	6	7	0.222392
DST	93	108	0.215729
SYAP1	13	15	0.206451
SREK1IP1	7	8	0.192645
HIST1H3A	14	16	0.192645
DLC1	14	16	0.192645
VDAC2	14	16	0.192645
TTK	8	9	0.169925
HIST1H1D	24	27	0.169925
RPL18	9	10	0.152003
LMNB1	10	11	0.137504
TAF7	10	11	0.137504
SEC22B	10	11	0.137504
CPNE3	11	12	0.125531
ARHGAP29	13	14	0.106915
MMTAG2	13	14	0.106915
LRRC59	17	18	0.082462
