	OVCA429 Cells					
Lactate	49414868	20629948	33774204	81411912	35378820	72237720
Maltose/Sucrose	1856934	809285	802213	868835	1132712	2014054
Mannitol/Sorbitol/Glucitol/Iditol	7364696	8005096	4303776	7071354	9004255	6663349
Ribose/Ribulose/Arabinose/Xylose/Xylulose	254632	167936	129842	313682	210471	389126
D-Arabitol/Xylitol/Ribitol	841597	625221	680933	1131979	1021518	1289344
Citrate	51633408	26294768	14293273	33579680	36667028	29936056
2-Oxoglutarate	289073	173892	154441	613647	263680	218018
2-Oxoglutaramate	113026	67917	409794	369140	124751	327124
Succinate	7531961	6451496	3840893	11195383	6000298	7655737
Fumarate	3901088	2126925	2191904	2547264	2445823	2253743
Malate	73374168	42597180	41534732	50263984	51886964	42192452
Oxaloacetate	71941	8203	22330	39750	73097	20798
2-Hydroxyglutarate	1835173	1413609	1967556	7788420	1927257	1754740
6-Phospho-D-gluconate	955768	954869	472608	871785	912786	503470
Glutathione	253644560	177614656	178931632	280994400	225361920	254900944
Glutathione disulfide	331961	342073	330108	330028	475286	929613
5-Oxoproline	4487574	2930407	3025743	4426705	3531719	3049632
S-Glutathionyl-L-cysteine	230339	112901	270979	341789	274133	617946
Cys-Gly	1281593	1071031	969650	1066530	1236209	1368823
Ascorbate	295411	295089	205200	253035	290591	521997
Dehydroascorbate	998019	564865	261484	817316	769562	634707
gamma-Glutamyl-Se-methylselenocysteine	51684	39710	43480	39157	40917	51062
gamma-Glutamyl-gamma-aminobutyrate	131023	86187	147451	36010	308186	255574
Cystathionine	314714	199815	590149	855845	393722	626654
Dimethylglycine	596834	504147	394362	723169	470845	449693
S-Adenosyl-L-methionine	498269	224586	376902	542077	315481	268540
Ornithine	553443	288828	262841	630061	294014	645624
Argininosuccinate	306875	318170	215091	180114	403290	525132
Putrescine	879284	569667	786109	1381746	621718	465750
Spermidine	2415212	2754557	1052905	2522578	4738692	1684516
N-Acetylneuraminate	29480	86269	38999	0	49102	66101
UDP-N-acetyl-D-glucosamine	12284893	10776753	7588658	12264096	13837441	25048000
CMP-N-acetylneuraminate	158749	175362	75088	66673	169589	249994
Phosphocreatine	2353546	1736974	1422613	3245773	2605901	1794184
Creatine	28374030	16926120	20645592	31166528	20514608	25623874
Creatinine	383071	212557	220161	411201	233513	351023
N-Acetyl-L-ornithine	817710	335818	328996	308957	554920	473661
trans-4-Hydroxy-L-proline	2594341	2004946	3196873	6110767	2441991	3685928
N-Succinyl-L-glutamate 5-semialdehyde	97165	100409	105457	231139	151425	370603
Pantothenate	3767496	4772449	4119606	4213712	6524512	2256592
Pantetheine	49987	36639	5963	18347	42010	34186
Taurine	3934463	4261917	6132468	8334531	4010654	12075944
Hypotaurine	145600	143968	146888	208471	64887	340594
Indole-3-acetate	679969	1452212	1526611	148721	1857847	540602
Kynurenine	112726	573673	177240	33156	433928	187105
Anthranilate	191026	155030	85415	135971	137067	103654
g-Oxalo-crotonate	600564	622259	311760	436580	441550	334146
2-Aminomuconate	1856756	1573855	1648812	2228847	2134874	2194422
Ectoine	26850	35479	13973	41096	17441	17232
Glycerol 3-phosphate	585587	1961037	3975877	316354	1709810	548098
Choline	72683232	96943680	65436212	25395296	107729280	45299476
Acetylcholine	10823667	7585224	6251352	10490003	8143236	8645163
L-Carnitine	33115048	17092814	15193999	30998142	18285914	27959718
AC(2:0)	25766848	19106318	11238959	21077018	35713116	23621112
AC(3:0)	7956460	5289084	3885983	2390305	6181532	3645348
AC(4:0)	41225476	21146326	18257766	59715948	43352996	50008000
AC(4-OH)	971106	702431	433575	814804	974160	558703
AC(5:0)	53226196	25649088	11634580	24519942	40110540	40891668
AC(5:1)	247282	267487	57581	18249	115861	19628
AC(5-OH)	733293	870255	424255	314338	1018368	516378
AC(6:0)	5705875	4624932	3121983	3862432	3355499	1924316
AC(8:0)	2387817	1632087	1073053	1108169	1256819	543264
AC(10:0)	708359	520829	418445	403851	554138	369648
AC(10:1)	143091	32695	70973	153007	69343	25064
AC(12:0)	3486279	4431302	3129556	3374686	5085152	3225757
AC(12:1)	944119	288053	230694	215790	432061	534850
AC(14:0)	30729446	82747512	68826256	47689836	74453128	39214320
AC(14:1)	4787829	2661643	2690061	1889231	3767722	7196835
AC(16:0)	27669504	30772406	10996456	18994862	29943216	27331664
AC(16:1)	16822408	10625075	11188861	10879441	15051373	39792420
AC(18:0)	1125638	5689620	1643437	856721	5804092	1386075
AC(18:1)	8931891	9385209	4913992	4566874	9982047	18188764
AC(18:2)	1229600	1635335	1037817	629151	1513505	3516220
AC(20:4)	808992	1321744	614055	471568	1110251	1484038
FA(5:0)	871110	803249	699927	772443	761642	838573
FA(6:0)	4231810	3223065	2794042	3682907	4345536	3220209
FA(7:0)	10712732	9647701	10919356	10921879	11022395	10362387
FA(8:0)	36765076	26558160	28072602	31015678	28271568	26799856
FA(9:0)	43111280	37481964	40655004	48262688	51859184	49073216
FA(10:0)	70226776	53853740	61483724	68515928	73212456	64703284
FA(12:0)	74363760	64188500	72622408	76011976	73198728	68690912
FA(14:0)	98227968	155339904	237420368	377003680	230156672	85462936
FA(16:0)	232918080	406362880	236915328	200198192	268270192	270783520
FA(18:0)	148091376	322914464	142383488	115981160	186971664	201888896
FA(14:1)	4440167	4994516	2931595	3300089	5432535	4328156
FA(16:1)	38173344	26128594	13686180	25551782	38078720	33104154
FA(18:1)	91070248	116030360	51507732	60290700	114849248	91173480
FA(18:2)	12368948	23083722	6780613	8215804	22947194	11007657
FA(18:3)	954071	1527649	394769	468440	1033405	497342
FA(20:4)	81940568	115696776	53043188	58141204	109841192	49693856
FA(20:5)	3193480	12904584	1671734	1190220	6013440	1559376
FA(22:6)	10096375	23781666	7802019	5745438	22655616	8222538
FA(20:3)	5713453	11124769	3817229	5325354	10740479	5708330
FA(22:5)	9634282	20099448	5813894	5445104	18233794	6484854
Sphingosine	158091792	96784104	56588116	46858268	124405624	83923968
Sphinganine 1-phosphate	202334	401646	213498	191439	272469	346553
3-Phospho-D-glyceroyl phosphate	328189	2832043	901022	1728614	3882519	1354204
