	OVCA429 Supernatant					
N-Acetylneuraminate	236951	259914	293101	245256	241356	298262
N-Glycoloyl-neuraminate	559204	695269	838813	727648	575688	735629
Carnosine	177048	175398	159812	149352	202113	132504
Creatine	26975842	29660874	26970336	25122642	26055994	28277240
Creatinine	19377038	16914478	15380116	16946616	17834026	16867562
N-Acetyl-L-ornithine	628380	526592	700261	607046	543492	538356
trans-4-Hydroxy-L-proline	8362474	7216242	7198024	8232554	7002244	7679768
N-Succinyl-L-glutamate 5-semialdehyde	656519	401780	541503	446783	638828	616321
Pantothenate	0	17922	15230	3572	2798	0
Pantetheine	717093	863458	495137	431123	801163	887834
Taurine	165993	178078	132214	151630	129133	145506
L-Methionine S-oxide	242222	271342	335692	354435	278960	320841
Indole-3-acetate	12490824	68425704	60498816	9529749	59632436	39341924
Kynurenine	142238	125122	121076	87930	118015	95717
Kynurenic acid	211645	265790	363524	263297	277416	280668
Anthranilate	141061	156887	163220	102415	123931	117109
g-Oxalo-crotonate	1168341	1354149	1527571	1242156	1232211	1352998
2-Aminomuconate	853378	639452	685213	631217	761244	877335
Ectoine	155658	127611	139619	96832	147536	110789
Phosphoethanolamine	27437	70276	50011	60784	29419	41797
CDP-choline	33082	50812	45850	52808	14785	0
Choline	56999476	67087372	74549048	68608472	69665432	65219436
Acetylcholine	1110590	1141978	1597749	1080152	1145023	1086407
L-Carnitine	3290386	3224831	3548528	3545024	3506807	3296346
AC(2:0)	5908000	5680814	7921538	6181013	6245327	5719730
AC(3:0)	2260720	2311867	3317274	2462501	2328158	2035553
AC(4:0)	2951959	2316858	2589150	2200452	2660322	2126866
AC(4-OH)	116096	124031	151508	132532	115743	148815
AC(4-DC)	173502	231946	249670	212491	218236	166479
AC(5:0)	1359311	1557787	1729331	1214537	1408991	1314166
AC(5:1)	32260	32368	60539	63275	31264	51496
AC(5-OH)	75943	82917	86772	101983	109735	55840
AC(8:0)	692744	670831	536030	498817	266759	238563
AC(10:0)	435011	540744	297313	299112	213321	182247
AC(10:1)	42307	56830	33670	67705	17006	28028
AC(12:0)	188460	288590	252542	160048	125446	62079
AC(12:1)	138916	122599	155500	124788	72719	49390
AC(14:0)	201033	278751	275498	139216	111521	76921
AC(14:1)	160020	262161	212477	169066	57966	26481
AC(16:0)	146979	134655	134414	76677	314740	103724
AC(16:1)	181596	167978	167921	166337	68463	98956
AC(18:0)	1625212	1406259	1347206	784605	4979948	1712681
AC(18:1)	48772	76668	89147	43761	54389	36057
FA(5:0)	978054	991812	1032242	1002984	1015967	1109572
FA(6:0)	5439427	5480816	5863652	5163871	5480736	5573382
FA(7:0)	13144151	12977405	12463451	12763269	11925819	12214627
FA(8:0)	37631460	36129428	37485756	37438792	35423684	33625928
FA(9:0)	40240092	49793652	42774204	45751556	51078960	47081536
FA(10:0)	75898744	71702040	73333008	74422560	72898216	73235232
FA(12:0)	72375896	80406216	77599352	72824816	74842464	78619272
FA(14:0)	109706944	125922464	120146920	105563680	113164064	134223760
FA(16:0)	285828672	334601856	310787456	258034688	243767600	181723520
FA(18:0)	160257488	274696800	185914496	143954864	154948816	59784948
FA(14:1)	2247635	2389304	2650769	2379662	2203531	2295137
FA(16:1)	7748480	9864921	8782813	5827990	6959440	9767428
FA(18:1)	26054974	40377460	30937096	20180648	25141418	20905792
FA(18:2)	3243382	6031683	4278333	2603766	3500061	3899268
FA(18:3)	132466	311703	224633	146228	132495	159709
FA(20:4)	636727	3302731	2952942	479344	1206248	2594626
FA(20:5)	172376	402279	368150	237222	244414	229337
FA(22:6)	965299	3642781	3033388	849553	1527637	1922126
FA(20:3)	167854	513825	434618	96904	224695	573774
FA(22:5)	137304	544125	579385	104658	260854	393104
Sphingosine	160250	303961	166915	105674	92733	244321
Sphingosine 1-phosphate	15151	43338	0	13843	33209	11133
Sphinganine 1-phosphate	280131	417607	250280	191279	315844	91501
3-Phospho-D-glyceroyl phosphate	1328	3001	0	8056	1643	1569
