	OVCAR3 Supernatant					
IDP	3196252.75	55070.21	505206.12	2144149.75	8009.99	155583.98
Inosine	1277238.62	802149.44	772332	950993.69	1618810.38	1164886.5
Hypoxanthine	16941606	23590518	21719592	20912860	21072604	19625798
Xanthine	211702.67	345477.91	341559.16	273087.97	265531.19	267424.78
Urate	817360.69	830564.56	61113.09	610945.5	866494.5	70054.53
5-Hydroxyisourate	381096.28	517311.91	202703.2	581733.19	593999.44	378323.22
(S)(+)-Allantoin	630435.06	874852.81	754173.06	744859.81	704101.31	752782.19
Allantoate	1167952.88	1547427.12	2962505.25	1186986.62	1681321.88	2455062.75
3',5'-Cyclic IMP	11300047	274628.62	1922613.5	6875134	53035.66	522998.5
5-6-Dihydrothymine	936034.31	1315463.88	1210629.62	1114698.62	1426016.62	1407823.5
Pyridoxal	474062.84	660664.75	832359	366340.53	491282.97	763722.06
4-Pyridoxate	172954.81	196487.88	208358.27	221591.44	164714.55	197381.36
Nicotinamide	1562590.62	2309070.75	1947237.12	1949677.38	2190510.25	2056177.38
UDP-glucose	29551.83	4232.37	10876.6	0	0	0
ADP-D-ribose	541006.19	805472.06	497573.41	782655	741413	619548.94
Phosphate	201348656	222959088	208893808	204881840	202653808	186190144
Diphosphate	23254202	31666978	25693398	27817984	29024288	25763184
D-Glucose	38331596	33500122	33064136	43666936	45690944	37003632
D-Hexose-phosphate	186518.14	130144.06	384009.09	143689.39	131721.05	262083.33
D-Glyceraldehyde 3-phosphate/Glycerone phosphate	248115.73	78470.09	247766.92	78627.15	20942.71	224547.06
Pyruvate	7573227.5	9585763	10062513	7452246	8735852	9565097
Lactate	247087664	260863184	350684832	221701680	205907120	297606944
Maltose/Sucrose	10374758	1996595.5	4929524.5	6243264	1850103.38	3214967.25
Mannitol/Sorbitol/Glucitol/Iditol	15041275	14409000	19291554	16362784	17894542	18155034
Ribose/Ribulose/Arabinose/Xylose/Xylulose	1604382.12	1494786	1533339.12	1912995.88	1976416.12	1725205
D-Rhamnose	235282	304211.5	262342.75	274064.34	234312	302648.19
D-Arabitol/Xylitol/Ribitol	535199.88	650080.06	746711.69	682558.12	661963.75	728107.69
Citrate	24411360	33606620	33966932	33263584	35039476	40679076
2-Oxoglutarate	1593617.62	1681237.38	1883112.38	1780384.12	1348618	1864635.12
2-Oxoglutaramate	637881.69	446853.38	615716.31	556149.69	467437.59	765001.94
Succinate	11177636	16399237	12487824	16781022	17888034	14672191
Fumarate	786860	605499.81	1033269.81	891546.94	500064	733437.75
Malate	13713969	10294849	15036899	12921704	7774604	14280400
Oxaloacetate	44293.72	29767.21	38933.12	77217.66	30166.37	57351.69
2-Hydroxyglutarate	950948.75	1265516.38	1280884	1096324	863918	1230361.62
6-Phospho-D-gluconate	14212.81	67571.34	46058.15	30969.47	95544.84	74419.4
Glutathione	29272.08	0	80917.3	0	0	20646.39
5-Oxoproline	28386906	50733376	45868364	37704172	46657812	49289140
S-Glutathionyl-L-cysteine	535484.19	248921.25	566589.31	248653.06	173365.08	319499.41
Ascorbate	621415.56	624031.44	288671.28	489009	651898.38	331277.72
Dehydroascorbate	993610.31	971292	1130696.88	1082250.38	970445	1220466.62
gamma-L-Glutamyl-D-alanine	109332.47	181519.52	147072.62	84477.06	122331.68	133621.64
(5-L-Glutamyl)-L-glutamine	482478.59	681323.75	546710.19	592762.44	667127.31	671977.56
Dimethylglycine	329335.38	287156.03	301469.16	196868.58	208210.17	309200.31
Folate	727892.56	1112343	864877.81	958508.19	1052737.12	848818.75
10-Formyldihydrofolate	836852.69	84211.61	317484.78	347505.38	133616.39	398634.38
10-Formyltetrahydrofolate	2875362.25	562281.56	1622208.5	1565866.5	413609.16	1084094.38
Ornithine	2092013	3428262.75	5903364.5	2197344.25	3618181.75	5361436
L-Citrulline	741991.69	772116.69	701606.44	808405.31	855583.44	796812.5
Argininosuccinate	41230.7	41076.5	62185.1	64006.86	35056.64	34561.71
Spermine	79558.04	106205.79	32908.84	70853.98	39338.44	85937.79
N-Acetylneuraminate	183385.12	243045.86	202905.58	180934.92	231536.64	220538.8
N-Glycoloyl-neuraminate	517374.88	783436	696171.81	656762.06	657128.12	674789.56
UDP-N-acetyl-D-glucosamine	58066.6	4900.81	27620	19428.6	0	20806.39
Carnosine	234204.3	329964.16	258583.88	283370.78	283742.97	195421.88
Creatine	28189986	30541856	24320166	31943350	33462154	27284552
Creatinine	27657854	32225938	28953408	26844214	30880360	29921974
4-Acetamidobutanoate	165975.58	242293.69	264837.97	183585.31	271241.53	315957.72
N-Acetyl-L-ornithine	698784.31	630934.06	728761.94	687332.56	518836.59	525264.31
trans-4-Hydroxy-L-proline	15069773	15219371	14107925	12572891	16420536	16013821
N-Succinyl-L-glutamate 5-semialdehyde	243942.2	634754.75	636651.44	618177.94	324858.28	462292.5
Pantothenate	1034825.5	1626370.5	1175823.12	1340106.62	1423855.88	1056833.62
Pantetheine	1220765.38	226902.69	524509.25	1269310.12	133527.55	341754
Taurine	273370.44	189031.67	218093.94	258510.5	268215.22	294420.81
L-Methionine S-oxide	704180.06	419756.59	800197.94	631771.56	496390.5	907953.69
Indole-3-acetate	17574140	18322902	12035323	22500760	13603827	10609199
Indolepyruvate	278194.97	273789.41	170709.3	110543.8	278077.28	296456.03
Kynurenine	46248.06	63109.31	71182.56	55214.64	50817.25	57276.53
Kynurenic acid	188649.02	255331.14	245648.95	175998.38	292171.28	238777.05
Quinolinic acid	193434.52	18433.54	31351.63	141852.83	101693.62	0
Anthranilate	141492.06	637642.12	96479.97	1191131.38	1796891.12	528021.94
Picolinic acid	249711.86	292526.75	235589.3	223985.48	335089.53	274059.5
g-Oxalo-crotonate	173586.8	739131.31	517083.84	448608.22	194089.55	364947.91
2-Aminomuconate	473648	542963.12	734208.56	503207.62	480238.66	492199.59
Hydroxyindole-acetylglycine	511867.5	101552.9	108091.45	348449.97	39248.41	72015.07
Ectoine	225977.75	58250.97	111393.29	169512.19	39972.9	62136.61
Glycerol 3-phosphate	211103.94	229204.06	352454.12	256302.5	216195.55	283978.97
CDP-choline	183660.44	242239.33	146496.39	367140.16	281297.22	256457.38
Choline	7029450	31220714	10232311	14199868	19161850	5878945.5
Acetylcholine	1157359.5	1289066.62	1377960.38	1129540.12	1498647.5	1384446.38
L-Carnitine	4050535.25	5521670.5	5509421.5	4771530	5134027	5367392.5
AC(2:0)	6256502.5	9779131	8550744	6825386.5	7922856	7087392
AC(3:0)	2140690.75	3599450.75	2979467	3013711.25	3141741.25	2633240.25
AC(4:0)	293645.94	485874	389373.41	382305.59	522468.53	446950.34
AC(4-OH)	158518.44	160356.48	100449.95	148724.86	142127.91	144314.56
AC(4-DC)	139448.61	299778.34	201174.14	173666.12	269996.88	234795.17
AC(5:0)	1587342.38	2216739.75	2251394.25	1580033.38	1798333.12	1817621.38
AC(6:0)	16226.36	99981.12	57710.46	44839.56	84059.7	78179.15
AC(8:0)	79792.84	82321.38	67968.2	29630.09	71585.01	51274.78
AC(10:0)	52996.47	94132.16	53688.25	33577.16	59623.41	21163.05
AC(10:1)	220692.61	224440.69	234686.56	257011.08	183171.23	268453.88
AC(14:0)	105345.03	174540.52	185618.33	72411.16	138143.73	55335.58
AC(16:0)	170408.39	384231.5	271183.75	172610.08	357378.41	175167.92
AC(16:1)	95417.62	230405.89	232481.55	193465.7	129385.59	139654.11
AC(18:0)	0	23434.48	21489.43	82041.51	62079.67	14534
AC(18:1)	48317.06	169380.83	136037.42	147007.77	144425.27	111631.44
FA(4:0)	380805.38	417157.62	334924.91	346471.84	259013.55	324550.28
FA(5:0)	493894.53	649758.81	665677	300699.41	422309.22	453201.22
FA(6:0)	3999782.25	4453794.5	4213248.5	3780179	4218276	3860444.75
FA(7:0)	7195897.5	6241795.5	6992249.5	6975548	6100834	6815020.5
FA(8:0)	28434342	30985094	32201538	30810638	31084934	31822054
FA(9:0)	40968036	39957104	48418580	42740404	44025172	46209828
FA(10:0)	67753112	65091696	59187580	62033952	64032468	63944096
FA(12:0)	61333332	58763252	63680780	59935996	62401588	61687328
FA(14:0)	114239640	107114408	131357336	104802696	97492136	128248856
FA(16:0)	241232368	287002784	227326400	243286448	232521776	190877696
FA(18:0)	98676064	180917072	90940248	106191192	75984256	50882756
FA(14:1)	2184638.25	2379807.25	1848711.62	1515296.5	2124038	1411408.88
FA(16:1)	3762304	3647934	3660478	3212660.75	3471664.25	3095933.75
FA(18:1)	11077822	18687136	10133898	11828284	10002080	7868709.5
FA(18:2)	1376031.12	2429270.5	1292588.5	1489337.88	1204673.25	930046.44
FA(18:3)	165001.64	207335.7	130197.98	28335.29	126081.77	23557.91
FA(20:4)	499965.75	589509.25	479134.22	497560.88	533535.44	328028.75
FA(20:5)	258893.17	242969.3	235397.92	182899.69	249460.39	290061.47
FA(22:6)	707612.5	1366465.75	671724.88	1245956.88	1009982.94	644882.75
FA(20:3)	86534.13	140424.19	100108.29	80741.62	91711.34	62554.47
Sphingosine	137092.27	147883.28	145263.14	141541.83	108791.78	185341.17
