resource	accession_or_id	status	open_per_patient_matrix	notes	url	query
PubMed hits (IDs only; no matrix implied)	none	SEARCHED	no	Abstract-level hits. A PMID is not a per-patient matrix.	https://pubmed.ncbi.nlm.nih.gov/	WJOG11518L OR SUBMARINE AND durvalumab AND (NanoString OR RNA)
PACIFIC (durvalumab after CRT, stage III NSCLC)	NCT02125461	NOT_OPEN	no	Tissue optional; published biomarker supplements are PD-L1 IHC. Individual-level data via AstraZeneca/Vivli only. No public per-patient RNA matrix found in this re-hunt.	https://clinicaltrials.gov/study/NCT02125461	targeted
ADRIATIC (consolidation durvalumab, LS-SCLC)	NCT03703297	NOT_OPEN	no	ASCO 2025 abstract 8014 reports RNA-seq BEP medians (TIS/CD8A/STING) in EP vs LTP groups. Group-level medians only; no GEO/ArrayExpress per-patient matrix found.	https://clinicaltrials.gov/study/NCT03703297	targeted
SUBMARINE / WJOG11518L PACIFIC-regimen NanoString	PMID 37364849	NOT_DEPOSITED	no	nCounter IO360 on ~85 pre-CRT tumors. No relevant GEO series. GSE278471 is Haloferax volcanii (false positive).	https://pubmed.ncbi.nlm.nih.gov/37364849/	targeted
Neoadjuvant durvalumab ± SBRT pre-treatment FPKM	GSE253564	ANALYZED	yes	Only open human durvalumab NSCLC whole-transcriptome pre-treatment matrix with recoverable MPR/PFS (n=32). NCT02904954.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253564	targeted
Neoadjuvant durvalumab ± SBRT post-treatment FPKM	GSE248378	ANALYZED	yes	Same trial, residual tumours n=29. MPR not estimable (0 MPR in deposited matrix). Recurrence/PFS available.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248378	targeted
Durvalumab Study 1108 IFNγ 21-gene panel	GSE110390	EXCLUDED_UNUSABLE	no	Only 21 IFNγ-signature genes deposited. TACSTD2/CLDN4 absent. Not a whole-transcriptome matrix.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110390	targeted
Durvalumab ± tremelimumab scRNA (2 NSCLC tumors)	GSE131933	EXCLUDED_WRONG_ASSAY	no	scRNA of immune cells from two NSCLC tumors. Not a per-patient bulk matrix for TACSTD2 vs MPR/PFS/CYT.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131933	targeted
Adjuvant durvalumab esophageal/GEJ RNA-seq	GSE183924	EXCLUDED_WRONG_DISEASE	yes_but_not_lung	Open FPKM, but esophageal/GEJ adenocarcinoma — not PACIFIC/ADRIA/NSCLC. Not used as a PACIFIC substitute.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183924	targeted
VCN-01 + durvalumab HNSCC RNA-seq	GSE333537	EXCLUDED_WRONG_DISEASE	yes_but_not_lung	Live Entrez: Phase I VCN-01 oncolytic adenovirus + durvalumab in metastatic HNSCC (n=35). Real durvalumab RNA, but head-and-neck — not PACIFIC/ADRIA/NSCLC. Not used as a substitute.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333537	targeted
CANTABRICO ES-SCLC GeoMx CTA (chemo-IO)	GSE261345	EXCLUDED_WRONG_ASSAY	no	Live Entrez: GeoMx DSP Cancer Transcriptome Atlas, 121 ROIs / ~26 ES-SCLC patients. Not PACIFIC, not bulk whole-transcriptome, not NSCLC. CTA panel ≠ full TACSTD2/CLDN4 residualisation matrix. Near-miss only.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261345	targeted
Durvalumab/oleclumab NSCLC xenograft array	GSE190731	EXCLUDED_NOT_PATIENT	no	Live Entrez: expression array from durvalumab/oleclumab-treated xenograft NSCLC tumors (n=23). Not a human per-patient matrix.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190731	targeted
OAK/POPLAR atezolizumab (Bessede 2024 TROP2 paper)	EGAS00001005013	CONTROLLED_ACCESS	no	Anti–PD-L1 but atezolizumab, not durvalumab. EGA controlled. Not downloaded.	https://ega-archive.org/studies/EGAS00001005013	targeted
POSEIDON / MYSTIC / AEGEAN / PACIFIC-2/4/5/6/8/9	NCT03164616 / NCT02453282 / NCT03800134 / PACIFIC-x	NOT_OPEN	no	AstraZeneca durvalumab lung programs. No new open per-patient RNA matrix found in this re-hunt. Do not substitute.	https://clinicaltrials.gov/	targeted
