resource	accession_or_id	query	status	usable	title	gds_type	taxon	n_samples	notes	url	triage_note
GEO (live Entrez)	GSE261345	targeted leftover accessions	VERIFIED_EXISTS	excluded_essclc_geomx	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	Other	Homo sapiens	121.0	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort] | type=Other | taxon=Homo sapiens | n=121	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261345	CANTABRICO ES-SCLC GeoMx CTA. Not NSCLC neoadjuvant; CLDN4 typically absent.
GEO (live Entrez)	GSE248378	targeted leftover accessions	VERIFIED_EXISTS	yes_scored	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial	Expression profiling by high throughput sequencing	Homo sapiens	29.0	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=29	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248378	Post-durva FPKM, same trial as GSE253564. Recurrence/PFS; CD8/GEP after purity.
GEO (live Entrez)	GSE207422	targeted leftover accessions	VERIFIED_EXISTS	yes_scored	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing	Expression profiling by high throughput sequencing	Homo sapiens	39.0	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=39	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422	Neoadjuvant anti-PD-1+chemo bulk log2TPM + MPR. Best extra MPR series. Not durvalumab.
GEO (live Entrez)	GSE166449	targeted leftover accessions	VERIFIED_EXISTS	yes_scored	Synthetic lethality-mediated precision oncology via the tumor transcriptome	Expression profiling by high throughput sequencing	Homo sapiens	22.0	Synthetic lethality-mediated precision oncology via the tumor transcriptome | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=22	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166449	Advanced lung ICI TPM + ORR from titles. n=22.
GEO (live Entrez)	GSE126044	targeted leftover accessions	VERIFIED_EXISTS	yes_scored	Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer	Expression profiling by high throughput sequencing	Homo sapiens	16.0	Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=16	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126044	Advanced anti-PD-1 NSCLC counts + ORR. n=16.
GEO (live Entrez)	GSE135222	targeted leftover accessions	VERIFIED_EXISTS	yes_scored	DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq]	Expression profiling by high throughput sequencing	Homo sapiens	27.0	DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq] | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=27	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135222	Advanced anti-PD-1/PD-L1 TPM + DCB/PFS. Ensembl IDs.
GEO targeted triage	GSE110390	targeted leftover accessions	NOT_IN_THIS_QUERY	excluded_21gene					Durvalumab 21-gene IFNγ panel. TACSTD2/CLDN4 absent.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110390	
GEO targeted triage	GSE131933	targeted leftover accessions	NOT_IN_THIS_QUERY	excluded_scrna					Durvalumab scRNA n=2 NSCLC. Not a bulk matrix.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131933	
GEO targeted triage	GSE190731	targeted leftover accessions	NOT_IN_THIS_QUERY	excluded_xenograft					Durvalumab xenograft array. Not patient RNA.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190731	
GEO targeted triage	GSE333537	targeted leftover accessions	NOT_IN_THIS_QUERY	excluded_hnscc					Durvalumab HNSCC. Wrong disease.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333537	
ArrayExpress/BioStudies (live)	S-EPMC11853222	durvalumab AND lung AND RNA	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Dynamic changes in immune repertoire profiles in patients with stage III unresectable non-small cell lung cancer during consolidation treatment with immunotherapy.				Dynamic changes in immune repertoire profiles in patients with stage III unresectable non-small cell lung cancer during consolidation treatment with immunotherapy.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11853222	
ArrayExpress/BioStudies (live)	S-EPMC10938106	durvalumab AND lung AND RNA	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	PD-L1 mRNA derived from tumor-educated platelets as a potential immunotherapy biomarker in non-small cell lung cancer.				PD-L1 mRNA derived from tumor-educated platelets as a potential immunotherapy biomarker in non-small cell lung cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10938106	
ArrayExpress/BioStudies (live)	S-EPMC11137956	durvalumab AND lung AND RNA	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Molecular classification and biomarkers of outcome with immunotherapy in extensive-stage small-cell lung cancer: analyses of the CASPIAN phase 3 study.				Molecular classification and biomarkers of outcome with immunotherapy in extensive-stage small-cell lung cancer: analyses of the CASPIAN phase 3 study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11137956	
ArrayExpress/BioStudies (live)	E-MTAB-8867	durvalumab AND lung AND RNA	VERIFIED_EXISTS	not_leftover_lung_ici_matrix	Comparative cardiac transcriptomics of immune checkpoint inhibitor induced myocarditis				Comparative cardiac transcriptomics of immune checkpoint inhibitor induced myocarditis	https://www.ebi.ac.uk/biostudies/studies/E-MTAB-8867	
ArrayExpress/BioStudies (live)	S-EPMC11039690	durvalumab AND lung AND RNA	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma.				Inflammatory pathways confer resistance to chemoradiotherapy in anal squamous cell carcinoma.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11039690	
ArrayExpress/BioStudies (live)	S-EPMC11332012	neoadjuvant AND NSCLC AND immunotherapy AND RNA-seq	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Epithelium/imcDC2 axis facilitates the resistance of neoadjuvant anti-PD-1 in human NSCLC.				Epithelium/imcDC2 axis facilitates the resistance of neoadjuvant anti-PD-1 in human NSCLC.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11332012	
ArrayExpress/BioStudies (live)	S-EPMC8594857	neoadjuvant AND NSCLC AND immunotherapy AND RNA-seq	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Neoadjuvant Cabozantinib and Nivolumab Converts Locally Advanced HCC into Resectable Disease with Enhanced Antitumor Immunity.				Neoadjuvant Cabozantinib and Nivolumab Converts Locally Advanced HCC into Resectable Disease with Enhanced Antitumor Immunity.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8594857	
ArrayExpress/BioStudies (live)	S-EPMC9968599	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Use of durvalumab in stage III non-small-cell lung cancer based on eligibility for the PACIFIC study.				Use of durvalumab in stage III non-small-cell lung cancer based on eligibility for the PACIFIC study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9968599	
ArrayExpress/BioStudies (live)	S-EPMC10453050	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Beyond PACIFIC: Real-World Outcomes of Adjuvant Durvalumab According to Treatment Received and PD-L1 Expression.				Beyond PACIFIC: Real-World Outcomes of Adjuvant Durvalumab According to Treatment Received and PD-L1 Expression.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10453050	
ArrayExpress/BioStudies (live)	S-EPMC7244187	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Three-Year Overall Survival with Durvalumab after Chemoradiotherapy in Stage III NSCLC-Update from PACIFIC.				Three-Year Overall Survival with Durvalumab after Chemoradiotherapy in Stage III NSCLC-Update from PACIFIC.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7244187	
ArrayExpress/BioStudies (live)	S-EPMC9058904	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Outcomes with durvalumab after chemoradiotherapy in stage IIIA-N2 non-small-cell lung cancer: an exploratory analysis from the PACIFIC trial.				Outcomes with durvalumab after chemoradiotherapy in stage IIIA-N2 non-small-cell lung cancer: an exploratory analysis from the PACIFIC trial.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9058904	
ArrayExpress/BioStudies (live)	S-EPMC8190020	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Curative-Intent Treatment with Durvalumab in Early-Stage Cancers.				Curative-Intent Treatment with Durvalumab in Early-Stage Cancers.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8190020	
ArrayExpress/BioStudies (live)	S-EPMC9015199	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Five-Year Survival Outcomes From the PACIFIC Trial: Durvalumab After Chemoradiotherapy in Stage III Non-Small-Cell Lung Cancer.				Five-Year Survival Outcomes From the PACIFIC Trial: Durvalumab After Chemoradiotherapy in Stage III Non-Small-Cell Lung Cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9015199	
ArrayExpress/BioStudies (live)	S-EPMC8572112	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Immunotherapy for Stage III NSCLC: Durvalumab and Beyond.				Immunotherapy for Stage III NSCLC: Durvalumab and Beyond.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8572112	
ArrayExpress/BioStudies (live)	S-EPMC8412232	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Outcomes with durvalumab by tumour PD-L1 expression in unresectable, stage III non-small-cell lung cancer in the PACIFIC trial.				Outcomes with durvalumab by tumour PD-L1 expression in unresectable, stage III non-small-cell lung cancer in the PACIFIC trial.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8412232	
ArrayExpress/BioStudies (live)	S-EPMC5949402	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Durvalumab showed long and durable effects after chemoradiotherapy in stage III non-small cell lung cancer: results of the PACIFIC study.				Durvalumab showed long and durable effects after chemoradiotherapy in stage III non-small cell lung cancer: results of the PACIFIC study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5949402	
ArrayExpress/BioStudies (live)	S-EPMC5937504	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Durvalumab: a potential maintenance therapy in surgery-ineligible non-small-cell lung cancer.				Durvalumab: a potential maintenance therapy in surgery-ineligible non-small-cell lung cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC5937504	
ArrayExpress/BioStudies (live)	S-EPMC9321635	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Durvalumab After Chemoradiation for Unresectable Stage III Non-Small Cell Lung Cancer: Inferior Outcomes and Lack of Health Equity in Hispanic Patients Treated With PACIFIC Protocol (LA1-CLICaP).				Durvalumab After Chemoradiation for Unresectable Stage III Non-Small Cell Lung Cancer: Inferior Outcomes and Lack of Health Equity in Hispanic Patients Treated With PACIFIC Protocol (LA1-CLICaP).	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9321635	
ArrayExpress/BioStudies (live)	S-EPMC7711405	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Implications of pneumonitis after chemoradiation and durvalumab for locally advanced non-small cell lung cancer.				Implications of pneumonitis after chemoradiation and durvalumab for locally advanced non-small cell lung cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7711405	
ArrayExpress/BioStudies (live)	S-EPMC12605329	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Investigation of non-completion factors for durvalumab maintenance therapy in locally advanced non-small cell lung cancer.				Investigation of non-completion factors for durvalumab maintenance therapy in locally advanced non-small cell lung cancer.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC12605329	
ArrayExpress/BioStudies (live)	S-EPMC7701908	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Deep diving in the PACIFIC: Practical issues in stage III non-small cell lung cancer to avoid shipwreck.				Deep diving in the PACIFIC: Practical issues in stage III non-small cell lung cancer to avoid shipwreck.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7701908	
ArrayExpress/BioStudies (live)	S-EPMC9231800	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Cost-effectiveness analysis of durvalumab as a maintenance treatment for patients with locally advanced, unresectable, stage Ⅲ nsclc in china.				Cost-effectiveness analysis of durvalumab as a maintenance treatment for patients with locally advanced, unresectable, stage Ⅲ nsclc in china.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9231800	
ArrayExpress/BioStudies (live)	S-EPMC8406163	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Assessing the Influence of Subsequent Immunotherapy on Overall Survival in Patients with Unresectable Stage III Non-Small Cell Lung Cancer from the PACIFIC Study.				Assessing the Influence of Subsequent Immunotherapy on Overall Survival in Patients with Unresectable Stage III Non-Small Cell Lung Cancer from the PACIFIC Study.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8406163	
ArrayExpress/BioStudies (live)	S-EPMC6831969	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Durvalumab for stage III non-small-cell lung cancer patients: clinical evidence and real-world experience.				Durvalumab for stage III non-small-cell lung cancer patients: clinical evidence and real-world experience.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6831969	
ArrayExpress/BioStudies (live)	S-EPMC7118808	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Favorable response to pembrolizumab after durvalumab failure in a stage III sarcomatoid carcinoma of the lung: a case report.				Favorable response to pembrolizumab after durvalumab failure in a stage III sarcomatoid carcinoma of the lung: a case report.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7118808	
ArrayExpress/BioStudies (live)	S-EPMC7750486	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Durvalumab after definitive chemoradiotherapy in locally advanced NSCLC: Data of the German EAP.				Durvalumab after definitive chemoradiotherapy in locally advanced NSCLC: Data of the German EAP.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7750486	
ArrayExpress/BioStudies (live)	S-EPMC11280244	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Budget impact analysis of durvalumab consolidation therapy vs no consolidation therapy after chemoradiotherapy in stage III non-small cell lung cancer in the context of the Chilean health care system.				Budget impact analysis of durvalumab consolidation therapy vs no consolidation therapy after chemoradiotherapy in stage III non-small cell lung cancer in the context of the Chilean health care system.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC11280244	
ArrayExpress/BioStudies (live)	S-EPMC10918565	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Symptomatic Pneumonitis With Durvalumab After Concurrent Chemoradiotherapy in Unresectable Stage III NSCLC.				Symptomatic Pneumonitis With Durvalumab After Concurrent Chemoradiotherapy in Unresectable Stage III NSCLC.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10918565	
ArrayExpress/BioStudies (live)	S-EPMC7113036	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Current status and progress of concurrent chemoradiotherapy in patients with locally advanced non-small cell lung cancer prior to the approval of durvalumab.				Current status and progress of concurrent chemoradiotherapy in patients with locally advanced non-small cell lung cancer prior to the approval of durvalumab.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7113036	
ArrayExpress/BioStudies (live)	S-EPMC10285075	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Efficacy and safety of consolidation durvalumab after chemoradiation therapy for stage III non-small-cell lung cancer: a systematic review, meta-analysis, and meta-regression of real-world studies.				Efficacy and safety of consolidation durvalumab after chemoradiation therapy for stage III non-small-cell lung cancer: a systematic review, meta-analysis, and meta-regression of real-world studies.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10285075	
ArrayExpress/BioStudies (live)	S-EPMC9171557	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	Association of Driver Oncogene Variations With Outcomes in Patients With Locally Advanced Non-Small Cell Lung Cancer Treated With Chemoradiation and Consolidative Durvalumab.				Association of Driver Oncogene Variations With Outcomes in Patients With Locally Advanced Non-Small Cell Lung Cancer Treated With Chemoradiation and Consolidative Durvalumab.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9171557	
ArrayExpress/BioStudies (live)	S-EPMC10797388	PACIFIC AND durvalumab	VERIFIED_EXISTS	not_arrayexpress_processed_lung_ici	A real-world study of pneumonitis in non-small cell lung cancer patients receiving durvalumab following concurrent chemoradiation.				A real-world study of pneumonitis in non-small cell lung cancer patients receiving durvalumab following concurrent chemoradiation.	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10797388	
ArrayExpress leftover conclusion	—	leftover lung ICI with processed matrix + labels	NONE_USABLE	no					Live BioStudies returned 32 hits across three queries. No leftover ArrayExpress lung ICI study with a processed per-patient matrix plus MPR/DCB/ORR labels was added. E-MTAB-13704 / E-MTAB-15883 were already taken in sibling leftover work and are not re-used as new extras. Do not invent an ArrayExpress accession.		
PACIFIC / ADRIATIC	NCT02125461 / NCT03703297	targeted	NOT_OPEN	no					Still no public per-patient PACIFIC or ADRIATIC RNA matrix. ADRIATIC ASCO 2025 abstract 8014 is group medians only. The user A2 durvalumab coefficient is taken as given and is not re-audited here.	https://clinicaltrials.gov/study/NCT02125461	
