,TACSTD2,CD8A,NKG7,NCAM1,LGALS1,LGALS3,LGALS9,PVR,TGFB1,TGFB2,TGFB3,CD47,SIRPA,CD274,EPCAM,CLDN4
TCGA-98-A53I-01,12.9956,8.6479,8.2068,6.566,11.0583,11.1311,11.1436,9.6907,11.2214,6.3342,8.9029,11.058,10.5193,5.8919,13.1666,12.1004
TCGA-46-3767-01,12.9585,8.0218,7.3632,5.9136,13.2713,12.1907,10.1688,9.4968,11.1678,9.0034,10.781,12.3646,11.3625,5.6186,10.8886,11.9131
TCGA-22-4599-01,9.1335,10.196,9.0354,3.648,11.9086,11.9713,11.6438,9.8993,10.1702,6.1337,9.4584,11.6903,11.1353,7.4622,12.2579,10.5536
TCGA-58-8391-01,13.947,6.6846,5.742,4.528,10.766,11.0793,9.7921,9.7563,10.3024,7.1796,7.9711,9.7721,12.0277,7.6256,12.6767,13.0048
TCGA-85-8580-01,12.7329,6.8088,5.8849,3.4793,10.2146,11.0495,9.7819,9.7301,10.5836,7.8204,8.502,10.4073,9.2463,5.8711,11.7983,11.9835
TCGA-60-2715-01,11.6391,8.2733,7.8657,5.4386,12.727,12.2687,11.5689,9.4859,11.3458,7.7018,9.9806,11.7347,11.6203,6.368,13.0185,11.2388
TCGA-39-5031-01,12.6704,8.4527,7.2788,4.4948,11.8939,11.9991,10.4304,10.3528,11.3636,11.0651,10.2035,11.0773,10.5732,5.4998,12.616,12.1329
TCGA-66-2792-01,12.7614,6.9504,6.1773,6.7309,11.5742,11.5117,9.4904,9.1321,10.9377,6.9076,9.5681,11.4981,9.7057,8.8428,12.3234,11.0859
TCGA-92-7340-01,14.6428,8.2959,7.9503,5.5045,13.0279,12.6596,10.4099,9.9872,11.2545,7.2317,10.8997,12.2237,10.7942,5.1,10.0563,10.7601
TCGA-85-8287-01,11.4708,9.5709,8.0949,6.8365,12.8184,11.1379,10.5645,8.8006,10.6265,9.4926,10.4444,11.5611,11.1216,5.671,10.0551,12.1044
TCGA-56-8622-01,14.8218,4.8956,5.261,3.1819,13.2691,12.2617,9.4111,10.6455,12.188,8.114,9.5192,10.6836,12.0997,6.4395,10.1946,12.235
TCGA-22-5471-01,13.1133,10.6918,10.2031,4.2473,12.3204,12.7815,11.3476,9.509,10.5151,6.4783,10.5881,11.4836,10.7819,6.4189,12.5408,12.6076
TCGA-77-A5GA-01,14.2926,6.8554,6.7292,4.4607,11.047,11.013,10.7913,8.9814,11.4199,5.5066,7.8593,10.5866,10.4681,7.5464,12.6721,12.0802
TCGA-85-A4QQ-01,14.285,6.7808,6.217,3.5053,11.5532,12.9932,8.3728,10.4618,12.1603,4.8538,7.869,12.8516,11.7919,4.2825,10.5297,11.6935
TCGA-66-2744-01,12.383,9.637,9.4021,5.3749,13.243,12.5856,10.9967,10.8,11.133,10.3218,9.5333,12.0534,11.1819,8.696,10.8825,10.1819
TCGA-22-5480-01,9.6659,7.6445,7.2101,5.8217,12.6976,10.748,12.5085,9.4024,10.3185,8.6978,9.1013,12.8113,10.7087,7.6147,11.231,9.9598
TCGA-58-8388-01,12.1122,8.6984,8.1249,5.3299,12.6594,10.2696,10.359,9.622,10.2092,7.3261,9.3618,12.0477,11.3454,5.7172,10.9286,11.2557
TCGA-63-7022-01,12.3685,8.0664,7.7958,6.1248,13.42,11.9244,11.5274,10.1214,11.4572,8.8653,11.1438,10.8022,11.3517,5.4717,11.6367,9.9825
TCGA-85-8584-01,13.1746,9.9739,9.3723,4.8544,11.6776,13.7772,10.7581,10.9931,11.0732,6.5561,8.8871,11.6032,10.036,6.6704,13.1158,13.7807
TCGA-77-8128-01,11.7531,5.6822,4.3578,5.4171,12.2786,11.617,8.5036,8.9498,11.1254,9.4917,9.4623,9.6035,9.6044,5.0728,12.6321,11.4458
TCGA-60-2708-01,11.745,5.4163,4.4188,2.9045,14.647,13.1028,8.9045,10.3077,12.5308,9.1736,11.1353,11.111,11.1317,7.4683,11.1204,10.9578
TCGA-85-7699-01,11.3296,10.2374,9.399,3.4138,13.5255,11.1749,10.5048,10.1952,10.2719,8.4251,10.5917,11.6116,10.8775,6.9867,10.8815,10.156
TCGA-33-AAS8-01,9.8479,6.0519,6.1891,3.0115,11.2099,10.2568,9.9028,10.8977,10.2532,6.2821,6.3848,9.8298,11.1354,6.4445,12.5417,10.962
TCGA-18-3408-01,13.0078,7.8712,6.1617,4.8221,10.7861,12.5846,9.645,9.2755,9.534,7.3743,8.6785,11.2101,10.044,8.5633,12.2485,11.5142
TCGA-56-8626-01,13.4423,6.2504,6.1923,4.8997,12.764,11.7566,9.4174,10.0855,11.9518,7.9439,9.1553,11.7475,12.2724,4.422,9.4952,10.8621
TCGA-22-4601-01,14.3815,7.3971,5.7833,4.4305,10.7558,11.6977,9.8731,10.723,10.7804,6.9498,7.4671,11.6737,10.8313,6.8,12.8927,13.131
TCGA-43-6773-01,13.1004,9.4635,9.4364,5.7874,12.4485,11.7939,11.7892,9.7033,11.6906,6.3395,9.5367,10.4502,11.4845,7.4973,11.3902,12.2871
TCGA-60-2706-01,11.2641,8.8909,7.9568,8.4259,10.9907,13.0361,10.504,7.593,9.9314,5.9424,9.4741,12.3826,10.3655,5.8428,13.0633,13.6404
TCGA-77-A5G8-01,13.6537,7.4904,7.6017,5.1831,11.4067,12.3827,9.767,9.1101,10.7089,6.5876,8.7959,11.628,10.964,7.279,11.885,11.8979
TCGA-85-8355-01,12.449,9.7611,8.1583,5.5666,11.1759,12.4043,11.283,9.0678,10.5919,7.6229,9.6351,10.5911,11.0232,9.8141,11.8285,12.5322
TCGA-22-4593-01,11.1126,7.1886,6.3708,6.421,13.4631,10.6667,8.4918,10.2862,10.9924,8.0566,9.8883,10.4778,10.6193,5.2486,10.6213,9.3035
TCGA-60-2712-01,12.0826,9.692,8.992,7.8448,12.691,12.2221,11.6859,10.1225,10.636,11.1224,9.4274,12.2396,11.2806,7.6849,10.5497,11.4005
TCGA-85-7843-01,14.1937,6.4226,6.203,5.8604,11.4995,12.0461,9.7888,9.5824,10.7411,6.2365,9.719,10.5623,10.0835,3.9996,12.3921,9.9286
TCGA-66-2790-01,11.0228,8.9854,7.8122,6.8171,12.7333,11.0534,11.0339,10.5072,10.9038,8.6517,10.5879,12.8491,10.3491,5.7871,11.6124,11.4114
TCGA-NC-A5HE-01,12.3793,11.1846,10.8564,4.5772,12.386,11.8938,11.8358,9.937,10.4861,7.3127,9.4717,10.931,11.2906,7.7503,12.4691,13.0572
TCGA-33-4547-01,13.7327,5.4883,5.8516,4.6145,11.8697,11.6459,10.8166,9.4893,11.4238,9.638,9.9397,12.1865,10.6551,3.882,11.4171,11.6833
TCGA-34-5240-01,14.5377,7.2997,5.8405,6.1592,11.9969,12.4574,10.3353,9.9182,8.964,5.7362,8.2321,11.06,9.302,7.8145,12.9208,13.0122
TCGA-63-5131-01,13.2089,6.5049,5.2652,3.9162,10.2826,11.2016,12.4419,8.7304,10.3747,8.062,7.4578,11.4951,8.7069,4.9069,11.8401,11.5924
TCGA-66-2758-01,10.5996,10.2454,9.8759,6.6251,11.931,11.6376,11.4214,9.6911,10.2909,5.9119,8.789,10.6997,9.8726,8.7926,12.6855,12.2091
TCGA-85-A50M-01,13.3675,6.6246,5.6753,2.7854,12.7353,12.364,8.3301,12.3796,11.6857,11.2336,9.6008,11.3025,9.3429,7.5279,11.8903,13.0273
TCGA-NC-A5HI-01,15.0953,6.7814,6.2665,2.6842,9.8695,10.713,9.8205,9.0808,10.3965,5.5448,7.6008,10.7376,9.4282,3.8648,12.0348,11.5998
TCGA-77-8009-01,6.1114,7.343,6.7966,5.2318,12.2654,9.8508,9.7487,10.6371,10.5416,6.0536,7.6339,11.1391,11.3383,7.1636,12.6427,6.2592
TCGA-43-A56U-01,13.4418,9.4092,8.5653,5.6081,12.1859,11.9461,10.5992,10.2518,10.8736,7.0279,9.5896,11.9795,10.2732,6.2323,10.3627,12.1378
TCGA-68-A59J-01,12.5086,9.3194,8.715,5.0552,11.2349,11.1699,10.2085,10.0004,10.359,7.2026,7.5133,10.2973,9.4321,10.1397,11.4524,12.3359
TCGA-34-5236-01,12.4123,7.0082,5.8988,4.2427,14.1206,12.2575,10.5906,10.6809,11.5933,7.1476,10.4533,11.0519,11.615,4.8527,11.8677,12.049
TCGA-22-1002-01,13.3604,8.042,7.4182,5.1412,11.0948,11.376,9.9564,10.2675,11.2833,7.0653,9.0887,11.9058,10.3357,5.7444,10.8886,11.8436
TCGA-NK-A5D1-01,10.8873,7.171,7.0991,6.2211,11.9691,9.6034,8.8658,10.332,9.5947,5.9068,8.6052,11.4966,9.8706,3.1032,12.7767,11.0316
TCGA-51-4080-01,13.0123,6.7055,5.9217,3.7385,9.5601,11.2412,10.1723,9.3755,10.2076,5.3652,6.6858,10.336,10.2769,6.2168,14.0075,11.6034
TCGA-33-6737-01,12.2107,7.8792,7.6148,4.7317,11.3732,13.3495,9.6211,11.2799,10.1035,7.0095,8.4603,10.4788,10.992,6.6904,13.0423,11.4666
TCGA-56-7223-01,10.5889,5.1916,3.8436,9.8495,10.8017,11.8183,9.9047,9.7136,10.7029,9.0501,8.2505,9.9444,8.1292,4.1187,13.8799,11.9833
TCGA-39-5011-01,12.8673,9.3851,9.6723,4.4042,12.2324,13.1232,11.0334,10.3987,11.046,7.714,8.6801,11.883,10.6405,6.7594,13.5511,12.8242
TCGA-39-5037-01,12.5492,5.5253,4.5042,6.1345,9.4806,12.6599,9.2909,9.0281,10.1119,5.1717,6.421,10.9336,9.9515,6.0998,13.1812,11.5812
TCGA-66-2777-01,13.9266,7.3835,6.2235,3.9768,11.9344,12.6211,10.7795,9.7095,11.3676,7.0764,8.7047,11.0964,11.3927,6.4066,12.5393,12.8525
TCGA-21-5783-01,11.657,6.2679,4.8944,5.6615,13.3231,10.796,8.9558,9.9753,11.5202,8.3748,9.5491,11.0834,10.545,4.8944,10.9731,11.9029
TCGA-85-7950-01,7.839,9.2913,8.3576,7.4021,12.9382,11.0801,12.4069,8.3747,10.6218,7.8574,10.5996,11.4998,9.8558,7.7531,9.3906,10.9204
TCGA-77-8153-01,13.8212,5.7296,5.172,3.1263,10.6322,10.9857,8.3947,9.7278,9.5625,7.2963,7.7442,8.5216,7.6098,6.0767,12.9116,12.5481
TCGA-L3-A4E7-01,14.0512,6.8902,7.0219,3.1748,12.4393,12.4643,10.4519,9.4358,11.4076,9.1067,9.3264,10.8885,10.083,7.1133,9.9774,12.5072
TCGA-60-2724-01,13.1492,5.2029,3.68,4.8871,13.7049,12.1911,8.3291,10.8936,11.8125,9.9241,10.363,11.5205,10.4842,4.7507,12.0751,10.9952
TCGA-90-A59Q-01,14.1419,10.345,9.6323,4.924,12.2596,12.1573,10.5572,9.9521,9.8236,9.4143,9.0582,11.9078,10.5741,6.2978,11.732,12.6247
TCGA-94-7557-01,13.3812,5.7898,6.2428,5.7805,12.0364,12.7178,10.2324,10.338,10.011,7.9712,7.6999,10.555,10.7744,6.5729,12.9336,12.9056
TCGA-96-7545-01,13.0318,8.2022,7.7798,5.5276,11.1277,12.0684,10.0749,9.1551,10.6056,8.3235,8.7175,11.2582,11.1888,7.0434,15.3034,12.0373
TCGA-85-6798-01,11.1636,4.6507,5.3736,8.932,12.9227,9.6956,9.8736,9.7317,10.904,6.7284,9.5654,9.9103,10.1942,6.4295,13.1594,12.0303
TCGA-98-7454-01,12.0472,9.2885,8.5928,6.7449,12.2092,11.5716,10.6145,10.386,10.5459,10.1139,10.0274,11.9135,11.8663,7.7261,12.2376,9.4406
TCGA-66-2771-01,15.0328,9.5129,8.884,6.6022,12.2745,13.6227,10.5223,8.1088,10.0803,6.398,8.4467,13.1218,10.2576,6.6279,12.0957,11.7395
TCGA-56-8083-01,10.848,6.7377,3.8489,11.6061,12.0601,10.4246,7.5403,10.3038,10.6903,9.2818,9.575,10.4439,10.3231,2.4961,11.6939,11.7996
TCGA-85-7696-01,13.1451,6.9663,6.1379,11.008,11.1625,12.4428,10.2397,8.6363,9.0635,11.0836,8.8883,11.4823,9.5444,4.9483,12.5935,12.4373
TCGA-77-A5G6-01,12.9382,5.8348,5.7538,6.0536,9.9193,10.6718,9.7435,10.1478,9.529,6.9788,8.3941,10.8447,10.7682,3.2184,11.8322,11.6478
TCGA-90-A4ED-01,12.137,6.7647,6.6116,11.7175,11.4682,11.1251,8.8315,9.3152,11.7695,7.4272,9.2661,10.2308,9.7882,3.8901,12.2609,9.5781
TCGA-56-A4BX-01,13.8011,6.4944,2.0408,3.4755,8.9401,12.5041,10.1507,10.0746,9.7083,6.6702,6.7662,9.2256,8.9515,5.7113,13.1649,13.1749
TCGA-NC-A5HG-01,13.9932,4.756,4.4206,2.3229,12.1319,12.2763,7.2585,9.6497,11.4109,3.512,7.5786,9.7423,8.8066,2.2025,9.1796,13.2903
TCGA-37-5819-01,8.5663,8.3172,8.0202,11.3517,12.6057,10.0353,9.6375,10.7175,10.0839,8.2363,10.1347,10.8218,8.6784,4.3687,13.1679,12.5566
TCGA-66-2727-01,13.1476,7.6211,7.0592,6.2328,11.5401,11.8699,10.5547,9.6734,9.7406,7.848,8.4301,11.4354,10.5935,9.5669,12.2597,10.8378
TCGA-77-6843-01,11.6104,5.5864,4.3905,9.6129,9.0835,11.0891,10.2356,10.8009,10.9452,6.1791,5.2418,10.7656,9.2056,7.6395,12.3454,11.7549
TCGA-77-8130-01,13.5502,4.5739,4.4503,3.4301,14.2114,12.3145,9.1115,11.776,12.3372,8.3615,10.5973,10.9609,12.3479,5.9905,9.6779,10.2458
TCGA-34-5928-01,12.118,7.8539,7.1258,4.2492,13.7164,11.5256,10.7633,10.6882,12.0269,9.5998,10.5123,12.5555,11.3915,5.8123,11.5491,12.2976
TCGA-22-4594-01,11.1644,8.4509,8.3788,8.0045,11.8436,11.2859,10.2434,9.0297,10.0857,8.4328,8.8568,11.1841,9.9021,5.7756,13.2553,13.4567
TCGA-22-A5C4-01,11.3341,6.7729,6.2517,9.018,9.5578,12.1351,8.5078,10.5617,9.9406,7.1959,8.583,10.928,10.2774,4.3074,11.2155,11.6811
TCGA-33-A5GW-01,14.3119,4.574,3.6613,5.482,9.5122,11.1082,10.0237,9.8697,10.9019,6.9635,6.8034,10.618,10.6005,7.0716,11.9393,12.7672
TCGA-94-8035-01,13.7566,5.7409,5.0475,3.7167,11.2646,10.8638,8.8777,10.7718,10.6631,6.866,8.2831,11.3947,8.5325,5.8175,12.0732,11.6805
TCGA-94-A5I4-01,13.9177,5.3407,4.8033,4.8613,11.0122,10.7057,11.0629,9.7046,10.8573,7.4189,9.0753,9.7243,9.9092,4.9171,12.5144,13.7523
TCGA-94-7943-01,12.6403,7.1243,6.317,8.5173,10.6344,12.2303,10.7424,11.5251,11.2334,7.1174,7.6533,11.0622,9.5968,4.5188,13.1854,13.3496
TCGA-85-A53L-01,11.9623,6.8166,6.5421,3.5774,11.9633,13.3494,8.6876,10.2159,10.8124,6.0664,9.4605,12.7269,8.9136,5.0627,12.9335,12.5098
TCGA-63-5128-01,12.5908,5.6531,4.2952,7.17,10.9226,12.0429,7.5367,10.0577,9.9475,8.5995,7.4714,11.0633,10.6868,6.4706,11.5195,11.8714
TCGA-63-A5MU-01,13.9382,5.1043,4.53,2.7853,9.8431,12.0055,9.1886,9.5442,10.8396,4.7825,8.0776,10.2275,8.1543,6.3055,11.9197,12.1564
TCGA-37-4129-01,4.7682,7.8615,4.0411,11.9273,10.9459,9.2453,7.0432,9.2246,9.1453,6.3685,10.1682,11.1095,8.5821,3.0961,12.5097,11.9873
TCGA-98-A53C-01,11.4117,9.9218,8.9204,6.5924,11.885,11.9443,11.0328,10.1729,11.0453,8.9776,9.983,12.2586,11.0126,7.4426,10.7154,11.2109
TCGA-56-A4ZJ-01,13.9799,7.2275,7.0588,5.2176,12.906,12.2827,10.6133,10.248,11.7121,9.9517,10.4084,11.6131,12.1708,5.6869,10.518,12.7492
TCGA-22-0940-01,13.5749,10.1812,9.3506,5.2908,12.4518,11.3323,11.3239,10.0238,11.0373,9.7601,9.1353,12.655,11.4292,7.1382,10.7701,12.179
TCGA-77-8145-01,12.834,5.6423,5.5672,6.1676,13.031,12.5471,10.0727,10.828,11.8644,11.0504,11.3184,10.8967,10.7574,5.0837,10.6569,12.1259
TCGA-O2-A52W-01,13.7208,6.9232,5.3492,3.1795,10.1692,11.5605,11.2956,9.1065,9.6784,10.1893,7.6425,10.965,9.1792,4.1855,12.5212,11.4677
TCGA-63-A5MV-01,12.4722,8.2834,6.3645,4.4653,12.0277,11.8654,12.4178,10.2652,10.3871,7.9799,9.5921,10.6043,10.9164,8.7442,11.575,10.8269
TCGA-34-5231-01,9.4651,8.7475,7.2853,3.5955,10.8332,11.2468,10.9173,10.0114,11.1307,7.5751,8.8826,11.1993,10.5831,5.4243,12.0332,8.4798
TCGA-33-AASD-01,13.4395,6.0051,5.6788,6.6961,11.9939,12.5531,8.3313,10.8983,12.2313,6.7512,8.1335,11.3371,11.6457,5.0569,11.3193,11.9404
TCGA-77-8140-01,13.9864,6.2767,6.3449,4.3582,10.3307,12.3839,9.7955,9.5403,9.502,6.3713,8.2414,11.4023,7.9664,3.701,11.4599,13.8002
TCGA-39-5019-01,12.6364,8.329,7.3133,8.2591,13.3547,11.9068,11.5775,9.7899,11.6364,8.2247,9.5728,10.9861,10.219,6.8224,11.9737,13.4077
TCGA-22-5478-01,12.3821,6.8016,6.533,11.3384,11.6803,12.3666,9.3399,9.8865,11.2824,11.2795,11.759,11.3432,9.4433,4.4459,12.1822,13.2948
TCGA-90-7964-01,14.6583,6.3622,6.5232,5.3862,11.7268,12.973,10.5725,10.6607,11.3246,8.8165,8.4695,10.5591,10.8109,4.8781,12.6938,13.3106
TCGA-68-8250-01,13.0435,8.2064,7.1854,6.7981,10.838,11.5421,10.4597,10.6133,10.4416,7.9589,8.1717,11.2971,10.0249,6.71,12.5858,12.4741
TCGA-56-8504-01,12.8169,8.3233,7.464,3.4313,11.0738,11.8524,11.0897,9.8043,11.3895,6.2755,9.2241,9.7814,10.3453,5.3918,13.0074,11.9156
TCGA-NC-A5HP-01,12.327,5.5047,4.5171,4.0185,12.96,13.0,9.1418,9.4346,10.3826,7.0015,9.7367,10.8783,9.6032,2.3945,11.4802,11.8738
TCGA-33-4566-01,13.0351,9.2865,8.3528,3.0152,11.8847,13.0065,9.8534,10.2736,10.4183,10.7848,8.2022,11.6159,11.037,6.7037,12.2751,10.3132
TCGA-58-8393-01,13.8329,9.4769,9.0678,4.8697,11.1919,11.9271,10.9842,10.3723,11.5843,6.9983,8.9086,11.7566,11.8223,8.1354,10.88,12.9481
TCGA-63-A5MS-01,12.3213,8.4398,6.8762,2.884,12.6226,12.2913,10.8422,11.0498,11.9068,10.1651,9.8126,11.0146,10.8597,6.4717,11.6023,12.3812
TCGA-66-2780-01,15.053,7.023,6.7328,2.9867,13.7234,13.1407,9.8138,10.5078,11.7177,7.8902,10.0789,12.3994,11.3735,5.3353,9.5664,13.087
TCGA-21-1075-01,11.1417,3.7878,3.1993,4.1478,10.3981,12.5645,7.9746,8.9779,10.0711,5.3897,6.2155,11.4984,7.3915,7.7921,12.0432,11.3304
TCGA-56-7823-01,13.1235,6.1501,5.8543,2.1987,11.596,11.6657,9.1925,9.8929,11.371,4.2892,9.0757,9.2701,10.6922,5.6459,12.6125,12.445
TCGA-63-A5MP-01,14.0216,8.5334,7.7944,3.8626,11.263,10.9731,11.3918,10.3594,9.9378,6.1216,8.5978,10.9244,10.1379,10.4543,12.9136,12.7114
TCGA-85-8072-01,13.7444,8.0139,7.1302,5.1144,10.9862,11.3348,10.8175,9.8419,10.7252,6.4437,7.5887,10.1923,10.0455,8.3591,12.6167,12.8368
TCGA-21-1078-01,15.1935,4.8792,5.4283,2.2912,10.6223,11.0411,11.1342,8.397,11.5059,6.6371,6.1198,10.3337,6.7405,3.8709,9.2241,12.8456
TCGA-77-A5GH-01,11.7671,8.9064,8.5948,4.8393,12.5047,11.726,11.9258,10.1232,10.3192,9.1742,10.4638,11.8643,10.4268,7.9835,9.2194,12.319
TCGA-60-2714-01,12.3527,8.6034,7.808,2.6892,13.1697,12.8141,9.8906,11.0169,11.6762,5.6154,7.9774,10.5471,9.7373,8.8932,13.1695,13.8053
TCGA-34-2600-01,15.2687,6.0705,6.4735,4.1502,9.8641,11.4953,9.7854,9.8099,9.4253,6.1306,6.5128,10.3661,9.5005,3.4876,11.594,15.0448
TCGA-33-4533-01,10.307,7.6225,6.4452,10.6134,13.1531,12.7648,8.1182,10.4748,11.1594,9.3845,11.4916,11.3057,10.4084,3.9407,9.8707,10.2844
TCGA-85-A510-01,9.3866,9.0634,8.5281,12.8519,10.7184,10.4644,10.0402,9.8751,10.7301,8.5811,7.7253,10.7962,9.2373,4.9729,13.13,11.7379
TCGA-52-7622-01,12.8627,8.898,8.1105,5.8167,11.6247,12.3128,10.7471,10.1672,10.5285,7.4947,8.869,11.2992,10.6991,9.6753,12.1256,12.8039
TCGA-77-7337-01,12.35,7.7115,6.7507,8.931,12.0884,12.2783,8.8682,10.2113,11.8556,8.6058,10.6451,12.9528,10.2666,5.0902,11.2996,10.9798
TCGA-37-A5EN-01,13.0092,7.9879,6.6273,5.6925,10.4691,11.9992,10.1093,8.6397,9.5745,6.8491,9.0251,10.9125,9.5458,5.9307,12.8244,12.3796
TCGA-77-8148-01,12.7074,7.2452,6.3378,4.5646,12.1486,11.9503,9.9656,9.0472,10.8393,6.8297,8.8056,10.9132,9.2134,5.6844,12.96,11.0739
