"CXCL13","CLDN4","GATA3","CD274","GZMA","FOXA1","KRT5","TACSTD2","EPCAM","CXCL9","KRT20","PRF1","TGFB1","UPK2","CD8A","CDH1","sample_id","libsize"
254,560,11320,157,195,4879,455,4385,10540,1727,1293,369,1618,3128,506,49461,"SAMc692536a795a",37089403
372,1333,16508,323,298,4700,6262,1820,19875,788,25126,575,3732,1022,928,68747,"SAM9a2cf3c06fb3",61740656
202,781,9596,60,96,7564,289,1624,3533,231,2100,219,849,6511,487,28196,"SAM557dde1b9f3e",21287137
297,344,164,96,108,4114,12948,851,82717,723,280,338,1936,15,852,25164,"SAMb8f13a0525a6",35316751
551,966,28151,54,53,5616,2690,6825,20001,12,14372,125,2612,8495,229,45090,"SAM23aa15d4a0b0",34921981
60,456,7157,16,26,35,3074,3899,3055,34,129,89,953,756,61,33856,"SAM468a9e1dc821",28393001
3,372,36766,47,32,25224,42073,3807,38473,38,10884,49,2585,1807,241,245172,"SAM81b71522417a",58180675
6,1206,14059,48,72,7570,9024,6306,15861,21,12287,151,1003,13366,164,39844,"SAM6cb230f208a8",27151712
37,1792,16001,139,43,9960,2836,6840,14556,173,15,38,6834,12086,105,147099,"SAM0684af734db1",56116590
459,1574,7169,1672,104,23,35470,8314,59510,343,4,285,2130,99,601,92148,"SAMb963dda93cfd",60567223
728,332,21749,198,188,1479,2838,638,2473,233,2709,319,1623,491,1091,19114,"SAMa9ca8536d2b1",35897924
6760,120,610,185,240,1281,84258,1121,3730,1280,2,405,1991,13,812,27794,"SAM9fb814c22bdb",34448557
18,584,35960,136,70,16134,31753,10657,12664,60,10,105,3669,3726,97,117644,"SAMbcbc7957c264",62749192
5945,130,1539,328,1366,1643,43521,1044,8953,6722,1,1832,2210,9,4518,23512,"SAM7fb6987514a4",43121239
300,206,5081,177,231,2220,33379,2673,3233,1207,1116,382,1401,435,767,23081,"SAM63405b04ab2d",33427507
278,634,8760,146,194,8252,1969,8415,19853,870,1720,258,802,9843,767,40214,"SAM18bc1078bc15",33571415
382,223,1398,262,180,113,18966,1576,6147,217,0,501,1738,18,503,11763,"SAM7d2dfba6cd84",26543764
325,3338,8515,212,286,2786,621887,10754,7590,1181,1055,519,2422,441,856,45679,"SAMd1bd63734394",49528988
526,712,16941,137,179,6319,21185,4998,18697,97,27,195,2864,871,371,77939,"SAMe9ae8beb82fa",61210934
67,520,12155,89,25,6187,22392,4661,8891,35,512,132,1588,1068,131,34427,"SAMb0a83e5fbde9",29393585
4,228,28020,75,26,17214,71124,5136,6406,7,1,47,1382,939,84,53587,"SAMba7176afe070",37357345
64,700,44609,173,197,29065,83244,8660,16481,330,16038,155,3450,5578,472,75614,"SAMae1690469964",61697186
495,494,40357,144,188,9492,36,4528,16851,131,55,203,1838,1338,541,76709,"SAMbe83eae4026e",39608951
19,584,5453,149,69,6310,330187,5766,10781,24,2,137,5046,201,235,55190,"SAMe5bc41772bc9",53641504
32,811,18756,66,23,14052,210,7590,12983,28,8453,78,2640,4831,92,85444,"SAM23095936e611",47157616
39,2239,6264,35,20,3406,2383,11425,5151,117,10840,74,827,11900,122,93773,"SAM7114d99032ec",41662798
83,338,16064,124,34,4317,8870,4468,11283,68,1995,162,2999,1201,223,41001,"SAMd215b503f99a",45636260
238,197,247,76,66,36870,1460,1446,39075,35,129,121,812,17,394,59560,"SAMdb3f50c9129c",46380850
310,1754,3006,149,219,5134,262,5487,30842,747,19208,340,1572,9356,638,29490,"SAMbf1a3ae828e6",49051530
5188,314,2294,256,259,1766,1514,3427,1141,1391,862,909,2731,3150,1927,19142,"SAM52e3fa3ad574",33036341
560,199,16533,63,165,11508,118865,5009,16819,669,3957,133,2824,144,620,42151,"SAMd4c0837b0997",47099841
1154,24,5043,3990,895,90,2064,164,1401,3918,1,44930,18678,7,2601,1601,"SAM9cafb905b36a",57179537
124,940,8018,158,177,1232,323,4483,26865,906,3,174,1214,105,277,58260,"SAM3f2033c90438",44918728
1956,1552,42726,2456,624,105,599,1966,53625,4799,2,1306,1736,687,1538,6950,"SAM032c642382a7",54650434
367,1455,18627,104,264,12751,146,9670,32337,760,24330,357,1982,4311,604,326977,"SAM5ffd7e4cd794",94062213
154,65,547,225,65,3143,21029,552,59836,476,3,95,1028,6,414,27234,"SAMb419a8fcbfcd",60823832
2143,101,671,1122,1147,10,50833,4820,6001,8425,0,1977,1783,1,3006,14427,"SAM8884fe446d20",36250477
18,234,27812,79,39,9120,21513,2269,7590,42,1935,85,1426,1116,195,66681,"SAM17c45bf16bb6",35371222
186,634,7944,93,70,7824,103863,8538,8025,329,13,183,1575,410,295,48260,"SAM2070b416069c",37979428
764,199,1197,292,106,1380,142103,3235,10195,260,340,356,1925,1,571,44651,"SAM0ce9c983b20f",34632160
508,724,36598,108,260,16699,3589,8020,16082,1474,4832,442,1904,2172,1023,117744,"SAMa1e62d323e1d",46513304
2148,191,15263,143,289,7073,34481,2917,6795,2843,2548,466,3083,1742,964,51175,"SAM61baf919bb01",36772309
468,1090,27106,64,164,3991,1334,4299,16757,431,7387,296,457,4811,640,34633,"SAM97a00e0929fb",25764353
78,887,393,121,194,1742,31,679,98199,765,2478,148,1636,8,424,21194,"SAM2f228939632f",35261769
8,981,31430,130,20,15485,21272,8656,12803,35,46,59,4937,1418,60,97276,"SAM9539a4f19ebc",55845507
160,462,9718,52,109,4743,32117,3409,10602,87,5,222,1989,784,518,27119,"SAM36851bc8b9ae",25580025
421,135,6651,1785,163,597,20324,1123,24554,443,14,386,1848,3,811,22641,"SAM297c0301e861",45336239
450,715,54906,236,183,10487,880,9849,21289,1020,397,280,1742,13243,499,101170,"SAM1fa6bcb7fc48",49164583
32,752,4610,75,44,6617,1117,10001,738,60,1765,68,1845,8498,103,64562,"SAM075e037d95bc",31574529
566,1021,19894,75,84,13717,48842,8361,5675,263,1081,145,1997,2652,233,52180,"SAM6d2ae0c39b96",38071170
856,614,4608,1679,155,33,4983,2882,28448,2558,1,284,11865,176,680,31423,"SAMcabb6d58ff55",36448018
1631,158,43011,149,362,8370,1229,1113,19670,1379,6061,513,2053,1601,973,43894,"SAM716f54e468f4",48306614
31,279,35137,69,20,16125,24659,6008,9420,98,6597,37,3399,1553,53,68401,"SAMeff2ce356ccb",40075710
542,1408,6248,122,92,7277,9826,18724,20808,923,10,160,549,6734,266,109744,"SAM110501d0eedb",40320864
554,55,4998,548,125,36,64,1591,2035,491,32,309,2004,14,339,9578,"SAM2e9ac0b1b250",20009981
5,552,49831,42,19,26579,686,7069,19536,16,1401,24,1266,2661,137,58615,"SAMc0ef41aa6c8b",35083710
26,139,2147,286,115,910,7391,845,1403,126,1460,428,2742,572,378,9715,"SAMd636e3461955",50866528
383,847,42891,127,113,22327,626,9397,47964,385,10521,114,1789,14969,524,29818,"SAMe712352fb82a",59309352
214,262,261,74,64,1404,1525,3643,18810,193,2,213,636,16,567,15050,"SAM30b5c6c54cf7",31133104
75,3203,10828,87,89,10090,138340,8885,9582,133,4903,130,3111,863,286,38345,"SAMd98bac0a070f",47970184
173,349,5627,132,76,2198,1519,5201,9847,50,1067,254,2179,1484,348,31693,"SAM8e8ef2368dfa",42927892
57,194,13448,19,20,7082,11789,2882,2249,5,10513,13,1500,1696,89,43717,"SAM08cce2fa88f2",25485236
216,1870,24172,56,122,11530,45,9636,12708,1348,19687,286,1604,23229,488,70871,"SAMb4c7a001537d",32436743
111,595,8856,55,43,6563,890,4756,10057,61,4,131,2024,3044,162,62676,"SAMfd947610629d",31086705
31,276,2505,194,759,5156,668598,8289,3035,41,7,283,3814,13,85,40540,"SAM943df5cf15df",45038927
1329,244,9283,127,212,7763,38440,5284,5960,417,384,313,3231,1162,610,77390,"SAM31f41dd0d6ca",45437285
98,1335,6432,98,12,1749,29833,12720,59680,5,3030,142,1149,3492,78,141155,"SAMb3c02294aba7",47956036
409,71,2650,109,232,192,1005139,2874,2522,1289,9,336,2852,33,612,17064,"SAM39eb94fa504d",46849623
168,1862,36476,173,54,9797,624,6104,30454,177,12653,177,821,5027,214,104661,"SAM62fb1388c871",46877383
7,1341,48959,2631,20,70,177,1649,35173,27,21,59,8297,284,73,100088,"SAMc0da5d48686d",69895097
172,500,32315,65,131,6676,33,6366,9978,22,5633,198,2790,5520,214,36331,"SAMe7bcab05402e",61393852
986,516,8406,168,367,3685,37106,3973,2467,1060,4093,463,1606,5913,1233,142466,"SAM2570ff4aae6e",38734455
5923,673,190,809,483,13585,1418,2476,34076,4824,1,531,1555,2,1601,38915,"SAM2dc3f04e45e9",42720816
1888,321,6581,331,431,5303,3021,2020,52072,1435,1848,404,793,1060,1089,31913,"SAM9448d858692c",37517486
402,119,1761,130,222,22,833325,3225,3618,581,14,381,3494,17,1171,45382,"SAM4501e41e4751",56725495
6194,99,1869,1767,2517,98,5,338,3839,11060,0,2522,3170,16,16468,6575,"SAM714285adf612",51853034
168,287,21629,64,165,16330,13364,3636,11411,232,966,267,812,429,620,45570,"SAM5b57e47fdcb3",36257287
1109,1359,30754,146,170,10502,34468,9226,28151,373,5322,329,3354,3726,205,135934,"SAMae4da274eded",49549460
451,508,24977,603,710,10264,8280,7688,14296,2228,7091,1435,937,3159,1463,75520,"SAMd35318127278",62012830
933,1225,5306,181,125,2907,5621,4574,3630,326,878,867,2090,4688,2209,42385,"SAMa913c6139ec8",35422285
148,320,17189,116,515,7833,52893,5240,14998,496,0,461,2816,247,1931,50728,"SAM75142fcab9df",50051198
137,724,17946,204,273,11376,14687,7099,8594,573,2241,442,1640,2926,619,41514,"SAMd697ba701077",40364344
109,338,4182,253,512,4249,8485,1454,5903,375,58,533,2400,844,1527,25146,"SAM166a419a4e5a",62217032
76,592,6869,108,83,3908,257959,9994,13694,90,3,108,3254,253,212,93104,"SAM025b45c27e05",73792840
1,221,37088,18,15,20540,2461,6153,7187,8,36307,57,3215,2588,44,69369,"SAMe07c4560772d",47109792
205,1257,53090,1610,103,3000,11944,6354,36616,522,4355,299,3615,1501,365,56566,"SAM2dc578e0165f",67863381
30,664,44058,48,43,25688,6555,8030,8316,69,9638,119,837,10751,136,55342,"SAM3785587846ce",42426348
2367,360,1063,1593,1170,3730,514,710,34263,8895,36,2352,2615,21,2304,31733,"SAM560f23d6a3ad",43098166
150,290,29011,57,44,7493,151,5319,12197,264,5170,102,406,7512,250,27931,"SAM52500cabdd36",27241555
244,598,28057,159,110,19891,90240,4753,31124,394,33,128,4721,2263,274,128812,"SAM14df63a65411",63893920
472,958,35147,116,216,8575,4070,8180,9435,241,14628,323,2160,7257,672,43666,"SAMf3a9bce50099",39461838
170,552,3115,122,212,447,567,3129,6968,304,2406,333,1640,203,294,71481,"SAMffa5c7cad0e5",40379383
233,676,35619,99,127,16736,82281,5636,9698,522,12582,279,3297,4938,706,76817,"SAMdab9ca8fb5de",57292304
676,133,7891,50,39,1259,4981,1038,3524,189,1067,176,693,307,744,10169,"SAM34430ef08e5b",21988846
173,277,13817,163,111,7141,35824,3329,7122,85,303,233,1602,792,428,33503,"SAM4b0175e8db6e",34226990
6,239,43274,40,21,15435,4640,4681,7310,25,32,19,1668,2710,105,46526,"SAMf28c01545593",39217805
43,27,200,107,121,2078,205,88,64527,724,8,241,366,7,519,10193,"SAMaec7380f9ab0",52710506
242,2068,22472,304,311,5909,150,4002,24428,643,3550,360,1562,6266,1243,3221,"SAMaf7578d55754",49689958
90,982,22793,52,41,4257,892,5925,14263,67,2412,185,2786,2091,156,66954,"SAMbd8ee73983b8",38681003
85,787,13393,273,203,5208,2658,6495,8873,460,18088,453,2508,6311,506,33348,"SAMe94c30c30616",44512665
81,824,63956,25,9,15374,2423,11826,79389,17,20286,31,4716,10532,27,187925,"SAM54e58f1b0230",55503595
267,893,21298,86,161,10334,12300,4587,36672,666,6299,194,1853,2015,301,100317,"SAM5e3bae090b8c",40608711
86,1269,11293,108,217,5893,314,4677,1859,379,20581,263,1239,1558,441,19990,"SAM3cb94b0d5297",25367887
606,2285,51504,166,154,26964,340,13966,22812,1490,62597,330,1596,26562,889,162061,"SAM61b9d4d84c64",66681911
299,471,11695,152,3,9534,1848,1220,29914,5,15134,24,1852,892,37,60631,"SAM8a42c0d59187",35063807
2529,263,89293,426,159,6896,372,4569,58348,2672,212,447,1954,3651,922,41724,"SAMcb132b0cdd2c",48767200
16,971,16404,72,140,15494,17501,8100,17443,40,25,256,5175,1077,462,74888,"SAMe97af0feefdf",49915236
1005,259,7994,215,516,1811,765,1802,5571,2219,969,507,2276,1201,766,32297,"SAMee3844cc0b9f",40749749
293,21,2188,6121,526,68,320280,2237,3351,632,1,820,5653,22,384,42684,"SAM73b653ae20d1",64495096
862,1519,19354,330,141,2516,214,3123,20132,64,8202,524,1891,1878,473,93028,"SAMdcae54fcd7fa",43513286
336,559,29523,137,83,13253,7056,4237,29507,1453,11965,99,1862,4649,249,85351,"SAMdad5c29dc105",55655222
624,61,37031,79,204,12359,20764,3056,15083,887,4138,248,641,449,1003,60379,"SAMa424c75831b4",30990377
547,88,2548,842,1926,7121,356457,4583,3296,5896,8,2867,3568,13,2707,54593,"SAM28687037e4ff",67401226
11,1412,53380,66,30,21562,7884,13512,23477,51,386,20,2476,5807,98,123392,"SAMe50d15fde368",59745824
1693,213,815,1049,530,61,678866,2337,14129,6448,40,1152,1746,14,2460,25294,"SAM45c8e6412c66",54932486
11,675,25345,75,29,16900,31239,11849,20336,35,19,52,1822,952,102,122339,"SAM8533e5e261d6",55692337
424,1236,36990,85,67,20828,44,17889,5513,411,9843,129,2557,18952,244,94164,"SAMaaf505c36f93",58124744
640,641,28980,136,94,10486,690,6991,4994,771,2611,272,945,4427,428,55428,"SAM73663ee4a96e",28614150
16,1144,17524,79,160,7450,19,5140,10741,92,2855,146,2679,1198,342,84437,"SAM0bdb3428bd13",45125724
11893,106,5856,514,605,1027,593,845,5242,2807,0,928,3063,978,2916,11233,"SAM3330c03fdf00",42502234
391,12,518,352,90,54,529996,8170,1070,1178,3,175,3796,4,384,21101,"SAM0a7c2091dd56",44893040
728,561,1774,1681,407,2323,476348,10959,69148,3427,2,540,3451,180,1390,70379,"SAM7bff231634e9",50499501
19,678,20592,55,42,13083,30949,13979,25574,12,639,33,3344,3651,160,146988,"SAM5d1dfd5207f5",65464562
382,215,37553,97,101,7795,1051,1601,22804,412,1738,202,2520,3458,471,44743,"SAMeb587a68006b",54548069
213,477,20981,407,538,6326,85677,4613,15710,511,5,393,5546,793,2501,71020,"SAM99a46b9eec27",71556667
108,282,16718,22,10,15542,49375,6533,8199,5,15103,32,3258,4533,76,108163,"SAM1ac4e3dee297",41028892
1002,105,3819,849,1368,1544,36188,1472,5297,991,3,1687,2850,47,5604,14503,"SAM553c3c35b847",38958139
1345,483,9807,267,928,11914,3980,2492,7390,5349,886,835,3621,3513,1976,84381,"SAM3e04eb914f3d",46889961
1110,236,49400,194,395,10046,32933,2328,11306,4115,6599,784,2652,1296,2338,26933,"SAMc2a1820d4e6b",47003433
459,180,41409,74,27,13243,16514,5339,13375,18,9113,51,2295,4774,103,48975,"SAM822b226466a1",43310110
413,318,3325,43,72,2363,108,1091,12675,32,1087,92,1475,106,267,38177,"SAMabc151b01ea3",34541980
1758,211,11716,317,285,6109,1880,3421,11141,2984,1263,619,2071,672,1427,80638,"SAMe1eb5d988760",44003374
611,135,421,479,465,149,387935,4332,6342,1726,4,666,3772,22,924,18199,"SAMe3210d3632b4",52105725
1752,684,10648,876,1325,1764,29619,4708,11114,3891,19,1454,2729,842,5496,68706,"SAMb15ad09d6e24",48605077
44,334,383,202,79,16124,398034,7058,46902,70,15,141,1308,13,171,57573,"SAM7893196e0e89",57264641
990,153,2582,205,86,7070,227223,3196,5375,1936,0,260,679,8,639,40171,"SAM3f446449bf81",33588830
264,1582,69382,83,113,34216,3564,4497,31825,233,13414,286,1785,1591,753,77170,"SAM961d04c42bd9",55683752
795,437,5407,795,673,15418,61886,8681,4930,4643,22,643,2796,1229,2794,73786,"SAMb0d11db9aa79",47315145
42,9,666,221,44,15,156969,218,1242,92,1,73,4106,1,235,4760,"SAM19fec8f3b3bd",24924280
10952,1816,18098,322,439,11989,11644,17692,30148,4212,7721,759,1504,2133,1460,83527,"SAM6083aac8db99",67335257
39,602,33774,90,99,21799,8338,6762,6034,76,8604,112,1072,5594,217,47676,"SAM7ee2b6e4d6b3",51824365
3,95,67,4,7,1432,788320,2448,818,23,28,43,622,17,179,32555,"SAMa90d73f8d891",36602287
244,823,33356,125,162,7350,106,2797,26180,108,7396,298,1744,6792,412,51085,"SAMaff272833538",47313830
60,681,1130,439,41,3203,960,1507,47534,92,10825,138,1763,28,290,2330,"SAM415f36ad349e",39653556
9,1214,24789,29,5,10513,5590,7590,9390,6,3936,24,5939,3925,10,96588,"SAM7c67b05aa109",44155228
96,486,20145,139,31,7396,122097,4590,11838,132,2,98,2632,288,142,51155,"SAMad83c9c53537",48967381
41,972,52262,108,72,18645,25,751,53188,220,2203,119,1251,419,93,50981,"SAM3e8baff50d7a",59957792
15,1334,12204,126,92,7359,51490,6304,17478,48,7577,593,2593,3970,174,57832,"SAM3ee5dcd894f0",44177921
28,1138,1851,61,76,10149,3659,5628,73726,146,930,57,670,3731,260,101651,"SAM8a1b0e02ee42",63547091
1881,108,10113,783,1420,403,3725,974,4945,6667,3,1109,3337,12,3900,236,"SAMd7d57ee3a863",43138031
53,676,41507,128,107,12284,3435,6620,6188,540,11032,363,2936,15232,279,101601,"SAMeb29625f76a5",52723111
3,515,2978,212,1,2558,62721,3819,4661,7,5,11,1676,17,6,32099,"SAM563d6233dfa2",42897621
235,1362,1446,303,685,9112,168,12472,27871,2643,3880,1762,1766,1224,1167,4012,"SAM4581bac493af",38379672
113,669,25883,137,93,16201,100848,10442,18803,212,3165,120,2119,2393,375,203869,"SAMa1871f491b02",58828234
1647,673,3901,255,305,5917,2352,1454,19886,283,4,483,1775,32,990,37759,"SAM30cf07d4874f",53427970
256,1367,4662,161,235,6938,49,20169,32269,609,6533,693,1370,645,911,38423,"SAM31291c256373",62135035
221,13,1804,894,188,39,4512,200,1285,629,72,390,2294,24,386,977,"SAMd135d5867fe3",41243130
1687,630,19805,3086,852,3828,10635,11117,15821,3260,459,906,4451,26,5644,974,"SAM9e11ec6bea80",54859327
237,467,43979,172,227,14183,741,10616,36437,1451,18546,360,804,3675,812,107960,"SAM065890737112",53522677
731,124,29086,151,188,13437,52756,6510,9753,234,2772,318,1908,528,822,36388,"SAMb470eb8f04be",52335986
9,866,17175,72,42,10419,914,1989,7350,64,327,39,1017,1223,112,51653,"SAM675a12a09c15",32055013
327,1459,4964,236,271,10894,64609,19690,46673,536,488,354,1006,149,826,93431,"SAM1e9c4d1d39ae",63839608
47,2164,57076,64,71,15613,1917,14184,32237,94,29720,94,668,14298,129,126655,"SAM5a2347c0498a",68840838
4705,292,1951,339,868,1822,201,2119,5459,4170,1450,1205,2247,2663,3829,10781,"SAM0571f17f4045",36009551
12,48,55511,65,23,10925,998,1758,1550,2,1706,6,1050,1476,32,48960,"SAM4b7ea015fd9e",37349128
416,1866,40269,351,235,27873,12565,15499,29915,1115,9041,404,909,1998,916,110460,"SAM9306c5c92444",57795406
624,1091,35162,217,243,13729,530,10684,14595,1507,1989,393,1635,7287,799,100731,"SAMb15ac6e4c4ef",44185639
1022,91,55878,137,46,22493,22326,5530,26195,7,10781,42,2336,157,58,73025,"SAM28e6031ac18b",50405792
0,449,22593,17,24,11547,1022,6703,13915,9,2339,42,952,14734,91,77433,"SAMd86389d0d768",30756702
122,868,32776,48,43,22577,273,8542,26092,6,10147,44,1282,466,68,87051,"SAM63b2189c36d7",46188236
303,329,10175,175,135,9514,2708,4228,46419,489,3139,114,1194,5594,589,32877,"SAM18be5b395318",41268291
22,201,535,138,141,9420,24914,1997,51339,43,5,79,1070,64,181,33830,"SAM0d855cff64e6",42693551
573,193,1622,206,609,962,88900,4921,17645,4195,32,416,937,21,1543,38200,"SAM6cbc10abddb0",40466813
1334,882,6004,96,583,1388,100,4755,3299,1180,6,621,2167,3374,1186,37318,"SAMdee1011782cd",35510479
688,181,528,104,228,1509,110,879,19956,1682,1419,354,780,253,928,11910,"SAMe9475f77504b",30054929
63,574,21792,48,95,4704,1406,4599,15265,209,6088,76,1546,3992,379,78722,"SAMa535fcdf18a0",37002242
7,1035,16943,26,16,16374,3030,3692,7080,8,713,28,2512,1232,94,195575,"SAM7746b76437e6",62639614
74,1865,20123,263,58,2604,1091,1985,72158,58,3360,107,2122,2570,288,325805,"SAM548551ef782c",80472972
3162,1245,13480,416,1017,8103,13090,17178,15051,5118,91,1386,1654,9548,3444,54163,"SAM203dcf14f927",48830281
158,595,1799,92,293,12127,234914,11083,6438,183,54,302,3898,265,901,40464,"SAMe41b1e773582",54124287
68,2192,10074,392,222,4471,5236,8921,48554,557,5459,423,1944,3642,895,34641,"SAM978a587b207e",41252959
7,202,6763,15,17,3246,3079,2056,4034,42,35,26,543,1617,73,15697,"SAM5234688806a7",13260091
71,1336,25588,67,34,15007,6747,8280,1408,47,1358,27,1587,5605,81,113427,"SAM2c9586161ce6",52250486
347,395,10726,94,71,3232,6667,2640,16653,260,20,228,1831,339,464,37207,"SAM76a431ba6ce1",34080038
149,402,7974,64,318,2692,387,2480,18254,204,728,274,1513,758,1672,33565,"SAM7a9093b9c7e9",33468724
60,1281,42312,34,42,14661,1198,5871,28179,37,76,61,4377,3164,205,105221,"SAM8f2275c36e8c",62746613
795,3,196,270,252,17,5398,59,152,565,1,845,2155,3,301,804,"SAMab8052a03398",49692967
2743,250,21200,411,319,7705,417,3802,17031,3280,6608,573,2157,4604,2196,92252,"SAMd3bd67996035",47084031
931,407,19664,189,243,9087,7123,3719,18379,658,8439,426,2545,2945,681,45658,"SAMfddc359e862b",45494030
6620,781,36844,92,249,15431,54969,5689,19756,275,13325,424,1918,2531,832,69974,"SAM753d4bb52dbe",56344276
1233,1473,20914,271,557,11654,13,12382,26870,7011,25526,495,885,8954,1615,37926,"SAMd3601288319e",38495897
778,1645,8326,136,350,4542,143,8905,22730,2712,21125,593,996,7095,1979,40225,"SAM59f392864f5d",41191904
58,716,17966,67,48,7811,12634,4172,3046,25,2,83,3341,833,158,39236,"SAM26104d5adc89",40347330
448,252,3286,196,186,2374,146117,2818,11521,434,11,296,2206,107,494,26159,"SAMba1a34b5a060",35523994
206,2382,28932,698,532,4840,135,6899,53907,1438,1715,623,12128,24204,1140,113093,"SAM18a4dabbc557",56248509
1092,514,11777,1331,811,1306,26092,8323,41571,3774,11,1103,2346,45,2110,114872,"SAMfb7aec7cb0e2",59587336
51,299,16029,181,43,7382,13682,3799,30366,22,155,63,1560,938,123,84598,"SAMfed609955db9",41481537
48,487,25538,99,34,12227,275,7256,16296,60,4956,99,1085,3324,100,80167,"SAMb8070b7937e7",36798134
100,601,23564,102,129,19135,143645,8503,9557,220,31,66,5729,249,190,94219,"SAMf2aae1443f67",53470702
104,579,16113,51,115,3710,3784,4263,1110,107,6,179,1072,4172,968,40361,"SAM2bba8cb35e48",37512220
407,1468,16426,149,309,18214,12990,17703,38736,971,7451,298,1030,3369,788,40056,"SAMcee0fa8c05b4",51759804
236,153,7242,73,73,5019,115143,3977,3173,200,138,194,713,93,610,32753,"SAM5c139c5c1c4f",30001409
1003,1468,18676,348,184,11,376,191,68249,1952,31733,234,1543,166,412,56980,"SAMc1251c7bfee2",64573803
554,569,5985,223,404,2714,508418,1792,14505,1358,11,470,992,6,1156,19098,"SAM6780ed436b55",43983578
14,555,29956,94,22,9876,7605,5090,4910,7,18085,35,3507,8414,63,91449,"SAM85f0a3ac1c45",43556469
22,288,21534,35,37,8955,9385,5157,9520,76,8541,84,1282,3264,125,70100,"SAM9d2494119c05",44422135
527,868,2366,188,270,7469,36,8239,43448,693,6,362,5962,15,963,47548,"SAM9410b866974a",62690466
63,259,23059,68,70,5050,16056,1335,10482,74,5122,98,1530,3496,219,20847,"SAM5d989c86255e",31633465
146,1000,38570,117,165,28543,1307,13617,12639,282,3129,101,2126,3403,404,128952,"SAM27299aed7681",71017611
121,185,16839,83,77,3584,2592,2331,8921,69,215,181,2336,563,168,55253,"SAM49d48750e294",48318431
717,1219,14591,181,335,8577,1692,3469,12964,3069,9732,840,1085,1253,3389,35178,"SAMd43f8933066b",32996215
1826,1340,13548,267,187,4152,4191,3784,27119,550,8501,578,1900,4729,1416,35125,"SAM7aa01fc49a80",44583633
88,1273,16314,135,211,16620,2742,14453,33158,186,10069,336,943,8203,737,70395,"SAM0257bbbbd388",52300885
1906,544,2103,160,200,2411,2873,3207,6048,2569,2784,428,664,1443,942,49319,"SAMc919aebc7fdd",25623340
316,648,5192,138,227,11292,1458330,12242,5330,925,13,255,4555,53,1016,71978,"SAMa321770ac31c",59667128
335,459,33883,168,241,14466,27046,6405,28477,257,84,355,3661,5441,757,115551,"SAM3894ac3956a5",70284596
16,525,20516,238,236,8601,26209,5545,13248,49,851,481,2270,2008,501,48580,"SAM3779e979db6b",49794171
