accession,pdat,category,reason,taxon,n_samples,gdsType,gpl,pubmed,suppFile,prior_geo_waves,in_dedicated_path,title
GSE126045,2020/02/03,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic/ChIP assay,Homo sapiens,34,,21145;16791,32879421,,geo_2019_2021,N,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE129968,2020/02/01,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,12,,11154,32984844,,geo_2019_2021,N,EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer
GSE133715,2020/01/31,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,24,,570,,,geo_2019_2021,N,"Transcriptional profiling of HCC515 lung cells with dox-inducible KEAP1 knockdown and/or STK11 re-addition, under different metabolic tstress conditions"
GSE153051,2020/06/24,LUNG_ICI_cellline_invitro,lung+ICI but cell-line/in-vitro,Homo sapiens,2,,21185,,,geo_2019_2021,N,PD-L1 lncRNA splice promotes lung adenocarcinoma proliferation and metastasis via enhancing c-Myc activity
GSE148466,2020/12/19,EXCLUDED_not_ICI,lung but no ICI/immunotherapy context,Homo sapiens,3,,18573,33712615,,geo_2019_2021,N,Single cell RNA sequencing analysis of freshly resected non-small cell lung carcinoma (NSCLC) tissues
GSE139327,2020/05/26,EXCLUDED_not_lung_cancer,lung word present but disease is not lung cancer,Homo sapiens,28,,18573,32508817,,geo_2019_2021,N,Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection
GSE148944,2020/05/01,EXCLUDED_not_lung_cancer,lung word present but disease is not lung cancer,Homo sapiens,67,,28285,32383556,,geo_2019_2021,N,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease
GSE159785,2020/11/01,EXCLUDED_not_lung_cancer,lung word present but disease is not lung cancer,Homo sapiens,363,,29263,33298930,,geo_2019_2021,N,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [GeoMx human protein]
GSE159787,2020/11/14,EXCLUDED_not_lung_cancer,lung word present but disease is not lung cancer,Severe acute respiratory syndrome coronavirus 2; Homo sapiens,363,,29228,33298930,,geo_2019_2021,N,Temporal and Spatial Heterogeneity of Host Response to SARS-CoV-2 Pulmonary Infection [gene expression]
GSE145550,2020/05/05,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,248,,21273;19415;20795;19057;18573,32492431,,geo_2019_2021,N,Cas12a base editors induce efficient and specific editing with low DNA damage response (DNA targeted sequencing)
GSE145552,2020/05/05,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,265,,19415;19057;18573;21273;20795,32492431,,geo_2019_2021,N,Cas12a base editors induce efficient and specific editing with low DNA damage response
GSE149383,2020/12/19,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,33,,18573,33712615,,geo_2019_2021,N,Drug resistant changes at the level of single cells
GSE150956,2020/07/15,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,404,,16791;15520;21697,32630542,,geo_2019_2021,N,Integrated Assessment of Circulating Cell-Free MicroRNA Signatures in Plasma of Patients with Melanoma Brain Metastasis
GSE158403,2020/09/24,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,95,,16791,33288749,,geo_2019_2021,N,PD-L1 blockade in combination with inhibition of MAPK oncogenic signaling in patients with advanced melanoma
GSE162353,2020/12/14,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens,14,,18573,33378668,,geo_2019_2021,N,Distinct population of immune suppressive macrophages differentiate from monocytic myeloid-derived suppressor cells in cancer
GSE85352,2020/06/18,EXCLUDED_not_lung,no lung/NSCLC term in title+summary,Homo sapiens; Mus musculus,48,,11154;16791;21103,32718321,,geo_2019_2021,N,DNA methylation repels binding of hypoxia-inducible transcription factors to maintain tumour immunotolerance [ChIPSeq]
