accession,pdat,n_samples,title,gdsType,is_human,is_lung,is_ici,is_expression,relevant_text,study_category,leftover_status,already_analysed_note,has_outcome_annotation,outcome_keys,has_TACSTD2,has_CLDN4,peeked_file,n_processed_files,under_2gb,usable_maybe,verdict
GSE217451,2023/08/30,9,Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients,Expression profiling by high throughput sequencing,True,True,True,True,True,bulk_or_other,leftover_relevant,,False,,True,True,GSE217451_siMENA_H1650_fpkm_table_RAP.csv.gz,1,True,True,leftover: H1650 si-hMENA cell-line RNA-seq; both genes present; not a patient ICI cohort
GSE218402,2023/04/04,8,"Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma",Expression profiling by high throughput sequencing,True,True,True,True,True,cell_line,leftover_relevant,,False,,True,False,GSE218402_ADO_DEGs_PBMC.txt.gz,2,True,False,"leftover: cell-line / in-vitro, not a patient ICI outcome cohort"
GSE221322,2023/12/19,96,Multi-omic and spatial dissection of immunotherapy response groups in NSCLC,Other,True,True,False,False,False,targeted_panel,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE221733,2023/12/20,93,Multi-omic and spatial dissection of immunotherapy response groups in non-small cell lung cancer (NSCLC),Expression profiling by high throughput sequencing; Other,True,True,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE222859,2023/01/14,51,Gene expression profile at single cell level of lymphocytes cells for Pan-T cell analysis,Expression profiling by high throughput sequencing,True,False,True,True,False,single_cell,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE223779,2023/08/09,6,Single-cell transcriptomic analysis uncovers intratumoral heterogeneity and drug-tolerant persister in ALK-rearranged lung adenocarcinoma,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell,leftover_relevant,,False,,,,,0,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE223987,2023/11/20,18,The effector program of human CD8 T cells can promote both target cell killing and tissue remodeling (MRC5),Expression profiling by high throughput sequencing,True,False,False,True,False,single_cell;has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE223989,2023/11/20,38,The effector program of human CD8 T cells can support tissue remodeling abilities.,Expression profiling by high throughput sequencing,True,False,False,True,False,single_cell;has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE224099,2023/07/17,12,A Population of Tumor-Infiltrating CD4+ T-cells Co-expressing CD38 and CD39  is Associated with Checkpoint Inhibitor Resistance,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell;cell_line;blood_or_pbmc,leftover_relevant,,False,,True,True,GSE224099_counts.txt.gz,1,True,True,leftover: melanoma TIL CD4 T-cell subsets (not lung epithelium); not TACSTD2/CLDN4 tumour ICI
GSE224216,2023/08/30,9,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq],Expression profiling by high throughput sequencing,True,True,True,True,True,chromatin;targeted_panel,leftover_relevant,,False,,True,True,GSE224216_rsem.merged.gene_tpm_H2030.tsv.gz,1,True,True,leftover: H2030 si-hMENA cell-line RNA-seq; both genes present; not a patient ICI cohort
GSE224246,2023/08/30,8,hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq],Genome binding/occupancy profiling by high throughput sequencing,True,True,True,True,True,chromatin;targeted_panel,leftover_relevant,,False,,,,,0,True,False,"leftover: chromatin assay (ATAC/ChIP), not gene expression of TACSTD2/CLDN4"
GSE224941,2023/07/07,59,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],Expression profiling by high throughput sequencing,True,False,True,True,False,single_cell;cell_line;has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE225689,2023/06/02,2,Netrin-1 blockade induces tumor growth inhibition and EMT reversion in endometrial cancer [scRNA-seq],Expression profiling by high throughput sequencing,True,False,True,True,False,single_cell;has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE228419,2023/04/02,14,Characteristics and anatomic location of PD-1+TCF1+ stem-like CD8 T cells in chronic viral infection and cancer,Expression profiling by high throughput sequencing,True,True,False,True,False,has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE229353,2023/05/16,7,PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell,leftover_relevant,,True,pathology,,,,0,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE229503,2023/04/17,12,AVA-ADR-001- a small molecular inhibitor of ADAR1 (Immuno-oncology target),Expression profiling by high throughput sequencing,True,False,True,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE233470,2023/05/31,54,EZH2 inhibtion and IFNy treatment of patient derived organoids,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,True,False,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE235048,2023/08/03,15,Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients,Expression profiling by high throughput sequencing,True,True,True,True,True,blood_or_pbmc;flow_or_cytof,leftover_relevant,,False,,True,False,GSE235048_24CFlow_TPM.txt.gz,1,True,False,"leftover: blood/PBMC, not tumour epithelium"
GSE235500,2023/09/11,34,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [human],Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell;has_mouse_or_xeno,leftover_relevant,,False,,,,,0,True,False,leftover: single-cell / sorted-immune; not bulk tumour epithelium for TACSTD2/CLDN4 vs ICI
GSE235603,2023/09/11,86,Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response,Expression profiling by high throughput sequencing,True,True,True,True,True,bulk_or_other,leftover_relevant,,False,,,,,0,False,False,leftover: SuperSeries of tumour-infiltrating Treg scRNA; no bulk tumour matrix
GSE235800,2023/11/06,24,"Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy",Expression profiling by high throughput sequencing,True,False,False,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE238003,2023/07/25,6,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag],Genome binding/occupancy profiling by high throughput sequencing,True,True,True,False,False,has_mouse_or_xeno;chromatin,leftover_lung_ici_not_expr_or_not_human,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE238006,2023/07/25,8,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq],Expression profiling by high throughput sequencing,True,True,True,True,True,has_mouse_or_xeno,leftover_relevant,,False,,False,False,GSE238006_Table_S5_RNA-seq_Normalized_Counts_H146_F1339_Veh_vs_Dec.xlsx,1,True,False,leftover: processed matrix peeked; TACSTD2/CLDN4 not both present or outcome missing
GSE241212,2023/10/18,47,"Nonfucosylation of an anti-TIGIT antibody enhances FcyR engagement, driving innate immune activation and antitumor activity",Expression profiling by high throughput sequencing,True,False,True,True,False,has_mouse_or_xeno,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE241876,2023/10/19,19,"Distinct Transcriptional Landscapes Identified by Radiographic Response in Metastatic Triple-Negative Breast Cancer Treated with Carboplatin, Nab-Paclitaxel, and Pembrolizumab in a Single-Arm Phase II Trial",Expression profiling by high throughput sequencing,True,False,True,True,False,bulk_or_other,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE243238,2023/10/20,20,Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma,Expression profiling by high throughput sequencing,True,True,True,True,True,single_cell,already_analysed,already analysed as non-lung melanoma cross-check in fable_geo_2022_2023,,,,,,,,False,already analysed as non-lung melanoma cross-check in fable_geo_2022_2023
GSE248378,2023/11/26,29,Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial,Expression profiling by high throughput sequencing,True,True,True,True,True,bulk_or_other,leftover_relevant,,False,,True,True,GSE248378_Durva_Post_FPKMs.txt.gz,1,True,False,"leftover ANALYSED: post-durvalumab non-MPR bulk FPKM, both genes present; GEO has arm/histology only; recurrence recovered from Nat Commun source data Fig.5d via unique ITGAE FPKM (9 recur / 20 no recur)"
GSE248830,2023/12/03,44,Unlocking Molecular mechanisms and identifying druggable targets in matched-paired brain metastasis of Breast and Lung cancers ,Expression profiling by array,True,True,True,True,True,targeted_panel,leftover_relevant,,False,,False,False,GSE248830_Raw_data.csv.gz,1,True,False,leftover: targeted panel — gene presence must be checked; often lacks TACSTD2/CLDN4
GSE250089,2023/12/22,12,Immune evasion in lung metastasis of leiomyosarcoma: upregulation of EPCAM inhibits CD8⁺ T cell infiltration,Expression profiling by high throughput sequencing,True,True,False,True,False,cell_line,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE250254,2023/12/17,8,Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC,Expression profiling by high throughput sequencing,True,True,False,True,False,single_cell;blood_or_pbmc;flow_or_cytof,leftover_not_relevant,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
GSE250262,2023/12/18,51,Association of tumor burden with the efficacy of PD-(L)1 inhibitors for treatment-naive advanced non-small-cell lung cancer,Other,True,True,True,False,False,other,leftover_lung_ici_not_expr_or_not_human,,,,,,,,,False,not leftover-relevant (failed human+lung+ICI+expression text filter)
