study_accession,brief_title,condition_or_disease,research_focus,queries,gate,score
SDY2357,Nsp1 protein of SARS-CoV-2 disrupts the mRNA export machinery to inhibit host gene expression,COVID-19,Cell Biology,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2381,Right Ventricular Abnormality in Patients Hospitalized With COVID-19 Infection During Omicron Variant Surge.,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2408,Discovery and intranasal administration of a SARS-CoV-2 broadly acting neutralizing antibody with activity against multiple Omicron subvariants,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2439,SARS-CoV-2 spike E484K mutation reduces antibody neutralisation,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2451,SARS-CoV-2 viral protein ORF3A injures renal tubules by interacting with TRIM59 to induce STAT3 activation,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2470,T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination SLVP015 2016,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2471,"U19 CCHI_Project 1. The Role of CD4 Memory Phenotype, Memory, and Effector T Cells in",healthy,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2480,Characterization of SARS-CoV-2 Spike mutations important for infection of mice and escape from human immune sera,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2485,T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination SLVP015 2015,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2497,Effects of Aging on Primary and Secondary Vaccine Responses in a 15-Year Longitudinal Cohort,healthy,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2543,The tumor suppressor kinase DAPK3 drives tumor-intrinsic immunity through the STING-IFN-β pathway,cancer,Cell Biology,term=checkpoint inhibitor,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2561,Longitudinal nucleocapsid antibody testing reveals undocumented SARS-CoV-2 infections in patients with lung cancer,COVID-19|lung cancer,Infection Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY2566,Evolution of enhanced innate immune evasion by SARS-CoV-2,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2583,Blood Immunotypes,Solid Neoplasm|cancer,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2599,Mutations in SARS-CoV-2 variants of concern link to increased spike cleavage and virus transmission,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2663,DEGRADATION OF MUTANT CALRETICULIN AND MPL IN MPN,cancer,Cell Biology|Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2674,Unambiguous detection of SARS-CoV-2 subgenomic mRNAs with single-cell RNA sequencing,COVID-19,Method Development,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2686,Antibody Response to COVID-19 mRNA Vaccine in Patients With Lung Cancer After Primary Immunization and Booster: Reactivity to the SARS-CoV-2 WT Virus and Omicron Variant,COVID-19,Vaccine Response,term=NSCLC;term=non-small cell lung;term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY2690,Nuclear speckle integrity and function require TAO2 kinase,Not Applicable,Molecular Biology,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2717,Cancer Screening Practices Among Healthcare Workers During the COVID-19 Pandemic,COVID-19|cancer,Epidemiology,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2776,Spatiotemporally organized immunomodulatory response to SARS-CoV-2 virus in primary human broncho-alveolar epithelia,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2847,SARS-CoV-2 variants evolve convergent strategies to remodel the host response,COVID-19,Molecular Biology,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2887,SARS-CoV-2 Orf6 is positioned in the nuclear pore complex by Rae1 to inhibit nucleocytoplasmic transport,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY2996,Robust neutralizing antibodies to SARS-CoV-2 infection persist for months,COVID-19,Immune Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3001,"BA.5 bivalent booster vaccination enhances neutralization of XBB.1.5, XBB.1.16 and XBB.1.9 variants in patients with lung cancer",COVID-19|lung cancer,Vaccine Response,term=NSCLC;term=non-small cell lung;term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY3003,Time-Dependent Effects of Clinical Interventions on SARS-CoV-2 Immunity in Patients with Lung Cancer,COVID-19|lung cancer,Immune Response,term=lung cancer,COVID or SARS-CoV-2 study that mentions lung. Not an NSCLC immunotherapy transcriptome.,not_scored
SDY3008,Single CyTOF analysis of  samples from longitudinal studies of vaccine response to flu vaccines,healthy,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3032,Inhibition of mRNA nuclear export promotes SARS-CoV-2 pathogenesis,COVID-19,Infection Response,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3039,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis,Not Applicable,Molecular Biology,term=lung cancer,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY305,Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) SLVP021 2012,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3219,Analysis of CK1 inhibition effects on immune system in healthy and CLL-bearing mice,leukemia,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3220,Analysis of the response of in vitro proliferating CLL patient cells to CK1 inhibition,leukemia,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3225,Flow cytometric analysis of NFκB in primary CLL cells upon co-culture with M2-10B4 stromal cells,leukemia,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3359,CyTOF data of MC38 tumor-bearing mice treated with aPD-1-mEry,colorectal cancer,Immune Response,term=pembrolizumab;term=anti-PD-1,Mouse MC38 colorectal. Not NSCLC.,not_scored
SDY3390,Understanding T cells reactive towards tumor associated antigens (TAA) and autoantigens in cancer and down syndrome human subjects,autoimmune disease|cancer|chromosomal disease,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3391,Identifying T cell biomarkers that predict autoimmune-related adverse events,ulcerative colitis|type 1 diabetes mellitus|cancer|inflammatory bowel disease|rheumatoid arthritis|chromosomal disease|healthy|autoimmune disease,Immune Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3403,CyTOF analysis of HER2 expression in PC9 EGFR mutant NSCLC preclinical model following osimertinib treatments.,cancer|lung cancer,Oncology,researchFocus=Oncology;term=NSCLC;term=lung cancer,CyTOF of PC9 cells after osimertinib. Not ICI RNA-seq.,not_scored
SDY3419,Flow Cytometry of Immune populations in tumor tissue,cancer,Oncology,researchFocus=Oncology,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3506,Polyfunctional T Helper Cells in Checkpoint-Induced Diabetes,autoimmune disease,Autoimmune,term=checkpoint inhibitor,Checkpoint word in a non-lung study. Not scored.,not_scored
SDY3641,Engineered T cells for improved migration into solid tumor sites,Solid Neoplasm,Immune Response,term=checkpoint inhibitor,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY3726,NASIR-HCC JITC 2026,liver cancer,Oncology,researchFocus=Oncology;term=nivolumab;term=checkpoint inhibitor,Liver cancer (nivolumab search hit). Not NSCLC.,not_scored
SDY406,Immune Responses to Influenza-Like Illness SLVP022 2013 through 2018,upper respiratory tract disease|influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY472,Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) in SLVP021 2013,influenza,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY478,T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination SLVP015 2013,influenza|swine influenza|Aging,Vaccine Response,term=anti-PD-1,Cataloged. Not NSCLC immunotherapy RNA.,not_scored
SDY901,Activation of the PD-1 Pathway Contributes to Immune Escape in EGFR-Driven Lung Tumors,lung cancer,Oncology,researchFocus=Oncology;term=NSCLC;term=non-small cell lung;term=lung cancer,Mouse EGFR lung tumors (PD-1 pathway paper). Not human NSCLC on ICI. Files not public (401).,not_scored
