tf	target	axis	resource	confidence	effect	reference	note
IRF1	CD200	IFN	CollecTRI		Activation	CollecTRI:19386363;CollecTRI2:19386363	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CD274	IFN	CollecTRI		Activation	CollecTRI2:16413538;CollecTRI2:30956773;CollecTRI2:28123883;CollecTRI2:35289334;CollecTRI2:32696094;CollecTRI2:25465101;CollecTRI:16413538;CollecTRI2:30269996;CollecTRI2:32700091;CollecTRI2:34786183;CollecTRI2:36929753;CollecTRI2:38038129;CollecTRI2:31379842;CollecTRI2:30035369;CollecTRI2:29170499;C	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CD38	IFN	CollecTRI		Activation	CollecTRI:17947510;CollecTRI2:32617521;CollecTRI2:21740303;CollecTRI2:10505750;CollecTRI2:34301753;CollecTRI2:17947510;CollecTRI2:19805480	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CD40	IFN	CollecTRI		Activation	CollecTRI2:18694960;CollecTRI2:12426205;CollecTRI2:11781233;CollecTRI2:19433065;TRRUST:18694960;CollecTRI:18694960;DoRothEA:18694960;CollecTRI2:12759449	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CD74	IFN	CollecTRI		Activation	CollecTRI:17395590;CollecTRI2:37818353	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CD80	IFN	CollecTRI		Activation	CollecTRI:19433065;CollecTRI2:19433065	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CDK1	IFN	CollecTRI		Repression	CollecTRI:22200613;TRRUST:22200613;CollecTRI2:22200613;DoRothEA:22200613	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CDK2	IFN	CollecTRI		Repression	CollecTRI2:22200613;CollecTRI2:24119616;CollecTRI2:21368870;DoRothEA:22200613;CollecTRI2:12732645;CollecTRI:22200613;TRRUST:22200613;CollecTRI2:16679314;CollecTRI:12732645	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CDK4	IFN	CollecTRI		Repression	CollecTRI2:22200613;CollecTRI2:24119616;DoRothEA:22200613;CollecTRI:22200613;TRRUST:22200613	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CDKN1A	IFN	CollecTRI		Activation	TRRUST:12531694;CollecTRI2:12499398;CollecTRI2:10321737;DoRothEA:12531694;CollecTRI2:12420214;CollecTRI2:15205326;CollecTRI2:17363571;CollecTRI2:15705876;CollecTRI2:12531694;CollecTRI:15509808;TRRUST:12420214;CollecTRI2:11350897;CollecTRI:12531694;CollecTRI2:9618305;CollecTRI2:22200613;CollecTRI2:10	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CEACAM1	IFN	CollecTRI		Activation	CollecTRI2:24650050;CollecTRI2:21050451;DoRothEA:21050451;CollecTRI2:31911850;CollecTRI2:29720400;CollecTRI2:8910434;CollecTRI:21050451;HTRIdb:21050451;TRRUST:21050451	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CIITA	IFN	CollecTRI		Activation	CollecTRI2:17395590;TRRUST:11464288;CollecTRI:10202014;CollecTRI:10557076;CollecTRI2:33619341;CollecTRI:10956389;CollecTRI2:12493643;CollecTRI2:35760800;CollecTRI:9916712;CollecTRI2:10505975;CollecTRI:17395590;TRRUST:10557076;CollecTRI2:11953317;TRRUST:10202014;CollecTRI2:11981818;TRRUST:9916712;Col	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	COL1A2	IFN	CollecTRI		Repression	CollecTRI:17142024;CollecTRI2:17142024	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CREBBP	IFN	CollecTRI		Activation	CollecTRI:15355347;CollecTRI:10570299;CollecTRI2:10733899;CollecTRI:15659847	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CSF3	IFN	CollecTRI		Activation	CollecTRI:11716756	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CTNND1	IFN	CollecTRI		Activation	CollecTRI:11703094	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CTSS	IFN	CollecTRI		Activation	CollecTRI2:29192143;CollecTRI:11970993;CollecTRI2:22761382;CollecTRI2:33754020;CollecTRI2:37002866;CollecTRI2:24940638;CollecTRI2:11970993	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CXCL10	IFN	CollecTRI		Activation	CollecTRI2:24838750;CollecTRI2:32508531;CollecTRI2:33689775;CollecTRI2:19541350;CollecTRI:9794404;CollecTRI2:17255201;CollecTRI2:19929594;CollecTRI2:25452308;CollecTRI:9858321;CollecTRI2:28318762;CollecTRI:19541350;CollecTRI:16253303;CollecTRI:19342664;DoRothEA:19342664;CollecTRI:19929594;CollecTRI:	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CXCL11	IFN	CollecTRI		Activation	CollecTRI2:17202361;CollecTRI2:17274000;CollecTRI:17202361;CollecTRI2:17255201	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CXCL14	IFN	CollecTRI		Activation	CollecTRI:19929594	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CXCL8	IFN	CollecTRI		Activation	CollecTRI2:26674566;CollecTRI2:21979142;CollecTRI2:31226272;CollecTRI2:25501823;CollecTRI:15057743;CollecTRI2:12561382;CollecTRI2:18723827;CollecTRI2:18198374;CollecTRI2:15057743;CollecTRI2:25887375;CollecTRI:18723827	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	CYBB	IFN	CollecTRI		Activation	CollecTRI2:11483597;CollecTRI2:9593745;HTRIdb:9593745;TRRUST:9593745;CollecTRI2:10570299;CollecTRI2:11781315;DoRothEA:9593745;CollecTRI:9593745;CollecTRI2:8798551	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	DOT1L	IFN	CollecTRI		Activation	CollecTRI:22002246	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	DST	IFN	CollecTRI		Repression	CollecTRI2:15560761;DoRothEA:15560761;TRRUST:15560761;CollecTRI:15560761;SIGNOR:15560761	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	E2F1	IFN	CollecTRI		Repression	CollecTRI:22200613;TRRUST:22200613;CollecTRI2:22200613;DoRothEA:22200613	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	EGFR	IFN	CollecTRI		Activation	CollecTRI:9708917;CollecTRI2:9708917	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	EIF2AK2	IFN	CollecTRI		Activation	CollecTRI:8622878;CollecTRI2:9333018;CollecTRI2:11694524;CollecTRI2:7543195;CollecTRI2:21389130;TRRUST:8622878;CollecTRI2:19606498;CollecTRI2:8622878;CollecTRI2:9029159;CollecTRI:7543195;DoRothEA:8622878;CollecTRI:9333018	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	ERAP2	IFN	CollecTRI		Activation	TRRUST:15691326;DoRothEA:15691326;CollecTRI:15691326;CollecTRI2:15691326	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	FASLG	IFN	CollecTRI		Activation	TRRUST:14563113;CollecTRI2:10725705;CollecTRI:10725705;CollecTRI2:14563113;DoRothEA:14563113;CollecTRI:14563113;CollecTRI2:11801659;CollecTRI:11801659	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	FGFR1	IFN	CollecTRI		Activation	CollecTRI:11278666;CollecTRI:22002246;CollecTRI:18514056;CollecTRI:9540062	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	FOXP3	IFN	CollecTRI		Repression	CollecTRI:18641303;CollecTRI2:18641303;CollecTRI:21219575;TRRUST:18641303;CollecTRI2:21219575;CollecTRI2:28113084	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GABRA6	IFN	CollecTRI		Activation	CollecTRI:1614874	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GAST	IFN	CollecTRI		Activation	CollecTRI:9491997;CollecTRI:9795374;CollecTRI2:12493643;CollecTRI:12466898	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GBP2	IFN	CollecTRI		Activation	CollecTRI:17293456;CollecTRI2:25347735;CollecTRI2:19003964;CollecTRI2:32796022;CollecTRI:19003964;CollecTRI2:7823961;CollecTRI2:10446388;CollecTRI2:17293456;CollecTRI2:34418997	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GBP5	IFN	CollecTRI		Activation	CollecTRI:25774715;CollecTRI2:25774715	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GHRHR	IFN	CollecTRI		Activation	CollecTRI:18395009	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	GPT	IFN	CollecTRI		Activation	CollecTRI:19628072;CollecTRI2:19628072	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	HLA-A	IFN	CollecTRI		Activation	DoRothEA:19428110;CollecTRI:19428110;TRRUST:19428110;CollecTRI2:19428110	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	HLA-E	IFN	CollecTRI		Activation	CollecTRI:11777545;CollecTRI:8990383;CollecTRI2:11137213;CollecTRI:14530341;CollecTRI:9858567	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	HLA-G	IFN	CollecTRI		Activation	CollecTRI2:11087747;TRRUST:11087747;CollecTRI2:11137213;CollecTRI2:19758196;CollecTRI:19758196;CollecTRI:11087747;DoRothEA:11087747;HTRIdb:11087747;CollecTRI2:12183445	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	HSPA4	IFN	CollecTRI		Activation	CollecTRI:23419754	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	ICAM1	IFN	CollecTRI		Activation	CollecTRI2:36834715;CollecTRI2:23085565;CollecTRI2:16410367;CollecTRI:7509445	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IDO1	IFN	CollecTRI		Activation	CollecTRI2:9731757;CollecTRI2:16931033;CollecTRI2:11796621;CollecTRI2:36445328;CollecTRI2:35120895;CollecTRI2:25792183;CollecTRI:22424783;CollecTRI2:10714548;CollecTRI2:22424783;CollecTRI2:10446388;CollecTRI2:27994058;CollecTRI:9731757;CollecTRI2:35127252;CollecTRI2:10926204;CollecTRI2:8027591;Colle	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFI35	IFN	CollecTRI		Activation	CollecTRI2:33907823;CollecTRI2:34082779;CollecTRI2:23226549;CollecTRI:23226549	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFIT3	IFN	CollecTRI		Activation	CollecTRI2:19351818;CollecTRI2:21056555;CollecTRI:19351818;CollecTRI:20137113;DoRothEA:21056555;CollecTRI:21056555;CollecTRI2:20137113;TRRUST:21056555;CollecTRI2:34418997	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA1	IFN	CollecTRI		Activation	CollecTRI:7606736;CollecTRI:9078371;CollecTRI:12077266;CollecTRI2:10321737;CollecTRI2:27012395;CollecTRI:11473119;CollecTRI:1371248;CollecTRI:2911367;CollecTRI:8621447;CollecTRI2:17785777;CollecTRI2:1279237;CollecTRI:8062214;CollecTRI2:35933044;CollecTRI:9625761;CollecTRI2:37564646;CollecTRI:1614874	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA14	IFN	CollecTRI		Activation	CollecTRI2:15699120;CollecTRI:15699120	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA16	IFN	CollecTRI		Activation	CollecTRI:1614874	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA2	IFN	CollecTRI		Activation	CollecTRI2:11473119;CollecTRI2:8226947;CollecTRI2:10200596;CollecTRI:11473119	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA4	IFN	CollecTRI		Activation	CollecTRI2:8226947;CollecTRI:1614874;CollecTRI2:9446577;CollecTRI2:9707562;CollecTRI:9446577;CollecTRI:9707562;CollecTRI2:1614874;CollecTRI2:8524823;CollecTRI2:9786932;CollecTRI:9786932;CollecTRI2:17785777;CollecTRI:17785777	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNA6	IFN	CollecTRI		Activation	CollecTRI2:8226947;CollecTRI2:9786932;CollecTRI:9786932	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNB1	IFN	CollecTRI		Activation	CollecTRI:12077266;CollecTRI:9707562;CollecTRI2:7843405;CollecTRI2:20709399;CollecTRI2:10377478;CollecTRI:11846971;CollecTRI2:30269029;CollecTRI2:14741697;CollecTRI2:31156620;CollecTRI2:1793735;CollecTRI:22547704;CollecTRI2:9865486;CollecTRI2:18575764;CollecTRI:1793735;CollecTRI2:10848607;CollecTRI2	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNG	IFN	CollecTRI		Activation	CollecTRI2:24200694;CollecTRI:10334391;CollecTRI2:13678429;CollecTRI:12429737;CollecTRI2:37199578;CollecTRI:23811275;CollecTRI:14993214;CollecTRI2:15511228;CollecTRI:15860458;CollecTRI:16135520;CollecTRI:17036321;CollecTRI:12479817;CollecTRI:16931033;CollecTRI2:11854220;CollecTRI:17018642;CollecTRI:	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNGR1	IFN	CollecTRI		Activation	CollecTRI:17030574;CollecTRI:9024990;CollecTRI2:17030574	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNL1	IFN	CollecTRI		Activation	CollecTRI2:23405030;CollecTRI2:29619982;CollecTRI:22058416;CollecTRI:23405030;CollecTRI2:17785777;CollecTRI:17785777;CollecTRI2:22058416	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IFNL3	IFN	CollecTRI		Activation	CollecTRI2:17785777;CollecTRI:17785777;CollecTRI:10200596	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IGBP1	IFN	CollecTRI		Activation	CollecTRI:1614874	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL10	IFN	CollecTRI		Activation	CollecTRI:12817009;CollecTRI2:27176664;CollecTRI:28166218;CollecTRI2:28166218;CollecTRI2:8543815;CollecTRI2:12817009;CollecTRI2:10972849;CollecTRI2:31785814;TRRUST:12817009;PAZAR:12817009	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL12A	IFN	CollecTRI		Activation	CollecTRI:15240709;CollecTRI:16622221;TRRUST:16622221;CollecTRI:22904313;CollecTRI2:16622221;CollecTRI2:16824573;CollecTRI2:11698437;CollecTRI:16824573;CollecTRI:12517966;CollecTRI:14568984;CollecTRI2:22904313;CollecTRI2:10415056;CollecTRI2:24721577;CollecTRI2:16219795;CollecTRI:16219795;CollecTRI:1	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL12B	IFN	CollecTRI		Activation	CollecTRI2:26109639;CollecTRI:10861061;CollecTRI2:10657616;DoRothEA:10657616;CollecTRI:17924060;CollecTRI2:24532583;CollecTRI:10657616;CollecTRI2:24012417;CollecTRI2:22464096;CollecTRI:17635610;CollecTRI:12517966;TRRUST:10657616;CollecTRI2:17050603;CollecTRI2:17924060;CollecTRI2:10415056;CollecTRI2:	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL12RB1	IFN	CollecTRI		Activation	CollecTRI2:33419764;CollecTRI:18059273;CollecTRI2:11034406;CollecTRI2:18059273	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL15	IFN	CollecTRI		Activation	CollecTRI2:17050603;CollecTRI2:12960317;CollecTRI2:11034406;CollecTRI:9490414;CollecTRI2:9490414;CollecTRI2:36165175;CollecTRI2:25964490;CollecTRI2:9500799;CollecTRI2:10906187;CollecTRI:10906187;CollecTRI2:34893528	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL17A	IFN	CollecTRI		Activation	CollecTRI:12165487	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL18	IFN	CollecTRI		Activation	CollecTRI2:10975835;CollecTRI2:21834067;CollecTRI:11180100;CollecTRI2:19429811;CollecTRI2:11180100;CollecTRI:10421776;CollecTRI2:31871426;CollecTRI2:11854220;CollecTRI2:10903798;CollecTRI:10975835	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL18BP	IFN	CollecTRI		Activation	CollecTRI2:21834067;CollecTRI:11180100;CollecTRI2:15307168;CollecTRI2:11180100;CollecTRI2:12482935	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL1B	IFN	CollecTRI		Activation	CollecTRI2:26674566;CollecTRI:9754830;CollecTRI:19843519;CollecTRI2:37316538;CollecTRI:19929594;CollecTRI:12759449;CollecTRI2:26206900;CollecTRI2:11359842;CollecTRI:26206900;CollecTRI:20617571;CollecTRI2:26318672;CollecTRI:11359842;CollecTRI2:11854220	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL23A	IFN	CollecTRI		Activation	CollecTRI2:20591185;CollecTRI:21097874;CollecTRI2:21097874;CollecTRI2:33077627	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL27	IFN	CollecTRI		Activation	CollecTRI:20083668;CollecTRI:24214980;CollecTRI:26900987;CollecTRI2:17227910;CollecTRI:17548596;TRRUST:20083668;CollecTRI:17684041;CollecTRI2:26900987;CollecTRI2:17985330;CollecTRI2:20435892;CollecTRI2:20083668;CollecTRI:20435892;CollecTRI2:27245409;CollecTRI2:17684041;CollecTRI:17985330;CollecTRI2:	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL2RA	IFN	CollecTRI		Activation	CollecTRI:18641303	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL4	IFN	CollecTRI		Activation	CollecTRI:25280793;CollecTRI:19556165;CollecTRI2:25280793;CollecTRI2:12479817;CollecTRI2:21200019;CollecTRI:12479817	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL6	IFN	CollecTRI		Activation	CollecTRI2:20591185;CollecTRI:7499267;CollecTRI2:26109639;CollecTRI2:16410367;CollecTRI2:11494413;CollecTRI2:28318762;CollecTRI2:24012417;CollecTRI2:26674566;CollecTRI2:10630438;CollecTRI2:9394833;CollecTRI2:31226272;CollecTRI2:26206900;CollecTRI2:25501823;CollecTRI:24012417;CollecTRI:7509445;Collec	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IL7	IFN	CollecTRI		Activation	CollecTRI2:9164960;CollecTRI2:23554911;CollecTRI:15226432;CollecTRI2:27307561;CollecTRI2:15226432;CollecTRI2:33584648;CollecTRI2:23787026;CollecTRI:9164960	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IRF2	IFN	CollecTRI		Activation	CollecTRI2:8106512;CollecTRI2:7507207;CollecTRI2:10321737;CollecTRI:8152803;CollecTRI:9054665;CollecTRI2:22805863;CollecTRI:7630638;CollecTRI:1431317;CollecTRI2:9054665;CollecTRI:10321737;CollecTRI:15560761;CollecTRI2:8704165;TRRUST:9054665;CollecTRI:12493643;CollecTRI:7507207	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	IRF8	IFN	CollecTRI		Activation	CollecTRI:14581002;CollecTRI2:7526889;CollecTRI2:21411754	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	JUN	IFN	CollecTRI		Activation	CollecTRI:8015552	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	KAT2B	IFN	CollecTRI		Activation	CollecTRI:11752148	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	KRT79	IFN	CollecTRI		Activation	CollecTRI:22002246	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	LCK	IFN	CollecTRI		Activation	CollecTRI:11359801	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	LGALS3	IFN	CollecTRI		Activation	CollecTRI:10557076	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	LYZ	IFN	CollecTRI		Activation	CollecTRI:11716756;CollecTRI2:11716756	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MAPK8	IFN	CollecTRI		Activation	CollecTRI:19056926;CollecTRI:22182512	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MC1R	IFN	CollecTRI		Activation	CollecTRI:17159910	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	ME3	IFN	CollecTRI		Activation	CollecTRI:22002246	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MKI67	IFN	CollecTRI		Repression	CollecTRI:22890831;CollecTRI2:22890831	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MMP9	IFN	CollecTRI		Activation	CollecTRI:12105194;TRRUST:12105194;CollecTRI2:22805863;CollecTRI2:12105194;CollecTRI2:38194130;DoRothEA:12105194	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MYB	IFN	CollecTRI		Repression	CollecTRI2:10739671;CollecTRI:10739671;TRRUST:10739671;DoRothEA:10739671	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	MYD88	IFN	CollecTRI		Activation	CollecTRI2:32348788;CollecTRI:21219575;CollecTRI2:7567467	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NCF1C	IFN	CollecTRI		Activation	CollecTRI:23548829	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NCF2	IFN	CollecTRI		Activation	CollecTRI2:11483597;CollecTRI:10570299;CollecTRI2:10570299;DoRothEA:10570299;TRRUST:10570299	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NOD1	IFN	CollecTRI		Activation	CollecTRI:12813035;CollecTRI2:12813035	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NOS2	IFN	CollecTRI		Activation	CollecTRI2:37059259;CollecTRI:17723228;CollecTRI:12429737;CollecTRI2:15063806;CollecTRI2:11042347;CollecTRI2:16025269;CollecTRI2:32853398;CollecTRI:9305901;CollecTRI2:21477797;CollecTRI2:7510419;CollecTRI:9307029;CollecTRI2:34658101;CollecTRI:10852612;CollecTRI2:10852612;CollecTRI2:16107265;CollecTR	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NOS3	IFN	CollecTRI		Repression	CollecTRI2:18472010;CollecTRI:18472010	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	NPY2R	IFN	CollecTRI		Activation	CollecTRI:23149563	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	ODC1	IFN	CollecTRI		Activation	CollecTRI2:8034037;CollecTRI2:10508275;CollecTRI:8034037	CollecTRI via OmniPath; not a lung ChIP peak
IRF1	OGN	IFN	CollecTRI		Activation	TRRUST:12835654;CollecTRI:12835654;CollecTRI2:12020827;CollecTRI2:12835654;CollecTRI:12020827;HTRIdb:12020827	CollecTRI via OmniPath; not a lung ChIP peak
