gene	hallmark_apical_junction	kegg_tight_junction	in_filtered_matrix	used_in_hallmark_score	used_in_hallmark_score_no_cldn4	used_in_kegg_score	used_in_kegg_score_no_cldn4
TSPAN4	True	False	True	True	True	False	False
TUBA1A	False	True	True	False	False	True	True
TUBA1B	False	True	True	False	False	True	True
TUBA1C	False	True	True	False	False	True	True
TUBA3C	False	True	False	False	False	False	False
TUBA3D	False	True	False	False	False	False	False
TUBA3E	False	True	False	False	False	False	False
TUBA4A	False	True	True	False	False	True	True
TUBA8	False	True	False	False	False	False	False
TUBAL3	False	True	True	False	False	True	True
TUBG1	True	False	True	True	True	False	False
VASP	True	True	True	True	True	True	True
VAV2	True	False	True	True	True	False	False
VCAM1	True	False	True	True	True	False	False
VCAN	True	False	True	True	True	False	False
VCL	True	False	True	True	True	False	False
VWF	True	False	True	True	True	False	False
WAS	False	True	True	False	False	True	True
WASL	True	False	True	True	True	False	False
WHAMM	False	True	True	False	False	True	True
WNK4	True	False	True	True	True	False	False
YBX3	False	True	True	False	False	True	True
YWHAH	True	False	True	True	True	False	False
ZYX	True	False	True	True	True	False	False
