dataset	subset	contrast	score	n_left	n_right	median_left	median_right	U	p	delta_median
GSE154989	08_KP_30w_ND	KP_minus_K	epi_mean_NHEJ	0	3		0.12165223807096481			
GSE154989	08_KP_30w_ND	KP_minus_K	epi_mean_STING	0	3		0.06777366995811462			
GSE154989	08_KP_30w_ND	KP_minus_K	epi_mean_IFN	0	3		0.014269882813096046			
GSE179501	all_mice	Restored_minus_Non-Restored	epi_mean_Cldn4	2	2	0.08912470936775208	0.10171427018940449			0.012589560821652412
GSE179501	all_mice	Restored_minus_Non-Restored	epi_mean_Tacstd2	2	2	0.41925427317619324	0.3151809275150299			-0.10407334566116333
GSE179501	all_mice	Restored_minus_Non-Restored	epi_mean_NHEJ	2	2	0.04689696244895458	0.051423776894807816			0.004526814445853233
GSE179501	all_mice	Restored_minus_Non-Restored	epi_mean_STING	2	2	0.10499360784888268	0.10756268724799156			0.0025690793991088867
GSE179501	all_mice	Restored_minus_Non-Restored	epi_mean_IFN	2	2	0.018119766376912594	0.031936949118971825			0.01381718274205923
GSE180963	all	KL_minus_K	epi_mean_Cldn4	1	1	0.0006824404117651284	0.017315765842795372			0.016633325431030244
GSE180963	all	KL_minus_K	epi_mean_Tacstd2	1	1	0.02142113260924816	0.14469408988952637			0.1232729572802782
GSE180963	all	KL_minus_K	epi_mean_NHEJ	1	1	0.07769902795553207	0.06913648545742035			-0.008562542498111725
GSE180963	all	KL_minus_K	epi_mean_STING	1	1	0.10169202834367752	0.13260546326637268			0.03091343492269516
GSE180963	all	KL_minus_K	epi_mean_IFN	1	1	0.07146142423152924	0.16644512116909027			0.09498369693756104
GSE267321	all	KK_minus_K	epi_mean_Cldn4	2	2	0.12037037312984467	0.0059523810632526875			-0.11441799206659198
GSE267321	all	KK_minus_K	epi_mean_Tacstd2	2	2	0.018518518656492233	0.023809524718672037			0.005291006062179804
GSE267321	all	KK_minus_K	epi_mean_NHEJ	2	2	0.059391532093286514	0.05446428619325161			-0.0049272459000349045
GSE267321	all	KK_minus_K	epi_mean_STING	2	2	0.15523431450128555	0.276785708963871			0.12155139446258545
GSE267321	all	KK_minus_K	epi_mean_IFN	2	2	0.7723229974508286	1.0327380895614624			0.26041509211063385
GSE267321	all	KLK_minus_K	epi_mean_Cldn4	2	2	0.12037037312984467	0.0			-0.12037037312984467
GSE267321	all	KLK_minus_K	epi_mean_Tacstd2	2	2	0.018518518656492233	0.10465116053819656			0.08613264188170433
GSE267321	all	KLK_minus_K	epi_mean_NHEJ	2	2	0.059391532093286514	0.05017618089914322			-0.009215351194143295
GSE267321	all	KLK_minus_K	epi_mean_STING	2	2	0.15523431450128555	0.2443622350692749			0.08912792056798935
GSE267321	all	KLK_minus_K	epi_mean_IFN	2	2	0.7723229974508286	1.8693446815013885			1.09702168405056
GSE267321	all	KLK_minus_KK	epi_mean_Cldn4	2	2	0.0059523810632526875	0.0			-0.0059523810632526875
GSE267321	all	KLK_minus_KK	epi_mean_Tacstd2	2	2	0.023809524718672037	0.10465116053819656			0.08084163581952453
GSE267321	all	KLK_minus_KK	epi_mean_NHEJ	2	2	0.05446428619325161	0.05017618089914322			-0.004288105294108391
GSE267321	all	KLK_minus_KK	epi_mean_STING	2	2	0.276785708963871	0.2443622350692749			-0.0324234738945961
GSE267321	all	KLK_minus_KK	epi_mean_IFN	2	2	1.0327380895614624	1.8693446815013885			0.8366065919399261
