symbol	entrez	chrom	start0	end0	tss0	strand	same_chrom_as_CLDN4	gap_bp	tss_distance_bp	within_1Mb_gap	within_2Mb_gap	pathways
PARP1	142	1	226360209	226408154	226408153	-1	False			False	False	base excision repair
PARP2	10038	14	20343540	20362074	20343540	1	False			False	False	base excision repair
PARP3	10039	3	51942251	51949371	51942251	1	False			False	False	base excision repair
PARP4	143	13	24420930	24512925	24512924	-1	False			False	False	base excision repair
PCNA	5111	20	5114952	5127630	5127629	-1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
PNKP	11284	19	49859881	49878351	49878350	-1	False			False	False	base excision repair
POLB	5423	8	42338453	42373513	42338453	1	False			False	False	base excision repair
POLD1	5424	19	50384203	50418018	50384203	1	False			False	False	base excision repair;homologous recombination;mismatch repair;nucleotide excision repair
POLD3	10714	11	74493850	74669117	74493850	1	False			False	False	base excision repair;homologous recombination;mismatch repair;nucleotide excision repair
POLD4	57804	11	67345399	67356972	67356971	-1	False			False	False	base excision repair;homologous recombination;mismatch repair;nucleotide excision repair
POLE	5426	12	132623752	132687376	132687375	-1	False			False	False	base excision repair;nucleotide excision repair
POLE2	5427	14	49643554	49688422	49688421	-1	False			False	False	base excision repair;nucleotide excision repair
POLE3	54107	9	113407231	113410723	113410722	-1	False			False	False	base excision repair;nucleotide excision repair
POLE4	56655	2	74958635	75147205	74958635	1	False			False	False	base excision repair;nucleotide excision repair
POLG	5428	15	89305197	89334972	89334971	-1	False			False	False	base excision repair
POLG2	11232	17	64477705	64497071	64497070	-1	False			False	False	base excision repair
POLH	5429	6	43575536	43628361	43575536	1	False			False	False	Fanconi anemia
POLI	11201	18	54269482	54321266	54269482	1	False			False	False	Fanconi anemia
POLK	51426	5	75511376	75609991	75511376	1	False			False	False	Fanconi anemia
POLL	27343	10	101576050	101588273	101588272	-1	False			False	False	base excision repair;non-homologous end-joining
POLN	353497	4	2071917	2242138	2242137	-1	False			False	False	Fanconi anemia
POLR2A	5430	17	7484365	7514616	7484365	1	False			False	False	nucleotide excision repair
POLR2B	5431	4	56977710	57031158	56977710	1	False			False	False	nucleotide excision repair
POLR2C	5432	16	57462647	57472010	57462647	1	False			False	False	nucleotide excision repair
POLR2D	5433	2	127843552	127858163	127858162	-1	False			False	False	nucleotide excision repair
POLR2E	5434	19	1085103	1095486	1095485	-1	False			False	False	nucleotide excision repair
POLR2F	5435	22	37952606	38041932	37952606	1	False			False	False	nucleotide excision repair
POLR2G	5436	11	62761452	62766715	62761452	1	False			False	False	nucleotide excision repair
POLR2H	5437	3	184360855	184368596	184360855	1	False			False	False	nucleotide excision repair
POLR2I	5438	19	36111816	36115213	36115212	-1	False			False	False	nucleotide excision repair
POLR2K	5440	8	100150609	100154005	100150609	1	False			False	False	nucleotide excision repair
POLR2L	5441	11	837355	842727	842726	-1	False			False	False	nucleotide excision repair
POLR2M	81488	15	57706640	57782762	57706640	1	False			False	False	nucleotide excision repair
PRKDC	5591	8	47772969	47960182	47960181	-1	False			False	False	non-homologous end-joining
RAD23A	5886	19	12945715	12953646	12945715	1	False			False	False	nucleotide excision repair
RAD23B	5887	9	107283136	107332192	107283136	1	False			False	False	nucleotide excision repair
RAD50	10111	5	132556018	132646349	132556018	1	False			False	False	homologous recombination;non-homologous end-joining
RAD51	5888	15	40694773	40732344	40694773	1	False			False	False	Fanconi anemia;homologous recombination
RAD51B	5890	14	67819740	68730218	67819740	1	False			False	False	homologous recombination
RAD51C	5889	17	58692568	58735611	58692568	1	False			False	False	Fanconi anemia;homologous recombination
RAD51D	5892	17	35092220	35121522	35121521	-1	False			False	False	homologous recombination
RAD52	5893	12	910869	990053	990052	-1	False			False	False	homologous recombination
RAD54B	25788	8	94371959	94475134	94475133	-1	False			False	False	homologous recombination
RAD54L	8438	1	46246460	46282459	46246460	1	False			False	False	homologous recombination
RBBP8	5932	18	22798260	23027561	22798260	1	False			False	False	homologous recombination
RBX1	9978	22	40951276	40973539	40951276	1	False			False	False	nucleotide excision repair
REV1	51455	2	99400474	99490466	99490465	-1	False			False	False	Fanconi anemia
REV3L	5980	6	111299027	111483729	111483728	-1	False			False	False	Fanconi anemia
RFC1	5981	4	39287454	39366400	39366399	-1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
RFC3	5983	13	33818048	34031334	33818048	1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
RFC4	5984	3	186789865	186807058	186807057	-1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
RFC5	5985	12	118013587	118033545	118013587	1	False			False	False	base excision repair;mismatch repair;nucleotide excision repair
RMI1	80010	9	83980354	84004078	83980354	1	False			False	False	Fanconi anemia
RMI2	116028	16	11249618	11381662	11249618	1	False			False	False	Fanconi anemia
RPA1	6117	17	1829701	1900082	1829701	1	False			False	False	Fanconi anemia;homologous recombination;mismatch repair;nucleotide excision repair
RPA2	6118	1	27891523	27914751	27914750	-1	False			False	False	Fanconi anemia;homologous recombination;mismatch repair;nucleotide excision repair
RPA4	29935	X	96883907	96885467	96883907	1	False			False	False	Fanconi anemia;homologous recombination;mismatch repair;nucleotide excision repair
SLX1A	548593	16	30193874	30197566	30193874	1	False			False	False	Fanconi anemia
SLX1B	79008	16	29454500	29458223	29454500	1	False			False	False	Fanconi anemia
SLX4	84464	16	3579653	3611617	3611616	-1	False			False	False	Fanconi anemia
SMUG1	23583	12	54121276	54189008	54189007	-1	False			False	False	base excision repair
SYCP3	50511	12	101728645	101739534	101739533	-1	False			False	False	homologous recombination
TDG	6996	12	103965798	103988874	103965798	1	False			False	False	base excision repair
TDP1	55775	14	89954938	90044820	89954938	1	False			False	False	base excision repair
TELO2	9894	16	1493328	1512551	1493328	1	False			False	False	Fanconi anemia
TOP3A	7156	17	18271427	18315025	18315024	-1	False			False	False	Fanconi anemia;homologous recombination
TOP3B	8940	22	21957024	21982818	21982817	-1	False			False	False	Fanconi anemia;homologous recombination
TOPBP1	11073	3	133598174	133662380	133662379	-1	False			False	False	homologous recombination
UBE2T	29089	1	202328713	202341984	202341983	-1	False			False	False	Fanconi anemia
UIMC1	51720	5	176902224	177022646	177022645	-1	False			False	False	homologous recombination
UNG	7374	12	109097568	109126725	109097568	1	False			False	False	base excision repair
USP1	7398	1	62436040	62454457	62436040	1	False			False	False	Fanconi anemia
UVSSA	57654	4	1345690	1395989	1345690	1	False			False	False	nucleotide excision repair
WDR48	57599	3	39051990	39096671	39051990	1	False			False	False	Fanconi anemia
XPA	7507	9	97653138	97697408	97697407	-1	False			False	False	nucleotide excision repair
XPC	7508	3	14145144	14178767	14178766	-1	False			False	False	nucleotide excision repair
XRCC1	7515	19	43543305	43580473	43580472	-1	False			False	False	base excision repair
XRCC3	7517	14	103697568	103715504	103715503	-1	False			False	False	homologous recombination
XRCC4	7518	5	83077497	83370453	83077497	1	False			False	False	non-homologous end-joining
XRCC5	7520	2	216107463	216207528	216107463	1	False			False	False	non-homologous end-joining
XRCC6	2547	22	41620785	41664087	41620785	1	False			False	False	non-homologous end-joining
