eid	panel	std_name	group	mnemonic	anatomy	query	state	segment_start0	segment_end0	error
E094	mucosal_tissue	Gastric	Digestive	GI.STMC.GAST	GI_STOMACH	RFC2_TSS	1_TssA	74253670	74255070	
E101	mucosal_tissue	Rectal Mucosa Donor 29	Digestive	GI.RECT.MUC.29	GI_RECTUM	CLDN4_TSS	7_Enh	73799470	73801270	
E101	mucosal_tissue	Rectal Mucosa Donor 29	Digestive	GI.RECT.MUC.29	GI_RECTUM	RFC2_TSS	1_TssA	74253870	74255070	
E102	mucosal_tissue	Rectal Mucosa Donor 31	Digestive	GI.RECT.MUC.31	GI_RECTUM	CLDN4_TSS	7_Enh	73799270	73801070	
E102	mucosal_tissue	Rectal Mucosa Donor 31	Digestive	GI.RECT.MUC.31	GI_RECTUM	RFC2_TSS	1_TssA	74254070	74254870	
E106	mucosal_tissue	Sigmoid Colon	Digestive	GI.CLN.SIG	GI_COLON	CLDN4_TSS	5_TxWk	73794670	73800670	
E106	mucosal_tissue	Sigmoid Colon	Digestive	GI.CLN.SIG	GI_COLON	RFC2_TSS	1_TssA	74253870	74255070	
E109	mucosal_tissue	Small Intestine	Digestive	GI.S.INT	GI_INTESTINE	CLDN4_TSS	7_Enh	73799470	73801070	
E109	mucosal_tissue	Small Intestine	Digestive	GI.S.INT	GI_INTESTINE	RFC2_TSS	1_TssA	74253870	74255070	
E110	mucosal_tissue	Stomach Mucosa	Digestive	GI.STMC.MUC	GI_STOMACH	CLDN4_TSS	13_ReprPC	73798070	73801270	
E110	mucosal_tissue	Stomach Mucosa	Digestive	GI.STMC.MUC	GI_STOMACH	RFC2_TSS	1_TssA	74253670	74255270	
E096	bulk_lung_comparator	Lung	Other	LNG	LUNG	CLDN4_TSS	15_Quies	73782070	73822470	
E096	bulk_lung_comparator	Lung	Other	LNG	LUNG	RFC2_TSS	1_TssA	74253870	74255070	
