accession	uid	queries	taxon	n_samples	gdstype	pdat	gpl	title	summary
GSE302981	200302981	G_TROP2_ADC	Homo sapiens	8	Expression profiling by high throughput sequencing	2026/03/25	21290	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show that human PDAC specimens and patient-derived cell lines treated with the ERK inhibitor ulixertinib d
GSE312098	200312098	G_TROP2_ADC	Homo sapiens	12	Expression profiling by high throughput sequencing	2025/12/18	24676	Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling [TROP2+GSK RNA-Seq]	Targeted therapy for advanced colorectal cancer (CRC) remains a significant clinical challenge. In this study, we systematically examined the anti-tumor efficacy and underlying mechanisms of IMMU132, an FDA-approved anti-TROP2 antibody conjugate linked to the topoisomerase I inhibitor SN-38, both as a standalone treatment and in combination with the PERK inhibitor GSK2606414 in TROP2-positive advanced CRC. We first established that TROP2 expression was markedly elevated in CRC cohorts and correl
GSE311016	200311016	G_TROP2_ADC	Homo sapiens	10	Expression profiling by high throughput sequencing	2025/12/18	24676	Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling	Targeted therapy for advanced colorectal cancer (CRC) remains a significant clinical challenge. In this study, we systematically examined the anti-tumor efficacy and underlying mechanisms of IMMU132, an FDA-approved anti-TROP2 antibody conjugate linked to the topoisomerase I inhibitor SN-38, both as a standalone treatment and in combination with the PERK inhibitor GSK2606414 in TROP2-positive advanced CRC. We first established that TROP2 expression was markedly elevated in CRC cohorts and correl
GSE302284	200302284	G_TROP2_ADC	Homo sapiens	6	Expression profiling by high throughput sequencing	2025/07/10	20795	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy	EGFR tyrosine kinase inhibitors (TKIs) have dramatically improved outcomes for EGFR-mutated non-small cell lung cancer (NSCLC) patients, but relapse frequently occurs due to drug tolerant persister (DTP) cells that can evolve and develop diverse mechanisms of drug resistance. In samples from patients with EGFR-mutated NSCLC treated with an EGFR-TKIs in the neoadjuvant setting, we observed uniformly elevated expression of the cell surface protein TROP2, a target of clinically active antibody drug
GSE278664	200278664	G_TROP2_ADC	Homo sapiens	35	Expression profiling by high throughput sequencing	2024/10/16	20301	Distinct effects of sacituzumab govitecan and berzosertib on DNA damage response in ovarian cancer	Antibody-drug conjugates (ADCs) have become an important class of anticancer drugs in solid tumors including drug-resistant gynecologic malignancies. TROP2 is a cell surface antigen that is highly expressed in ovarian carcinoma (OC) but minimally expressed in normal ovarian tissues. In this study, we aimed to identify how TROP2-specific ADC, sacituzumab govitecan (SG), modulates DNA damage response pathways in drug-resistant OC. We found that SG induces G2/M arrest, increases RPA1 foci, and decr
GSE156855	200156855	G_TROP2_ADC	Homo sapiens; Mus musculus	38	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2020/08/25	19057;11154;13112	AP-1 and TGFb cooperativity drives non-canonical Hedgehog signaling in resistant basal cell carcinoma	This SuperSeries is composed of the SubSeries listed below.
GSE156853	200156853	G_TROP2_ADC	Homo sapiens	10	Genome binding/occupancy profiling by high throughput sequencing	2020/08/25	11154	Genome-wide chromatin accessibility analysis of MRTF-active subpopulations in human basal cell carcinoma	Tumor heterogeneity and lack of knowledge about resistant cell states remain a significant barrier to effective targeted cancer therapies. Basal cell carcinomas (BCCs) uniformly depend on Hedgehog (Hh)/Gli signaling for cell growth. We previously identified a nuclear myocardin-related transcription factor (nMRTF) resistance pathway that amplifies Gli1 activity, but nMRTF cell state and key factors driving its accumulation remain unknown. Here, we use three surface markers (LYPD3, TACSTD2, and LY
GSE156790	200156790	G_TROP2_ADC	Homo sapiens	8	Expression profiling by high throughput sequencing	2020/08/25	11154	Genome-wide transcriptomic analysis of MRTF-active subpopulations in naïve human basal cell carcinoma	Tumor heterogeneity and lack of knowledge about resistant cell states remain a significant barrier to effective targeted cancer therapies. Basal cell carcinomas (BCCs) uniformly depend on Hedgehog (Hh)/Gli signaling for cell growth. We previously identified a nuclear myocardin-related transcription factor (nMRTF) resistance pathway that amplifies Gli1 activity, but nMRTF cell state and key factors driving its accumulation remain unknown. Here, we use three surface markers (LYPD3, TACSTD2, and LY
GSE65395	200065395	G_TROP2_ADC	Mus musculus	17	Expression profiling by high throughput sequencing	2016/05/11	18480	Compared gene expression profile of gastric and intestinal progenitors grown as spheroids in the ex vivo culture system	In adult stomach, Lgr5 is a marker of epithelial glandular stem cells that grow in the three dimensional ex vivo culture system as organoids. However, little is known about the markers that characterize fetal progenitors before cytodifferentiation and their potential involvement in regenerative processes in adults. Using the ex vivo culture system, we isolated epithelial progenitors from the fetal stomach. These cells generated stable undifferentiated immortal spheroids showing lower growth fact
GSE241538	200241538	G_TROP2_PDL1|G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2026/05/05	21626	Osteopontin links acquired resistance to hypoxia-inducing antiangiogenics with refractoriness to anti-PD-L1 agents in breast cancer [II]	Resistance to antiangiogenics is a major challenge in cancer therapy. These agents can either normalize or exacerbate tumor vascular abnormality and hypoxia. The mechanisms of resistance remain unclear in the latter setting. By integrating data from mouse models and clinical trials, we show that hypoxia-inducing anti-VEGF therapy upregulates programmed cell death ligand 1 (PD-L1), yet fails to sensitize tumors to PD-L1 blockade. Mechanistically, early hypoxic stress triggers epithelial osteopont
GSE253587	200253587	G_TROP2_PDL1	Homo sapiens; Rattus norvegicus	140	Expression profiling by high throughput sequencing; Other	2026/02/26	22396;24676;25947	Deconvolution of regulatory T cell heterogeneity identifies cycling precursors as conductors of immune escape during breast carcinoma progression	This SuperSeries is composed of the SubSeries listed below.
GSE253572	200253572	G_TROP2_PDL1	Homo sapiens; Rattus norvegicus	101	Expression profiling by high throughput sequencing	2026/02/26	25947;24676	Deconvolution of regulatory T cell heterogeneity identifies cycling precursors as conductors of immune escape during breast carcinoma progression	Tumor-immune microenvironment is instrumental in shaping breast cancer tumor evolution. We previously identified an evolutionary bottleneck demarcating ductal carcinoma in situ (DCIS) from invasive ductal carcinoma (IDC). How the microenvironment evolves during such transition remains elusive. We dissected, in parallel, single-cell composition of DCIS and IDC patients and rat tumors that faithfully recapitulate human breast cancer. We discovered T cell diversity distinguishing DCIS and IDC and a
GSE249262	200249262	G_TROP2_PDL1	Homo sapiens	76	Expression profiling by array	2024/01/18	23159	Circulating tumor cell analysis from stage III lung cancer patients	Imaging technologies only detect progression after it has occurred, which may be well after tumor growth or disease progression has begun. In this work, we determined whether circulating tumor cell (CTC) quantification, PD-L1 expression on CTCs, or CTC gene expression can be used as a blood-based biomarker to predict patient outcomes in stage III NSCLC. The primary endpoint was disease progression, either locoregional, distant, or death. We used immunoaffinity graphene oxide (GO) chip to isolate
GSE206892	200206892	G_TROP2_PDL1	Mus musculus	6	Expression profiling by high throughput sequencing; Other	2023/01/01	24247	Skin and Skin Draining lymph node dendritic cells from neonatal mouse colonized with a commensal or control	Early life establishment of tolerance to commensal bacteria at barrier surfaces carries enduring implications for immune health but remains poorly understood. Here we show that this process is controlled by microbial interaction with a specialized subset of antigen presenting cells. More particularly, we identify CD301b+ type 2 conventional dendritic cells (DC) as a subset in neonatal skin specifically capable of uptake, presentation and generation of regulatory T cells (Tregs) to commensal anti
GSE167102	200167102	G_TROP2_PDL1	Rattus norvegicus	115	Expression profiling by high throughput sequencing	2022/04/10	20084;25947	Rat model of breast cancer to dissect mechanisms of immune escape and immunotherapy sensitivity	NMU-induced sprague dawley rat model of breast cancer treated with immunotherapy to prevent tumor progression
GSE149383	200149383	G_TROP2_PDL1	Homo sapiens	33	Expression profiling by high throughput sequencing	2020/12/19	18573	Drug resistant changes at the level of single cells	This SuperSeries is composed of the SubSeries listed below.
GSE126310	200126310	G_TROP2_PDL1	Mus musculus; Homo sapiens	24	Expression profiling by high throughput sequencing; Other	2019/03/01	24676;22245;16791	Expanding the CITE-seq tool-kit: Detection of proteins, transcriptomes, clonotypes and CRISPR perturbations with multiplexing, in a single assay	Multi-modal single-cell assays provide high-resolution snapshots of complex cell populations but are mostly limited to transcriptome plus an additional modality. Here, we describe Expanded CRISPR-compatible Cellular Indexing of Transcriptomes and Epitopes by sequencing (ECCITE-seq) for the high-throughput characterization of at least five modalities of information from each single cell. We demonstrate application of ECCITE-seq to multimodal CRISPR screens with robust direct sgRNA capture and to 
GSE54353	200054353	G_TROP2_PDL1	Mus musculus	15	Expression profiling by array	2014/01/24	6246	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression	This SuperSeries is composed of the SubSeries listed below.
GSE54352	200054352	G_TROP2_PDL1	Mus musculus	6	Expression profiling by array	2014/01/24	6246	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells	Lung squamous cell carcinoma (SCC) is a deadly disease for which current treatments are inadequate. We demonstrate that bi-allelic inactivation of Lkb1 and Pten in the mouse lung led to SCC that recapitulated the histology, gene expression and microenvironment found in human disease. Lkb1/Pten-null (LP) tumors expressed the squamous markers Krt5, p63 and Sox2, and transcriptionally resembled the basal subtype of human SCC. In contrast to mouse adenocarcinomas, the LP tumors contained immune popu
GSE54351	200054351	G_TROP2_PDL1	Mus musculus	9	Expression profiling by array	2014/01/24	6246	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells	Lung squamous cell carcinoma (SCC) is a deadly disease for which current treatments are inadequate. We demonstrate that bi-allelic inactivation of Lkb1 and Pten in the mouse lung led to SCC that recapitulated the histology, gene expression and microenvironment found in human disease. Lkb1/Pten-null (LP) tumors expressed the squamous markers Krt5, p63 and Sox2, and transcriptionally resembled the basal subtype of human SCC. In contrast to mouse adenocarcinomas, the LP tumors contained immune popu
GSE314593	200314593	G_TROP2_KD	Mus musculus	52	Expression profiling by high throughput sequencing	2026/08/10	24247	Epithelial cells program adaptive immunity through antigen compartmentalization	Intestinal epithelial cells (IECs) serve as critical interfaces between the host immune system and enteric pathogens, yet their role in orchestrating mucosal immune responses remains incompletely understood. Major histocompatibility complex class II (MHCII) expression on IECs has been proposed to contribute to antigen presentation and T cell priming during intestinal infection, but the cell type-specific transcriptional programs influenced by epithelial MHCII remain unclear. Here, we performed s
GSE308286	200308286	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2026/07/28	24247	VHL Loss Orchestrates Pro-Tumor Microenvironment Through BMP10-Induced CXCL13 Signaling in Renal Lymphatics [RNA-Seq]	Clear-cell renal cell carcinoma (ccRCC) is frequently associated with loss of the tumor suppressor gene VHL. To investigate the early events of ccRCC pathogenesis, we generated a conditional mouse model with Vhlh deletion in renal tubular epithelial cells. The model exhibited key histopathological features reminiscent of human ccRCC, including epithelial disorganization, immune infiltration, and vascular remodeling. VhlhloxP/loxP mice were crossed with Hoxb7-Cre-GFP mice to induce kidney tubule-
GSE307112	200307112	G_TROP2_KD	Homo sapiens; Mus musculus	886	Expression profiling by high throughput sequencing	2026/06/29	35012	Mapping the Dialogue: Decoding Alveolar Stem-Niche Interactions [I]	Cellular atlases reveal diverse cellular phenotypes, but how cells traverse this phenotypic landscape to impact tissues requires systematic study. We present an alveolosphere screening platform for investigating interactions between lung epithelial stem cells and their fibroblast niche. We assessed the role of 201 candidate genes in stem cells via imaging, then used RNAseq analysis for a transcriptome-wide understanding of cell-autonomous effects on stem cells and non-cell-autonomous effects on 
GSE307351	200307351	G_TROP2_KD	Homo sapiens; Mus musculus	890	Other; Expression profiling by high throughput sequencing	2026/06/26	24247;35012	Mapping the Dialogue: Decoding Alveolar Stem-Niche Interactions	This SuperSeries is composed of the SubSeries listed below.
GSE301500	200301500	G_TROP2_KD	Mus musculus	11	Genome binding/occupancy profiling by high throughput sequencing	2026/06/17	19057	Transient YAP/TAZ inhibition exposes therapeutic vulnerabilities in advanced cancers [ATAC-seq]	YAP and TAZ, key effectors of the Hippo pathway, are frequently hyperactivated in cancer, where they drive tumor progression and resistance to therapy. Their oncogenic activity relies on interaction with TEAD transcription factors, making the TEAD-YAP/TAZ complex an attractive therapeutic target. Using translational mouse models, we demonstrate that sustained systemic YAP/TAZ depletion leads to severe side effects. However, even transient YAP/TAZ inhibition alone is sufficient to suppress tumor 
GSE301496	200301496	G_TROP2_KD	Mus musculus	20	Genome binding/occupancy profiling by high throughput sequencing	2026/06/17	19057	Transient YAP/TAZ inhibition exposes therapeutic vulnerabilities in advanced cancers [CUT&Run]	YAP and TAZ, key effectors of the Hippo pathway, are frequently hyperactivated in cancer, where they drive tumor progression and resistance to therapy. Their oncogenic activity relies on interaction with TEAD transcription factors, making the TEAD-YAP/TAZ complex an attractive therapeutic target. Using translational mouse models, we demonstrate that sustained systemic YAP/TAZ depletion leads to severe side effects. However, even transient YAP/TAZ inhibition alone is sufficient to suppress tumor 
GSE301491	200301491	G_TROP2_KD	Mus musculus	8	Expression profiling by high throughput sequencing	2026/06/17	19057	Transient YAP/TAZ inhibition exposes therapeutic vulnerabilities in advanced cancers [RNA-Seq]	YAP and TAZ, key effectors of the Hippo pathway, are frequently hyperactivated in cancer, where they drive tumor progression and resistance to therapy. Their oncogenic activity relies on interaction with TEAD transcription factors, making the TEAD-YAP/TAZ complex an attractive therapeutic target. Using translational mouse models, we demonstrate that sustained systemic YAP/TAZ depletion leads to severe side effects. However, even transient YAP/TAZ inhibition alone is sufficient to suppress tumor 
GSE334497	200334497	G_TROP2_KD	Mus musculus	10	Expression profiling by high throughput sequencing	2026/06/09	21103	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer	To investigate TROP2-dependent transcriptomic changes in breast cancer, we performed RNA-seq on frozen tumor sections from 4T1 Trop2 wild-type and Trop2 knockout tumors. This dataset was generated to define transcriptional programs regulated by TROP2 in the tumor microenvironment and to determine how TROP2 contributes to immune exclusion and resistance to immune checkpoint blockade. Analysis of these tumors identified TROP2-associated enrichment of cell-cell contact and tight-junction pathways, 
GSE288220	200288220	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2026/06/08	24247	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [multiome]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OM
GSE288196	200288196	G_TROP2_KD	Mus musculus	22	Expression profiling by high throughput sequencing	2026/06/08	24247	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [bulk RNA-seq]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OM
GSE288137	200288137	G_TROP2_KD	Homo sapiens; Mus musculus	16	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2026/06/07	24676;24247	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OM
GSE318465	200318465	G_TROP2_KD	Mus musculus	3	Expression profiling by high throughput sequencing	2026/04/22	34290	EpCAM Supports Exit from Pluripotency of Embryonic Stem Cells via Eomes	Epithelial cell adhesion molecule (EpCAM) is a tumor-associated antigen that marks pluripotent embryonic stem cells (ESCs). Regulation of Epcam expression yields a spatiotemporal patterning during embryogenesis that is thoroughly mimicked in a 3D model of spontaneous differentiation of embryoid bodies (EBs). Here, we present a role of EpCAM in exit from pluripotency of murine ESCs (mESCs) to establish cardiomyocytes in EBs. Comparative transcriptomic analysis of wildtype and Epcam-knockout mESCs
GSE300346	200300346	G_TROP2_KD	Mus musculus	4	Expression profiling by high throughput sequencing	2026/04/13	34328	H3K9me3 controls epidermis development by repressing RNA Pol II initiation on key promoters and enhancers [scRNA-seq]	Histone H3 lysine 9 trimethylation (H3K9me3) is a heterochromatin mark important for silencing repetitive DNA elements and for repressing lineage-inappropriate genes during early murine development, but its role in later organogenesis remains understudied. Here, we simultaneously target three histone methylases, Suv39h1, Suv39h2 and Setdb1, to deplete H3K9me3 specifically in developing epidermis. H3K9me3 loss blocks epidermis morphogenesis, resulting in defective cell differentiation, impaired b
