source	interaction	pathway	ligand	receptor	n_patients	n_cohorts	median_delta	mean_delta	n_pos	n_neg	wilcoxon_p	re_k	re_mu	re_p	re_I2	cohorts	fdr
liana	IGFBP3_TMEM219	other	IGFBP3	TMEM219	22	2	0.046347834169864655	0.06780898460949009	16	6	0.03587532043457031	2	0.05242765131624581	0.07713220241580844	0.0	GSE131907+GSE148071	0.10314154624938965
liana	LPAR2_ADGRE5	other	LPAR2	ADGRE5	13	2	0.009593218564987183	0.015479679255244823	11	2	0.039794921875	1				GSE131907	0.10468401227678571
liana	HLA-C_CD8B	MHC_I	HLA-C	CD8B	15	2	0.04478520154953003	0.06308735460042954	12	3	0.041259765625	2	0.04417342402058711	0.27952517763172513	60.055466438170036	GSE131907+GSE148071	0.10468401227678571
liana	PTGES2_PTGER4	other	PTGES2	PTGER4	14	2	0.026802629232406616	0.0213879552403731	10	4	0.0418701171875	1				GSE131907	0.10468401227678571
liana	CD47_SIRPG	other	CD47	SIRPG	12	2	0.04060525447130203	0.050122806491951145	8	4	0.04248046875	2	0.04586021875145474	0.05760725248451376	50.04088794132703	GSE131907+GSE148071	0.10468401227678571
liana	DHCR7_NR1H2	other	DHCR7	NR1H2	11	1	0.023967886343598366	0.014867229471829805	10	1	0.0537109375	1				GSE131907	0.127325439453125
liana	HLA-B_CD8B	MHC_I	HLA-B	CD8B	15	2	0.058274149894714355	0.08294908503691355	12	3	0.05535888671875	2	0.0456479720358751	0.6955374448757885	92.42021632663973	GSE131907+GSE148071	0.127325439453125
liana	PTGES_PTGER2	other	PTGES	PTGER2	5	1	0.03434128686785698	0.030156242102384566	5	0	0.0625	1				GSE131907	0.13068181818181818
liana	BAG6_NCR3	other	BAG6	NCR3	5	1	0.04124469310045242	0.03976322263479233	5	0	0.0625	1				GSE131907	0.13068181818181818
liana	HLA-E_KLRC1+KLRD1	MHC_I	HLA-E	KLRC1+KLRD1	5	1	0.07292196154594421	0.08867293894290924	5	0	0.0625	1				GSE131907	0.13068181818181818
liana	NECTIN2_TIGIT	other	NECTIN2	TIGIT	12	2	0.015143176540732384	0.02933605449895064	8	4	0.0771484375	1				GSE148071	0.15656594669117646
liana	LGALS9_P4HB	other	LGALS9	P4HB	19	3	0.010175585746765137	0.028084109586320426	12	7	0.07987594604492188	2	0.016758874579628782	0.5920324611490798	85.32984999173667	GSE131907+GSE148071	0.15746972220284597
liana	HLA-E_KLRD1	MHC_I	HLA-E	KLRD1	22	3	0.06780888140201569	0.026256255128166893	16	6	0.08540916442871094	2	0.02522764436036154	0.5869277056149867	64.05994365833737	GSE131907+GSE148071	0.16370089848836264
liana	CD44_TYROBP	other	CD44	TYROBP	27	2	0.02183699607849121	0.016759147660599813	19	8	0.11105082929134369	2	0.02682964815328857	0.18334446234915847	28.216160992626914	GSE131907+GSE148071	0.2070947897595328
liana	PODXL_SELL	other	PODXL	SELL	4	3	0.029814195819199085	0.027349932002834976	4	0	0.125	0					0.21562499999999998
liana	CEACAM6_CEACAM6	other	CEACAM6	CEACAM6	5	2	0.133935809135437	0.14503265619277955	4	1	0.125	0					0.21562499999999998
liana	CEACAM5_CEACAM6	other	CEACAM5	CEACAM6	4	2	0.1802951842546463	0.18670818954706192	4	0	0.125	0					0.21562499999999998
liana	PLAUR_ITGA4+ITGB1	other	PLAUR	ITGA4+ITGB1	13	2	0.02658407762646675	0.014376465517740983	10	3	0.167724609375	2	0.008172378911084658	0.638838670296074	0.0	GSE131907+GSE148071	0.2822682450457317
liana	TNFSF12_TNFRSF25	other	TNFSF12	TNFRSF25	7	1	0.004433639347553253	0.007781429382573281	4	3	0.296875	1				GSE131907	0.47638081395348836
liana	PTGES2_PTGER2	other	PTGES2	PTGER2	7	1	0.022162675857543945	0.013648852705955505	5	2	0.296875	1				GSE131907	0.47638081395348836
liana	SFTPD_ADGRE5	other	SFTPD	ADGRE5	5	2	-0.06887201219797134	-0.07465075552463532	2	3	0.3125	0					0.48046875
liana	PVR_CD96	other	PVR	CD96	11	2	0.011734846979379654	0.01223913969641382	8	3	0.3203125	1				GSE131907	0.48046875
liana	PVR_TIGIT	other	PVR	TIGIT	11	2	0.011734846979379654	0.01223913969641382	8	3	0.3203125	1				GSE131907	0.48046875
liana	CXCL14_CXCR4	T_recruit_partial	CXCL14	CXCR4	17	2	0.024278849363327026	0.03624031785875559	10	7	0.328948974609375	2	0.02971304415478582	0.41750824952146315	0.0	GSE131907+GSE148071	0.482925090383976
liana	LIPA_RORA	other	LIPA	RORA	18	3	0.0027597006410360336	0.004330892840193378	11	7	0.39273834228515625	2	0.006766498033491885	0.22526968518264656	0.0	GSE131907+GSE148071	0.5645613670349121
liana	CD320_JAML	other	CD320	JAML	16	2	0.006518136709928513	0.012548427795991302	9	7	0.40374755859375	2	0.0031294747629410868	0.8212626022882246	64.80011274482216	GSE131907+GSE148071	0.56854248046875
liana	LPAR3_ADGRE5	other	LPAR3	ADGRE5	5	2	-0.010008618235588074	-0.028560839593410492	2	3	0.4375	0					0.60375
liana	SEMA4D_PTPRC	other	SEMA4D	PTPRC	11	3	-0.0036041922867298126	-0.009604296647012234	5	6	0.46484375	1				GSE131907	0.62890625
liana	HLA-F_VSIR	MHC_I_partial	HLA-F	VSIR	6	1	0.01047925278544426	0.02487503116329511	4	2	0.5625	1				GSE148071	0.7233087221781412
liana	LGALS9_HAVCR2	other	LGALS9	HAVCR2	6	1	0.010973051190376282	0.031153591660161812	3	3	0.5625	1				GSE131907	0.7233087221781412
liana	ITGAV+ITGB1_ADGRE5	other	ITGAV+ITGB1	ADGRE5	22	3	0.006753101944923401	0.008294666185975075	12	10	0.5660676956176758	2	0.0017115373664660977	0.9597409105852156	90.33141685284592	GSE131907+GSE148071	0.7233087221781412
liana	LPAR1_ADGRE5	other	LPAR1	ADGRE5	5	2	0.01069058058783412	-0.0024180834181606768	4	1	0.625	0					0.756578947368421
liana	COL1A1_ITGA1+ITGB1	other	COL1A1	ITGA1+ITGB1	4	2	0.03955887444317341	0.022699599154293537	3	1	0.625	0					0.756578947368421
liana	FN1_ITGA4+ITGB7	other	FN1	ITGA4+ITGB7	5	1	0.05469312146306038	0.019314154237508773	4	1	0.625	1				GSE131907	0.756578947368421
liana	FN1_ITGA4+ITGB1	other	FN1	ITGA4+ITGB1	11	2	0.024040967226028442	0.0031919584355571055	6	5	0.6376953125	2	-0.005330204934315711	0.7311412009977927	0.0	GSE131907+GSE148071	0.7586375269396552
liana	ICAM3_ITGAL+ITGB2	other	ICAM3	ITGAL+ITGB2	9	2	-0.0017495900392532349	-0.010576590481731627	4	5	0.65234375	1				GSE131907	0.7629104872881356
liana	SPP1_ITGA4+ITGB1	other	SPP1	ITGA4+ITGB1	13	2	-0.010778605937957764	-0.023426497211823098	6	7	0.684814453125	2	-0.02176994830518131	0.3044849730734934	0.0	GSE131907+GSE148071	0.7776639344262295
liana	TGM2_ADGRG1	other	TGM2	ADGRG1	7	2	0.01150493323802948	0.04548896795936993	4	3	0.6875	1				GSE148071	0.7776639344262295
liana	JAG1_CD46	other	JAG1	CD46	12	3	0.007093129213899374	-0.013594921076825509	8	4	0.7333984375	1				GSE148071	0.8128720238095238
liana	HLA-E_VSIR	MHC_I_partial	HLA-E	VSIR	8	1	-0.00688181072473526	-0.0333146620541811	3	5	0.7421875	1				GSE148071	0.8128720238095238
liana	PPIA_BSG	other	PPIA	BSG	26	2	-0.0017307400703430176	-0.004593944320311913	13	13	0.7643943428993225	2	-0.011766928276328862	0.6020832072326567	0.0	GSE131907+GSE148071	0.8241126509383321
liana	PTGES3_PTGER4	other	PTGES3	PTGER4	16	3	-0.002777647227048874	0.007200795691460371	8	8	0.820892333984375	1				GSE131907	0.8714087853064905
liana	CCL5_CCR5	T_recruit	CCL5	CCR5	6	2	0.0074501633644104	0.00689069755996267	4	2	0.84375	1				GSE148071	0.8722051364272388
liana	TNC_ITGA4+ITGB1	other	TNC	ITGA4+ITGB1	15	2	0.012486962834373116	0.01322890242251257	8	7	0.846923828125	2	0.0059706774430046804	0.7174506924975202	0.0	GSE131907+GSE148071	0.8722051364272388
liana	PTGES3_PTGER2	other	PTGES3	PTGER2	7	1	-0.01956036686897278	-0.0005903840065002441	3	4	1.0	1				GSE131907	1.0
liana	CCL5_CCR1	T_recruit	CCL5	CCR1	4	2	-0.006803764030337334	0.006610964657738805	2	2	1.0	0					1.0
