ligand	receptor	classification	directionality	is_ppi	source	version	pair_origin	pathway
HLA-G	LILRB1	Signaling by HLA	Ligand-Receptor	True	uniprot;Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-G	LILRB2	Signaling by HLA	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
B2M+CD1B	IL6ST		Ligand-Receptor	True	Shilts screen - VALIDATED	CellPhoneDBcore4.1	cellphonedb_v5_interactors	MHC_I_partial
CD1D	LILRB2		Ligand-Receptor	True	PMID:19124746	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
CEACAM5	CD8A	Adhesion by CEAM	Adhesion-Adhesion	True	PMID:24104458	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
HLA-E	VSIR		Ligand-Receptor	True	Shilts screen - VALIDATED	CellPhoneDBcore4.1	cellphonedb_v5_interactors	MHC_I_partial
HLA-F	KIR3DS1	Signaling by HLA	Ligand-Receptor	True	PMID:27455421	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
HLA-F	VSIR		Ligand-Receptor	True	Shilts screen - VALIDATED	CellPhoneDBcore4.1	cellphonedb_v5_interactors	MHC_I_partial
LCK	CD8A+CD8B		Receptor-Receptor	True	1q69;PDB_partially	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
MICA	HCST+KLRK1		Ligand-Receptor	True	1hyr;PDB_partially;Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
MICB	HCST+KLRK1		Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
RAET1E	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
RAET1G	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
RAET1L	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577._4s0u;PDB_partially	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
ULBP1	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
ULBP2	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
ULBP3	HCST+KLRK1	Signaling by Killer Cell Lectin Like Receptor K1	Ligand-Receptor	True	Induces_NK_Cell_Activation;PMID:24223577;PDB:1kcg_partially	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I_partial
CCL19	CCR7	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL21	CCR7	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL3	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL3	CCR5	Signaling by Chemokines	Ligand-Receptor	True	PMID:15251452	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL4	CCR5	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL5	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL5	CCR5	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CX3CL1	CX3CR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL10	CXCR3	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL11	CXCR3	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL12	CXCR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL13	CXCR5	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL16	CXCR6	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CXCL9	CXCR3	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit
CCL14	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL15	CCR1	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL16	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL19	ACKR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL19	CCRL2	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL21	ACKR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL23	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL26	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL3	ACKR2	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL3	CCR3	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL3L1	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL4	ACKR2	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL5	ACKR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL5	ACKR2	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL5	CCR3	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL5	CCR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL5	GPR75	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL7	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL7	CCR5	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL8	CCR1	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CCL8	CCR5	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL10	DPP4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL11	ACKR3	Signaling by Chemokines	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL11	DPP4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL12	DPP4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL13	ACKR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL14	CXCR4	Signaling by Chemokines	Ligand-Receptor	True	PMID:32212206	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
CXCL9	DPP4	Signaling by Chemokines	Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
PF4	CXCR3		Ligand-Receptor	True	PMID:24218476	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	T_recruit_partial
ADCYAP1	ADCYAP1R1	Signaling by Pituitary adenylate	Ligand-Receptor	True	uniprot;reactome;IUPHAR	CellPhoneDBcore4.1	cellphonedb_v5_interactors	other
ADCYAP1	VIPR1	Signaling by Pituitary adenylate	Ligand-Receptor	True	uniprot;reactome;IUPHAR	CellPhoneDBcore4.1	cellphonedb_v5_interactors	other
ADCYAP1	VIPR2	Signaling by Pituitary adenylate	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ADIPOQ	ADIPOR1+ADIPOR2		Ligand-Receptor	True	reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ADM	CALCRL+GPER1+RAMP3	Signaling by Adrenomedullin	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ADM	RAMP3	Signaling by Adrenomedullin	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ADM2	CALCRL+GPER1+RAMP3	Signaling by Adrenomedullin	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ADM2	CALCRL+RAMP2	Signaling by Adrenomedullin	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGRN	LRP4+MUSK	Signaling by Agrin	Ligand-Receptor	True	reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGRN	PTPRS	Signaling by Agrin	Ligand-Receptor	True	reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGRP	MC2R	Signaling by Agouti-related protein	Ligand-Receptor	True	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)	CellPhoneDBcore4.1	cellphonedb_v5_interactors	other
AGRP	MC3R	Signaling by Agouti-related protein	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGRP	MC4R	Signaling by Agouti-related protein	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGRP	MC5R	Signaling by Agouti-related protein	Ligand-Receptor	True	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)	CellPhoneDBcore4.1	cellphonedb_v5_interactors	other
AGT	AGTR1	Signaling by Angiotensinogen	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AGT	AGTR2	Signaling by Angiotensinogen	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AKR1B1	PTGFR	Signaling by Prostaglandin	Ligand-Receptor	False	HMRbase;uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AKR1C3	PTGDR	Signaling by Prostaglandin	Ligand-Receptor	False	HMRbase;uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AKR1C3	PTGDR2	Signaling by Prostaglandin	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
AKR1C3	PTGFR	Signaling by Prostaglandin	Ligand-Receptor	False	uniprot;reactome;IUPHAR	CellPhoneDBcore4.1	cellphonedb_v5_interactors	other
AKR1D1	AR	Signaling by Steroids	Ligand-Receptor	False	HMRbase;uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALB	B2M+FCGRT		Ligand-Receptor	True	PDB:4n0;PDB:4k7	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALCAM	CD6		Ligand-Receptor	True	Reviewed_in_PMID:23602662	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARA+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARB+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RARG+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	CRABP2+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A1	RORB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARA+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARB+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RARG+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	CRABP2+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A2	RORB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARA+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARB+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RARG+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RXRA	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RXRB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	CRABP2+RXRG	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALDH1A3	RORB	Signaling by Retinoic Acid	Ligand-Receptor	False	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX12	CYSLTR1	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	HMRbase	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX12	FPR2	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	HMRbase;uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX5+ALOX5AP+LTC4S	CYSLTR1	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	HMRbase;uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX5+ALOX5AP+LTC4S	CYSLTR2	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	HMRbase;uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX5+ALOX5AP+LTC4S	FPR2	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	HMRbase;uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
ALOX5+ALOX5AP+LTC4S	GPR17	Signaling by Lipoxin/Leukotriene	Ligand-Receptor	False	uniprot;reactome	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	other
