gse	n_samples	pdat	gds_type	is_array_type	lung_mention	ici_mention	response_mention	platforms	platform_titles	pubmed	found_by	title	summary
GSE87879	6	2017/03/07	Expression profiling by array	1	1	0	0	GPL17586			array_ici_lung	Re-activating pRB via PD 0332991 treatment in NSCLC H1299 Cells	CDk4/6 inhibitor activates RB and represses RB/E2F target genes
GSE91061	109	2018/01/23	Expression profiling by high throughput sequencing	0	1	1	0	GPL9052			seed	Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy	Immune checkpoint blockade (ICB) has demonstrated significant promise for the treatment of advanced malignancies. Anti-CTLA4 and ant-PD1 therapy can activate the immune system and result in durable control in diseases such as melanoma and non-small cell lung cancer.
GSE93157	65	2017/05/15	Expression profiling by array	1	1	1	0	GPL19965			array_ici_lung,panel_ici_lung,seed	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	RNA from tumor samples from 65 patients with melanoma, lung cancer, head and neck treated anti-PD1was analyzed on the nCounter system using the PanCancer 730-Immune Panel.
GSE93647	2	2018/01/31	Expression profiling by array	1	0	1	1	GPL15207			array_ici_lung	Expression data from patients with HCC receiving Nivolumab	We have generated an immune classifier able to identify patients belonging to the immune subclass of HCC. Characteristics of the immune subclass resemble those of patients who most respond to immunotherapy. We performed microarray expression of the tumors of two patients before starting treatment with nivolumab to verify if the immune classifier generated was able to predict response to immunotherapy.
GSE99070	22	2018/04/05	Expression profiling by array	1	0	1	1	GPL10558			seed	Comprehensive immunoproteogenomic analyses of malignant pleural mesothelioma	We characterized tumor and immune microenvironment (TiME) of malignant pleural mesothelioma (MPM) using immunoproteomic approach to comprehensively understand the landscape to affect prognosis and possibly to predict response to immunotherapy. Time-of-Flight Mass Cytometry (CyTOF) was performed on the tumors of 12 MPM patients. We comprehensively analyzed TiME by developing intuitive models for visualizing single-cell data with statistical inference and performed unsupervised clustering of cell frequency. A clinically relevant protein signature through mass spectrometry and mRNA transcriptome array was tested for its ability to reflect prognosis in three independent cohorts (n=330) and to predict response to immune checkpoint inhibitor therapy in publicly available data and in 10 patients of MPM treated with anti-PD1 therapy. A systematic understanding of antitumor immunity by immunoproteomic characterization of TiME envisions significant progress in developing rational immunotherapeutic strategies in MPM.
GSE99995	12	2020/01/01	Expression profiling by array	1	1	1	0	GPL21185			array_ici_lung,broad_ici_lung	Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ	IFN-γ is a critical cytokine which regulates both innate and adaptive immune. Ample evidences have elucidated the mechanisms of IFN-γ mediated antitumor effects, including driving T Helper Type 1 (Th1) polarization, activating cytotoxic lymphocyte (CTL) and natural killer T cells, upregulating major histocompatibility complex class I expression (MHC Class I) in tumor cells, and inhibiting tumor cells proliferation, inducing tumor cells apoptosis. Despite the multiple effects in cancer immune elimination phase (also known as cancer immune surveillance), IFN-γ also effectuates antitumor immunity and protumorigenic activities throughout the cancer immunoediting process including elimination phase and escape phase. One of the most important mechanism elucidating the dual effect of IFN-γ in immunoediting is IFN-γ induced PD-L1 expression in cancer cells. To obtain a detailed molecular appreciation of what was going on in tumor microenvironment under the influence of IFN-g, we performed global gene expression analysis using the Agilent oligonucleotide microarray system.
GSE101929	66	2017/07/28	Expression profiling by array	1	1	1	1	GPL570			array_ici_lung	Gene expression data from African Americans and European Americans with non-small cell lung cancer	Translational Relevance Historically, African Americans have been underrepresented in clinical cancer research. Diversity helps to ensure equal access to new cancer therapies and better treatment for everyone. Cancer research is increasingly focused on classifying patients according to molecular profiles for particular groups. We provide a detailed molecular analysis from paired NSCLC tissues that identified differential coding and noncoding RNA expression in NSCLC from African Americans (AA) and European Americans (EA). Similar to other tumor types, we determined that race-enriched gene and microRNA expression signatures suggest a more aggressive disease in African Americans. Based on predicted drug resistance to adjuvant chemotherapies, AA may not equally benefit from the same range of clinical drugs as EA. Our findings provide a rationale for integrating coding and noncoding transcriptome profiles, along with clinical, demographic, and genomic data, when determining treatment options. Abstract Purpose: To determine if racial differences in gene and microRNA expression translates to differences in lung tumor biology with clinical relevance in African Americans (AA) and European Americans (EA). Experimental Design: The NCI-Maryland Case Control Study includes seven Baltimore City hospitals and is overrepresented with AA patients (~40%). Patients that underwent curative NSCLC surgery between 1998 and 2014 were enrolled. Comparative molecular profiling used mRNA (n = 22 AAs an
GSE102286	179	2017/08/04	Non-coding RNA profiling by array	0	1	1	1	GPL23871			panel_ici_lung	MicroRNA expression data from African Americans and European Americans with non-small cell lung cancer	Translational Relevance Historically, African Americans have been underrepresented in clinical cancer research. Diversity helps to ensure equal access to new cancer therapies and better treatment for everyone. Cancer research is increasingly focused on classifying patients according to molecular profiles for particular groups. We provide a detailed molecular analysis from paired NSCLC tissues that identified differential coding and noncoding RNA expression in NSCLC from African Americans (AA) and European Americans (EA). Similar to other tumor types, we determined that race-enriched gene and microRNA expression signatures suggest a more aggressive disease in African Americans. Based on predicted drug resistance to adjuvant chemotherapies, AA may not equally benefit from the same range of clinical drugs as EA. Our findings provide a rationale for integrating coding and noncoding transcriptome profiles, along with clinical, demographic, and genomic data, when determining treatment options. Abstract Purpose: To determine if racial differences in gene and microRNA expression translates to differences in lung tumor biology with clinical relevance in African Americans (AA) and European Americans (EA). Experimental Design: The NCI-Maryland Case Control Study includes seven Baltimore City hospitals and is overrepresented with AA patients (~40%). Patients that underwent curative NSCLC surgery between 1998 and 2014 were enrolled. Comparative molecular profiling used mRNA (n = 22 AAs an
GSE111414	20	2021/03/01	Expression profiling by high throughput sequencing	0	1	1	1	GPL21290			broad_ici_lung,seed	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	Adaptive immune escape of tumor cells by upregulation of ligands for programmed death 1 (PD-1) has been identified as an important and targetable pathway in many cancer types. Many clinical trials have demonstrated that targeting PD-1 or its ligand PD-L1 with immune checkpoint inhibitors (ICI) can restore anti-tumor immunity and induce durable remission. In patients with non-small cell lung cancer (NSCLC), several trials have demonstrated a survival benefit with ICI in patients with metastatic and locally advanced NSCLC.Yet, most patients have primary resistance to PD-1 or PD-L1 blockade during treatment: approximately 20% of unselected patients with NSCLC achieve a partial response while 40-50% have progressive disease as best response. Understanding mechanisms of primary resistance to PD-(L)1 blockade is important in the search for potentially targetable pathways and may ultimately allow discrimination between patients that benefit from PD-(L)1 blockade and those requiring combination or other approaches. We collected PBMCs and serum samples from 35 patients with NSCLC before and during PD-1 blockade treatment with nivolumab. We analyzed differentially expressed genes in CD8+ T cells from the peripheral blood of 5 patients with partial response and 5 patients with primary progressive disease to identify mechanisms of resistance to PD-1 therapy. Cells were collected from samples taken before and after 4 weeks of treatment.
GSE112926	51	2020/12/31	Expression profiling by high throughput sequencing	0	0	1	1	GPL18573			broad_ici_lung	microRNA 125a Regulates MHC-I Expression on Esophageal Adenocarcinoma Cells, Associated With Suppression of Anti-tumor Immune Response and Poor Outcomes of Patients	BACKGROUND & AIMS: Immune checkpoint inhibition may affect outcomes of highly aggressive cancers, such as esophageal adenocarcinoma (EAC). In this regard, the MHC-I pathway and the tumor immune microenvironment are key factors that need to be explored. METHODS: We investigated post-transcriptional mechanisms of MHC-I regulation through functional and molecular studies of EAC cell lines and of EAC biopsies. We performed RNA-sequencing of fifty-one treatment-naïve EAC biopsies to evaluate the status of the MHC-I pathway and the tumor immune microenvironment with respect to patient response and disease outcomes. RESULTS: We found that in EAC miR-125a-5p and miR-148a-3p regulate TAP2 and MHC-I expression. Interestingly, MHC-I pathway expression correlated with poorer therapeutic response. Moreover, MHC-I status correlated with a tumor immune-inflamed microenvironment, in which upregulation of PD-L1, PD-L2 and IDO1 were associated to worse patient survival. CONCLUSIONS: Our data indicate that EAC patients with a proficient MHC-I expression and a tumor immune-inflamed microenvironment have poorer outcomes after neo-adjuvant therapy and may benefit from immune checkpoint inhibition.
GSE115246	81	2021/06/01	Methylation profiling by genome tiling array	0	1	1	1	GPL21145			broad_ici_lung	Epigenetic prediction of response to anti-PD-1 treatment in non-small-cell lung cancer: a multicenter, retrospective analysis	Anti-programmed death-1 (PD-1) treatment for advanced non-small-cell lung cancer (NSCLC) has improved the survival of patients. However, a significant percentage of patients do not respond. We examined the use of DNA methylation profiles to determine the efficacy of anti-PD-1 treatment in stage IV NSCLC patients.
GSE116118	4	2019/05/30	Expression profiling by array	1	0	1	1	GPL6480			array_ici_lung	Establishment and characterization of a new intrahepatic cholangiocarcinoma cell line resistant to gemcitabine	Intrahepatic cholangiocarcinoma (ICC) is one of the most lethal liver cancers. The late diagnosis as well as the resistance to chemotherapy concurred to the scarce outfit of this malignancy. Even the improvement of the knowledge and, as consequence, of the broad spectrum of alternative therapies available (i.e. targeted, immune checkpoint inhibitors), the survival and the quality of life remain poor. The phenomenon of resistance is not still clear. Here, we established one gemcitabine, GEM, (the standard therapy in ICC) resistant cell line, named MTCHC01R1.5, obtained by a gradual exposure to GEM for 9 months (up to 1.5 µM) of the sensible counterpart MT-CHC01. We biologically and molecularly characterized this cell line comparing its behavior with its parental cell line. The drug resistance is irreversible, even if cells are treated with high doses of GEM. They grew slowly, both in vitro and in vivo, and no differences are highlighted in terms of migration and invasion. GEM resistance promoted a multi drug resistance development, but the drug prediction analysis showed that paclitaxel and doxycycline could overcome GEM resistance, as confirmed by cell viability assay. There is a global enrichment of up-regulated genes involved in the regulation of cell cycle and in DNA related process. The down-regulated genes are involved in response to stimuli, and xenobiotic metabolism, and angiogenesis. A deregulation of more than 20 genes related to drug resistance and epithelial to mes
GSE119144	60	2019/07/31	Methylation profiling by array	0	1	1	1	GPL23976			seed	DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load	Mitotic cell division increases tumour mutation burden and copy number load with a positive and inverse correlation, respectively, with the clinical benefit of immunotherapy. Markers of cell division correlate also with genomic demethylation involving methylation loss in late-replicating partial methylation domains. Here we find that immunomodulatory pathway genes are concentrated in these domains and transcriptionally repressed in demethylated tumours with CpG island promoter hypermethylation. Global methylation loss correlated with immune evasion signatures independently of mutation burden and aneuploidy. Methylome data of our cohort (n = 60) and a published cohort (n = 81) in lung cancer and a melanoma cohort (n = 40) consistently demonstrated that genomic methylation alterations counteract the contribution of high mutation burden and increase immunotherapeutic resistance. Higher predictive power was observed for methylation loss than mutation burden. We also found that genomic hypomethylation correlates with the immune escape signatures of aneuploid tumours. Hence, DNA methylation alterations implicate epigenetic modulation as a combination regimens for precision immunotherapy.
GSE120028	19	2019/08/06	Expression profiling by high throughput sequencing	0	1	1	1	GPL17303			broad_ici_lung	Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [3'SAGE-seq]	Immune checkpoint inhibitors such as anti-cytotoxic T-lymphocyte–associated antigen-4 and anti-programmed cell death-1 monoclonal antibodies (mAbs) agents or these combinations has improved outcomes of various cancers.However, still not a few patients fail to achieve clinical benefit, this highlights the importance of additional treatment to overcome its resistance. Previously, we showed that administration of the anti-CD4 mAb alone had strong anti-tumor effects that were superior to those elicited by CD25+ Treg depletion or other immune checkpoint mAbs in B16F10, Colon 26, or Lewis lung carcinoma subcutaneous tumor models. IT1208 (IDAC Theranostics, Tokyo, Japan) is a humanized anti-CD4 immunoglobulin G1 (IgG1) monoclonal antibody with a defucosylated Fc region, which markedly enhances antibody dependent cellular cytotoxicity. In a first-in-human, phase I, open-label, dose-escalation study, we performed transcriptomic analysis of tumors to clarify molecular responses against IT1208 monotherapy in patients with advanced solid tumors.
GSE120101	105	2019/08/06	Expression profiling by high throughput sequencing	0	1	1	1	GPL23934;GPL17303	 | 		broad_ici_lung	T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]	Immune checkpoint inhibitors such as anti-cytotoxic T-lymphocyte–associated antigen-4 and anti-programmed cell death-1 monoclonal antibodies (mAbs) agents or these combinations has improved outcomes of various cancers.However, still not a few patients fail to achieve clinical benefit, this highlights the importance of additional treatment to overcome its resistance. Previously, we showed that administration of the anti-CD4 mAb alone had strong anti-tumor effects that were superior to those elicited by CD25+ Treg depletion or other immune checkpoint mAbs in B16F10, Colon 26, or Lewis lung carcinoma subcutaneous tumor models. IT1208 (IDAC Theranostics, Tokyo, Japan) is a humanized anti-CD4 immunoglobulin G1 (IgG1) monoclonal antibody with a defucosylated Fc region, which markedly enhances antibody dependent cellular cytotoxicity. In a first-in-human, phase I, open-label, dose-escalation study, we performed T cell repertoire analysis of T cell subsets in the tumors and peripheral blood mononuclear cells (PBMCs) to clarify T cell responses against IT1208 monotherapy in patients with advanced solid tumors.
GSE120545	4	2018/09/28	Expression profiling by array	1	0	1	1	GPL23159			array_ici_lung	Expression date from endothelial cells stimulated with anti-HLA class I and anti-A antibody	While donor specific antibody (DSA) against HLA class II could frequently cause chronic antibody-mediated rejection (ABMR) in organ transplantation, anti-A/B antibody would not do so, because blood group ABO-incompatible transplantation has shown favorable graft outcome. Recently, an increasing attention has been paid to the importance of direct allorecognition of CD4 T-cells against HLA-class II expressed on graft endothelial cells. However, the effect of allo-antibody binding on its allorecognition remains unclear. Microarray analysis and molecular profiling demonstrated that CD275 (PD-L1) expression was increased by anti-A/B ligation-mediated ERK inactivation in endothelial cells despite IFNγ stimulation.
GSE121636	6	2020/10/19	Expression profiling by high throughput sequencing	0	0	1	1	GPL20301			broad_ici_lung	Single-cell sequencing of peripheral blood and tumor-infiltrating immune cells in renal clear cell carcinoma [5' RNA expression sequencing]	We generated a comprehensive immune profile using single-cell RNA-seq data from 25,000 immune cells from three renal cell carcinoma along with matched peripheral blood. In addition, we performed VDJ sequencing on the isolated single T cells. In order to investigate heterogeneity and dynamics of cancer-associated immune cells, we performed single-cell sequencing on peripheral and tumor-infiltrating immune cells in three renal clear cell carcinoma patients. We chose renal clear cell carcinoma tumors based on the responsive of these tumors to immune checkpoint blockade in the context of low mutational loads, which implies a strong influence from the tumor microenvironment. Using the 10x Genomic 5 expression platform a total of 25,672 immune cells were isolated and passed filtering for quality control, with 13,433 cells from peripheral blood and 12,239 tumor-infiltrating cells. In addition, we used the Chromium Single Cell V(D)J kit to enrich for T cell receptor sequences for nearly 10,000 T cells in with accompanying expression information, allowing for the investigation of clonality and transcriptional phenotypic diversity.
GSE121637	6	2020/10/19	Expression profiling by high throughput sequencing	0	0	1	1	GPL20301			broad_ici_lung	Single-cell sequencing of peripheral blood and tumor-infiltrating immune cells in renal clear cell carcinoma [VDJ sequencing]	In order to investigate heterogeneity and dynamics of cancer-associated immune cells, we performed single-cell sequencing on peripheral and tumor-infiltrating immune cells in three renal clear cell carcinoma patients. We chose renal clear cell carcinoma tumors based on the responsive of these tumors to immune checkpoint blockade in the context of low mutational loads, which implies a strong influence from the tumor microenvironment. Using the 10x Genomic 5 expression platform a total of 25,672 immune cells were isolated and passed filtering for quality control, with 13,433 cells from peripheral blood and 12,239 tumor-infiltrating cells. In addition, we used the Chromium Single Cell V(D)J kit to enrich for T cell receptor sequences for nearly 10,000 T cells in with accompanying expression information, allowing for the investigation of clonality and transcriptional phenotypic diversity. We generated a comprehensive immune profile using single-cell RNA-seq data from 25,000 immune cells from three renal cell carcinoma along with matched peripheral blood. In addition, we performed VDJ sequencing on the isolated single T cells.
GSE121682	12	2018/12/11	Expression profiling by array	1	1	1	1	GPL25714			array_ici_lung,panel_ici_lung	Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition	Background: Poly (ADP-ribose) polymerase inhibitors (PARPi) prevent single-stranded DNA repair. Olaparib is a PARPi approved for the treatment of BRCA mutant ovarian and breast carcinoma. Emerging clinical data suggest a benefit of combining olaparib with immunotherapy in prostate cancer patients both with and without somatic BRCA mutations. Methods: We examined if olaparib, when combined with IgG1 antibody-dependent cellular cytotoxicity (ADCC)-mediating monoclonal antibodies (mAbs) cetuximab (anti-EGFR), or avelumab (anti-PD-L1), would increase tumor cell sensitivity to killing by natural killer (NK) cells independently of BRCA status or mAb target upregulation. BRCA mutant and BRCA wildtype (WT) prostate carcinoma cell lines were pretreated with olaparib and then exposed to NK cells in the presence or absence of cetuximab or avelumab. Results: NK-mediated killing was significantly increased in both cell lines and was further increased using the ADCC-mediating mAbs. Pre-exposure of NK cells to recombinant IL-15/IL-15RA further increased the lysis of olaparib treated tumor cells. In addition, olaparib treated tumor cells were killed to a significantly greater degree by engineered high-affinity NK cells (haNK). We show here for the first time that (a) olaparib significantly increased tumor cell sensitivity to NK killing and ADCC in both BRCA WT and BRCA mutant prostate carcinoma cells, independent of PD-L1 or EGFR modulation; (b) mechanistically, treatment with olaparib upreg
GSE124885	4	2020/08/26	Expression profiling by high throughput sequencing; Other	0	1	1	0	GPL20795			broad_ici_lung	A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children	Community acquired pneumonia (CAP) is a significant risk factor for autoimmune disease development. However, mechanisms underlying infection and autoimmunity remain elusive. Here, we report selective expansion of autoantibody producing CD21-CD19+ B cells by bronchoalveolar PD-1+CCR2+GZMA+RUNX3+ T helper 1 like (aTh1) cells in children with CAP. In bronchoalveolar lavage, the numbers of aTh1, CD21-B cells and the concentrations of IgG-specific autoantibodies correlated with CAP severity. Unexpectedly, PD-1 decreased the ability of CD21- B cells to produce autoantibodies and reshaped their specificity in the course of pathogen invasion. Nevertheless, respiratory infection induced aTh1 and CD21-B cell persistence may trigger autoimmune disease development in susceptible individuals; e.g. they were prevalent in cerebrospinal fluid of children with post-infection Guillain-Barre Syndrome. Thus, we reveal dual roles of aTh1 and CD21-B cells in infection immunity and autoimmune pathology, and demonstrate that PD-1 is a critical checkpoint inhibitor for autoimmune disease development.
GSE126044	16	2020/02/03	Expression profiling by high throughput sequencing	0	1	1	1	GPL16791			seed	Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer	The purpose of this study is to compare transcriptional profiles of non-small-cell lung cancer between responder patients and non-responder patients during anti-PD-1 treatment.
