accession	gds_type	entrytype	taxon	n_samples	gpl	pdat	title	summary	suppfile	ftplink	matched_queries
GSE103969		GSE	Mus musculus	16	19057	2018/07/23	Large-scale single cell mapping of the thymic stroma identifies a new thymic epithelial cell lineage [ChIP-seq]	T cell development and selection is orchestrated in the thymus by a specialized niche of diverse stromal populations. By transcriptional single cell sorting, we de novo characterize the entire stromal compartment of the thymus. We identified dozens of cell states within the thymic stroma, with thymic epithelial cells (TEC) showing the highest degree of heterogeneity. Our analysis highlights four major medullary TEC (mTEC I-IV) populations, with distinct molecular functions, epigenetic landscapes and lineage regulators. Specifically, mTEC-IV constitutes a new and highly divergent TEC lineage with molecular characteristics of the gut chemosensory epithelial tuft cells. Mice deficient of Pou2f3, a tuft cells master regulator, resulted in complete and specific depletion of mTEC-IV, without affecting other TEC populations. Overall, our study comprehensively defines all stroma cells in the thymus and identifies a new TEC lineage associated with chemosensory properties that may potentially link the adaptive immune system to environmental and neurological signals.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103969/	Tacstd2 AND deficient
GSE105781		GSE	Mus musculus	6	17021	2018/12/03	RNA-seq expression profiling of Grhl2-deficient and control murine lung epithelium at embryonic day E16.5	Epithelial (CD31-CD45-EpCAM+) cells were isolated by FACS from Grhl2-deficient (Shh-Cre;Grhl2f/-) and control (Shh-Cre;Grhl2f/+) embryonic lungs at day E16.5 (3 biological replicates/genotype). Total RNA extracted from the samples was subjected to next-generation sequencing (NGS) library preparation using standard Illumina protocols. Completed libraries from individual samples were sequenced on a HiSeq2500 at the Australian Genome Research Facility.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE105nnn/GSE105781/	TACSTD2 AND knockout;Tacstd2 AND deficient;Tacstd2 AND mouse AND knockout
GSE106233		GSE	Mus musculus	8	6885	2018/06/30	Analysis of Claudin 18 deficiency in lung epithelial type 2 cells.	Constitutive knockdown of Cldn18 in mice showed lung enlargement and increased proliferation of alveolar epithelial type II (AT2) cells. Lung AT2 cells were isolated from wild-type and knockout mice and subjected to microarray analysis. Results provide insight into the role of Cldn18 in controlling organ size and stem progenitor cells.	IDAT, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106233/	claudin AND knockout AND lung
GSE106856		GSE	Mus musculus	380	21493;17021	2022/03/30	Developmental dynamics of two bipotent progenitors of thymic epithelium	T cell development in the thymus is essential for cellular immunity and depends on the organotypic thymic epithelial microenvironment. Compared to other organs, the size and cellular composition of the thymus is unusually dynamic, exemplified by rapid growth and high T cell output during early stages of development, followed by a gradual loss of functional thymic epithelial cells and diminished naïve T cell production with age. Single-cell RNA sequencing (scRNA-seq) has uncovered an unexpected heterogeneity of cell types in the thymic epithelium of young and aged adult mice; however, the identities and developmental dynamics of putative pre- and postnatal epithelial progenitors have remained unresolved. Here, we combine scRNA-seq and a novel CRISPR/Cas9-based cellular barcoding system in mice to determine qualitative and quantitative changes in the thymic epithelium over time. This dual approach enabled us to identify two principal progenitor populations: an early bi-potent progenitor type biased towards cortical epithelium, and a postnatal bi-potent progenitor population biased towards medullary epithelium. We further demonstrate that continuous autocrine provision of Fgf7 leads to sustained expansion of thymic microenvironments without exhausting the epithelial progenitor pools, suggesting a strategy to modulate the extent of thymopoietic activity.	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106856/	TACSTD2 AND CRISPR
GSE110586		GSE	Mus musculus	4	18480	2018/02/15	Identification of the tumour transition states occurring during EMT [p63 overexpression RNA-seq]	EMT in cancer has been associated with tumour stemness, metastasis and resistance to therapy. It has recently been proposed that, rather than being a binary process, EMT occurs through distinct intermediate states. However,direct in vivo evidence supporting this possibility is still lacking. By screening a large panel of cell surface markers, we identified the existence of multiple tumour subpopulations associated with different EMT stages from epithelial to completely mesenchymal states passing through intermediate hybrid states in skin and mammary primary tumours. Although all EMT subpopulations presented similar tumour propagating cell capacity, they displayed different , invasiveness and metastatic potential. Their transcriptional and epigenetic landscapes defined by RNA-seq and ATAC-seq identified the underlying gene regulatory networks, transcription factors and signalling pathways that control these different EMT transition states. Finally, these tumour subpopulations are localized in different niches that differentially regulateEMT transition states.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110586/	TACSTD2 AND overexpression
GSE113712		GSE	Mus musculus	2	19057	2019/06/18	A multiscale map of the stem cell state in pancreatic adenocarcinoma	Therapy resistance and resultant relapse remain key challenges in pancreatic cancer, and are in part driven by the inherent heterogeneity of the tumor that prevents effective targeting of all malignant cells. Here we utilized a combination of RNA-seq, ChIP-seq and genome-wide CRISPR screening to systematically map the dependencies of pancreatic cancer stem cells, highly drug resistant cells that are also enriched in the capacity to drive progression 1-4 . Integration of these data revealed an unexpected role for immuno-regulatory genes in stem cell self-renewal and maintenance in KP f/f C tumors. In particular, Retinoic acid receptor-related orphan receptor gamma (ROR g) , a nuclear hormone receptor known for its role in inflammatory cytokine responses and T cell differentiation 5,6 , emerged as a key regulator of stem cells. ROR g expression rose with pancreatic cancer progression, and its inhibition via genetic approaches or small molecule inhibitors led to a striking defect in pancreatic cancer growth in vitro and in vivo. Collectively, these data reveal an unexpected co-option of immuno-regulatory signals by pancreatic cancer stem cells, and suggest that therapeutics currently being used for autoimmune indications should be considered for treatment of pancreatic cancer.	BED, BIGWIG	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113712/	TACSTD2 AND CRISPR
GSE113909		GSE	Homo sapiens	54	9052	2019/08/20	Myoepithelial cell perturbations in BRCA mutation carriers and in DCIS (ductal carcinoma in situ)	We describe the gene expression profiles and enhancer landscape of normal myoepithelial cells and perturbations of these in BRCA1 and BRCA2 mutation carriers and in DCIS. We identified a myoepithelial transcription regulatory network orchestrated by p63 and TCF7 and defined the genomic targets of these transcription factors by ChIP-seq. While the majority of myoepithelial cells co-express p63 and TCF7 in normal breast of healthy women, the frequency of these cells is significantly lower in BRCA1 mutation carriers and in DCIS. Downregulation of p63 in MCF10DCIS cells leads to loss of myoepithelial cells and invasive tumors, whereas overexpression of TCF7 enhances tumor growth. Our findings suggest that loss of normal myoepithelial cell function facilitates in situ to invasive carcinoma transition and it may also enhance tumor initiation in BRCA mutation carriers.	BED, NARROWPEAK, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113909/	TACSTD2 AND knockdown;TACSTD2 AND overexpression;TACSTD2 AND shRNA;TROP-2 AND knockdown
GSE11759		GSE	Mus musculus	6	1261	2008/12/01	Role of HNF4alpha in the adult colon	Background & Aims: HNF4α is an important transcriptional regulator of hepatocyte and pancreatic function. Hnf4α deletion is embryonically lethal with severe defects in visceral endoderm formation, liver maturation and colon development. However, the precise role of this transcription factor in maintaining homeostasis of the adult intestine remains unclear. Herein, we aimed to elucidate the adult intestinal functions of Hnf4α. Methods: A conditional intestinal epithelial Hnf4α knockout mouse was generated. Histological abnormality of the colonic mucosa was assessed by immunodetection and Western. Changes in global gene expression and biological network were analyzed. Results: Hnf4α intestine null mice developed normally until reaching young adulthood. Crypt distortion became apparent in the Hnf4α null colon at 3 months of age followed by focal areas of crypt dropout, increased immune cell infiltrates, crypt hyperplasia and early signs of polyposis later in life. A gene profiling analysis identified cell death and cell cycle related to cancer as the most significant sets of genes altered in the Hnf4α colon null mice. Expression levels of the tight junction proteins claudin 4, 8 and 15 were altered early in the colon epithelium of Hnf4α mutants and correlated with increased barrier permeability to a molecular tracer that does not normally penetrate normal mucosa. Conclusion: These observations support a functional role for Hnf4α in protecting the colonic mucosa against the initiation of the changes resembling inflammatory bowel diseases and polyp formation.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11759/	claudin 4 AND knockout
GSE117890		GSE	Homo sapiens	11	10558	2019/01/17	Integrated multi-omics characterization reveals metabolic reprogramming associated with impaired mitochondrial function in clear cell renal cell carcinoma.	An altered metabolism is involved in the development of clear cell - renal cell carcinoma (ccRCC), and in this tumor many altered genes play a fundamental role in controlling cell metabolic activities. In this study we delineated a large-scale metabolomic profile of human ccRCC, and integrated it with transcriptomic data to connect the variations in cancer metabolism with gene expression changes. Moreover, to better analyze the specific contribution of metabolic gene alterations potentially associated with tumorigenesis and tumor progression, we evaluated the transcription profile of primary renal tumor cells. Untargeted metabolomic analysis revealed a signature of an increased glucose uptake and utilization in ccRCC. In addition, metabolites related to pentose phosphate pathway were also altered in the tumor samples in association with changes in Krebs cycle intermediates and related metabolites. Using an integrated multi-omics approach we identified NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4-like 2 (NDUFA4L2) as the most highly expressed gene in renal cancer cells and evaluated its role in sustaining angiogenesis, chemoresistance, and mitochondrial dysfunction. Finally we showed that silencing of NDUFA4L2 affects cell viability, increases mitochondrial mass, and induces ROS generation in hypoxia. These findings delineate a ccRCC metabolic signature characterized by an anaerobic switch that favors rerouting of the sugar metabolism toward the PPP, and impairs the mitochondrial activity though the overexpression of NDUFA4L2. Thus, this protein could serve as a marker of ccRCC aggressiveness, as well as a potential novel therapeutic target.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117890/	TACSTD2 AND overexpression;TACSTD2 AND silencing
GSE120145		GSE	Homo sapiens	24	20301	2019/09/01	Robust, long-term culture of endoderm derived hepatic organoids (eHEPOs) for disease modeling	Many liver pathologies ranging from cancer to genetic metabolic diseases are amenable to cellular replacement therapies. One of the main difficulties associated with cellular therapy approaches is the generation and expansion of mature autologous hepatocytes. The ability to derive patient-specific induced pluripotent stem cells (iPSCs) have solved the problem of generating autologous cells but differentiation and expansion of mature hepatocytes remain a challenge. Here, we report the generation of human iPSC-derived hepatic organoid (eHEPO) culture system for producing functional hepatocytes using EpCAM-positive endodermal cells as an intermediate. eHEPOs can be produced within two weeks and expanded long-term without any lose of differentiation capacity to mature hepatocyte (>12 months with passage number 25) and are resilient to freeze-thaw cycles. The hepatic identity of eHEPOs was confirmed by morphological analyses, expression of mature hepatocyte markers and in vitro functional assays. Extensive global transcriptome analyses of all intermediate stages demonstrated the stepwise differentiation iPSCs to mature hepatocytes in endoderm-derived organoids. Finally, starting form patient-specific iPSCs, we created an organoid-based model of Citrullinemia type 1, an inherited urea cycle disorder caused by mutations in the argininosuccinate synthetase (ASS1) enzyme. The disease-related ammonia accumulation phenotype in eHEPOs could be reversed by the overexpression of the wild type ASS1 gene which also indicated that this model is amenable to genetic manipulation. Our results demonstrate that iPSC-derived EpCAM-positive endodermal cells are excellent cell sources to generate patient-specific hepatic organoids in a fast and efficient manner.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120145/	TACSTD2 AND overexpression
GSE120185		GSE	Rattus norvegicus	16	22696	2018/09/20	The pancreatic cancer stem cell marker CD44v6 affects transcription, translation and signaling: consequences on exosome composition and delivery	In cells recovery in wt, claudin7knockdown and palmitoylation site mutated claudin7 rescue was compared to elaborate the impact of claudin7 and palmitoylation site mutated claudin7 on miRNA recovery 2. In exosomes recovery in wt, claudin7knockdown and palmitoylation site mutated claudin7 rescue was compared to elaborate the impact of claudin7 and palmitoylation site mutated claudin7 in cells on the transport into exosomes during exosome biogenesis and the step of intraluminal vesicle loading. The comparison of the miRNA and proteins in cells allowed to judge on the impact of claudin7- and palmitoylation site mutated claudin7-related miRNA on protein recovery. The comparison of the miRNA and proteins in exosomes allowed to judge on the impact of claudin7- and palmitoylation site mutated claudin7-recruited miRNA on protein silencing in exosomes. The comparison between the impact of claudin7 and palmitoylation site mutated claudin7 on miRNA and proteins in cells versus exosomes allowed to judge on linked versus independent recruitment of miRNA and proteins and the impact of claudin7 on the recruitment of the mRNA processing machinery into exosomes.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120185/	TACSTD2 AND shRNA;TACSTD2 AND silencing
GSE121198		GSE	Mus musculus; Homo sapiens	51	18573;19057	2019/07/01	ARID1A and PI3-Kinase pathway mutations in the endometrium drive epithelial transdifferentiation and collective invasion	This SuperSeries is composed of the SubSeries listed below.	BROADPEAK, TAB	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121198/	TACSTD2 AND knockdown;TACSTD2 AND shRNA;TACSTD2 AND siRNA;TROP-2 AND knockdown
GSE121999		GSE	Homo sapiens	12	16791	2019/06/25	Genome-wide expression analysis of EPCAM+ epithelial cells from 3-dimensional lung organoids harboring Hermansky-Pudlak Syndrome-associated mutations	Introduction of Hermansky-Pudlak Syndrome-associated mutations with CRISPR/Cas9 genome editing, allows for disease modeling in 3D cultures of hPSC-derived lung organoids.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121999/	TACSTD2 AND CRISPR
GSE125477		GSE	Homo sapiens	65	16791	2022/01/22	Transcriptional profiling of early haematopoietic mesoderm and endoderm in differentiating human pluripotent stem cells.	The aim of this project was to compare the transcriptional profiles of populations of cells derived from human pluripotent stem cells under haematopoietic and endoderm differentiation conditions. We used a reporter line (denoted SOX-RUNX) that carries mCHERRY inserted into the SOX17 locus and GFP inserted into the RUNX1C locus to mark haematopoietic progenitors (Ng et al., Nature Biotechnology, Nov 2016). SOX17 marks both endothelium and early endoderm. SOX17 is absolutely required at all stages of endoderm formation and the gene is also required for normal endothelial formation and subsequent haematopoieisis. We have also shown that RUNX1 is required for all definitive blood cell formation (Bruveris et al., manuscript submitted).	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125477/	TACSTD2 AND CRISPR;TACSTD2 AND knockout
GSE126310		GSE	Mus musculus; Homo sapiens	24	24676;22245;16791	2019/03/01	Expanding the CITE-seq tool-kit: Detection of proteins, transcriptomes, clonotypes and CRISPR perturbations with multiplexing, in a single assay	Multi-modal single-cell assays provide high-resolution snapshots of complex cell populations but are mostly limited to transcriptome plus an additional modality. Here, we describe Expanded CRISPR-compatible Cellular Indexing of Transcriptomes and Epitopes by sequencing (ECCITE-seq) for the high-throughput characterization of at least five modalities of information from each single cell. We demonstrate application of ECCITE-seq to multimodal CRISPR screens with robust direct sgRNA capture and to clonotype-aware multimodal phenotyping of cancer samples.	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126310/	TACSTD2 AND CRISPR
GSE126323		GSE	Mus musculus	12	17021	2019/09/01	Microtubule Motor KIF3A Regulates Pulmonary Innate Defenses to Aspergillus and Influenza A Virus	Susceptibility to respiratory infection, decreased barrier function, impaired epithelial regeneration and enhanced inflammation are likely to contribute to the association between the KIF3A gene and asthma pathogenesis.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126323/	Tacstd2 AND deficient
GSE127488		GSE	Mus musculus	24	17021	2020/02/05	Smarcad1 coordinates innate immunity-linked gene expression in the intestinal epithelium [sorted cells RNA-seq]	Smarcad1 is one of the most conserved chromatin remodelling factors, from yeast to human, with suggested functions in gene silencing, heterochromatin maintenance and genome stability. However, its role in tissue function is poorly understood. As this factor is highly expressed in the stem- and proliferative zone in the intestinal epithelium, we explored the role of this factor in this tissue. Intestine tissue-specific deletion of Smarcad1 resulted in notable changes in gene expression in the small intestine, colon and organoids from small intestine. Strikingly, we found an increase of expression of several genes linked to innate immunity and a dramatic increase of a Bglap3 coding for an osteocalcin isoform, a protein normally expressed in osteoblasts.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127488/	TACSTD2 AND silencing
GSE128064		GSE	Homo sapiens	112	13534	2019/03/09	Comprehensive constitutional genetic and epigenetic characterization of Lynch-like individuals [Blood]	Background: In ~50% of Lynch syndrome (LS)-suspected patients (also called Lynch-like syndrome, LLS), the causal mechanism for cancer predisposition remains unknown. Our aim was to elucidate the constitutional basis of mismatch repair (MMR) deficiency in LLS patients throughout a comprehensive genetic and epigenetic analysis. Methods: One hundred and fifteen LLS patients harboring MMR deficient tumors and no pathogenic germline MMR gene mutations were included in this study. Mutational analysis of 26 colorectal cancer associated genes was performed by using a customized multigene panel and massively parallel sequencing. Pathogenicity of MMR variants was assessed by mRNA analysis and multifactorial likelihood calculations. Genome-wide methylome analysis was perfomed by using the Infinium HumanMethylation450K BeadChip. Results: The multigene panel analysis revealed the presence of two MMR gene truncating mutations not found in previous analysis. Of a total of 15 MMR variants of unknown significance identified, five - present in 6 unrelated individuals- were reclassified as pathogenic. In addition, 13 predicted deleterious variants in other CRC-predisposing genes (MSH3, MUTYH, POLD1, APC, EPCAM, BUB1, FAN1, EXO1 or PSM1) were found in 12 probands. Methylome analysis detected one constitutional MLH1 epimutation in an individual diagnosed with CRC at age 42, but no additional differentially methylated regions were identified in LLS compared to LS patients or healthy individuals. Conclusions: In conclusion, the use of an ad-hoc designed gene panel combined with pathogenicity assessment of variants allows the identification of deleterious MMR mutations as well as new LLS candidate genes. Moreover, constitutional epimutations in non-LS-associated genes are not responsible for the MMR-deficient phenotype observed in LLS patients.	IDAT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128064/	Tacstd2 AND deficient
GSE128067		GSE	Homo sapiens	37	13534	2019/03/09	Comprehensive constitutional genetic and epigenetic characterization of Lynch-like individuals [FFPE]	Background: In ~50% of Lynch syndrome (LS)-suspected patients (also called Lynch-like syndrome, LLS), the causal mechanism for cancer predisposition remains unknown. Our aim was to elucidate the constitutional basis of mismatch repair (MMR) deficiency in LLS patients throughout a comprehensive genetic and epigenetic analysis. Methods: One hundred and fifteen LLS patients harboring MMR deficient tumors and no pathogenic germline MMR gene mutations were included in this study. Mutational analysis of 26 colorectal cancer associated genes was performed by using a customized multigene panel and massively parallel sequencing. Pathogenicity of MMR variants was assessed by mRNA analysis and multifactorial likelihood calculations. Genome-wide methylome analysis was perfomed by using the Infinium HumanMethylation450K BeadChip. Results: The multigene panel analysis revealed the presence of two MMR gene truncating mutations not found in previous analysis. Of a total of 15 MMR variants of unknown significance identified, five - present in 6 unrelated individuals- were reclassified as pathogenic. In addition, 13 predicted deleterious variants in other CRC-predisposing genes (MSH3, MUTYH, POLD1, APC, EPCAM, BUB1, FAN1, EXO1 or PSM1) were found in 12 probands. Methylome analysis detected one constitutional MLH1 epimutation in an individual diagnosed with CRC at age 42, but no additional differentially methylated regions were identified in LLS compared to LS patients or healthy individuals. Conclusions: In conclusion, the use of an ad-hoc designed gene panel combined with pathogenicity assessment of variants allows the identification of deleterious MMR mutations as well as new LLS candidate genes. Moreover, constitutional epimutations in non-LS-associated genes are not responsible for the MMR-deficient phenotype observed in LLS patients.	IDAT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128067/	Tacstd2 AND deficient
GSE128897		GSE	Mus musculus	12	17791	2020/03/16	Microarray gene expression data from sorted lung epithelial cells during heterotypic immunity	Previous pneumococcal experience establishes lung-resident IL-17A-producing CD4+ memory TRM cells that accelerate neutrophil recruitment against heterotypic pneumococci. Herein, we unravel a novel crosstalk between CD4+ TRM cells and lung epithelial cells underlying this protective immunity. Genome-wide expression analyses of lung epithelial cells in CD4+ cell sufficient and CD4+ cell deficient heterotypic immune murine lungs revealed a significant remodeling of the epithelial transcriptome of infected lungs due to infection history, ~80% of which was CD4+ cell-dependent.	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128897/	Tacstd2 AND deficient
GSE130257		GSE	Mus musculus	21	19057	2019/06/14	Long-term repopulation of Langerhans cell network following immune injury is inefficient and solely dependent upon influx of monocyte precursors	RNAseq gene expression following the repopulation of the langerhans cell network in immune deficient irradiated mice after ectopic injection of donor bone marrow cells	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130257/	Tacstd2 AND deficient
GSE133603		GSE	Homo sapiens; Mus musculus	15	18573;19057	2021/08/11	Aberrant type 1 immunity drives mucosal fungal infection susceptibility	The objective of this study was to understand the impact of autoimmune regulator (AIRE) on immunity against oral Candida albicans infection. Previous work indicated that autoantibodies against IL-17 and IL-22 may contribute to host susceptibility; however, there is not a 100% correlation between autoantibodies and mucosal candidiasis in autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED) patients, indicating that other pathways may be affected. Using a mouse model that very closely mimics what is seen in APECED patients, oral epithelial cells were sorted and RNA extracted from them to perform RNA-seq analysis to determine what other pathways may be involved. These data show that the type II interferon pathway is highly upregulated in Aire-deficient mice, while the IL-17R pathway is intact.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133603/	Tacstd2 AND deficient
