accession	contrast	unit	metric	n_KL	n_sensitive	mean_KL	mean_sensitive	delta_KL_minus_sensitive	welch_p	mwu_p	rank_biserial	status	note
GSE267321	KL_minus_KP	tumor	cldn4_pctpos	2	0	0.12804097311139565						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	cldn4_epithelial	2	2	0.0	0.050387596899224806	-0.050387596899224806	0.5000000000000001	0.6170750774519738	-0.5	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_K	tumor	cldn4_epithelial	2	2	0.0	0.050387596899224806	-0.050387596899224806	0.5000000000000001	0.6170750774519738	-0.5	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KLK_minus_KK	tumor	cldn4_epithelial	2	2	0.0	0.0	0.0			0.0	no-go	Cldn4 essentially empty: 6/7956 cells >0. Non-malignant digest; do not treat Cldn4 as a genotype test.
GSE267321	KL_minus_KP	tumor	cldn4_epithelial	2	0	0.0						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	ifn_score	2	2	0.9093103448275861	0.33242712086472326	0.5768832239628628	0.5521059793035638	1.0	0.0	underpowered	KLK (STK11+KEAP1) minus K. No STK11-only KL library. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_K	tumor	ifn_score	2	2	0.9093103448275861	0.33242712086472326	0.5768832239628628	0.5521059793035638	1.0	0.0	underpowered	Same as KL_minus_K; KLK is the only Stk11-loss arm. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_KK	tumor	ifn_score	2	2	0.9093103448275861	0.46549450549450555	0.44381583933308055	0.6405228302024258	0.6666666666666666	0.5	underpowered	KLK minus KEAP1-only KK. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KL_minus_KP	tumor	ifn_score	2	0	0.9093103448275861						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	mhc_score	2	2	16.398735632183907	8.893252538486735	7.505483093697173	0.49752759112196976	0.6666666666666666	0.5	underpowered	KLK (STK11+KEAP1) minus K. No STK11-only KL library. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_K	tumor	mhc_score	2	2	16.398735632183907	8.893252538486735	7.505483093697173	0.49752759112196976	0.6666666666666666	0.5	underpowered	Same as KL_minus_K; KLK is the only Stk11-loss arm. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_KK	tumor	mhc_score	2	2	16.398735632183907	10.237509157509159	6.1612264746747485	0.5851205293350606	0.6666666666666666	0.5	underpowered	KLK minus KEAP1-only KK. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KL_minus_KP	tumor	mhc_score	2	0	16.398735632183907						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
GSE267321	KL_minus_K	tumor	ifn_mhc_score	2	2	8.654022988505748	4.612839829675729	4.041183158830019	0.5018627498638969	0.6666666666666666	0.5	underpowered	KLK (STK11+KEAP1) minus K. No STK11-only KL library. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_K	tumor	ifn_mhc_score	2	2	8.654022988505748	4.612839829675729	4.041183158830019	0.5018627498638969	0.6666666666666666	0.5	underpowered	Same as KL_minus_K; KLK is the only Stk11-loss arm. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KLK_minus_KK	tumor	ifn_mhc_score	2	2	8.654022988505748	5.35150183150183	3.302521157003918	0.5889631895565342	0.6666666666666666	0.5	underpowered	KLK minus KEAP1-only KK. Honest n=2 vs 2 tumors; MWU cannot beat p=1/3. IFN/MHC scored on leftover marker epithelium (not author-malignant); n=2 vs 2.
GSE267321	KL_minus_KP	tumor	ifn_mhc_score	2	0	8.654022988505748						no-go	no-go for KL vs KP: genotypes are K / KK / KLK only. No p53 / KP arm.
