interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	between_q4q1_given_pct	cellchat_hill	2	8	6	14	-0.22202132644601172	0.14415139435856567	0.12351271064474781	41.21937417489909	GSE123902+GSE131907
HLA-C_CD8B	MHC-I	HLA-C	CD8B	other	between_q4q1_given_pct	cellchat_hill	2	8	6	14	-0.22458104949348578	0.15218214510383168	0.14001410809576303	49.6838460863941	GSE123902+GSE131907
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	between_q4q1_given_pct	cellchat_hill	1	6	4	10	0.025323431977877613	0.017221332724713323	0.14143483742557295	0.0	GSE131907
HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.055628299613542986	0.0425778137200318	0.19137949817736988	20.61457245726281	GSE123902+GSE131907
HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	between_q4q1_given_pct	cellchat_hill	2	6	4	10	0.026370787572387908	0.022686183948158207	0.24506644895628693	32.839173500677134	GSE123902+GSE131907
CXCL16_CXCR6	CXCL	CXCL16	CXCR6	recruit	between_q4q1_given_pct	cellchat_hill	2	6	5	11	0.0458756125661092	0.03990482307437417	0.25029804350334217	0.0	GSE123902+GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	between_q4q1_given_pct	cellchat_hill	2	9	8	17	0.0890114951233073	0.07959115438377118	0.26341363712622334	47.69602786415383	GSE123902+GSE131907
MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	-0.08568866274815885	0.08199136080207609	0.29597961974243014	58.74672588555344	GSE123902+GSE131907
HLA-E_CD8B	MHC-I	HLA-E	CD8B	inhibitory	between_q4q1_given_pct	cellchat_hill	2	8	6	14	-0.18944892877884956	0.18312213020925489	0.30087929602390506	68.250829155016	GSE123902+GSE131907
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	0.0823037980063763	0.07957034735775788	0.300971341287137	0.0	GSE131907
HLA-DQA2_CD4	MHC-II	HLA-DQA2	CD4	other	between_q4q1_given_pct	cellchat_hill	1	2	2	4	-0.029876842072271516	0.03138002276573872	0.34104752310939446	0.0	GSE123902
THBS1_SDC4	THBS	THBS1	SDC4	other	between_q4q1_given_pct	cellchat_hill	1	2	2	4	0.005191567471401031	0.005593684059156597	0.3533492741649755	0.0	GSE123902
ICAM1_SPN	ICAM	ICAM1	SPN	other	between_q4q1_given_pct	cellchat_hill	2	6	6	12	0.03141002152671112	0.03796559047900095	0.4080507972173457	0.0	GSE123902+GSE131907
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	between_q4q1_given_pct	cellchat_hill	1	4	2	6	-0.06648874083021789	0.08242599022135556	0.4198694460986193	0.0	GSE131907
LAMB3_CD44	LAMININ	LAMB3	CD44	other	between_q4q1_given_pct	cellchat_hill	1	4	5	9	0.11279721975227464	0.1407349716021304	0.4228498921839179	0.0	GSE131907
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	between_q4q1_given_pct	cellchat_hill	1	4	2	6	-0.019547754349814126	0.02540404961503318	0.4416120044687202	0.0	GSE131907
MDK_SDC4	MK	MDK	SDC4	other	between_q4q1_given_pct	cellchat_hill	1	2	3	5	0.03162147261419805	0.0428455914593304	0.4604942228571517	0.0	GSE123902
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	between_q4q1_given_pct	cellchat_hill	1	4	3	7	0.0180138947812607	0.024414139267929152	0.4606075441983647	0.0	GSE131907
MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	-0.0434594355931885	0.05947249061908757	0.4649327619439705	59.11154441524936	GSE123902+GSE131907
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	between_q4q1_given_pct	cellchat_hill	2	9	7	16	-0.10470307649223233	0.15354206787993932	0.4952908990562177	64.57281296406941	GSE123902+GSE131907
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	between_q4q1_given_pct	cellchat_hill	2	7	6	13	0.06307778767318593	0.09305233283139888	0.4978513778851039	62.83674877997161	GSE123902+GSE131907
MDK_NCL	MK	MDK	NCL	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	0.07711393228109473	0.1171622315905179	0.5104219554118885	55.91828511420196	GSE123902+GSE131907
LAMC2_CD44	LAMININ	LAMC2	CD44	other	between_q4q1_given_pct	cellchat_hill	1	5	4	9	0.059975744563002	0.09257175136559041	0.5170600638489025	0.0	GSE131907
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	between_q4q1_given_pct	cellchat_hill	1	4	2	6	0.0992577104280134	0.15834374980707225	0.5307578511341595	0.0	GSE131907
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	0.015054105948480724	0.024336434399495694	0.5361910673803487	0.0	GSE131907
PPIA_BSG	CypA	PPIA	BSG	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	-0.03767286718782084	0.0612492691279172	0.5385054826186202	0.0	GSE123902+GSE131907
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	3	6	0.09549563111780057	0.15593963593613117	0.5402807851916729	0.0	GSE131907
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	between_q4q1_given_pct	cellchat_hill	2	9	7	16	-0.12828114477230299	0.2233102596775322	0.565661611239589	80.40157696849677	GSE123902+GSE131907
ANGPTL4_SDC4	ANGPTL	ANGPTL4	SDC4	other	between_q4q1_given_pct	cellchat_hill	1	2	2	4	-0.00032070057440607776	0.0006617014681713323	0.6279171795198208	0.0	GSE123902
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	between_q4q1_given_pct	cellchat_hill	2	9	7	16	-0.08682889580544083	0.19120015442456295	0.6497383873463117	77.00552200847883	GSE123902+GSE131907
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	between_q4q1_given_pct	cellchat_hill	1	4	3	7	0.008867852213619978	0.02161790312425947	0.6816528500549563	0.0	GSE131907
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	between_q4q1_given_pct	cellchat_hill	1	3	3	6	-0.02187331678311947	0.06105913285030214	0.7201699282999546	0.0	GSE123902
THBS3_CD47	THBS	THBS3	CD47	other	between_q4q1_given_pct	cellchat_hill	1	3	3	6	0.00881941212796041	0.026245003434857975	0.7368395199277288	0.0	GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	between_q4q1_given_pct	cellchat_hill	2	8	7	15	0.015193301233594208	0.04849595875337261	0.7540603105810931	0.0	GSE123902+GSE131907
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	between_q4q1_given_pct	cellchat_hill	2	9	7	16	-0.057779331405507436	0.19884198864030786	0.7713732260459965	78.56072705504027	GSE123902+GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	between_q4q1_given_pct	cellchat_hill	2	7	6	13	0.05627953180150088	0.21048113927756956	0.7891726289871086	84.1674521533644	GSE123902+GSE131907
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	between_q4q1_given_pct	cellchat_hill	2	8	8	16	-0.07029343395633784	0.27326231990261696	0.7969951037815939	66.57108560116527	GSE123902+GSE131907
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	-0.022355507557829696	0.08931621509153205	0.8023583094533417	0.0	GSE123902
FN1_CD44	FN1	FN1	CD44	other	between_q4q1_given_pct	cellchat_hill	2	9	7	16	0.01856228786215649	0.10777600657567787	0.8632565222107973	0.0	GSE123902+GSE131907
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	between_q4q1_given_pct	cellchat_hill	2	5	4	9	-0.001643814287013622	0.01181109484170776	0.8893115179516533	0.0	GSE123902+GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	between_q4q1_given_pct	cellchat_hill	2	7	6	13	0.027286927792790648	0.19984916895758095	0.8913962948369137	77.58090166666982	GSE123902+GSE131907
HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.0032089425909868417	0.02449216480594566	0.8957601592399511	25.425894485685486	GSE123902+GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	between_q4q1_given_pct	cellchat_hill	2	9	7	16	0.007649999282676226	0.07296233679138782	0.9164959407819456	0.0	GSE123902+GSE131907
CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	between_q4q1_given_pct	cellchat_hill	2	10	5	15	0.009167549686218	0.08981743573107788	0.9187021380853968	42.27765616809693	GSE123902+GSE131907
THBS1_CD47	THBS	THBS1	CD47	other	between_q4q1_given_pct	cellchat_hill	1	3	2	5	-0.003512420978272507	0.04138148248607445	0.9323575462500322	0.0	GSE123902
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	0.013653218405456816	0.19214648237853366	0.9433529464791598	0.0	GSE131907
CD99_CD99	CD99	CD99	CD99	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	-0.010772174639103934	0.22999257909033935	0.962643097323979	67.85630937449899	GSE123902+GSE131907
FN1_SDC4	FN1	FN1	SDC4	other	between_q4q1_given_pct	cellchat_hill	1	2	3	5	0.0006289781122361966	0.03068265260144482	0.9836449349786405	0.0	GSE123902
