dataset	accession	modality	species	cancer	ici_related	file_name	url	file_size_bytes	downloaded	skipped_reason	contains_TACSTD2	contains_CLDN4	notes
PXD059688	PXD059688	peaklist	Mus musculus	LLC_syngeneic	yes_antiPD1_plus_ascorbate	20230904_Tumor_AA.mgf	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059688/20230904_Tumor_AA.mgf		no	file_gt_2GB_8492466377			Skipped >2GB.
PXD059688	PXD059688	PD_msf	Mus musculus	LLC_syngeneic	yes_antiPD1_plus_ascorbate	20230904_Tumor_AA.msf	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059688/20230904_Tumor_AA.msf		no	file_gt_2GB_37928718336			Skipped >2GB. Would be the full Proteome Discoverer result.
PXD059688	PXD059688	raw_MS	Mus musculus	LLC_syngeneic	yes_antiPD1_plus_ascorbate	20230828_Tumor_*.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/01/PXD059688/		no	raw_MS			Skipped raw Thermo files.
GSE271689	GSE271689	GeoMx_WTA_DCC	Homo sapiens	NSCLC	yes_first_line_immunotherapy	GSE271689_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE271nnn/GSE271689/suppl/GSE271689_RAW.tar	36823040	yes		yes_WTA_RTS0027086	yes_WTA_RTS0026256	586 DCC.gz files. Series matrix has no OS/PFS. WTA panel includes TACSTD2 and CLDN4.
GSE271689	GSE271689	GEO_metadata	Homo sapiens	NSCLC	yes_first_line_immunotherapy	GSE271689_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE271nnn/GSE271689/matrix/GSE271689_series_matrix.txt.gz	37851	yes				Empty expression table. Characteristics: spotid, tissue, cell type (CK/CD45/CD68), treatment=immunotherapy. No OS.
GSE271689	GSE271689	SRA_FASTQ	Homo sapiens	NSCLC	yes_first_line_immunotherapy	SRA runs	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271689		no	raw_FASTQ			Skipped SRA FASTQ as required.
NanoString_Hs_WTA_v1.0	Hs_R_NGS_WTA_v1.0.pkc (Zenodo 12752405; official WTA panel map)	GeoMx_probe_map	Homo sapiens	panel_not_cohort	used_to_interpret_GSE271689_DCC	Hs_R_NGS_WTA_v1.0.pkc	https://zenodo.org/records/12752405/files/Hs_R_NGS_WTA_v1.0.pkc?download=1	16005573	yes				Not a lung-cancer accession. Official Hs WTA v1.0 PKC used only to map RTS IDs. TACSTD2=RTS0027086, CLDN4=RTS0026256.
E-MTAB-13530	E-MTAB-13530	Visium_WTA_h5	Homo sapiens	NSCLC	no_in_SDRF	*-filtered_feature_bc_matrix.h5 (40 sections)	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/530/E-MTAB-13530/Files/	226990555	yes		yes	yes	Processed Space Ranger matrices. TACSTD2 and CLDN4 present. FASTQ/spatial.tar/html skipped.
E-MTAB-13530	E-MTAB-13530	SDRF	Homo sapiens	NSCLC	no_in_SDRF	E-MTAB-13530.sdrf.txt	https://ftp.ebi.ac.uk/biostudies/fire/E-MTAB-/530/E-MTAB-13530/Files/E-MTAB-13530.sdrf.txt	138346	yes				Disease/sampling site/age/sex. No ICI or survival fields.
targeted_Xenium-IO_CosMx-1K	not_used	targeted_spatial	Homo sapiens	lung_cancer_panels	skipped_unless_both_genes				no	targeted_panel_not_WTA			Skipped as instructed. Did not invent CosMx/Xenium accessions.
