gene	chrom	start
MYCBP	1	38862493
RHBDL2	1	38885807
AKIRIN1	1	38991276
NDUFS5	1	39026318
MACF1	1	39081316
PABPC4	1	39560709
HEYL	1	39623435
HPCAL4	1	39678648
PPIE	1	39692182
BMP8B	1	39757182
OXCT2	1	39769523
TRIT1	1	39838110
MYCL	1	39895428
MFSD2A	1	39955112
CAP1	1	40040233
PPT1	1	40072710
RLF	1	40161387
ZMPSTE24	1	40258041
COL9A2	1	40300489
SMAP2	1	40344850
ZFP69B	1	40450102
ZFP69	1	40477290
EXO5	1	40508741
ZNF684	1	40531573
RIMS3	1	40620680
NFYC	1	40691648
KCNQ4	1	40783787
CITED4	1	40861054
CTPS1	1	40979300
SLFNL1	1	41015589
SCMH1	1	41027202
FOXO6	1	41361922
EDN2	1	41478775
HIVEP3	1	41506365
FOXJ3	1	42176539
RIMKLA	1	42380792
ZMYND12	1	42430329
PPCS	1	42456117
CCDC30	1	42463221
PPIH	1	42658335
YBX1	1	42682418
P3H1	1	42746335
C1orf50	1	42767245
TMEM269	1	42784991
SVBP	1	42807052
ERMAP	1	42817122
ZNF691	1	42846573
SLC2A1	1	42925353
EBNA1BP2	1	43164175
CFAP57	1	43172330
TMEM125	1	43269983
C1orf210	1	43281877
TIE1	1	43300982
CDC20	1	43358981
ELOVL1	1	43363398
MED8	1	43383917
SZT2	1	43389882
HYI	1	43450989
PTPRF	1	43525187
KDM4A	1	43650149
ST3GAL3	1	43705824
ARTN	1	43933320
IPO13	1	43946950
DPH2	1	43970000
ATP6V0B	1	43974487
B4GALT2	1	43978943
CCDC24	1	43991359
SLC6A9	1	43991500
DMAP1	1	44213455
ERI3	1	44221070
RNF220	1	44405194
TMEM53	1	44635238
ARMH1	1	44674692
KIF2C	1	44739818
RPS8	1	44775251
BEST4	1	44783585
PLK3	1	44800377
BTBD19	1	44808523
PTCH2	1	44819844
EIF2B3	1	44850522
HECTD3	1	45002540
UROD	1	45010950
ZSWIM5	1	45016399
HPDL	1	45326895
MUTYH	1	45329163
TOE1	1	45340052
TESK2	1	45343883
CCDC163	1	45493866
MMACHC	1	45500300
PRDX1	1	45510914
AKR1A1	1	45550543
NASP	1	45583846
CCDC17	1	45620044
GPBP1L1	1	45627304
TMEM69	1	45688181
IPP	1	45694324
MAST2	1	45786987
PIK3R3	1	46040140
TSPAN1	1	46175073
POMGNT1	1	46188683
LURAP1	1	46203334
RAD54L	1	46246461
LRRC41	1	46261196
UQCRH	1	46303698
NSUN4	1	46340789
FAAH	1	46394317
MKNK1	1	46557407
MOB3C	1	46607719
ATPAF1	1	46632737
EFCAB14	1	46674659
CYP4B1	1	46757838
CYP4X1	1	47023669
PDZK1IP1	1	47183582
TAL1	1	47216290
STIL	1	47250139
CMPK1	1	47333790
FOXE3	1	47416285
FOXD2	1	47438044
TRABD2B	1	47760528
SLC5A9	1	48222685
SPATA6	1	48295373
AGBL4	1	48532854
BEND5	1	48727519
ELAVL4	1	50024029
DMRTA2	1	50417550
FAF1	1	50437028
CDKN2C	1	50960745
RNF11	1	51236273
TTC39A	1	51287258
EPS15	1	51354263
OSBPL9	1	51577179
NRDC	1	51789191
RAB3B	1	51907956
TXNDC12	1	52020131
KTI12	1	52032103
BTF3L4	1	52056199
ZFYVE9	1	52142089
CC2D1B	1	52345723
ORC1	1	52372829
PRPF38A	1	52404602
TUT4	1	52408282
GPX7	1	52602371
SHISAL2A	1	52633168
COA7	1	52684449
ZYG11B	1	52726453
ZYG11A	1	52842511
ECHDC2	1	52895910
SCP2	1	52927276
PODN	1	53062052
SLC1A7	1	53087179
CPT2	1	53196792
MAGOH	1	53226900
LRP8	1	53242364
GLIS1	1	53506237
NDC1	1	53765478
YIPF1	1	53851719
LRRC42	1	53946085
TMEM59	1	54026681
TCEANC2	1	54053584
CYB5RL	1	54169651
MRPL37	1	54184041
SSBP3	1	54225432
ACOT11	1	54542257
TTC4	1	54715861
PARS2	1	54756898
TTC22	1	54779712
LEXM	1	54806063
DHCR24	1	54849627
TMEM61	1	54980628
PCSK9	1	55039447
USP24	1	55066359
PLPP3	1	56494761
PRKAA2	1	56645314
DAB1	1	56994778
OMA1	1	58415384
TACSTD2	1	58575433
MYSM1	1	58643440
JUN	1	58776845
FGGY	1	59296638
HOOK1	1	59814786
CYP2J2	1	59893308
C1orf87	1	59987269
NFIA	1	60865259
TM2D1	1	61681046
PATJ	1	61742477
L1TD1	1	62194849
KANK4	1	62236165
USP1	1	62436297
DOCK7	1	62454298
ATG4C	1	62784132
ALG6	1	63367575
ITGB3BP	1	63440770
EFCAB7	1	63523372
PGM1	1	63593411
ROR1	1	63774017
CACHD1	1	64470129
RAVER2	1	64745075
JAK1	1	64833223
AK4	1	65147549
DNAJC6	1	65248219
LEPROT	1	65420587
LEPR	1	65420652
PDE4B	1	65792514
SGIP1	1	66533267
MIER1	1	66924895
SLC35D1	1	66999350
C1orf141	1	67092165
IL23R	1	67138907
IL12RB2	1	67307364
SERBP1	1	67407810
GADD45A	1	67685201
GNG12	1	67701475
WLS	1	68098473
DEPDC1	1	68474152
LRRC7	1	69567922
LRRC40	1	70144805
SRSF11	1	70205682
ANKRD13C	1	70258999
CTH	1	70411218
PTGER3	1	70852353
ZRANB2	1	71063291
NEGR1	1	71395943
LRRIQ3	1	74026015
FPGT-TNNI3K	1	74198235
FPGT	1	74198238
ERICH3	1	74568117
CRYZ	1	74705482
TYW3	1	74733152
SLC44A5	1	75202129
ACADM	1	75724431
RABGGTB	1	75786197
MSH4	1	75796882
ST6GALNAC3	1	76074746
ST6GALNAC5	1	76867480
PIGK	1	77088989
AK5	1	77282019
USP33	1	77695987
MIGA1	1	77779624
NEXN	1	77888513
FUBP1	1	77944055
DNAJB4	1	77979175
GIPC2	1	77979542
PTGFR	1	78303884
IFI44L	1	78619902
IFI44	1	78649796
ADGRL4	1	78889764
ADGRL2	1	81306147
TTLL7	1	83865024
PRKACB	1	84078062
SAMD13	1	84298366
RPF1	1	84479259
GNG5	1	84498323
SPATA1	1	84506300
CTBS	1	84549611
SSX2IP	1	84643706
LPAR3	1	84811602
MCOLN2	1	84925583
MCOLN3	1	85018082
SYDE2	1	85156889
C1orf52	1	85249953
BCL10	1	85265776
DDAH1	1	85318481
ZNHIT6	1	85649417
COL24A1	1	85729233
ODF2L	1	86346824
CLCA2	1	86424171
SH3GLB1	1	86704570
SELENOF	1	86862445
HS2ST1	1	86914635
LMO4	1	87328880
PKN2	1	88684222
GTF2B	1	88852633
KYAT3	1	88935773
RBMXL1	1	88979456
GBP3	1	89006679
GBP1	1	89051882
GBP2	1	89106132
GBP7	1	89131742
GBP4	1	89181144
GBP5	1	89256189
GBP6	1	89364059
LRRC8B	1	89524829
LRRC8C	1	89633072
LRRC8D	1	89821014
ZNF326	1	89995110
BARHL2	1	90711539
ZNF644	1	90915298
HFM1	1	91260766
CDC7	1	91500851
TGFBR3	1	91680343
BRDT	1	91949343
EPHX4	1	92029985
SETSIP	1	92074533
BTBD8	1	92080305
GLMN	1	92246402
RPAP2	1	92299059
GFI1	1	92473043
EVI5	1	92508696
RPL5	1	92832013
MTF2	1	93079235
TMED5	1	93149742
CCDC18	1	93179919
DR1	1	93345907
FNBP1L	1	93448118
BCAR3	1	93561741
DNTTIP2	1	93866284
GCLM	1	93885199
ABCA4	1	93992834
ARHGAP29	1	94148988
ABCD3	1	94418389
F3	1	94529173
SLC44A3	1	94820342
CNN3	1	94896949
ALG14	1	94974405
RWDD3	1	95234210
PTBP2	1	96721665
DPYD	1	97077743
SNX7	1	98661701
PLPPR5	1	98890245
PLPPR4	1	99264292
PALMD	1	99646113
FRRS1	1	99703970
AGL	1	99850361
SLC35A3	1	99969351
MFSD14A	1	100038095
SASS6	1	100083563
TRMT13	1	100133150
LRRC39	1	100148448
DBT	1	100186919
RTCA	1	100266216
CDC14A	1	100345001
VCAM1	1	100719742
EXTL2	1	100872372
SLC30A7	1	100896076
DPH5	1	100989623
S1PR1	1	101236865
COL11A1	1	102876467
RNPC3	1	103525691
AMY2B	1	103553815
PRMT6	1	107056674
NTNG1	1	107140007
VAV3	1	107571161
SLC25A24	1	108134043
HENMT1	1	108648290
PRPF38B	1	108692310
FNDC7	1	108712908
STXBP3	1	108746674
AKNAD1	1	108815898
GPSM2	1	108875350
CLCC1	1	108881885
WDR47	1	108970214
TAF13	1	109062496
TMEM167B	1	109090764
CELSR2	1	109249539
PSRC1	1	109279556
SORT1	1	109309568
PSMA5	1	109399042
ATXN7L2	1	109483479
CYB561D1	1	109494052
AMIGO1	1	109504178
GNAI3	1	109548615
AMPD2	1	109616104
GSTM4	1	109656099
GSTM2	1	109668022
GSTM1	1	109687814
GSTM3	1	109733932
CSF1	1	109910242
AHCYL1	1	109984765
STRIP1	1	110031577
SLC6A17	1	110150494
KCNC4	1	110210314
RBM15	1	110338506
SLC16A4	1	110362851
LAMTOR5	1	110401249
KCNA2	1	110519837
KCNA3	1	110653560
CD53	1	110871188
LRIF1	1	110947190
DRAM2	1	111117163
CEPT1	1	111139479
DENND2D	1	111185969
CHI3L2	1	111200771
CHIA	1	111290851
PIFO	1	111346600
OVGP1	1	111414319
WDR77	1	111439890
ATP5PB	1	111448864
C1orf162	1	111473792
TMIGD3	1	111483348
ADORA3	1	111499429
RAP1A	1	111542218
DDX20	1	111754832
KCND3	1	111770662
CTTNBP2NL	1	112396214
WNT2B	1	112466541
ST7L	1	112523514
CAPZA1	1	112619805
MOV10	1	112673141
RHOC	1	112701127
PPM1J	1	112709994
SLC16A1	1	112911847
LRIG2	1	113073198
MAGI3	1	113390515
PHTF1	1	113696831
RSBN1	1	113761832
PTPN22	1	113813811
BCL2L15	1	113876816
AP4B1	1	113894194
DCLRE1B	1	113904619
HIPK1	1	113929324
OLFML3	1	113979391
SYT6	1	114089291
TRIM33	1	114392790
BCAS2	1	114567557
DENND2C	1	114582848
AMPD1	1	114673090
NRAS	1	114704469
CSDE1	1	114716913
SIKE1	1	114769479
SYCP1	1	114854863
TSPAN2	1	115048011
VANGL1	1	115641970
NHLH2	1	115836377
SLC22A15	1	115976513
MAB21L3	1	116111399
ATP1A1	1	116372668
CD58	1	116514534
IGSF3	1	116574399
CD2	1	116754430
PTGFRN	1	116909916
CD101	1	117001750
TTF2	1	117060326
TRIM45	1	117111060
VTCN1	1	117143587
MAN1A2	1	117367449
TENT5C	1	117606048
GDAP2	1	117863485
WDR3	1	117929720
SPAG17	1	117953590
TBX15	1	118883046
WARS2	1	119031216
ZNF697	1	119619377
PHGDH	1	119648411
NOTCH2	1	119911553
SEC22B	1	120150898
NBPF8	1	120415035
NBPF26	1	120723949
FAM72B	1	121167646
SRGAP2C	1	121184811
PPIAL4E	1	144372875
NBPF15	1	144421390
SRGAP2B	1	144887265
FAM72D	1	145095974
NBPF20	1	145289900
GPR89A	1	145607988
PDZK1	1	145670852
CD160	1	145719471
RNF115	1	145738868
POLR3C	1	145824053
NUDT17	1	145845630
PIAS3	1	145848522
ANKRD35	1	145866560
ITGA10	1	145891208
PEX11B	1	145911350
RBM8A	1	145921556
LIX1L	1	145933423
ANKRD34A	1	145959441
POLR3GL	1	145964690
TXNIP	1	145992435
NBPF10	1	146064711
NOTCH2NLA	1	146146203
NBPF12	1	146938324
PRKAB2	1	147155106
FMO5	1	147175351
CHD1L	1	147242654
BCL9	1	147541501
ACP6	1	147629652
GJA5	1	147756199
GPR89B	1	147928393
NBPF11	1	148102047
PPIAL4G	1	148482548
NBPF14	1	148531385
PDE4DIP	1	148808140
NBPF9	1	149052186
NBPF19	1	149475045
FCGR1A	1	149782671
BOLA1	1	149887890
SV2A	1	149903318
SF3B4	1	149923317
MTMR11	1	149928651
OTUD7B	1	149937812
VPS45	1	150067279
PLEKHO1	1	150149183
ANP32E	1	150218417
CA14	1	150257251
APH1A	1	150265399
C1orf54	1	150268200
CIART	1	150282543
MRPS21	1	150293861
PRPF3	1	150321479
RPRD2	1	150363091
TARS2	1	150487414
ECM1	1	150508062
ADAMTSL4	1	150549369
MCL1	1	150560895
ENSA	1	150600851
GOLPH3L	1	150646230
HORMAD1	1	150698060
CTSS	1	150730079
CTSK	1	150794880
ARNT	1	150809713
SETDB1	1	150926263
CERS2	1	150960583
ANXA9	1	150982249
MINDY1	1	150996549
PRUNE1	1	151008420
BNIPL	1	151036321
C1orf56	1	151047751
CDC42SE1	1	151050971
MLLT11	1	151060397
GABPB2	1	151070578
SEMA6C	1	151131685
TNFAIP8L2	1	151156649
SCNM1	1	151156664
LYSMD1	1	151159748
VPS72	1	151176304
PIP5K1A	1	151197949
PSMD4	1	151254709
ZNF687	1	151281618
PI4KB	1	151291797
RFX5	1	151340640
SELENBP1	1	151364304
PSMB4	1	151399560
POGZ	1	151402724
CGN	1	151510510
TUFT1	1	151540305
SNX27	1	151612006
CELF3	1	151700058
MRPL9	1	151759647
OAZ3	1	151762899
TDRKH	1	151770107
LINGO4	1	151800264
RORC	1	151806071
C2CD4D	1	151837818
THEM4	1	151870866
S100A10	1	151982915
S100A11	1	152032506
TCHH	1	152106317
FLG	1	152302165
FLG2	1	152348735
IVL	1	152908546
SPRR2D	1	153039732
PGLYRP4	1	153330120
S100A9	1	153357854
S100A12	1	153373711
S100A8	1	153390032
S100A6	1	153534599
S100A5	1	153537147
S100A4	1	153543613
S100A3	1	153547329
S100A2	1	153561108
S100A16	1	153606886
S100A14	1	153614255
S100A13	1	153618787
S100A1	1	153627926
CHTOP	1	153633982
SNAPIN	1	153658703
ILF2	1	153661788
NPR1	1	153678688
INTS3	1	153728050
SLC27A3	1	153774354
GATAD2B	1	153789030
DENND4B	1	153929501
CRTC2	1	153947669
SLC39A1	1	153959099
CREB3L4	1	153967534
JTB	1	153974269
RAB13	1	153981617
RPS27	1	153990762
TPM3	1	154155308
C1orf43	1	154206696
UBAP2L	1	154220179
HAX1	1	154272355
ATP8B2	1	154325525
IL6R	1	154405193
SHE	1	154469772
TDRD10	1	154502219
UBE2Q1	1	154548577
ADAR	1	154581695
KCNN3	1	154697455
PMVK	1	154924740
PBXIP1	1	154944076
PYGO2	1	154957026
SHC1	1	154962298
CKS1B	1	154974653
FLAD1	1	154983338
ZBTB7B	1	155002630
DCST2	1	155018520
ADAM15	1	155050566
EFNA4	1	155063737
EFNA3	1	155078837
EFNA1	1	155127876
SLC50A1	1	155135344
DPM3	1	155139891
KRTCAP2	1	155169408
TRIM46	1	155173787
MUC1	1	155185824
THBS3	1	155195588
MTX1	1	155208695
SCAMP3	1	155255979
CLK2	1	155262868
HCN3	1	155277463
FDPS	1	155308748
RUSC1	1	155320894
ASH1L	1	155335268
MSTO1	1	155563235
YY1AP1	1	155659443
DAP3	1	155687960
GON4L	1	155749659
SYT11	1	155859567
RIT1	1	155897808
KHDC4	1	155913045
ARHGEF2	1	155946851
SSR2	1	156009048
UBQLN4	1	156035299
LAMTOR2	1	156054782
RAB25	1	156061160
MEX3A	1	156072013
LMNA	1	156082573
SEMA4A	1	156147366
SLC25A44	1	156193932
PMF1	1	156212993
PAQR6	1	156243320
SMG5	1	156249224
TMEM79	1	156282935
GLMP	1	156290089
CCT3	1	156308968
TSACC	1	156337314
RHBG	1	156369211
MEF2D	1	156463727
IQGAP3	1	156525405
TTC24	1	156579723
NAXE	1	156591756
GPATCH4	1	156594301
NES	1	156668763
CRABP2	1	156699606
ISG20L2	1	156721891
MRPL24	1	156737303
HDGF	1	156742109
PRCC	1	156750610
SH2D2A	1	156806243
NTRK1	1	156815636
INSRR	1	156840063
PEAR1	1	156893698
LRRC71	1	156920632
ARHGEF11	1	156934840
ETV3	1	157121191
FCRL5	1	157513377
FCRL4	1	157573747
FCRL3	1	157674321
FCRL2	1	157745733
FCRL1	1	157794403
CD5L	1	157830911
KIRREL1	1	157993273
CD1D	1	158178030
CD1A	1	158254424
CD1C	1	158289923
CD1B	1	158327951
CD1E	1	158353696
SPTA1	1	158610704
OR6N1	1	158747814
MNDA	1	158831351
PYHIN1	1	158930796
IFI16	1	158999968
AIM2	1	159061599
CADM3	1	159171609
ACKR1	1	159204875
FCER1A	1	159289714
DUSP23	1	159780932
FCRL6	1	159800511
SLAMF8	1	159826811
VSIG8	1	159854316
CFAP45	1	159872364
TAGLN2	1	159918107
IGSF9	1	159927039
SLAMF9	1	159951492
KCNJ10	1	159998651
PIGM	1	160024953
IGSF8	1	160091340
ATP1A2	1	160115759
ATP1A4	1	160151586
CASQ1	1	160190575
PEA15	1	160205380
DCAF8	1	160215715
PEX19	1	160276807
COPA	1	160288594
NCSTN	1	160343294
NHLH1	1	160367071
VANGL2	1	160400564
SLAMF6	1	160485030
CD84	1	160541095
SLAMF1	1	160608106
CD48	1	160678746
SLAMF7	1	160739057
LY9	1	160796074
CD244	1	160830160
ITLN1	1	160876540
F11R	1	160995211
TSTD1	1	161037631
USF1	1	161039251
ARHGAP30	1	161046946
NECTIN4	1	161070998
KLHDC9	1	161098361
PFDN2	1	161100556
NIT1	1	161118086
DEDD	1	161120974
UFC1	1	161152776
USP21	1	161159450
PPOX	1	161166056
B4GALT3	1	161171310
ADAMTS4	1	161184302
NDUFS2	1	161197104
FCER1G	1	161215234
TOMM40L	1	161225939
NR1I3	1	161229666
PCP4L1	1	161258745
MPZ	1	161304735
SDHC	1	161314381
CFAP126	1	161364733
FCGR2A	1	161505430
HSPA6	1	161524540
FCGR3A	1	161541759
FCGR2C	1	161581339
FCGR3B	1	161623196
FCGR2B	1	161663143
FCRLA	1	161706972
FCRLB	1	161721544
DUSP12	1	161749758
ATF6	1	161766298
OLFML2B	1	161983192
NOS1AP	1	162069691
C1orf226	1	162378841
SH2D1B	1	162395268
UHMK1	1	162497251
UAP1	1	162561722
DDR2	1	162631373
HSD17B7	1	162790702
CCDC190	1	162824458
RGS4	1	163068775
