symbol	ensembl_gene_id
LILRB1	ENSG00000104972
LILRB2	ENSG00000131042
LMOD1	ENSG00000163431
LPXN	ENSG00000110031
LRRC15	ENSG00000172061
LRRC32	ENSG00000137507
AOAH	ENSG00000136250
AOC3	ENSG00000131471
APBB1IP	ENSG00000077420
ARHGAP15	ENSG00000075884
ARHGAP28	ENSG00000088756
ARHGDIB	ENSG00000111348
ARHGEF6	ENSG00000129675
ASPN	ENSG00000106819
LSP1	ENSG00000130592
LST1	ENSG00000204482
LTB	ENSG00000227507
LUM	ENSG00000139329
LY86	ENSG00000112799
LY96	ENSG00000154589
LYZ	ENSG00000090382
MAF	ENSG00000178573
MAFB	ENSG00000204103
MFAP5	ENSG00000197614
MFSD1	ENSG00000118855
MICAL1	ENSG00000135596
MMP3	ENSG00000149968
MNDA	ENSG00000163563
MS4A4A	ENSG00000110079
MS4A6A	ENSG00000110077
MSN	ENSG00000147065
MSR1	ENSG00000038945
MXRA5	ENSG00000101825
MYO1F	ENSG00000142347
NCF2	ENSG00000116701
NCF4	ENSG00000100365
NCKAP1L	ENSG00000123338
NFKBIA	ENSG00000100906
NKG7	ENSG00000105374
NLRC5	ENSG00000140853
NME8	ENSG00000086288
NOX4	ENSG00000086991
OLFML1	ENSG00000183801
OLFML2B	ENSG00000162745
P2RY14	ENSG00000174944
PAPPA	ENSG00000182752
PCDH12	ENSG00000113555
PDE2A	ENSG00000186642
PDGFRB	ENSG00000113721
PIK3R5	ENSG00000141506
PLEK	ENSG00000115956
PLPPR4	ENSG00000117600
PLXDC1	ENSG00000161381
PLXNC1	ENSG00000136040
PRF1	ENSG00000180644
PRKG1	ENSG00000185532
ATP8B4	ENSG00000104043
B2M	ENSG00000166710
BCL2A1	ENSG00000140379
BGN	ENSG00000182492
BIN2	ENSG00000110934
BTK	ENSG00000010671
PSTPIP1	ENSG00000140368
PTGER2	ENSG00000125384
PTGER3	ENSG00000050628
PTGER4	ENSG00000171522
PTGIS	ENSG00000124212
PTPRC	ENSG00000081237
PTPRCAP	ENSG00000213402
PTPRE	ENSG00000132334
PVRIG	ENSG00000213413
RAB27A	ENSG00000069974
RABGAP1L	ENSG00000152061
RAC2	ENSG00000128340
RAMP3	ENSG00000122679
RARRES2	ENSG00000106538
RASGRP3	ENSG00000152689
RASSF2	ENSG00000101265
RGS1	ENSG00000090104
RGS4	ENSG00000117152
RHOG	ENSG00000177105
RHOH	ENSG00000168421
RNASE6	ENSG00000169413
RSAD2	ENSG00000134321
RUNX1T1	ENSG00000079102
S100A8	ENSG00000143546
S100A9	ENSG00000163220
SAMHD1	ENSG00000101347
SAMSN1	ENSG00000155307
SCUBE2	ENSG00000175356
SELL	ENSG00000188404
SELPLG	ENSG00000110876
SERPING1	ENSG00000149131
SFRP4	ENSG00000106483
SGCD	ENSG00000170624
SH2B3	ENSG00000111252
SH2D1A	ENSG00000183918
SIGLEC1	ENSG00000088827
SLA	ENSG00000155926
C1QA	ENSG00000173372
C1QB	ENSG00000173369
C3AR1	ENSG00000171860
CASP1	ENSG00000137752
CCDC69	ENSG00000198624
SP140	ENSG00000079263
SPON1	ENSG00000262655
SPON2	ENSG00000159674
SRGN	ENSG00000122862
STAT1	ENSG00000115415
SULF1	ENSG00000137573
TACSTD2	ENSG00000184292
TAP1	ENSG00000168394
TAP2	ENSG00000204267
TCF21	ENSG00000118526
TCIRG1	ENSG00000110719
TENM4	ENSG00000149256
TFEC	ENSG00000105967
TGFB1	ENSG00000105329
THBS2	ENSG00000186340
TLR2	ENSG00000137462
TLR7	ENSG00000196664
TNFAIP3	ENSG00000118503
TNFRSF1B	ENSG00000028137
TNFSF4	ENSG00000117586
TNN	ENSG00000120332
TPP1	ENSG00000166340
TPST2	ENSG00000128294
TRAF3IP3	ENSG00000009790
TRAT1	ENSG00000163519
TYROBP	ENSG00000011600
VAV1	ENSG00000141968
VCAM1	ENSG00000162692
VNN2	ENSG00000112303
VSIG4	ENSG00000155659
WIPF1	ENSG00000115935
WNT2	ENSG00000105989
ZAP70	ENSG00000115085
ZEB2	ENSG00000169554
ZFPM2	ENSG00000169946
ZNF423	ENSG00000102935
CCL5	ENSG00000271503
CCN4	ENSG00000104415
CCR1	ENSG00000163823
CCR7	ENSG00000126353
CD2	ENSG00000116824
CD3D	ENSG00000167286
CD3E	ENSG00000198851
CD8A	ENSG00000153563
CD8B	ENSG00000172116
CD14	ENSG00000170458
CD27	ENSG00000139193
CD33	ENSG00000105383
CD37	ENSG00000104894
CD48	ENSG00000117091
CD52	ENSG00000169442
CD53	ENSG00000143119
CD69	ENSG00000110848
CD74	ENSG00000019582
CD86	ENSG00000114013
CD93	ENSG00000125810
CD163	ENSG00000177575
CD200	ENSG00000091972
CD247	ENSG00000198821
CD248	ENSG00000174807
CD300A	ENSG00000167851
CD302	ENSG00000241399
CDH1	ENSG00000039068
CDH5	ENSG00000179776
CH25H	ENSG00000138135
CILP	ENSG00000138615
CLDN4	ENSG00000189143
CLEC2B	ENSG00000110852
CLEC4A	ENSG00000111729
CLEC7A	ENSG00000172243
COL1A2	ENSG00000164692
COL3A1	ENSG00000168542
COL5A3	ENSG00000080573
COL6A3	ENSG00000163359
COL8A2	ENSG00000171812
COL10A1	ENSG00000123500
COL14A1	ENSG00000187955
COL15A1	ENSG00000204291
COMP	ENSG00000105664
CORO1A	ENSG00000102879
COX7A1	ENSG00000161281
CSF1R	ENSG00000182578
CST7	ENSG00000077984
CSTA	ENSG00000121552
CTSS	ENSG00000163131
CXCL9	ENSG00000138755
CXCL10	ENSG00000169245
CXCL12	ENSG00000107562
CXCL14	ENSG00000145824
CYBB	ENSG00000165168
DCN	ENSG00000011465
DDR2	ENSG00000162733
DIO2	ENSG00000211448
DOCK2	ENSG00000134516
ECM2	ENSG00000106823
EDIL3	ENSG00000164176
EDNRA	ENSG00000151617
EGFL6	ENSG00000198759
EMCN	ENSG00000164035
EMP3	ENSG00000142227
ENPEP	ENSG00000138792
ENPP2	ENSG00000136960
EPCAM	ENSG00000119888
ERG	ENSG00000157554
