spec	family	kind	n	hit	joint_sign	reliable	ifn_median	ifn_n_thesis	ifn_n_opposite	ifn_sign_ok	sting_median	sting_n_thesis	sting_n_opposite	sting_sign_ok	nhej_median	nhej_n_thesis	nhej_n_opposite	nhej_sign_ok	n_modules_thesis_sign
post_a3_caliper_logumi_0.10	umi_match	paired	6	False	False	False	0.022222479097022435	2.0	4.0	False	0.011532326605557058	2.0	4.0	False	-0.02966558970149101	3.0	3.0	False	0
post_a3_caliper_logumi_0.25	umi_match	paired	6	False	False	False	0.01943627763699783	2.0	4.0	False	0.018776367199656294	2.0	4.0	False	-0.038277658000206924	3.0	3.0	False	0
post_a3_caliper_logumi_0.50	umi_match	paired	6	False	False	False	0.022079749397480836	2.0	4.0	False	0.016051005801250066	3.0	3.0	False	-0.03895431352814906	3.0	3.0	False	0
post_a3_drop_high_ribo	ribo	paired	4	False	False	False	0.042093593019555245	2.0	2.0	False	0.02411896255625394	2.0	2.0	False	-0.023973396152259005	2.0	2.0	False	0
post_a3_median	q_split	paired	6	False	False	False	0.03653350189422673	1.0	5.0	False	0.053824491974026833	2.0	4.0	False	0.01997293544515423	3.0	3.0	False	0
post_a3_nmpr_median	response	paired	5	False	False	False	0.0349340986741726	1.0	4.0	False	0.06800449156879498	2.0	3.0	False	-0.0018040057410766697	2.0	3.0	False	0
post_a3_nmpr_patientmean_spearman	continuous	correlation	5	False	False	False	0.8999999999999998			False	0.49999999999999994			False	0.19999999999999998			False	0
post_a3_patientmean_spearman	continuous	correlation	6	False	False	False	0.942857142857143			False	0.6			False	0.08571428571428573			False	0
post_a3_recist_sd_q4q1	response	paired	2	False	False	False	0.02680892797597846	0.0	2.0	False	0.03222212055917623	1.0	1.0	False	-0.015393089070534313	1.0	1.0	False	0
post_a3_resid_logumi	umi_match	paired	6	False	False	False	0.015320708922106577	0.0	6.0	False	0.012340428456007064	2.0	4.0	False	-0.028700167778247743	1.0	5.0	False	0
post_a3_resid_logumi_and_ribo	ribo	paired	6	False	False	False	0.004372770832113897	2.0	4.0	False	0.00849829793052812	2.0	4.0	False	-0.026640608107473027	0.0	6.0	False	0
post_a3_squamous_like_q4q1	subtype	paired	4	False	False	False	0.07598320141457834	1.0	3.0	False	0.01990778228490024	2.0	2.0	False	-0.013528230899616855	2.0	2.0	False	0
post_a3_squamous_median	response	paired	4	False	False	False	0.024104207251407536	1.0	3.0	False	0.017690539396894495	2.0	2.0	False	-0.0017217777222611474	2.0	2.0	False	0
post_a3_squamous_patientmean_spearman	continuous	correlation	4	False	False	False	0.7999999999999999			False	0.39999999999999997			False	0.19999999999999998			False	0
post_a3_squamous_q4q1	response	paired	4	False	False	False	0.06182143126485019	0.0	4.0	False	0.03698010294278597	1.0	3.0	False	-0.010276010164264118	2.0	2.0	False	0
post_a3_umi_decile	umi_match	paired	5	False	False	False	0.0044684660096802	1.0	4.0	False	0.014669899719269713	2.0	3.0	False	-0.008756699529798568	1.0	4.0	False	0
post_a3_umi_quintile	umi_match	paired	5	False	False	False	0.010408173273979637	1.0	4.0	False	0.009481796549814077	2.0	3.0	False	-0.004695229485898613	0.0	5.0	False	0
pre_a3_median	pre_vs_post	paired	2	False	False	False	0.08771326069251999	0.0	2.0	False	0.036975457187962066	0.0	2.0	False	0.009150405371768297	1.0	1.0	False	0
pre_a3_patientmean_spearman	continuous	correlation	2	False	False	False				False				False				False	0
pre_a3_q4q1	pre_vs_post	paired	2	False	False	False	0.11433253431669312	0.0	2.0	False	0.0453766794546598	0.0	2.0	False	-0.0028718811548473916	1.0	1.0	False	0
pre_a3_within_spearman	continuous	paired	2	False	False	False	0.25380374045687654	0.0	2.0	False	0.1442870212445904	0.0	2.0	False	-0.001554822267870959	1.0	1.0	False	0
