layer,dataset,cohort,partner,role,primary,n,spearman_rho,spearman_p,spearman_q_bh_primary6,spearman_ci95_low,spearman_ci95_high,pearson_r,pearson_p,rounds_to_slide_0.69,abs_diff_vs_slide_0.69,n_equals_slide_118,slide_0.69_inside_ci95,note
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN5,histology,False,0,,,,,,,,False,,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer. Not quantified in the Gygi CCLE MS matrix.
protein,Gygi_CCLE_MS,lung_suffix_NSCLC,CLDN18,histology,False,14,0.5296703296703297,0.051416598137870716,,,,0.5841155699194959,0.02827988796985874,False,0.16032967032967027,False,,CCLE _LUNG and DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer. Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN).
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN1,histology,False,9,0.5833333333333334,0.09918581647988327,,,,0.42680087857325244,0.25193339986836055,False,0.10666666666666658,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC).
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN4,histology,False,7,0.642857142857143,0.11939237342741109,,,,0.31002086641065385,0.4986157894316887,False,0.04714285714285693,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC).
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN7,histology,False,9,0.13333333333333333,0.7323675052362973,,,,-0.07343768803649131,0.8510647058701537,False,0.5566666666666666,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC).
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN3,histology,False,9,-0.08333333333333334,0.831214097710308,,,,0.052791094064700804,0.8927043177324115,False,0.7733333333333333,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC).
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN5,histology,False,0,,,,,,,,False,,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC). Not quantified in the Gygi CCLE MS matrix.
protein,Gygi_CCLE_MS,lung_suffix_NET,CLDN18,histology,False,3,,,,,,,,False,,False,,CCLE _LUNG and OncotreePrimaryDisease == Lung Neuroendocrine Tumor (includes SCLC). Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN).
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN1,histology,False,34,-0.11291061879297173,0.5249142731603026,,,,-0.22905903287772073,0.19254777760447028,False,0.8029106187929717,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN4,histology,False,22,0.7820440429136083,1.713299661861345e-05,,,,0.7932845666934566,1.0611960424713108e-05,False,0.09204404291360835,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN7,histology,False,33,0.761029411764706,2.7287486942369574e-07,,,,0.7398234433789914,8.665765722114644e-07,False,0.07102941176470601,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN3,histology,False,31,0.4866935483870969,0.0054959470497612,,,,0.4711573923766169,0.007464498999767401,False,0.20330645161290306,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN5,histology,False,0,,,,,,,,False,,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma. Not quantified in the Gygi CCLE MS matrix.
protein,Gygi_CCLE_MS,lung_suffix_LUAD,CLDN18,histology,False,8,0.4285714285714286,0.2894032248467901,,,,0.5741418396725642,0.13666314550319034,False,0.26142857142857134,False,,CCLE _LUNG and OncotreeSubtype == Lung Adenocarcinoma. Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN).
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN1,histology,False,10,0.16363636363636364,0.6514773427962428,,,,0.1845935678541595,0.6096818893448208,False,0.5263636363636364,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN4,histology,False,7,0.7500000000000002,0.0521814004570578,,,,0.7919681641099044,0.033773710155508715,False,0.060000000000000275,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN7,histology,False,9,0.8333333333333333,0.005265691029161747,,,,0.8439265912883283,0.004230401543967284,False,0.1433333333333333,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN3,histology,False,9,0.21666666666666667,0.5755148957119259,,,,0.49891626850354437,0.17154808982928776,False,0.4733333333333333,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma.
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN5,histology,False,0,,,,,,,,False,,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma. Not quantified in the Gygi CCLE MS matrix.
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN18,histology,False,2,,,,,,,,False,,False,,CCLE _LUNG and OncotreeSubtype == Lung Squamous Cell Carcinoma. Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN).
protein,Gygi_CCLE_MS,all_lines,CLDN1,context,False,315,0.3774071557188545,4.219609498501813e-12,,,,0.33045796375525427,1.8387290882534278e-09,False,0.3125928442811454,False,,"All Gygi lines. Context only, not the lung slide."
protein,Gygi_CCLE_MS,all_lines,CLDN4,context,False,198,0.6122529274583964,9.352962685023365e-22,,,,0.6091216343280956,1.7088387881812573e-21,False,0.07774707254160351,False,,"All Gygi lines. Context only, not the lung slide."
protein,Gygi_CCLE_MS,all_lines,CLDN7,context,False,279,0.6091978030478843,9.871904634190026e-30,,,,0.578475004183721,2.564104351476658e-26,False,0.08080219695211566,False,,"All Gygi lines. Context only, not the lung slide."
protein,Gygi_CCLE_MS,all_lines,CLDN3,context,False,297,0.32000533175029827,1.6942917339613683e-08,,,,0.2893515671199149,3.8845602892681553e-07,False,0.3699946682497017,False,,"All Gygi lines. Context only, not the lung slide."
protein,Gygi_CCLE_MS,all_lines,CLDN5,context,False,0,,,,,,,,False,,False,,"All Gygi lines. Context only, not the lung slide. Not quantified in the Gygi CCLE MS matrix."
protein,Gygi_CCLE_MS,all_lines,CLDN18,context,False,90,0.11299337366753094,0.28897842677825586,,,,0.10286787603829683,0.334639262382753,False,0.577006626332469,False,,"All Gygi lines. Context only, not the lung slide. Protein row is isoform A2 only (sp|P56856-2|CLD18_HUMAN)."
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN1,focal,True,214,0.4669611859380081,5.480139911560395e-13,1.096027982312079e-12,0.35115520338439327,0.5713879980884868,0.46453559206679146,7.478077813996324e-13,False,0.22303881406199183,False,False,PRIMARY RNA: OncotreeLineage==Lung and ModelType==Cell Line.
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN4,focal,True,214,0.6074923026927191,5.636455165585778e-23,3.3818730993514673e-22,0.5133482836771316,0.6871859820977054,0.5624370891915033,3.001007452146409e-19,False,0.0825076973072808,False,False,PRIMARY RNA: OncotreeLineage==Lung and ModelType==Cell Line.
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN7,focal,True,214,0.5947691792090892,7.289729573166664e-22,2.1869188719499992e-21,0.4901717407614792,0.6854471154356284,0.53580587164442,2.6678565120717146e-17,False,0.09523082079091072,False,False,PRIMARY RNA: OncotreeLineage==Lung and ModelType==Cell Line.
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN3,control,False,214,0.14607028448901696,0.032697541874671915,,,,0.12966595831607602,0.05825921928855115,False,0.543929715510983,False,,Specificity controls in the same lung cell lines. Not the slide pair.
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN5,control,False,214,-0.33099181396572874,7.270961913461952e-07,,,,-0.3519424875678009,1.2332748225530164e-07,False,1.0209918139657286,False,,Specificity controls in the same lung cell lines. Not the slide pair.
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN18,control,False,214,-0.33746468615827835,4.2613053557306856e-07,,,,-0.19435290430397095,0.004320673477804732,False,1.0274646861582784,False,,Specificity controls in the same lung cell lines. Not the slide pair.
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN1,histology,False,143,0.2400974683930902,0.00387303096288995,,,,0.24646784269704294,0.003003533733927746,False,0.44990253160690974,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN4,histology,False,143,0.667437179146622,8.811122112650595e-20,,,,0.6287018480097553,4.206048059022061e-17,False,0.022562820853377907,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN7,histology,False,143,0.6671673458892021,9.227389173502131e-20,,,,0.6305042648399846,3.2177005468178954e-17,False,0.022832654110797823,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN3,histology,False,143,0.3925151565259315,1.243127257999703e-06,,,,0.37823638021567674,3.1995522632561563e-06,False,0.29748484347406845,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN5,histology,False,143,-0.17052435679998337,0.04172861876317658,,,,-0.25631941024475513,0.002001396341124507,False,0.8605243567999833,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN18,histology,False,143,-0.27776117427172836,0.0007830109267318901,,,,-0.1181870609560352,0.1597716825349508,False,0.9677611742717283,False,,"Lung cell lines, OncotreePrimaryDisease == Non-Small Cell Lung Cancer."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN1,histology,False,60,0.23492042245728242,0.07079593530382579,,,,0.2305421157114903,0.07636749610370867,False,0.45507957754271755,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN4,histology,False,60,0.36990607984022494,0.003626401814035375,,,,0.3666016513348643,0.003964337414969543,False,0.320093920159775,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN7,histology,False,60,0.4551065107946316,0.0002587421856890384,,,,0.3938796371146443,0.0018474701542791924,False,0.23489348920536834,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN3,histology,False,60,0.32720857186437874,0.010713719007055809,,,,0.19365090990251696,0.13819853882873456,False,0.3627914281356212,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN5,histology,False,60,-0.08966428338064215,0.4956813565721108,,,,-0.13555738992489064,0.30173914443183464,False,0.7796642833806421,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_NET_cell_lines,CLDN18,histology,False,60,0.16978089436590543,0.1946686727870766,,,,0.10399515762012111,0.42909275430689675,False,0.5202191056340946,False,,"Lung cell lines, OncotreePrimaryDisease == Lung Neuroendocrine Tumor."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN1,histology,False,80,-0.01638566078897316,0.8852944845130695,,,,-0.017138303141189137,0.8800639524712124,False,0.7063856607889731,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN4,histology,False,80,0.7561387264786419,5.108416933686581e-16,,,,0.7453066521180682,2.216189643340584e-15,False,0.06613872647864194,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN7,histology,False,80,0.6901276386742039,1.4281728188119206e-12,,,,0.6736139287112313,7.548609555710436e-12,True,0.00012763867420395592,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN3,histology,False,80,0.5090924008362298,1.4198973655387829e-06,,,,0.5121811609420445,1.1955621767886697e-06,False,0.1809075991637702,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN5,histology,False,80,-0.047981037844021565,0.6725544758471325,,,,-0.16322745114095413,0.14798224785213926,False,0.7379810378440215,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN18,histology,False,80,-0.2703017460368392,0.015311517458047473,,,,0.0682808634385301,0.547298121375711,False,0.9603017460368392,False,,"Lung cell lines, OncotreeSubtype == Lung Adenocarcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN1,histology,False,27,0.557997557997558,0.0024910892402369837,,,,0.5576374195823043,0.0025106505065352045,False,0.13200244200244193,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN4,histology,False,27,0.5317460317460317,0.0043096289274127475,,,,0.4888015194954136,0.009675820606738685,False,0.1582539682539682,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN7,histology,False,27,0.48412698412698413,0.01050321314209015,,,,0.5001103493241326,0.00789680985095481,False,0.20587301587301582,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN3,histology,False,27,0.2991909666975299,0.12950669224240421,,,,0.2303431281683989,0.24772687298022886,False,0.39080903330247,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN5,histology,False,27,-0.38951318673134555,0.04461004636809168,,,,-0.3695458869495929,0.057810161803154105,False,1.0795131867313454,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN18,histology,False,27,-0.5104355956330404,0.006520810349295376,,,,-0.34110139165880754,0.08164839073123514,False,1.2004355956330404,False,,"Lung cell lines, OncotreeSubtype == Lung Squamous Cell Carcinoma."
RNA,DepMap_Public_24Q4_log2TPM,gygi_lung_lines_with_rna,CLDN1,sensitivity,False,74,0.22773318335868975,0.05100863691636385,,,,0.24578920866270318,0.03478429029126656,False,0.4622668166413102,False,,DepMap 24Q4 RNA restricted to CCLE names present in the Gygi _LUNG protein columns.
RNA,DepMap_Public_24Q4_log2TPM,gygi_lung_lines_with_rna,CLDN4,sensitivity,False,74,0.790446077180963,5.5422950602023756e-17,,,,0.7839720747293994,1.4661690216621394e-16,False,0.1004460771809631,False,,DepMap 24Q4 RNA restricted to CCLE names present in the Gygi _LUNG protein columns.
RNA,DepMap_Public_24Q4_log2TPM,gygi_lung_lines_with_rna,CLDN7,sensitivity,False,74,0.7142899458870753,8.9696882168146e-13,,,,0.6995522616842704,4.099615658238527e-12,False,0.024289945887075337,False,,DepMap 24Q4 RNA restricted to CCLE names present in the Gygi _LUNG protein columns.
protein,Gygi_CCLE_MS,matched_rna_protein_lines,CLDN1,sensitivity,False,67,0.10599409370260995,0.3932822419073402,,,,0.08308397838370736,0.5038588114371851,False,0.58400590629739,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
RNA,DepMap_Public_24Q4_log2TPM,matched_rna_protein_lines,CLDN1,sensitivity,False,67,0.2020413661894626,0.10108526109505296,,,,0.21590544625040292,0.07929949055457212,False,0.48795863381053733,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
protein,Gygi_CCLE_MS,matched_rna_protein_lines,CLDN4,sensitivity,False,44,0.703875968992248,9.813589251845172e-08,,,,0.6884777243654308,2.3996687047534523e-07,False,0.013875968992248078,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
RNA,DepMap_Public_24Q4_log2TPM,matched_rna_protein_lines,CLDN4,sensitivity,False,44,0.7856513624103078,2.678169259059074e-10,,,,0.7764107609454634,5.891587532694216e-10,False,0.0956513624103078,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
protein,Gygi_CCLE_MS,matched_rna_protein_lines,CLDN7,sensitivity,False,63,0.7011328725038403,1.5646880445770208e-10,,,,0.679360634188529,9.291548985216103e-10,False,0.011132872503840319,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
RNA,DepMap_Public_24Q4_log2TPM,matched_rna_protein_lines,CLDN7,sensitivity,False,63,0.7153658754374138,4.469391959888597e-11,,,,0.7015278982859839,1.5127040656767829e-10,False,0.025365875437413865,False,,Same CCLE names: Gygi _LUNG lines with both proteins quantified and DepMap 24Q4 RNA. n_gygi_lung_with_any_rna=74.
