sample_id,TACSTD2_expression_zscore,purity,IMSIG_B_CELLS,IMSIG_INTERFERON,IMSIG_MACROPHAGES,IMSIG_MONOCYTES,IMSIG_NEUTROPHILS,IMSIG_NK_CELLS,IMSIG_PLASMA_CELLS,IMSIG_T_CELLS,IMSIG_PROLIFERATION,IMSIG_TRANSLATION
A267,-0.7566,0.12,0.067902,0.09695,0.112275,0.106304,0.092942,0.03698,0.087848,0.090573,0.064988,0.138073
A268,-0.7872,0.26,0.052585,0.101526,0.098878,0.100516,0.101123,0.057303,0.069521,0.085048,0.05143,0.132291
A269,0.1957,0.46,0.066407,0.089516,0.081879,0.081359,0.076937,0.028939,0.090792,0.077287,0.060914,0.1341
A270,-0.2208,0.13,0.066359,0.099928,0.104351,0.102387,0.095446,0.054715,0.085417,0.091256,0.0665,0.133197
A271,-0.2662,0.17,0.064968,0.098396,0.101102,0.097362,0.092602,0.038006,0.100494,0.084209,0.083135,0.136112
A273,-0.2499,0.28,0.062023,0.106108,0.097906,0.095841,0.087932,0.029493,0.094541,0.079853,0.072999,0.127423
A232,0.5507,0.81,0.043032,0.103189,0.086037,0.083426,0.072686,0.023259,0.081978,0.067278,0.069382,0.139356
A247,-0.0259,0.14,0.095835,0.099712,0.097932,0.094752,0.080183,0.055931,0.121496,0.09681,0.080084,0.142557
A241,-0.2086,0.31,0.0814,0.104363,0.111188,0.105604,0.093728,0.048831,0.102164,0.094202,0.076413,0.136931
A233,0.0365,0.16,0.06774,0.107383,0.107244,0.09927,0.08912,0.054848,0.078263,0.093586,0.087849,0.133945
A177,1.2441,0.3,0.052669,0.103466,0.104442,0.100463,0.086584,0.026189,0.06402,0.083565,0.081279,0.135492
A159,-0.1476,0.3,0.060609,0.093594,0.095672,0.095086,0.082909,0.029577,0.098424,0.075934,0.067029,0.136416
A158,-0.0826,0.49,0.049014,0.089796,0.082701,0.083284,0.072422,0.02215,0.079909,0.06662,0.083518,0.138308
A153,0.2926,0.43,0.060843,0.093764,0.092657,0.091981,0.07712,0.018218,0.085876,0.077884,0.058588,0.139182
A144,1.0388,0.72,0.037364,0.092358,0.082575,0.081249,0.081025,0.015705,0.057009,0.059328,0.074029,0.141109
A143,0.2522,0.24,0.058032,0.091041,0.091241,0.088297,0.076448,0.053378,0.091833,0.077695,0.079889,0.141772
A131,1.4071,0.8,0.026546,0.076218,0.071965,0.06889,0.071854,0.011845,0.04633,0.04574,0.089905,0.145087
A120,1.2981,0.28,0.045078,0.094034,0.085456,0.083501,0.069701,0.015872,0.062617,0.065141,0.076374,0.136751
A272,1.8516,0.46,0.048546,0.09136,0.079972,0.081731,0.071405,0.017793,0.081444,0.063624,0.068277,0.14553
A028,1.166,0.36,0.067342,0.094951,0.077021,0.076603,0.067255,0.019634,0.085278,0.071457,0.086341,0.139509
A021,1.0766,0.42,0.034986,0.0977,0.074067,0.075175,0.065634,0.011778,0.043916,0.05594,0.067553,0.127407
A033,0.6605,0.26,0.066322,0.10421,0.099337,0.097896,0.089276,0.037858,0.092046,0.083559,0.08704,0.140102
A027,0.215,0.27,0.079208,0.094591,0.093691,0.089801,0.07981,0.033323,0.093501,0.088637,0.067203,0.140743
A068,1.3913,0.14,0.072191,0.103945,0.106326,0.097467,0.085356,0.043886,0.119941,0.090452,0.082949,0.142666
A101,0.1866,0.43,0.066053,0.101047,0.091267,0.088168,0.080335,0.041783,0.083672,0.079575,0.086779,0.132321
A072,0.7849,0.19,0.078615,0.090433,0.083354,0.080995,0.072252,0.027113,0.085133,0.082881,0.065188,0.137621
A074,1.9827,0.18,0.047487,0.100073,0.092884,0.092484,0.081581,0.01764,0.075157,0.071059,0.074394,0.134034
A100,0.7979,0.2,0.045934,0.089266,0.084281,0.081138,0.07584,0.029041,0.086854,0.074286,0.061228,0.14572
A102,0.1511,0.31,0.068436,0.09742,0.090697,0.088504,0.078071,0.024842,0.09088,0.080007,0.072093,0.134951
A103,0.7617,0.16,0.072205,0.10294,0.088726,0.083669,0.071679,0.032351,0.084635,0.081191,0.074346,0.133992
A104,1.3228,0.32,0.044329,0.1003,0.100892,0.097909,0.085627,0.030175,0.069937,0.075659,0.069902,0.135718
A117,1.1293,0.49,0.038703,0.100357,0.099745,0.097228,0.081571,0.02201,0.053499,0.07302,0.061644,0.142874
A134,2.2563,0.71,0.035481,0.098312,0.081163,0.079887,0.068363,0.023584,0.067868,0.063914,0.065604,0.140057
A148,0.5785,0.24,0.067309,0.095318,0.091613,0.088918,0.077532,0.036497,0.081943,0.081299,0.086174,0.140252
A150,-0.1845,0.45,0.058618,0.096602,0.091914,0.090517,0.077051,0.030111,0.074286,0.078941,0.076384,0.128849
A156,0.3395,0.31,0.054787,0.102938,0.09395,0.08934,0.080916,0.027322,0.075126,0.076156,0.088547,0.132402
A165,-0.1389,0.16,0.076766,0.094186,0.095907,0.093966,0.084507,0.037418,0.10158,0.089017,0.068546,0.139864
A157,-0.1671,0.25,0.082803,0.106211,0.093697,0.088186,0.078244,0.038407,0.108218,0.08798,0.087153,0.131854
A162,0.2089,0.32,0.045803,0.09315,0.085183,0.085213,0.073395,0.026222,0.067955,0.068196,0.091976,0.129881
A163,0.881,0.37,0.066973,0.094946,0.088545,0.087888,0.077661,0.030315,0.102133,0.079312,0.075548,0.136383
A243,0.7601,0.37,0.054498,0.096256,0.087183,0.086786,0.077024,0.029044,0.077755,0.072998,0.078623,0.139076
A182,-1.0629,0.35,0.069525,0.100968,0.10054,0.095462,0.087597,0.036161,0.106468,0.088731,0.080413,0.135775
A255,-1.0917,0.31,0.078729,0.093554,0.095584,0.09528,0.085388,0.042934,0.107712,0.089734,0.063337,0.135379
A169,1.0962,0.54,0.058995,0.093522,0.095582,0.094874,0.078385,0.032455,0.090366,0.084497,0.068716,0.143547
A252,-0.5454,0.27,0.057235,0.100641,0.100109,0.100177,0.095251,0.06043,0.076554,0.086746,0.052297,0.127843
A239,0.2423,0.14,0.06246,0.095218,0.104326,0.102401,0.089621,0.04207,0.082609,0.086368,0.07452,0.129884
A250,0.0749,0.17,0.061151,0.092334,0.091971,0.090471,0.080833,0.036243,0.096104,0.075474,0.089143,0.132143
A240,-0.1451,0.29,0.088271,0.095798,0.104585,0.09899,0.089261,0.048795,0.111847,0.096624,0.079438,0.137418
A249,0.4579,0.19,0.062823,0.104104,0.108619,0.107747,0.097585,0.024767,0.089848,0.082043,0.079978,0.132574
A322,-0.1168,0.6,0.045356,0.091258,0.093502,0.091062,0.082395,0.020179,0.091496,0.068616,0.071274,0.136978
A306,-0.2166,0.18,0.069277,0.092092,0.089559,0.089039,0.078427,0.032943,0.096129,0.082066,0.082513,0.139156
A323,0.9144,0.27,0.052055,0.102409,0.094504,0.092837,0.076221,0.039147,0.056426,0.080562,0.071892,0.130319
A307,0.883,0.4,0.057437,0.101623,0.094005,0.090244,0.079362,0.040778,0.076572,0.080022,0.069403,0.134138
A380,0.0421,0.12,0.057376,0.094961,0.094707,0.093679,0.082802,0.042705,0.079293,0.080484,0.061349,0.132991
A315,-0.723,0.2,0.058697,0.092635,0.097332,0.094672,0.082765,0.039918,0.087998,0.081863,0.063132,0.132377
A377,-0.5134,0.16,0.05326,0.094059,0.099098,0.096987,0.086507,0.029468,0.079017,0.080781,0.063367,0.139281
A375,-0.59,0.38,0.048931,0.101329,0.098973,0.092739,0.083943,0.024826,0.068855,0.074588,0.062291,0.129137
A425,0.0809,0.18,0.059062,0.105232,0.09716,0.094319,0.084277,0.04964,0.074207,0.083995,0.066506,0.133748
A316,-0.2282,0.28,0.05472,0.09295,0.094788,0.091952,0.084188,0.036703,0.07706,0.080754,0.074877,0.140725
A379,1.7788,0.21,0.092891,0.089589,0.090315,0.087829,0.079455,0.032981,0.086022,0.087112,0.070643,0.141219
A483,0.7944,0.21,0.0645,0.099796,0.102749,0.105093,0.094507,0.042429,0.090681,0.086453,0.063187,0.145404
A486,0.598,0.13,0.078022,0.100261,0.09948,0.102128,0.089915,0.040442,0.099911,0.090604,0.065131,0.150044
A488,0.1906,0.2,0.076456,0.102323,0.102806,0.102344,0.088708,0.031483,0.109193,0.09088,0.081303,0.143196
A490,-0.2071,0.4,0.06527,0.095933,0.097103,0.10216,0.083048,0.025779,0.096638,0.077665,0.069543,0.146837
A492,-0.5312,0.21,0.061986,0.097425,0.107226,0.101832,0.090375,0.027093,0.088376,0.083676,0.079787,0.133684
A493,0.2993,0.24,0.081089,0.103894,0.107651,0.107364,0.09581,0.05007,0.11265,0.093218,0.077071,0.143835
A496,-2.0022,0.13,0.09143,0.096763,0.109663,0.110963,0.097169,0.046153,0.10779,0.097313,0.069108,0.149823
A499,-1.4784,0.12,0.092374,0.101588,0.1078,0.104772,0.09105,0.055853,0.121434,0.100779,0.068724,0.152855
A500,-2.2112,0.3,0.10112,0.100044,0.108846,0.102133,0.095185,0.048351,0.114981,0.11126,0.085436,0.15155
A503,0.5179,0.44,0.058699,0.091234,0.101215,0.100525,0.09081,0.03135,0.077581,0.084594,0.083138,0.146212
A504,0.0863,0.36,0.058649,0.103709,0.09859,0.094796,0.088125,0.037316,0.087201,0.081728,0.066779,0.130562
A015,3.1112,0.51,0.078734,0.089816,0.088019,0.086438,0.073963,0.025062,0.080134,0.085789,0.063123,0.143874
A062,1.1666,0.48,0.05166,0.104119,0.089228,0.085776,0.073763,0.026534,0.08237,0.072038,0.086794,0.139004
A037,0.4002,0.31,0.04501,0.101622,0.106663,0.104451,0.089339,0.02853,0.061028,0.080468,0.068835,0.141725
A066,1.044,0.5,0.061758,0.096621,0.097916,0.091581,0.080553,0.026362,0.089877,0.081882,0.070565,0.139879
A310,1.573,0.56,0.041756,0.096852,0.091502,0.089293,0.075317,0.029932,0.068121,0.071472,0.066634,0.145503
A320,-0.6355,0.3,0.052004,0.093394,0.102752,0.099407,0.089144,0.032102,0.078847,0.079685,0.062218,0.14197
A426,1.2207,0.57,0.067409,0.094031,0.10125,0.097601,0.086001,0.026184,0.088718,0.083888,0.064595,0.139913
A381,0.6702,0.67,0.055556,0.085338,0.092389,0.091533,0.080248,0.02037,0.084451,0.0743,0.064019,0.146766
A428,1.179,0.67,0.040941,0.086077,0.090114,0.088403,0.080298,0.021375,0.08448,0.068993,0.063478,0.146695
A430,0.4475,0.24,0.069551,0.090178,0.090986,0.088259,0.078086,0.021904,0.105965,0.080767,0.06945,0.137579
A432,0.8715,0.28,0.071193,0.106726,0.100961,0.095773,0.083352,0.038863,0.100754,0.088273,0.083766,0.141138
A434,1.177,0.26,0.063055,0.106207,0.101274,0.095866,0.084919,0.037449,0.090064,0.088014,0.065443,0.142379
A508,-1.2102,0.3,0.087469,0.101227,0.118982,0.116963,0.100625,0.062166,0.112226,0.098651,0.065449,0.154594
A509,-0.3729,0.34,0.06778,0.099478,0.107021,0.101513,0.091426,0.041089,0.096563,0.088532,0.080752,0.137977
A063,1.9759,0.78,0.021228,0.081782,0.056599,0.063224,0.062511,0.019273,0.056118,0.046759,0.084423,0.136516
A168,-0.4426,0.46,0.051433,0.093094,0.103938,0.097259,0.082657,0.023332,0.093593,0.081773,0.063252,0.148338
A433,0.0874,0.24,0.068706,0.105081,0.099106,0.094692,0.082472,0.045504,0.114729,0.085819,0.088792,0.133237
A112,1.1181,0.64,0.031763,0.101925,0.080951,0.079105,0.073453,0.020899,0.060575,0.064068,0.068884,0.13801
A111,-1.0098,0.76,0.046942,0.086867,0.075397,0.075359,0.066355,0.026874,0.080096,0.071247,0.067717,0.142664
A110,-2.2174,0.48,0.052322,0.094188,0.084102,0.08338,0.088417,0.035825,0.07868,0.071681,0.088317,0.129501
A124,0.2433,0.29,0.060266,0.094871,0.089348,0.086036,0.075951,0.026803,0.075125,0.07816,0.072082,0.13518
A126,0.9445,0.16,0.052705,0.092737,0.088373,0.087523,0.078523,0.02183,0.080677,0.071378,0.072495,0.149624
A511,-0.4224,0.17,0.072329,0.096102,0.102204,0.102616,0.089474,0.031624,0.104745,0.088368,0.081183,0.137651
A512,1.4787,0.73,0.034878,0.086364,0.0903,0.091505,0.08211,0.021468,0.059021,0.07118,0.063227,0.141469
A514,0.0146,0.12,0.059997,0.099182,0.104975,0.102955,0.093026,0.036301,0.086155,0.088466,0.069935,0.136299
A517,-0.0685,0.16,0.088251,0.096058,0.096814,0.093393,0.083458,0.04165,0.104406,0.094916,0.064475,0.140901
A510,0.2992,0.28,0.058763,0.091498,0.098529,0.097851,0.090577,0.027583,0.085935,0.081949,0.069096,0.137679
A524,-0.9425,0.14,0.084285,0.09521,0.105263,0.100425,0.088257,0.046103,0.107087,0.093787,0.067646,0.137306
A522,-0.8058,0.26,0.052819,0.096683,0.104674,0.103732,0.095248,0.049426,0.0862,0.087027,0.062796,0.134706
A521,-0.7924,0.18,0.081904,0.100531,0.101443,0.097445,0.086046,0.034664,0.106381,0.091367,0.081276,0.134237
A519,-0.5253,0.37,0.061555,0.099583,0.099027,0.097444,0.089084,0.031645,0.098401,0.080802,0.072793,0.136515
A534,-0.4249,0.84,0.049023,0.084729,0.083448,0.083668,0.077925,0.030941,0.089553,0.075043,0.065397,0.143842
A530,-0.5868,0.24,0.056086,0.094705,0.105524,0.102097,0.093323,0.037122,0.091814,0.084154,0.059413,0.13962
A532,-1.297,0.18,0.086816,0.095946,0.104732,0.101804,0.095125,0.051699,0.113761,0.094697,0.075912,0.139187
A538,-0.0054,0.12,0.089621,0.098628,0.100214,0.097158,0.090804,0.041165,0.099294,0.09388,0.073304,0.138435
A537,0.4336,0.42,0.062563,0.09774,0.097936,0.096329,0.084982,0.033729,0.085874,0.083664,0.059159,0.14297
