arm	cohort	material	endpoint	statistic	n	call	source_pr	note
immune_neg	CPTAC LSCC protein	same freeze	TROP2 protein vs xCell CD8	rho=-0.080; n=108; p=0.41; immune rho=-0.133; p=0.17	108	NULL	#739 citing #99 #84	
immune_neg	public mouse GEMM pool	scRNA, not private 8KL	Tacstd2 % epithelium vs T fraction	pooled c=-0.277; perm p=0.137; k=5	34 mice	WEAK / ns	#739 citing #724	GSE295824 16; GSE264739 6; GSE201247 4; GSE266323 4; GSE179501 4. Not a KL-vs-KP test.
immune_neg	GSE295824	Sox2-GEMM	Tacstd2 % vs T	rho=-0.612; p=0.012	16	study-level YES, not the pool	#739 citing #724	GSE264739 is opposite (rho=+0.829, p=0.058).
DEG_to_TJ	concordant-4 malignant	pseudobulk log2 TMM-CPM+1	ORA Hallmark apical junction, TACSTD2 Q4-up	rank 1; overlap 13; enrichment 5.89; p=3.79e-07; FDR 1.28e-05	DE 19 vs 15; query n_up=274	TOP pathway in this ORA	#741	p<0.01 and |logFC|>0.25; TACSTD2 held out. Not an NES rank.
DEG_to_TJ	concordant-4 malignant	same	ORA Hallmark EMT	rank 2; overlap 13; enrichment 5.74; FDR 1.28e-05	same	next ORA term	#741	
DEG_to_TJ	concordant-4 malignant	same	ORA GO keratinization	rank 3; overlap 7; enrichment 13.98; FDR 1.28e-05	same	rank 3	#741	
DEG_to_TJ	concordant-4 malignant	same	family score TJ (206 genes, TACSTD2 held out)	logFC=+0.223; p=0.001163; FDR=0.004187	19 vs 15	program up	#741	
DEG_to_TJ	concordant-4 malignant	same	family score epithelial adhesion (23)	logFC=+0.734; p=0.001396; FDR=0.004187	19 vs 15	program up	#741	
DEG_to_TJ	concordant-4 malignant	same	family score keratin (52)	logFC=+0.929; p=0.002725; FDR=0.00545	19 vs 15	program up	#741	
DEG_to_TJ	concordant-4 malignant	same	GSEA Hallmark apical junction	NES=+2.554582; FDR=0.001463; positive-NES rank 8	1000 perms; seed 42	enriched, not NES #1	#741	
DEG_to_TJ	concordant-4 malignant	same	GSEA KEGG tight junction	NES=+2.040236; FDR=0.001463; positive-NES rank 22	same	enriched, not NES #1	#741	
DEG_to_TJ	concordant-4 malignant	same	GSEA GO tight junction organization	NES=+2.118399; FDR=0.001463; positive-NES rank 20	same	enriched, not NES #1	#741	
DEG_to_TJ	concordant-4 malignant	same	GSEA GO keratinization	NES=+2.825468; FDR=0.001463; positive-NES rank 2	same	near-top NES	#741	
DEG_to_TJ	concordant-4 malignant	same	GSEA leading positive term	Hallmark TNFA signaling via NFKB; NES=+3.199654; FDR=0.001463; rank 1	same	not a junction term	#741	Do not relabel as TJ.
DEG_to_TJ	concordant-4	patient/donor/sample	broad TJ score vs T/NK	DL rho=+0.137; 95% CI -0.365 to +0.577; p=0.605; I2=70.5%	N=64	NULL	#741	Do not write TJ-high excludes T/NK.
DEG_to_TJ	public mouse epithelium	GSE154977 + GSE180963 + GSE165641	TJ_TISMO module, Tacstd2 count >0 vs =0	7/7 mice delta>0; mean delta=+0.2608; binomial p=0.007812; rank MW p=3.601e-09	7 mice scored	module up	#743	Epithelium called without Tacstd2. Private 8KL not merged. GSE180963_K below the high-cell floor and not scored.
DEG_to_TJ	GSE31210	bulk primary LUAD, GPL570 MAS5	KEGG tight junction, TACSTD2 Q4 vs Q1	NES=+2.00; FDR=0.0018	226 tumors	bulk enrichment	#736	Not the malignant-cell ORA. Keratinization NES=+1.91; Hallmark EMT NES=-2.15.
DEG_to_TJ	OncoSG LUAD	bulk z-score RSEM	KEGG tight junction, TACSTD2 Q4 vs Q1	NES=-1.00; FDR=0.32	169	not enriched	#736	Do not cite OncoSG KEGG TJ as the top pathway. Keratinization NES=+1.92; Hallmark EMT NES=-2.33.
not_a_top_pathway_claim	GSE137244	bulk cell-line RNA-seq	Hallmark apical junction, KL vs KP prerank	NES=-1.15; FDR=0.31 inside 50 hallmarks	5 vs 5 libraries	not KL-high	#606	Hallmark G2M checkpoint is the top hallmark (NES 2.31).
not_a_top_pathway_claim	GSE137244	bulk	epithelial TJ core	mean delta=+1.627; exact p=0.00794; prerank NES=+2.14 inside a 5-set junction collection	5 vs 5	module up; not genome-wide rank 1	#606 #685	Do not quote handoff TJ +3.03 for this set. TJ7 mean delta=+3.269 is a different list and is not relabeled +3.03.
not_a_top_pathway_claim	GSE137244, GSE164758, GSE137396	bulk Tacstd2-high vs low GSEA	TJ / adhesion / claudin family inside 589 sets	no highlight in ranks 1-3	three cohorts	not top-3	#744	GSE137244 best TJ rank 21 (GOBP TJ organization NES +1.99, FDR 0.086).
